"date","music","popul","chord","key","artist"
"1",NA," adriana calcanhotto 8 anos ",NA,"D","D","adriana calcanhotto"
"2",NA," adriana calcanhotto 8 anos ",NA,"G","D","adriana calcanhotto"
"3",NA," adriana calcanhotto 8 anos ",NA,"D","D","adriana calcanhotto"
"4",NA," adriana calcanhotto 8 anos ",NA,"A","D","adriana calcanhotto"
"5",NA," adriana calcanhotto 8 anos ",NA,"G","D","adriana calcanhotto"
"6",NA," adriana calcanhotto 8 anos ",NA,"D","D","adriana calcanhotto"
"7",NA," adriana calcanhotto 8 anos ",NA,"G","D","adriana calcanhotto"
"8",NA," adriana calcanhotto 8 anos ",NA,"D","D","adriana calcanhotto"
"9",NA," adriana calcanhotto 8 anos ",NA,"A","D","adriana calcanhotto"
"10",NA," adriana calcanhotto 8 anos ",NA,"D","D","adriana calcanhotto"
"11",NA," adriana calcanhotto 8 anos ",NA,"G","D","adriana calcanhotto"
"12",NA," adriana calcanhotto 8 anos ",NA,"D","D","adriana calcanhotto"
"13",NA," adriana calcanhotto 8 anos ",NA,"A","D","adriana calcanhotto"
"14",NA," adriana calcanhotto 8 anos ",NA,"G","D","adriana calcanhotto"
"15",NA," adriana calcanhotto 8 anos ",NA,"D","D","adriana calcanhotto"
"16",NA," adriana calcanhotto 8 anos ",NA,"G","D","adriana calcanhotto"
"17",NA," adriana calcanhotto 8 anos ",NA,"D","D","adriana calcanhotto"
"18",NA," adriana calcanhotto 8 anos ",NA,"A","D","adriana calcanhotto"
"19",NA," adriana calcanhotto 8 anos ",NA,"D","D","adriana calcanhotto"
"20",NA," adriana calcanhotto 8 anos ",NA,"G","D","adriana calcanhotto"
"21",NA," adriana calcanhotto 8 anos ",NA,"D","D","adriana calcanhotto"
"22",NA," adriana calcanhotto 8 anos ",NA,"A","D","adriana calcanhotto"
"23",NA," adriana calcanhotto 8 anos ",NA,"Bb","D","adriana calcanhotto"
"24",NA," adriana calcanhotto 8 anos ",NA,"A","D","adriana calcanhotto"
"25",NA," adriana calcanhotto 8 anos ",NA,"G","D","adriana calcanhotto"
"26",NA," adriana calcanhotto 8 anos ",NA,"D","D","adriana calcanhotto"
"27",NA," adriana calcanhotto 8 anos ",NA,"G","D","adriana calcanhotto"
"28",3," adriana calcanhotto a fabrica do poema ",49,"Cm","D#","adriana calcanhotto"
"29",3," adriana calcanhotto a fabrica do poema ",49,"Ab","D#","adriana calcanhotto"
"30",3," adriana calcanhotto a fabrica do poema ",49,"Db7","D#","adriana calcanhotto"
"31",3," adriana calcanhotto a fabrica do poema ",49,"Db7/9","D#","adriana calcanhotto"
"32",3," adriana calcanhotto a fabrica do poema ",49,"Cm","D#","adriana calcanhotto"
"33",3," adriana calcanhotto a fabrica do poema ",49,"Fm","D#","adriana calcanhotto"
"34",3," adriana calcanhotto a fabrica do poema ",49,"Cm","D#","adriana calcanhotto"
"35",3," adriana calcanhotto a fabrica do poema ",49,"Fm","D#","adriana calcanhotto"
"36",3," adriana calcanhotto a fabrica do poema ",49,"Ddim","D#","adriana calcanhotto"
"37",3," adriana calcanhotto a fabrica do poema ",49,"Cm","D#","adriana calcanhotto"
"38",3," adriana calcanhotto a fabrica do poema ",49,"Fm","D#","adriana calcanhotto"
"39",3," adriana calcanhotto a fabrica do poema ",49,"Cm","D#","adriana calcanhotto"
"40",3," adriana calcanhotto a fabrica do poema ",49,"Fm","D#","adriana calcanhotto"
