"date","music","popul","chord","key","artist"
"1",11," adoniran barbosa abrigo de vagabundos ",NA,"Em","D","adoniran barbosa"
"2",11," adoniran barbosa abrigo de vagabundos ",NA,"Bm","D","adoniran barbosa"
"3",11," adoniran barbosa abrigo de vagabundos ",NA,"Em","D","adoniran barbosa"
"4",11," adoniran barbosa abrigo de vagabundos ",NA,"F#7","D","adoniran barbosa"
"5",11," adoniran barbosa abrigo de vagabundos ",NA,"Bm","D","adoniran barbosa"
"6",11," adoniran barbosa abrigo de vagabundos ",NA,"F#7","D","adoniran barbosa"
"7",11," adoniran barbosa abrigo de vagabundos ",NA,"Bm","D","adoniran barbosa"
"8",11," adoniran barbosa abrigo de vagabundos ",NA,"F#7","D","adoniran barbosa"
"9",11," adoniran barbosa abrigo de vagabundos ",NA,"Bm","D","adoniran barbosa"
"10",11," adoniran barbosa abrigo de vagabundos ",NA,"F#7","D","adoniran barbosa"
"11",11," adoniran barbosa abrigo de vagabundos ",NA,"Bm","D","adoniran barbosa"
"12",11," adoniran barbosa abrigo de vagabundos ",NA,"G","D","adoniran barbosa"
"13",11," adoniran barbosa abrigo de vagabundos ",NA,"F#7","D","adoniran barbosa"
"14",11," adoniran barbosa abrigo de vagabundos ",NA,"C#m5-/7","D","adoniran barbosa"
"15",11," adoniran barbosa abrigo de vagabundos ",NA,"F#7","D","adoniran barbosa"
"16",11," adoniran barbosa abrigo de vagabundos ",NA,"C#m5-/7","D","adoniran barbosa"
"17",11," adoniran barbosa abrigo de vagabundos ",NA,"F#7","D","adoniran barbosa"
"18",11," adoniran barbosa abrigo de vagabundos ",NA,"Em","D","adoniran barbosa"
"19",11," adoniran barbosa abrigo de vagabundos ",NA,"F#7","D","adoniran barbosa"
"20",11," adoniran barbosa abrigo de vagabundos ",NA,"Bm","D","adoniran barbosa"
"21",11," adoniran barbosa abrigo de vagabundos ",NA,"F#7","D","adoniran barbosa"
"22",11," adoniran barbosa abrigo de vagabundos ",NA,"Bm","D","adoniran barbosa"
"23",11," adoniran barbosa abrigo de vagabundos ",NA,"Em","D","adoniran barbosa"
"24",11," adoniran barbosa abrigo de vagabundos ",NA,"Bm","D","adoniran barbosa"
"25",11," adoniran barbosa abrigo de vagabundos ",NA,"B7","D","adoniran barbosa"
"26",11," adoniran barbosa abrigo de vagabundos ",NA,"F#m5-/7","D","adoniran barbosa"
"27",11," adoniran barbosa abrigo de vagabundos ",NA,"B7","D","adoniran barbosa"
"28",11," adoniran barbosa abrigo de vagabundos ",NA,"Em","D","adoniran barbosa"
"29",11," adoniran barbosa abrigo de vagabundos ",NA,"Bm","D","adoniran barbosa"
"30",11," adoniran barbosa abrigo de vagabundos ",NA,"F#7","D","adoniran barbosa"
"31",11," adoniran barbosa abrigo de vagabundos ",NA,"Bm","D","adoniran barbosa"
"32",11," adoniran barbosa abrigo de vagabundos ",NA,"F#7","D","adoniran barbosa"
"33",11," adoniran barbosa abrigo de vagabundos ",NA,"Bm","D","adoniran barbosa"
"34",11," adoniran barbosa abrigo de vagabundos ",NA,"F#7","D","adoniran barbosa"
"35",11," adoniran barbosa abrigo de vagabundos ",NA,"Em","D","adoniran barbosa"
"36",11," adoniran barbosa abrigo de vagabundos ",NA,"Bm","D","adoniran barbosa"
"37",11," adoniran barbosa abrigo de vagabundos ",NA,"F#7","D","adoniran barbosa"
"38",11," adoniran barbosa abrigo de vagabundos ",NA,"Em","D","adoniran barbosa"
"39",11," adoniran barbosa abrigo de vagabundos ",NA,"Bm","D","adoniran barbosa"
"40",11," adoniran barbosa abrigo de vagabundos ",NA,"F#7","D","adoniran barbosa"
"41",11," adoniran barbosa abrigo de vagabundos ",NA,"Bm","D","adoniran barbosa"
"42",11," adoniran barbosa abrigo de vagabundos ",NA,"B7","D","adoniran barbosa"
"43",11," adoniran barbosa abrigo de vagabundos ",NA,"Em","D","adoniran barbosa"
"44",11," adoniran barbosa abrigo de vagabundos ",NA,"Bm","D","adoniran barbosa"
"45",11," adoniran barbosa abrigo de vagabundos ",NA,"F#7","D","adoniran barbosa"
"46",11," adoniran barbosa abrigo de vagabundos ",NA,"Bm","D","adoniran barbosa"
"47",11," adoniran barbosa abrigo de vagabundos ",NA,"B7","D","adoniran barbosa"
"48",11," adoniran barbosa abrigo de vagabundos ",NA,"Em","D","adoniran barbosa"
"49",11," adoniran barbosa abrigo de vagabundos ",NA,"Bm","D","adoniran barbosa"
"50",11," adoniran barbosa abrigo de vagabundos ",NA,"F#7","D","adoniran barbosa"
"51",11," adoniran barbosa abrigo de vagabundos ",NA,"Bm","D","adoniran barbosa"
"52",2," adoniran barbosa aguenta mao joao ",30,"D","D","adoniran barbosa"
"53",2," adoniran barbosa aguenta mao joao ",30,"G","D","adoniran barbosa"
"54",2," adoniran barbosa aguenta mao joao ",30,"C","D","adoniran barbosa"
"55",2," adoniran barbosa aguenta mao joao ",30,"A","D","adoniran barbosa"
"56",2," adoniran barbosa aguenta mao joao ",30,"C","D","adoniran barbosa"
"57",2," adoniran barbosa aguenta mao joao ",30,"F","D","adoniran barbosa"
"58",2," adoniran barbosa aguenta mao joao ",30,"D","D","adoniran barbosa"
"59",2," adoniran barbosa aguenta mao joao ",30,"Bm","D","adoniran barbosa"
"60",2," adoniran barbosa aguenta mao joao ",30,"A","D","adoniran barbosa"
"61",2," adoniran barbosa aguenta mao joao ",30,"D","D","adoniran barbosa"
"62",2," adoniran barbosa aguenta mao joao ",30,"D","D","adoniran barbosa"
"63",2," adoniran barbosa aguenta mao joao ",30,"G","D","adoniran barbosa"
"64",2," adoniran barbosa aguenta mao joao ",30,"C","D","adoniran barbosa"
"65",2," adoniran barbosa aguenta mao joao ",30,"A","D","adoniran barbosa"
"66",2," adoniran barbosa aguenta mao joao ",30,"C","D","adoniran barbosa"
"67",2," adoniran barbosa aguenta mao joao ",30,"F","D","adoniran barbosa"
"68",2," adoniran barbosa aguenta mao joao ",30,"D","D","adoniran barbosa"
"69",2," adoniran barbosa aguenta mao joao ",30,"Bm","D","adoniran barbosa"
"70",2," adoniran barbosa aguenta mao joao ",30,"A","D","adoniran barbosa"
"71",2," adoniran barbosa aguenta mao joao ",30,"D","D","adoniran barbosa"
"72",9," adoniran barbosa apaga fogo mane ",25,"Dm","F","adoniran barbosa"
"73",9," adoniran barbosa apaga fogo mane ",25,"D7","F","adoniran barbosa"
"74",9," adoniran barbosa apaga fogo mane ",25,"Gm","F","adoniran barbosa"
"75",9," adoniran barbosa apaga fogo mane ",25,"A7","F","adoniran barbosa"
"76",9," adoniran barbosa apaga fogo mane ",25,"Dm","F","adoniran barbosa"
"77",9," adoniran barbosa apaga fogo mane ",25,"A7","F","adoniran barbosa"
"78",9," adoniran barbosa apaga fogo mane ",25,"Dm","F","adoniran barbosa"
"79",9," adoniran barbosa apaga fogo mane ",25,"D7","F","adoniran barbosa"
"80",9," adoniran barbosa apaga fogo mane ",25,"Gm","F","adoniran barbosa"
"81",9," adoniran barbosa apaga fogo mane ",25,"C7","F","adoniran barbosa"
"82",9," adoniran barbosa apaga fogo mane ",25,"F","F","adoniran barbosa"
"83",9," adoniran barbosa apaga fogo mane ",25,"A7","F","adoniran barbosa"
"84",9," adoniran barbosa apaga fogo mane ",25,"Dm","F","adoniran barbosa"
"85",9," adoniran barbosa apaga fogo mane ",25,"D7","F","adoniran barbosa"
"86",9," adoniran barbosa apaga fogo mane ",25,"Gm","F","adoniran barbosa"
"87",9," adoniran barbosa apaga fogo mane ",25,"Dm","F","adoniran barbosa"
"88",9," adoniran barbosa apaga fogo mane ",25,"A7","F","adoniran barbosa"
"89",9," adoniran barbosa apaga fogo mane ",25,"Dm","F","adoniran barbosa"
"90",9," adoniran barbosa apaga fogo mane ",25,"Gm","F","adoniran barbosa"
"91",9," adoniran barbosa apaga fogo mane ",25,"A7","F","adoniran barbosa"
"92",9," adoniran barbosa apaga fogo mane ",25,"Dm","F","adoniran barbosa"
"93",9," adoniran barbosa apaga fogo mane ",25,"D7","F","adoniran barbosa"
"94",9," adoniran barbosa apaga fogo mane ",25,"Gm","F","adoniran barbosa"
"95",9," adoniran barbosa apaga fogo mane ",25,"C7","F","adoniran barbosa"
"96",9," adoniran barbosa apaga fogo mane ",25,"F","F","adoniran barbosa"
"97",9," adoniran barbosa apaga fogo mane ",25,"A7","F","adoniran barbosa"
"98",9," adoniran barbosa apaga fogo mane ",25,"Dm","F","adoniran barbosa"
"99",9," adoniran barbosa apaga fogo mane ",25,"Gm","F","adoniran barbosa"
"100",9," adoniran barbosa apaga fogo mane ",25,"A7","F","adoniran barbosa"
"101",9," adoniran barbosa apaga fogo mane ",25,"Dm","F","adoniran barbosa"
