"date","music","popul","chord","key","artist"
"1",NA," alceu valenca 78 rotacoes ",NA,"Ebm","E","alceu valenca"
"2",NA," alceu valenca 78 rotacoes ",NA,"Ebm","E","alceu valenca"
"3",NA," alceu valenca 78 rotacoes ",NA,"B","E","alceu valenca"
"4",NA," alceu valenca 78 rotacoes ",NA,"Ebm","E","alceu valenca"
"5",NA," alceu valenca 78 rotacoes ",NA,"C#","E","alceu valenca"
"6",NA," alceu valenca 78 rotacoes ",NA,"G#","E","alceu valenca"
"7",NA," alceu valenca 78 rotacoes ",NA,"Gm","E","alceu valenca"
"8",NA," alceu valenca 78 rotacoes ",NA,"B","E","alceu valenca"
"9",NA," alceu valenca 78 rotacoes ",NA,"C#","E","alceu valenca"
"10",NA," alceu valenca 78 rotacoes ",NA,"B","E","alceu valenca"
"11",NA," alceu valenca 78 rotacoes ",NA,"Bb","E","alceu valenca"
"12",NA," alceu valenca 78 rotacoes ",NA,"C#m","E","alceu valenca"
"13",NA," alceu valenca 78 rotacoes ",NA,"B","E","alceu valenca"
"14",NA," alceu valenca 78 rotacoes ",NA,"C#m","E","alceu valenca"
"15",NA," alceu valenca 78 rotacoes ",NA,"B","E","alceu valenca"
"16",NA," alceu valenca 78 rotacoes ",NA,"C#m","E","alceu valenca"
"17",NA," alceu valenca 78 rotacoes ",NA,"B","E","alceu valenca"
"18",NA," alceu valenca 78 rotacoes ",NA,"C#m","E","alceu valenca"
"19",NA," alceu valenca 78 rotacoes ",NA,"B","E","alceu valenca"
"20",NA," alceu valenca 78 rotacoes ",NA,"Ebm","E","alceu valenca"
"21",NA," alceu valenca 78 rotacoes ",NA,"Ebm","E","alceu valenca"
"22",NA," alceu valenca 78 rotacoes ",NA,"G#m","E","alceu valenca"
"23",NA," alceu valenca 78 rotacoes ",NA,"Ebm","E","alceu valenca"
"24",NA," alceu valenca 78 rotacoes ",NA,"C#m","E","alceu valenca"
"25",NA," alceu valenca 78 rotacoes ",NA,"Ebm","E","alceu valenca"
"26",NA," alceu valenca 78 rotacoes ",NA,"C#m","E","alceu valenca"
"27",NA," alceu valenca 78 rotacoes ",NA,"Ebm","E","alceu valenca"
"28",NA," alceu valenca 78 rotacoes ",NA,"C#m","E","alceu valenca"
"29",NA," alceu valenca 78 rotacoes ",NA,"Bb","E","alceu valenca"
"30",NA," alceu valenca 78 rotacoes ",NA,"Ebm","E","alceu valenca"
"31",NA," alceu valenca 78 rotacoes ",NA,"G#","E","alceu valenca"
"32",NA," alceu valenca a cantiga do sapo ",NA,"G","G","alceu valenca"
"33",NA," alceu valenca a cantiga do sapo ",NA,"C","G","alceu valenca"
"34",NA," alceu valenca a cantiga do sapo ",NA,"G","G","alceu valenca"
"35",NA," alceu valenca a cantiga do sapo ",NA,"C","G","alceu valenca"
"36",NA," alceu valenca a cantiga do sapo ",NA,"G","G","alceu valenca"
"37",NA," alceu valenca a cantiga do sapo ",NA,"C","G","alceu valenca"
"38",NA," alceu valenca a cantiga do sapo ",NA,"G","G","alceu valenca"
"39",NA," alceu valenca a cantiga do sapo ",NA,"C","G","alceu valenca"
"40",NA," alceu valenca a cantiga do sapo ",NA,"G","G","alceu valenca"
"41",NA," alceu valenca a cantiga do sapo ",NA,"C","G","alceu valenca"
"42",NA," alceu valenca a cantiga do sapo ",NA,"G","G","alceu valenca"
"43",NA," alceu valenca a cantiga do sapo ",NA,"G","G","alceu valenca"
"44",NA," alceu valenca a cantiga do sapo ",NA,"C","G","alceu valenca"
"45",NA," alceu valenca a cantiga do sapo ",NA,"G","G","alceu valenca"
"46",NA," alceu valenca a cantiga do sapo ",NA,"C","G","alceu valenca"
"47",NA," alceu valenca a cantiga do sapo ",NA,"G","G","alceu valenca"
"48",NA," alceu valenca a cantiga do sapo ",NA,"C","G","alceu valenca"
"49",NA," alceu valenca a cantiga do sapo ",NA,"G","G","alceu valenca"
"50",NA," alceu valenca a cantiga do sapo ",NA,"D7","G","alceu valenca"
"51",NA," alceu valenca a cantiga do sapo ",NA,"G","G","alceu valenca"
"52",28," alceu valenca admiravel gado novo ",16,"E","E","alceu valenca"
"53",28," alceu valenca admiravel gado novo ",16,"E5+","E","alceu valenca"
"54",28," alceu valenca admiravel gado novo ",16,"A7+","E","alceu valenca"
"55",28," alceu valenca admiravel gado novo ",16,"E5+","E","alceu valenca"
"56",28," alceu valenca admiravel gado novo ",16,"E","E","alceu valenca"
"57",28," alceu valenca admiravel gado novo ",16,"E5+","E","alceu valenca"
"58",28," alceu valenca admiravel gado novo ",16,"A7+","E","alceu valenca"
"59",28," alceu valenca admiravel gado novo ",16,"E5+","E","alceu valenca"
"60",28," alceu valenca admiravel gado novo ",16,"E","E","alceu valenca"
"61",28," alceu valenca admiravel gado novo ",16,"E5+","E","alceu valenca"
"62",28," alceu valenca admiravel gado novo ",16,"A7+","E","alceu valenca"
"63",28," alceu valenca admiravel gado novo ",16,"E5+","E","alceu valenca"
"64",28," alceu valenca admiravel gado novo ",16,"E","E","alceu valenca"
"65",28," alceu valenca admiravel gado novo ",16,"E5+","E","alceu valenca"
"66",28," alceu valenca admiravel gado novo ",16,"A7+","E","alceu valenca"
"67",28," alceu valenca admiravel gado novo ",16,"E5+","E","alceu valenca"
"68",28," alceu valenca admiravel gado novo ",16,"F#m","E","alceu valenca"
"69",28," alceu valenca admiravel gado novo ",16,"G#","E","alceu valenca"
"70",28," alceu valenca admiravel gado novo ",16,"C#m","E","alceu valenca"
"71",28," alceu valenca admiravel gado novo ",16,"B7","E","alceu valenca"
"72",28," alceu valenca admiravel gado novo ",16,"F#m","E","alceu valenca"
"73",28," alceu valenca admiravel gado novo ",16,"G#","E","alceu valenca"
"74",28," alceu valenca admiravel gado novo ",16,"C#m","E","alceu valenca"
