"date","music","popul","chord","key","artist"
"1",NA," almir guineto a luta vai vai ",NA,"D7M","G","almir guineto"
"2",NA," almir guineto a luta vai vai ",NA,"Em7","G","almir guineto"
"3",NA," almir guineto a luta vai vai ",NA,"D7M/F#","G","almir guineto"
"4",NA," almir guineto a luta vai vai ",NA,"B7(b5)","G","almir guineto"
"5",NA," almir guineto a luta vai vai ",NA,"E7/G#","G","almir guineto"
"6",NA," almir guineto a luta vai vai ",NA,"Em7","G","almir guineto"
"7",NA," almir guineto a luta vai vai ",NA,"A7","G","almir guineto"
"8",NA," almir guineto a luta vai vai ",NA,"D7M","G","almir guineto"
"9",NA," almir guineto a luta vai vai ",NA,"Em7","G","almir guineto"
"10",NA," almir guineto a luta vai vai ",NA,"D7M/F#","G","almir guineto"
"11",NA," almir guineto a luta vai vai ",NA,"B7(#5)","G","almir guineto"
"12",NA," almir guineto a luta vai vai ",NA,"Em7","G","almir guineto"
"13",NA," almir guineto a luta vai vai ",NA,"C7","G","almir guineto"
"14",NA," almir guineto a luta vai vai ",NA,"B7","G","almir guineto"
"15",NA," almir guineto a luta vai vai ",NA,"Em7","G","almir guineto"
"16",NA," almir guineto a luta vai vai ",NA,"Em7/D","G","almir guineto"
"17",NA," almir guineto a luta vai vai ",NA,"A7/C#","G","almir guineto"
"18",NA," almir guineto a luta vai vai ",NA,"Fº","G","almir guineto"
"19",NA," almir guineto a luta vai vai ",NA,"F#m7","G","almir guineto"
"20",NA," almir guineto a luta vai vai ",NA,"A7","G","almir guineto"
"21",NA," almir guineto a luta vai vai ",NA,"D7M","G","almir guineto"
"22",NA," almir guineto a luta vai vai ",NA,"D6","G","almir guineto"
"23",NA," almir guineto a luta vai vai ",NA,"Am7","G","almir guineto"
"24",NA," almir guineto a luta vai vai ",NA,"D7/9","G","almir guineto"
"25",NA," almir guineto a luta vai vai ",NA,"G7M","G","almir guineto"
"26",NA," almir guineto a luta vai vai ",NA,"B7/9","G","almir guineto"
"27",NA," almir guineto a luta vai vai ",NA,"Em7","G","almir guineto"
"28",NA," almir guineto a luta vai vai ",NA,"Em7/D","G","almir guineto"
"29",NA," almir guineto a luta vai vai ",NA,"A7/C#","G","almir guineto"
"30",NA," almir guineto a luta vai vai ",NA,"A7/13","G","almir guineto"
"31",NA," almir guineto a luta vai vai ",NA,"D7M","G","almir guineto"
"32",NA," almir guineto a luta vai vai ",NA,"A7","G","almir guineto"
"33",NA," almir guineto a luta vai vai ",NA,"D7M","G","almir guineto"
"34",NA," almir guineto a luta vai vai ",NA,"B7","G","almir guineto"
"35",NA," almir guineto a luta vai vai ",NA,"Em7","G","almir guineto"
"36",NA," almir guineto a luta vai vai ",NA,"A7","G","almir guineto"
"37",NA," almir guineto a luta vai vai ",NA,"D7M","G","almir guineto"
"38",NA," almir guineto a luta vai vai ",NA,"A7","G","almir guineto"
"39",NA," almir guineto a luta vai vai ",NA,"Am7","G","almir guineto"
"40",NA," almir guineto a luta vai vai ",NA,"D7/9","G","almir guineto"
"41",NA," almir guineto a luta vai vai ",NA,"G7M","G","almir guineto"
"42",NA," almir guineto a luta vai vai ",NA,"B7","G","almir guineto"
"43",NA," almir guineto a luta vai vai ",NA,"Em7","G","almir guineto"
"44",NA," almir guineto a luta vai vai ",NA,"A7","G","almir guineto"
"45",NA," almir guineto a luta vai vai ",NA,"D7M","G","almir guineto"
"46",NA," almir guineto a luta vai vai ",NA,"A7","G","almir guineto"
