"date","music","popul","chord","key","artist"
"1",5," ana carolina 2 bicudos ",30,"Dm7","F","ana carolina"
"2",5," ana carolina 2 bicudos ",30,"A/C#","F","ana carolina"
"3",5," ana carolina 2 bicudos ",30,"Dm7","F","ana carolina"
"4",5," ana carolina 2 bicudos ",30,"A/C#","F","ana carolina"
"5",5," ana carolina 2 bicudos ",30,"Dm7","F","ana carolina"
"6",5," ana carolina 2 bicudos ",30,"A/C#","F","ana carolina"
"7",5," ana carolina 2 bicudos ",30,"Gm","F","ana carolina"
"8",5," ana carolina 2 bicudos ",30,"C7/9","F","ana carolina"
"9",5," ana carolina 2 bicudos ",30,"F","F","ana carolina"
"10",5," ana carolina 2 bicudos ",30,"Bb","F","ana carolina"
"11",5," ana carolina 2 bicudos ",30,"A7/4","F","ana carolina"
"12",5," ana carolina 2 bicudos ",30,"A7","F","ana carolina"
"13",5," ana carolina 2 bicudos ",30,"Dm7","F","ana carolina"
"14",5," ana carolina 2 bicudos ",30,"A/C#","F","ana carolina"
"15",5," ana carolina 2 bicudos ",30,"Dm7","F","ana carolina"
"16",5," ana carolina 2 bicudos ",30,"A/C#","F","ana carolina"
"17",5," ana carolina 2 bicudos ",30,"Gm","F","ana carolina"
"18",5," ana carolina 2 bicudos ",30,"C7/9","F","ana carolina"
"19",5," ana carolina 2 bicudos ",30,"F","F","ana carolina"
"20",5," ana carolina 2 bicudos ",30,"Bb","F","ana carolina"
"21",5," ana carolina 2 bicudos ",30,"A7/4","F","ana carolina"
"22",5," ana carolina 2 bicudos ",30,"A7","F","ana carolina"
"23",5," ana carolina 2 bicudos ",30,"Dm7","F","ana carolina"
"24",5," ana carolina 2 bicudos ",30,"Gm","F","ana carolina"
"25",5," ana carolina 2 bicudos ",30,"C7/9","F","ana carolina"
"26",5," ana carolina 2 bicudos ",30,"A7/4","F","ana carolina"
"27",5," ana carolina 2 bicudos ",30,"A7","F","ana carolina"
"28",5," ana carolina 2 bicudos ",30,"Gm","F","ana carolina"
"29",5," ana carolina 2 bicudos ",30,"C7/9","F","ana carolina"
"30",5," ana carolina 2 bicudos ",30,"F","F","ana carolina"
"31",5," ana carolina 2 bicudos ",30,"Bb","F","ana carolina"
"32",5," ana carolina 2 bicudos ",30,"Bm7/11","F","ana carolina"
"33",5," ana carolina 2 bicudos ",30,"Bb7/5-","F","ana carolina"
"34",5," ana carolina 2 bicudos ",30,"A7/4","F","ana carolina"
"35",5," ana carolina 2 bicudos ",30,"A7","F","ana carolina"
"36",5," ana carolina 2 bicudos ",30,"Dm7","F","ana carolina"
"37",5," ana carolina 2 bicudos ",30,"A/C#","F","ana carolina"
"38",5," ana carolina 2 bicudos ",30,"Dm7","F","ana carolina"
"39",5," ana carolina 2 bicudos ",30,"A/C#","F","ana carolina"
