"date","music","popul","chord","key","artist"
"1",6," arlindo cruz a festa da massa ",24,"E","A","arlindo cruz"
"2",6," arlindo cruz a festa da massa ",24,"B7","A","arlindo cruz"
"3",6," arlindo cruz a festa da massa ",24,"E","A","arlindo cruz"
"4",6," arlindo cruz a festa da massa ",24,"G#7","A","arlindo cruz"
"5",6," arlindo cruz a festa da massa ",24,"C#m","A","arlindo cruz"
"6",6," arlindo cruz a festa da massa ",24,"Bm","A","arlindo cruz"
"7",6," arlindo cruz a festa da massa ",24,"E7","A","arlindo cruz"
"8",6," arlindo cruz a festa da massa ",24,"A","A","arlindo cruz"
"9",6," arlindo cruz a festa da massa ",24,"G#7","A","arlindo cruz"
"10",6," arlindo cruz a festa da massa ",24,"C#m","A","arlindo cruz"
"11",6," arlindo cruz a festa da massa ",24,"F#7","A","arlindo cruz"
"12",6," arlindo cruz a festa da massa ",24,"F#m7","A","arlindo cruz"
"13",6," arlindo cruz a festa da massa ",24,"B7","A","arlindo cruz"
"14",6," arlindo cruz a festa da massa ",24,"E","A","arlindo cruz"
"15",6," arlindo cruz a festa da massa ",24,"G#7","A","arlindo cruz"
"16",6," arlindo cruz a festa da massa ",24,"C#m","A","arlindo cruz"
"17",6," arlindo cruz a festa da massa ",24,"Bm","A","arlindo cruz"
"18",6," arlindo cruz a festa da massa ",24,"E7","A","arlindo cruz"
"19",6," arlindo cruz a festa da massa ",24,"A","A","arlindo cruz"
"20",6," arlindo cruz a festa da massa ",24,"F#7","A","arlindo cruz"
"21",6," arlindo cruz a festa da massa ",24,"E","A","arlindo cruz"
"22",6," arlindo cruz a festa da massa ",24,"C#7","A","arlindo cruz"
"23",6," arlindo cruz a festa da massa ",24,"F#7","A","arlindo cruz"
"24",6," arlindo cruz a festa da massa ",24,"B7","A","arlindo cruz"
"25",6," arlindo cruz a festa da massa ",24,"E","A","arlindo cruz"
"26",6," arlindo cruz a festa da massa ",24,"G#7","A","arlindo cruz"
"27",6," arlindo cruz a festa da massa ",24,"C#m","A","arlindo cruz"
"28",6," arlindo cruz a festa da massa ",24,"Bm","A","arlindo cruz"
"29",6," arlindo cruz a festa da massa ",24,"E7","A","arlindo cruz"
"30",6," arlindo cruz a festa da massa ",24,"A","A","arlindo cruz"
"31",6," arlindo cruz a festa da massa ",24,"F#7","A","arlindo cruz"
"32",6," arlindo cruz a festa da massa ",24,"E","A","arlindo cruz"
"33",6," arlindo cruz a festa da massa ",24,"C#7","A","arlindo cruz"
"34",6," arlindo cruz a festa da massa ",24,"F#7","A","arlindo cruz"
"35",6," arlindo cruz a festa da massa ",24,"B7","A","arlindo cruz"
"36",NA," arlindo cruz a minha vida hoje virou verso ",NA,"C7","G","arlindo cruz"
"37",NA," arlindo cruz a minha vida hoje virou verso ",NA,"F6","G","arlindo cruz"
"38",NA," arlindo cruz a minha vida hoje virou verso ",NA,"F#º","G","arlindo cruz"
"39",NA," arlindo cruz a minha vida hoje virou verso ",NA,"G7","G","arlindo cruz"
"40",NA," arlindo cruz a minha vida hoje virou verso ",NA,"Gm7","G","arlindo cruz"
"41",NA," arlindo cruz a minha vida hoje virou verso ",NA,"C7(b9)","G","arlindo cruz"
"42",NA," arlindo cruz a minha vida hoje virou verso ",NA,"Am7","G","arlindo cruz"
"43",NA," arlindo cruz a minha vida hoje virou verso ",NA,"D7(9)","G","arlindo cruz"
"44",NA," arlindo cruz a minha vida hoje virou verso ",NA,"Gm7","G","arlindo cruz"
"45",NA," arlindo cruz a minha vida hoje virou verso ",NA,"C4/7(9)","G","arlindo cruz"
