"date" "music" "popul" "chord" "key" "artist"
"1" "2003-05-09" " arlindo cruz a festa da massa " 24 "E" "A" "arlindo cruz"
"2" "2003-05-09" " arlindo cruz a festa da massa " 24 "B7" "A" "arlindo cruz"
"3" "2003-05-09" " arlindo cruz a festa da massa " 24 "E" "A" "arlindo cruz"
"4" "2003-05-09" " arlindo cruz a festa da massa " 24 "G#7" "A" "arlindo cruz"
"5" "2003-05-09" " arlindo cruz a festa da massa " 24 "C#m" "A" "arlindo cruz"
"6" "2003-05-09" " arlindo cruz a festa da massa " 24 "Bm" "A" "arlindo cruz"
"7" "2003-05-09" " arlindo cruz a festa da massa " 24 "E7" "A" "arlindo cruz"
"8" "2003-05-09" " arlindo cruz a festa da massa " 24 "A" "A" "arlindo cruz"
"9" "2003-05-09" " arlindo cruz a festa da massa " 24 "G#7" "A" "arlindo cruz"
"10" "2003-05-09" " arlindo cruz a festa da massa " 24 "C#m" "A" "arlindo cruz"
"11" "2003-05-09" " arlindo cruz a festa da massa " 24 "F#7" "A" "arlindo cruz"
"12" "2003-05-09" " arlindo cruz a festa da massa " 24 "F#m7" "A" "arlindo cruz"
"13" "2003-05-09" " arlindo cruz a festa da massa " 24 "B7" "A" "arlindo cruz"
"14" "2003-05-09" " arlindo cruz a festa da massa " 24 "E" "A" "arlindo cruz"
"15" "2003-05-09" " arlindo cruz a festa da massa " 24 "G#7" "A" "arlindo cruz"
"16" "2003-05-09" " arlindo cruz a festa da massa " 24 "C#m" "A" "arlindo cruz"
"17" "2003-05-09" " arlindo cruz a festa da massa " 24 "Bm" "A" "arlindo cruz"
"18" "2003-05-09" " arlindo cruz a festa da massa " 24 "E7" "A" "arlindo cruz"
"19" "2003-05-09" " arlindo cruz a festa da massa " 24 "A" "A" "arlindo cruz"
"20" "2003-05-09" " arlindo cruz a festa da massa " 24 "F#7" "A" "arlindo cruz"
"21" "2003-05-09" " arlindo cruz a festa da massa " 24 "E" "A" "arlindo cruz"
"22" "2003-05-09" " arlindo cruz a festa da massa " 24 "C#7" "A" "arlindo cruz"
"23" "2003-05-09" " arlindo cruz a festa da massa " 24 "F#7" "A" "arlindo cruz"
"24" "2003-05-09" " arlindo cruz a festa da massa " 24 "B7" "A" "arlindo cruz"
"25" "2003-05-09" " arlindo cruz a festa da massa " 24 "E" "A" "arlindo cruz"
"26" "2003-05-09" " arlindo cruz a festa da massa " 24 "G#7" "A" "arlindo cruz"
"27" "2003-05-09" " arlindo cruz a festa da massa " 24 "C#m" "A" "arlindo cruz"
"28" "2003-05-09" " arlindo cruz a festa da massa " 24 "Bm" "A" "arlindo cruz"
"29" "2003-05-09" " arlindo cruz a festa da massa " 24 "E7" "A" "arlindo cruz"
"30" "2003-05-09" " arlindo cruz a festa da massa " 24 "A" "A" "arlindo cruz"
"31" "2003-05-09" " arlindo cruz a festa da massa " 24 "F#7" "A" "arlindo cruz"
"32" "2003-05-09" " arlindo cruz a festa da massa " 24 "E" "A" "arlindo cruz"
"33" "2003-05-09" " arlindo cruz a festa da massa " 24 "C#7" "A" "arlindo cruz"
"34" "2003-05-09" " arlindo cruz a festa da massa " 24 "F#7" "A" "arlindo cruz"
"35" "2003-05-09" " arlindo cruz a festa da massa " 24 "B7" "A" "arlindo cruz"
"36" NA " arlindo cruz a minha vida hoje virou verso " NA "C7" "G" "arlindo cruz"
"37" NA " arlindo cruz a minha vida hoje virou verso " NA "F6" "G" "arlindo cruz"
"38" NA " arlindo cruz a minha vida hoje virou verso " NA "F#º" "G" "arlindo cruz"
"39" NA " arlindo cruz a minha vida hoje virou verso " NA "G7" "G" "arlindo cruz"
"40" NA " arlindo cruz a minha vida hoje virou verso " NA "Gm7" "G" "arlindo cruz"
"41" NA " arlindo cruz a minha vida hoje virou verso " NA "C7(b9)" "G" "arlindo cruz"
"42" NA " arlindo cruz a minha vida hoje virou verso " NA "Am7" "G" "arlindo cruz"
"43" NA " arlindo cruz a minha vida hoje virou verso " NA "D7(9)" "G" "arlindo cruz"
"44" NA " arlindo cruz a minha vida hoje virou verso " NA "Gm7" "G" "arlindo cruz"
"45" NA " arlindo cruz a minha vida hoje virou verso " NA "C4/7(9)" "G" "arlindo cruz"
"46" NA " arlindo cruz a minha vida hoje virou verso " NA "C7(b9)" "G" "arlindo cruz"
"47" NA " arlindo cruz a minha vida hoje virou verso " NA "F7M" "G" "arlindo cruz"
"48" NA " arlindo cruz a minha vida hoje virou verso " NA "C7" "G" "arlindo cruz"
"49" NA " arlindo cruz a minha vida hoje virou verso " NA "F6" "G" "arlindo cruz"
"50" NA " arlindo cruz a minha vida hoje virou verso " NA "F#º" "G" "arlindo cruz"
"51" NA " arlindo cruz a minha vida hoje virou verso " NA "G7" "G" "arlindo cruz"
"52" NA " arlindo cruz a minha vida hoje virou verso " NA "Gm7" "G" "arlindo cruz"
"53" NA " arlindo cruz a minha vida hoje virou verso " NA "C7(b9)" "G" "arlindo cruz"
"54" NA " arlindo cruz a minha vida hoje virou verso " NA "Am7" "G" "arlindo cruz"
"55" NA " arlindo cruz a minha vida hoje virou verso " NA "D7(9)" "G" "arlindo cruz"
"56" NA " arlindo cruz a minha vida hoje virou verso " NA "Gm7" "G" "arlindo cruz"
"57" NA " arlindo cruz a minha vida hoje virou verso " NA "C4/7(9)" "G" "arlindo cruz"
"58" NA " arlindo cruz a minha vida hoje virou verso " NA "C7(b9)" "G" "arlindo cruz"
"59" NA " arlindo cruz a minha vida hoje virou verso " NA "F7M" "G" "arlindo cruz"
"60" NA " arlindo cruz a minha vida hoje virou verso " NA "C7" "G" "arlindo cruz"
"61" NA " arlindo cruz a minha vida hoje virou verso " NA "F6" "G" "arlindo cruz"
"62" NA " arlindo cruz a minha vida hoje virou verso " NA "G7" "G" "arlindo cruz"
"63" NA " arlindo cruz a minha vida hoje virou verso " NA "Gm7" "G" "arlindo cruz"
"64" NA " arlindo cruz a minha vida hoje virou verso " NA "C7(9)" "G" "arlindo cruz"
"65" NA " arlindo cruz a minha vida hoje virou verso " NA "F7M" "G" "arlindo cruz"
"66" "1998-01-01" " arlindo cruz agua benta " 14 "D7" "C" "arlindo cruz"
"67" "1998-01-01" " arlindo cruz agua benta " 14 "Gm6" "C" "arlindo cruz"
"68" "1998-01-01" " arlindo cruz agua benta " 14 "C7/5+" "C" "arlindo cruz"
"69" "1998-01-01" " arlindo cruz agua benta " 14 "F7+" "C" "arlindo cruz"
"70" "1998-01-01" " arlindo cruz agua benta " 14 "D7" "C" "arlindo cruz"
"71" "1998-01-01" " arlindo cruz agua benta " 14 "Gm6" "C" "arlindo cruz"
"72" "1998-01-01" " arlindo cruz agua benta " 14 "C7/5+" "C" "arlindo cruz"
"73" "1998-01-01" " arlindo cruz agua benta " 14 "F7+" "C" "arlindo cruz"
"74" "1998-01-01" " arlindo cruz agua benta " 14 "D7" "C" "arlindo cruz"
"75" "1998-01-01" " arlindo cruz agua benta " 14 "Gm6" "C" "arlindo cruz"
"76" "1998-01-01" " arlindo cruz agua benta " 14 "C7/5+" "C" "arlindo cruz"
"77" "1998-01-01" " arlindo cruz agua benta " 14 "F7+" "C" "arlindo cruz"
"78" "1998-01-01" " arlindo cruz agua benta " 14 "D7" "C" "arlindo cruz"
"79" "1998-01-01" " arlindo cruz agua benta " 14 "Gm6" "C" "arlindo cruz"
"80" "1998-01-01" " arlindo cruz agua benta " 14 "C7/5+" "C" "arlindo cruz"
"81" "1998-01-01" " arlindo cruz agua benta " 14 "F7+" "C" "arlindo cruz"
"82" "1998-01-01" " arlindo cruz agua benta " 14 "F7" "C" "arlindo cruz"
"83" "1998-01-01" " arlindo cruz agua benta " 14 "Cm7" "C" "arlindo cruz"
"84" "1998-01-01" " arlindo cruz agua benta " 14 "D7" "C" "arlindo cruz"
"85" "1998-01-01" " arlindo cruz agua benta " 14 "Gm6" "C" "arlindo cruz"
"86" "1998-01-01" " arlindo cruz agua benta " 14 "C7/5+" "C" "arlindo cruz"
"87" "1998-01-01" " arlindo cruz agua benta " 14 "F7+" "C" "arlindo cruz"
"88" "1998-01-01" " arlindo cruz agua benta " 14 "D7+" "C" "arlindo cruz"
"89" "1998-01-01" " arlindo cruz agua benta " 14 "Gm6" "C" "arlindo cruz"
"90" "1998-01-01" " arlindo cruz agua benta " 14 "C7/5+" "C" "arlindo cruz"
"91" "1998-01-01" " arlindo cruz agua benta " 14 "F7+" "C" "arlindo cruz"
