"date","music","popul","chord","key","artist"
"1",5," benito di paula a vida dura ",10,"C","C","benito di paula"
"2",5," benito di paula a vida dura ",10,"F","C","benito di paula"
"3",5," benito di paula a vida dura ",10,"Fm","C","benito di paula"
"4",5," benito di paula a vida dura ",10,"Em","C","benito di paula"
"5",5," benito di paula a vida dura ",10,"Am","C","benito di paula"
"6",5," benito di paula a vida dura ",10,"Dm","C","benito di paula"
"7",5," benito di paula a vida dura ",10,"G7","C","benito di paula"
"8",5," benito di paula a vida dura ",10,"C","C","benito di paula"
"9",5," benito di paula a vida dura ",10,"C7","C","benito di paula"
"10",5," benito di paula a vida dura ",10,"F","C","benito di paula"
"11",5," benito di paula a vida dura ",10,"Fm","C","benito di paula"
"12",5," benito di paula a vida dura ",10,"Em","C","benito di paula"
"13",5," benito di paula a vida dura ",10,"Am","C","benito di paula"
"14",5," benito di paula a vida dura ",10,"Dm","C","benito di paula"
"15",5," benito di paula a vida dura ",10,"G7","C","benito di paula"
"16",5," benito di paula a vida dura ",10,"C","C","benito di paula"
"17",5," benito di paula a vida dura ",10,"G7","C","benito di paula"
"18",5," benito di paula a vida dura ",10,"C","C","benito di paula"
"19",5," benito di paula a vida dura ",10,"A7","C","benito di paula"
"20",5," benito di paula a vida dura ",10,"Dm","C","benito di paula"
"21",5," benito di paula a vida dura ",10,"G","C","benito di paula"
"22",5," benito di paula a vida dura ",10,"F","C","benito di paula"
"23",5," benito di paula a vida dura ",10,"G7","C","benito di paula"
"24",5," benito di paula a vida dura ",10,"C","C","benito di paula"
"25",5," benito di paula a vida dura ",10,"C7","C","benito di paula"
"26",5," benito di paula a vida dura ",10,"F","C","benito di paula"
"27",5," benito di paula a vida dura ",10,"Fm","C","benito di paula"
"28",5," benito di paula a vida dura ",10,"Em","C","benito di paula"
"29",5," benito di paula a vida dura ",10,"Am","C","benito di paula"
"30",5," benito di paula a vida dura ",10,"Dm","C","benito di paula"
"31",5," benito di paula a vida dura ",10,"G7","C","benito di paula"
"32",5," benito di paula a vida dura ",10,"C","C","benito di paula"
"33",5," benito di paula a vida dura ",10,"Bm7/5-","C","benito di paula"
"34",5," benito di paula a vida dura ",10,"E7","C","benito di paula"
"35",5," benito di paula a vida dura ",10,"Am","C","benito di paula"
"36",5," benito di paula a vida dura ",10,"A7","C","benito di paula"
"37",5," benito di paula a vida dura ",10,"Dm","C","benito di paula"
"38",5," benito di paula a vida dura ",10,"G7","C","benito di paula"
"39",5," benito di paula a vida dura ",10,"C","C","benito di paula"
"40",5," benito di paula a vida dura ",10,"Bm7/5-","C","benito di paula"
"41",5," benito di paula a vida dura ",10,"E7","C","benito di paula"
"42",5," benito di paula a vida dura ",10,"Am","C","benito di paula"
"43",5," benito di paula a vida dura ",10,"A7","C","benito di paula"
"44",5," benito di paula a vida dura ",10,"Dm","C","benito di paula"
"45",5," benito di paula a vida dura ",10,"G7","C","benito di paula"
"46",5," benito di paula a vida dura ",10,"C","C","benito di paula"
"47",5," benito di paula a vida dura ",10,"C7","C","benito di paula"
"48",8," benito di paula ah como eu amei ",45,"Bb","A#","benito di paula"
"49",8," benito di paula ah como eu amei ",45,"Bb5+","A#","benito di paula"
"50",8," benito di paula ah como eu amei ",45,"Bb6","A#","benito di paula"
"51",8," benito di paula ah como eu amei ",45,"Bb7/4","A#","benito di paula"
"52",8," benito di paula ah como eu amei ",45,"Bb7","A#","benito di paula"
"53",8," benito di paula ah como eu amei ",45,"Eb7+","A#","benito di paula"
"54",8," benito di paula ah como eu amei ",45,"Bb/Eb","A#","benito di paula"
