"date","music","popul","chord","key","artist"
"1",11," beth carvalho 1800 colinas ",28,"E","E","beth carvalho"
"2",11," beth carvalho 1800 colinas ",28,"C#7","E","beth carvalho"
"3",11," beth carvalho 1800 colinas ",28,"F#m","E","beth carvalho"
"4",11," beth carvalho 1800 colinas ",28,"B7","E","beth carvalho"
"5",11," beth carvalho 1800 colinas ",28,"F#m","E","beth carvalho"
"6",11," beth carvalho 1800 colinas ",28,"B7","E","beth carvalho"
"7",11," beth carvalho 1800 colinas ",28,"E","E","beth carvalho"
"8",11," beth carvalho 1800 colinas ",28,"B7","E","beth carvalho"
"9",11," beth carvalho 1800 colinas ",28,"E","E","beth carvalho"
"10",11," beth carvalho 1800 colinas ",28,"C#7","E","beth carvalho"
"11",11," beth carvalho 1800 colinas ",28,"F#m","E","beth carvalho"
"12",11," beth carvalho 1800 colinas ",28,"B7","E","beth carvalho"
"13",11," beth carvalho 1800 colinas ",28,"E","E","beth carvalho"
"14",11," beth carvalho 1800 colinas ",28,"F#m","E","beth carvalho"
"15",11," beth carvalho 1800 colinas ",28,"B7","E","beth carvalho"
"16",11," beth carvalho 1800 colinas ",28,"E","E","beth carvalho"
"17",11," beth carvalho 1800 colinas ",28,"A","E","beth carvalho"
"18",11," beth carvalho 1800 colinas ",28,"G#7","E","beth carvalho"
"19",11," beth carvalho 1800 colinas ",28,"C#7","E","beth carvalho"
"20",11," beth carvalho 1800 colinas ",28,"F#m","E","beth carvalho"
"21",11," beth carvalho 1800 colinas ",28,"B7","E","beth carvalho"
"22",11," beth carvalho 1800 colinas ",28,"E","E","beth carvalho"
"23",11," beth carvalho 1800 colinas ",28,"C#7","E","beth carvalho"
"24",11," beth carvalho 1800 colinas ",28,"F#m","E","beth carvalho"
"25",11," beth carvalho 1800 colinas ",28,"B7","E","beth carvalho"
"26",11," beth carvalho 1800 colinas ",28,"E","E","beth carvalho"
"27",11," beth carvalho 1800 colinas ",28,"B7","E","beth carvalho"
"28",20," beth carvalho a chuva cai ",27,"D","D","beth carvalho"
"29",20," beth carvalho a chuva cai ",27,"Em","D","beth carvalho"
"30",20," beth carvalho a chuva cai ",27,"A7","D","beth carvalho"
"31",20," beth carvalho a chuva cai ",27,"D","D","beth carvalho"
"32",20," beth carvalho a chuva cai ",27,"B7","D","beth carvalho"
"33",20," beth carvalho a chuva cai ",27,"Em","D","beth carvalho"
"34",20," beth carvalho a chuva cai ",27,"A7","D","beth carvalho"
"35",20," beth carvalho a chuva cai ",27,"D","D","beth carvalho"
"36",20," beth carvalho a chuva cai ",27,"B7","D","beth carvalho"
"37",20," beth carvalho a chuva cai ",27,"Em","D","beth carvalho"
"38",20," beth carvalho a chuva cai ",27,"E7","D","beth carvalho"
"39",20," beth carvalho a chuva cai ",27,"A7","D","beth carvalho"
"40",20," beth carvalho a chuva cai ",27,"D","D","beth carvalho"
"41",20," beth carvalho a chuva cai ",27,"Em","D","beth carvalho"
"42",20," beth carvalho a chuva cai ",27,"A7","D","beth carvalho"
"43",20," beth carvalho a chuva cai ",27,"D","D","beth carvalho"
"44",20," beth carvalho a chuva cai ",27,"F#7","D","beth carvalho"
"45",20," beth carvalho a chuva cai ",27,"Bm","D","beth carvalho"
"46",20," beth carvalho a chuva cai ",27,"G","D","beth carvalho"
"47",20," beth carvalho a chuva cai ",27,"G#","D","beth carvalho"
"48",20," beth carvalho a chuva cai ",27,"D","D","beth carvalho"
