"date" "music" "popul" "chord" "key" "artist"
"1" "2001" " beth carvalho 1800 colinas " 29 "E" "E" "beth carvalho"
"2" "2001" " beth carvalho 1800 colinas " 29 "C#7" "E" "beth carvalho"
"3" "2001" " beth carvalho 1800 colinas " 29 "F#m" "E" "beth carvalho"
"4" "2001" " beth carvalho 1800 colinas " 29 "B7" "E" "beth carvalho"
"5" "2001" " beth carvalho 1800 colinas " 29 "F#m" "E" "beth carvalho"
"6" "2001" " beth carvalho 1800 colinas " 29 "B7" "E" "beth carvalho"
"7" "2001" " beth carvalho 1800 colinas " 29 "E" "E" "beth carvalho"
"8" "2001" " beth carvalho 1800 colinas " 29 "B7" "E" "beth carvalho"
"9" "2001" " beth carvalho 1800 colinas " 29 "E" "E" "beth carvalho"
"10" "2001" " beth carvalho 1800 colinas " 29 "C#7" "E" "beth carvalho"
"11" "2001" " beth carvalho 1800 colinas " 29 "F#m" "E" "beth carvalho"
"12" "2001" " beth carvalho 1800 colinas " 29 "B7" "E" "beth carvalho"
"13" "2001" " beth carvalho 1800 colinas " 29 "E" "E" "beth carvalho"
"14" "2001" " beth carvalho 1800 colinas " 29 "F#m" "E" "beth carvalho"
"15" "2001" " beth carvalho 1800 colinas " 29 "B7" "E" "beth carvalho"
"16" "2001" " beth carvalho 1800 colinas " 29 "E" "E" "beth carvalho"
"17" "2001" " beth carvalho 1800 colinas " 29 "A" "E" "beth carvalho"
"18" "2001" " beth carvalho 1800 colinas " 29 "G#7" "E" "beth carvalho"
"19" "2001" " beth carvalho 1800 colinas " 29 "C#7" "E" "beth carvalho"
"20" "2001" " beth carvalho 1800 colinas " 29 "F#m" "E" "beth carvalho"
"21" "2001" " beth carvalho 1800 colinas " 29 "B7" "E" "beth carvalho"
"22" "2001" " beth carvalho 1800 colinas " 29 "E" "E" "beth carvalho"
"23" "2001" " beth carvalho 1800 colinas " 29 "C#7" "E" "beth carvalho"
"24" "2001" " beth carvalho 1800 colinas " 29 "F#m" "E" "beth carvalho"
"25" "2001" " beth carvalho 1800 colinas " 29 "B7" "E" "beth carvalho"
"26" "2001" " beth carvalho 1800 colinas " 29 "E" "E" "beth carvalho"
"27" "2001" " beth carvalho 1800 colinas " 29 "B7" "E" "beth carvalho"
"28" "2005-08-08" " beth carvalho a chuva cai " 29 "D" "D" "beth carvalho"
"29" "2005-08-08" " beth carvalho a chuva cai " 29 "Em" "D" "beth carvalho"
"30" "2005-08-08" " beth carvalho a chuva cai " 29 "A7" "D" "beth carvalho"
"31" "2005-08-08" " beth carvalho a chuva cai " 29 "D" "D" "beth carvalho"
