"date","music","popul","chord","key","artist"
"1",6," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"2",6," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"3",6," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"4",6," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"5",6," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"6",6," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"7",6," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"8",6," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"9",6," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"10",6," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"11",6," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"12",6," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"13",6," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"14",6," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"15",6," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"16",6," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"17",6," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"18",6," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"19",6," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"20",6," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"21",6," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"22",6," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"23",6," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"24",6," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"25",6," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"26",6," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"27",6," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"28",6," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"29",6," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"30",6," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"31",6," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"32",6," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"33",6," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"34",6," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"35",6," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"36",6," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"37",6," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"38",6," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"39",6," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"40",6," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"41",6," bezerra da silva a semente ",47,"A","F","bezerra da silva"
