"date","music","popul","chord","key","artist"
"1",NA," bruno e marrone 100 casamento ",NA,"D","G","bruno e marrone"
"2",NA," bruno e marrone 100 casamento ",NA,"D7","G","bruno e marrone"
"3",NA," bruno e marrone 100 casamento ",NA,"G","G","bruno e marrone"
"4",NA," bruno e marrone 100 casamento ",NA,"D/F#","G","bruno e marrone"
"5",NA," bruno e marrone 100 casamento ",NA,"Em","G","bruno e marrone"
"6",NA," bruno e marrone 100 casamento ",NA,"D","G","bruno e marrone"
"7",NA," bruno e marrone 100 casamento ",NA,"A","G","bruno e marrone"
"8",NA," bruno e marrone 100 casamento ",NA,"D","G","bruno e marrone"
"9",NA," bruno e marrone 100 casamento ",NA,"G","G","bruno e marrone"
"10",NA," bruno e marrone 100 casamento ",NA,"D/F#","G","bruno e marrone"
"11",NA," bruno e marrone 100 casamento ",NA,"Em","G","bruno e marrone"
"12",NA," bruno e marrone 100 casamento ",NA,"D","G","bruno e marrone"
"13",NA," bruno e marrone 100 casamento ",NA,"D","G","bruno e marrone"
"14",NA," bruno e marrone 100 casamento ",NA,"D7","G","bruno e marrone"
"15",NA," bruno e marrone 100 casamento ",NA,"G","G","bruno e marrone"
"16",NA," bruno e marrone 100 casamento ",NA,"D/F#","G","bruno e marrone"
"17",NA," bruno e marrone 100 casamento ",NA,"Em","G","bruno e marrone"
"18",NA," bruno e marrone 100 casamento ",NA,"D","G","bruno e marrone"
"19",NA," bruno e marrone 100 casamento ",NA,"A","G","bruno e marrone"
"20",NA," bruno e marrone 100 casamento ",NA,"D","G","bruno e marrone"
"21",NA," bruno e marrone 100 casamento ",NA,"A","G","bruno e marrone"
"22",NA," bruno e marrone 100 casamento ",NA,"A7","G","bruno e marrone"
"23",NA," bruno e marrone 100 casamento ",NA,"D","G","bruno e marrone"
"24",NA," bruno e marrone 100 casamento ",NA,"D7","G","bruno e marrone"
"25",NA," bruno e marrone 100 casamento ",NA,"G","G","bruno e marrone"
"26",NA," bruno e marrone 100 casamento ",NA,"G#","G","bruno e marrone"
"27",NA," bruno e marrone 100 casamento ",NA,"A","G","bruno e marrone"
"28",NA," bruno e marrone 100 casamento ",NA,"D","G","bruno e marrone"
"29",NA," bruno e marrone 100 casamento ",NA,"G","G","bruno e marrone"
"30",NA," bruno e marrone 100 casamento ",NA,"D/F#","G","bruno e marrone"
"31",NA," bruno e marrone 100 casamento ",NA,"Em","G","bruno e marrone"
"32",NA," bruno e marrone 100 casamento ",NA,"D","G","bruno e marrone"
"33",NA," bruno e marrone 100 casamento ",NA,"A","G","bruno e marrone"
"34",NA," bruno e marrone 100 casamento ",NA,"A7","G","bruno e marrone"
"35",NA," bruno e marrone 100 casamento ",NA,"D","G","bruno e marrone"
"36",NA," bruno e marrone 100 casamento ",NA,"D7","G","bruno e marrone"
"37",NA," bruno e marrone 100 casamento ",NA,"G","G","bruno e marrone"
"38",NA," bruno e marrone 100 casamento ",NA,"A","G","bruno e marrone"
"39",NA," bruno e marrone 100 casamento ",NA,"D","G","bruno e marrone"
"40",NA," bruno e marrone 100 casamento ",NA,"G","G","bruno e marrone"
"41",NA," bruno e marrone 100 casamento ",NA,"D/F#","G","bruno e marrone"
"42",NA," bruno e marrone 100 casamento ",NA,"Em","G","bruno e marrone"
"43",7," bruno e marrone 24 horas de amor ",38,"C","C","bruno e marrone"
"44",7," bruno e marrone 24 horas de amor ",38,"C7+","C","bruno e marrone"
