"date","music","popul","chord","key","artist"
"1",11," capital inicial 18 ",16,"A","A","capital inicial"
"2",11," capital inicial 18 ",16,"E/G#","A","capital inicial"
"3",11," capital inicial 18 ",16,"F#m","A","capital inicial"
"4",11," capital inicial 18 ",16,"E","A","capital inicial"
"5",11," capital inicial 18 ",16,"A","A","capital inicial"
"6",11," capital inicial 18 ",16,"E","A","capital inicial"
"7",11," capital inicial 18 ",16,"F#m","A","capital inicial"
"8",11," capital inicial 18 ",16,"A","A","capital inicial"
"9",11," capital inicial 18 ",16,"E","A","capital inicial"
"10",11," capital inicial 18 ",16,"F#m","A","capital inicial"
"11",11," capital inicial 18 ",16,"D","A","capital inicial"
"12",11," capital inicial 18 ",16,"E","A","capital inicial"
"13",11," capital inicial 18 ",16,"D","A","capital inicial"
"14",11," capital inicial 18 ",16,"E","A","capital inicial"
"15",11," capital inicial 18 ",16,"D","A","capital inicial"
"16",11," capital inicial 18 ",16,"E","A","capital inicial"
"17",11," capital inicial 18 ",16,"F#m","A","capital inicial"
"18",11," capital inicial 18 ",16,"A","A","capital inicial"
"19",11," capital inicial 18 ",16,"E","A","capital inicial"
"20",11," capital inicial 18 ",16,"F#m","A","capital inicial"
"21",11," capital inicial 18 ",16,"A","A","capital inicial"
"22",11," capital inicial 18 ",16,"E","A","capital inicial"
"23",11," capital inicial 18 ",16,"F#m","A","capital inicial"
"24",11," capital inicial 18 ",16,"D","A","capital inicial"
"25",11," capital inicial 18 ",16,"E","A","capital inicial"
"26",11," capital inicial 18 ",16,"D","A","capital inicial"
"27",11," capital inicial 18 ",16,"E","A","capital inicial"
"28",11," capital inicial 18 ",16,"D","A","capital inicial"
"29",11," capital inicial 18 ",16,"E","A","capital inicial"
"30",11," capital inicial 18 ",16,"F#m","A","capital inicial"
"31",11," capital inicial 18 ",16,"A","A","capital inicial"
"32",11," capital inicial 18 ",16,"E","A","capital inicial"
"33",11," capital inicial 18 ",16,"F#m","A","capital inicial"
"34",11," capital inicial 18 ",16,"D","A","capital inicial"
"35",11," capital inicial 18 ",16,"E","A","capital inicial"
"36",11," capital inicial 18 ",16,"D","A","capital inicial"
"37",11," capital inicial 18 ",16,"E","A","capital inicial"
"38",11," capital inicial 18 ",16,"D","A","capital inicial"
"39",11," capital inicial 18 ",16,"E","A","capital inicial"
"40",11," capital inicial 18 ",16,"F#m","A","capital inicial"
"41",11," capital inicial 18 ",16,"D","A","capital inicial"
"42",11," capital inicial 18 ",16,"E","A","capital inicial"
"43",11," capital inicial 18 ",16,"D","A","capital inicial"
"44",11," capital inicial 18 ",16,"E","A","capital inicial"
"45",11," capital inicial 18 ",16,"D","A","capital inicial"
"46",11," capital inicial 18 ",16,"E","A","capital inicial"
"47",11," capital inicial 18 ",16,"F#m","A","capital inicial"
"48",11," capital inicial 18 ",16,"A","A","capital inicial"
"49",11," capital inicial 18 ",16,"E","A","capital inicial"
"50",11," capital inicial 18 ",16,"F#m","A","capital inicial"
"51",NA," capital inicial 1977 ",NA,"D","D","capital inicial"
"52",NA," capital inicial 1977 ",NA,"A","D","capital inicial"
"53",NA," capital inicial 1977 ",NA,"F","D","capital inicial"
"54",NA," capital inicial 1977 ",NA,"D","D","capital inicial"
"55",NA," capital inicial 1977 ",NA,"A","D","capital inicial"
"56",NA," capital inicial 1977 ",NA,"Bm","D","capital inicial"
"57",NA," capital inicial 1977 ",NA,"G","D","capital inicial"
"58",NA," capital inicial 1977 ",NA,"D","D","capital inicial"
"59",NA," capital inicial 1977 ",NA,"A","D","capital inicial"
"60",NA," capital inicial 1977 ",NA,"Bm","D","capital inicial"
"61",NA," capital inicial 1977 ",NA,"G","D","capital inicial"
"62",NA," capital inicial 1977 ",NA,"A","D","capital inicial"
"63",NA," capital inicial 1977 ",NA,"D","D","capital inicial"
"64",NA," capital inicial 1977 ",NA,"A","D","capital inicial"
"65",NA," capital inicial 1977 ",NA,"D","D","capital inicial"
"66",NA," capital inicial 1977 ",NA,"G","D","capital inicial"
"67",NA," capital inicial 1977 ",NA,"D/F#","D","capital inicial"
"68",NA," capital inicial 1977 ",NA,"A","D","capital inicial"
"69",NA," capital inicial 1977 ",NA,"D","D","capital inicial"
"70",NA," capital inicial 1977 ",NA,"A","D","capital inicial"
"71",NA," capital inicial 1977 ",NA,"Bm","D","capital inicial"
"72",NA," capital inicial 1977 ",NA,"G","D","capital inicial"
"73",NA," capital inicial 1977 ",NA,"D","D","capital inicial"
"74",NA," capital inicial 1977 ",NA,"A","D","capital inicial"
"75",NA," capital inicial 1977 ",NA,"Bm","D","capital inicial"
"76",NA," capital inicial 1977 ",NA,"G","D","capital inicial"
"77",NA," capital inicial 1977 ",NA,"A","D","capital inicial"
"78",NA," capital inicial 1977 ",NA,"D","D","capital inicial"
"79",NA," capital inicial 1977 ",NA,"A","D","capital inicial"
"80",NA," capital inicial 1977 ",NA,"D","D","capital inicial"
"81",NA," capital inicial 1977 ",NA,"G","D","capital inicial"
"82",NA," capital inicial 1977 ",NA,"D/F#","D","capital inicial"
"83",NA," capital inicial 1977 ",NA,"A","D","capital inicial"
"84",NA," capital inicial 1977 ",NA,"G","D","capital inicial"
"85",NA," capital inicial 1977 ",NA,"D","D","capital inicial"
"86",NA," capital inicial 1977 ",NA,"F#m","D","capital inicial"
"87",NA," capital inicial 1977 ",NA,"C","D","capital inicial"
"88",NA," capital inicial 1977 ",NA,"A","D","capital inicial"
"89",NA," capital inicial 1977 ",NA,"D","D","capital inicial"
"90",NA," capital inicial 1977 ",NA,"C","D","capital inicial"
"91",NA," capital inicial 1977 ",NA,"A","D","capital inicial"
"92",NA," capital inicial 1977 ",NA,"D","D","capital inicial"
"93",NA," capital inicial 1977 ",NA,"A","D","capital inicial"
"94",NA," capital inicial 1977 ",NA,"F","D","capital inicial"
"95",NA," capital inicial 1977 ",NA,"D","D","capital inicial"
"96",NA," capital inicial 1977 ",NA,"A","D","capital inicial"
"97",NA," capital inicial 1977 ",NA,"Bm","D","capital inicial"
"98",NA," capital inicial 1977 ",NA,"G","D","capital inicial"
"99",NA," capital inicial 1977 ",NA,"D","D","capital inicial"
