"date","music","popul","chord","key","artist"
"1",NA," cassia eller i can get no satisfaction ",NA,"E","E","cassia eller"
"2",NA," cassia eller i can get no satisfaction ",NA,"A","E","cassia eller"
"3",NA," cassia eller i can get no satisfaction ",NA,"E","E","cassia eller"
"4",NA," cassia eller i can get no satisfaction ",NA,"A","E","cassia eller"
"5",NA," cassia eller i can get no satisfaction ",NA,"E","E","cassia eller"
"6",NA," cassia eller i can get no satisfaction ",NA,"B7","E","cassia eller"
"7",NA," cassia eller i can get no satisfaction ",NA,"E","E","cassia eller"
"8",NA," cassia eller i can get no satisfaction ",NA,"A","E","cassia eller"
"9",NA," cassia eller i can get no satisfaction ",NA,"E","E","cassia eller"
"10",NA," cassia eller i can get no satisfaction ",NA,"A","E","cassia eller"
"11",NA," cassia eller i can get no satisfaction ",NA,"E","E","cassia eller"
"12",NA," cassia eller i can get no satisfaction ",NA,"A","E","cassia eller"
"13",NA," cassia eller i can get no satisfaction ",NA,"E","E","cassia eller"
"14",NA," cassia eller i can get no satisfaction ",NA,"A","E","cassia eller"
"15",NA," cassia eller i can get no satisfaction ",NA,"E","E","cassia eller"
"16",NA," cassia eller i can get no satisfaction ",NA,"A","E","cassia eller"
"17",NA," cassia eller i can get no satisfaction ",NA,"E","E","cassia eller"
"18",NA," cassia eller i can get no satisfaction ",NA,"A","E","cassia eller"
"19",NA," cassia eller i can get no satisfaction ",NA,"E","E","cassia eller"
"20",NA," cassia eller i can get no satisfaction ",NA,"A","E","cassia eller"
"21",NA," cassia eller i can get no satisfaction ",NA,"E","E","cassia eller"
"22",NA," cassia eller i can get no satisfaction ",NA,"A","E","cassia eller"
"23",NA," cassia eller i can get no satisfaction ",NA,"E","E","cassia eller"
"24",NA," cassia eller i can get no satisfaction ",NA,"A","E","cassia eller"
"25",NA," cassia eller i can get no satisfaction ",NA,"E","E","cassia eller"
"26",NA," cassia eller i can get no satisfaction ",NA,"A","E","cassia eller"
"27",NA," cassia eller i can get no satisfaction ",NA,"E","E","cassia eller"
"28",NA," cassia eller i can get no satisfaction ",NA,"A","E","cassia eller"
"29",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"30",NA," cassia eller 1o de julho ",NA,"C9","G","cassia eller"
"31",NA," cassia eller 1o de julho ",NA,"Am7","G","cassia eller"
"32",NA," cassia eller 1o de julho ",NA,"A5/F","G","cassia eller"
"33",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"34",NA," cassia eller 1o de julho ",NA,"C9","G","cassia eller"
"35",NA," cassia eller 1o de julho ",NA,"Am7","G","cassia eller"
"36",NA," cassia eller 1o de julho ",NA,"A5/F","G","cassia eller"
"37",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"38",NA," cassia eller 1o de julho ",NA,"C","G","cassia eller"
"39",NA," cassia eller 1o de julho ",NA,"Am","G","cassia eller"
"40",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"41",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"42",NA," cassia eller 1o de julho ",NA,"C","G","cassia eller"
"43",NA," cassia eller 1o de julho ",NA,"Am","G","cassia eller"
"44",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"45",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"46",NA," cassia eller 1o de julho ",NA,"C","G","cassia eller"
"47",NA," cassia eller 1o de julho ",NA,"Am","G","cassia eller"
"48",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"49",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"50",NA," cassia eller 1o de julho ",NA,"C","G","cassia eller"
"51",NA," cassia eller 1o de julho ",NA,"Am","G","cassia eller"
"52",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"53",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"54",NA," cassia eller 1o de julho ",NA,"C","G","cassia eller"
"55",NA," cassia eller 1o de julho ",NA,"Am","G","cassia eller"
"56",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"57",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"58",NA," cassia eller 1o de julho ",NA,"Bm","G","cassia eller"
"59",NA," cassia eller 1o de julho ",NA,"C","G","cassia eller"
"60",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"61",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"62",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"63",NA," cassia eller 1o de julho ",NA,"Am7","G","cassia eller"
"64",NA," cassia eller 1o de julho ",NA,"C","G","cassia eller"
"65",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"66",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"67",NA," cassia eller 1o de julho ",NA,"C","G","cassia eller"
"68",NA," cassia eller 1o de julho ",NA,"Am","G","cassia eller"
"69",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"70",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"71",NA," cassia eller 1o de julho ",NA,"C","G","cassia eller"
"72",NA," cassia eller 1o de julho ",NA,"Am7","G","cassia eller"
"73",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"74",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"75",NA," cassia eller 1o de julho ",NA,"C","G","cassia eller"
"76",NA," cassia eller 1o de julho ",NA,"Am","G","cassia eller"
"77",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"78",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"79",NA," cassia eller 1o de julho ",NA,"C","G","cassia eller"
"80",NA," cassia eller 1o de julho ",NA,"Am","G","cassia eller"
"81",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"82",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"83",NA," cassia eller 1o de julho ",NA,"Em","G","cassia eller"
"84",NA," cassia eller 1o de julho ",NA,"Bm","G","cassia eller"
"85",NA," cassia eller 1o de julho ",NA,"C","G","cassia eller"
"86",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"87",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"88",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"89",NA," cassia eller 1o de julho ",NA,"Am7","G","cassia eller"
"90",NA," cassia eller 1o de julho ",NA,"C","G","cassia eller"
"91",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"92",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"93",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"94",NA," cassia eller 1o de julho ",NA,"C","G","cassia eller"
"95",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"96",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"97",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"98",NA," cassia eller 1o de julho ",NA,"Em","G","cassia eller"
"99",NA," cassia eller 1o de julho ",NA,"A","G","cassia eller"
"100",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"101",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"102",NA," cassia eller 1o de julho ",NA,"Em","G","cassia eller"
"103",NA," cassia eller 1o de julho ",NA,"A","G","cassia eller"
"104",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"105",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"106",NA," cassia eller 1o de julho ",NA,"C","G","cassia eller"
"107",NA," cassia eller 1o de julho ",NA,"Am","G","cassia eller"
"108",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"109",NA," cassia eller 1o de julho ",NA,"C","G","cassia eller"
"110",NA," cassia eller 1o de julho ",NA,"Am","G","cassia eller"
"111",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"112",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"113",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"114",NA," cassia eller 1o de julho ",NA,"C","G","cassia eller"
"115",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"116",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"117",NA," cassia eller 1o de julho ",NA,"A","G","cassia eller"
"118",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"119",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"120",NA," cassia eller 1o de julho ",NA,"Em","G","cassia eller"
"121",NA," cassia eller 1o de julho ",NA,"A","G","cassia eller"
"122",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"123",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"124",NA," cassia eller 1o de julho ",NA,"Em","G","cassia eller"
"125",NA," cassia eller 1o de julho ",NA,"A","G","cassia eller"
"126",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"127",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"128",NA," cassia eller 1o de julho ",NA,"Em","G","cassia eller"
"129",NA," cassia eller 1o de julho ",NA,"A","G","cassia eller"
"130",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"131",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"132",NA," cassia eller 1o de julho ",NA,"C9","G","cassia eller"
"133",NA," cassia eller 1o de julho ",NA,"Am7","G","cassia eller"
"134",NA," cassia eller 1o de julho ",NA,"A5/F","G","cassia eller"
"135",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"136",NA," cassia eller 1o de julho ",NA,"C9","G","cassia eller"
"137",NA," cassia eller 1o de julho ",NA,"Am7","G","cassia eller"
"138",NA," cassia eller 1o de julho ",NA,"A5/F","G","cassia eller"
"139",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"140",NA," cassia eller 1o de julho ",NA,"C","G","cassia eller"
"141",NA," cassia eller 1o de julho ",NA,"Am","G","cassia eller"
"142",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"143",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"144",NA," cassia eller 1o de julho ",NA,"C","G","cassia eller"
"145",NA," cassia eller 1o de julho ",NA,"Am","G","cassia eller"
"146",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"147",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"148",NA," cassia eller 1o de julho ",NA,"D/F#","G","cassia eller"
"149",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"150",NA," cassia eller 1o de julho ",NA,"A","G","cassia eller"
"151",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"152",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"153",NA," cassia eller 1o de julho ",NA,"Em","G","cassia eller"
"154",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"155",NA," cassia eller 1o de julho ",NA,"A","G","cassia eller"
"156",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"157",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"158",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"159",NA," cassia eller 1o de julho ",NA,"Am7","G","cassia eller"
"160",NA," cassia eller 1o de julho ",NA,"C","G","cassia eller"
"161",NA," cassia eller 1o de julho ",NA,"G","G","cassia eller"
"162",NA," cassia eller 1o de julho ",NA,"D","G","cassia eller"
"163",4," cassia eller a orelha de euridice ",14,"Bb","A","cassia eller"
"164",4," cassia eller a orelha de euridice ",14,"A","A","cassia eller"
"165",4," cassia eller a orelha de euridice ",14,"Bb","A","cassia eller"
"166",4," cassia eller a orelha de euridice ",14,"A","A","cassia eller"
"167",4," cassia eller a orelha de euridice ",14,"Bb","A","cassia eller"
"168",4," cassia eller a orelha de euridice ",14,"A","A","cassia eller"
"169",4," cassia eller a orelha de euridice ",14,"C","A","cassia eller"
"170",4," cassia eller a orelha de euridice ",14,"F","A","cassia eller"
"171",4," cassia eller a orelha de euridice ",14,"E","A","cassia eller"
"172",4," cassia eller a orelha de euridice ",14,"Bb","A","cassia eller"
"173",4," cassia eller a orelha de euridice ",14,"A","A","cassia eller"
"174",4," cassia eller a orelha de euridice ",14,"Bb","A","cassia eller"
"175",4," cassia eller a orelha de euridice ",14,"A","A","cassia eller"
"176",4," cassia eller a orelha de euridice ",14,"C","A","cassia eller"
"177",4," cassia eller a orelha de euridice ",14,"F","A","cassia eller"
"178",4," cassia eller a orelha de euridice ",14,"E","A","cassia eller"
"179",4," cassia eller a orelha de euridice ",14,"C","A","cassia eller"
"180",4," cassia eller a orelha de euridice ",14,"Bb","A","cassia eller"
"181",4," cassia eller a orelha de euridice ",14,"C","A","cassia eller"
"182",4," cassia eller a orelha de euridice ",14,"Bb","A","cassia eller"
"183",4," cassia eller a orelha de euridice ",14,"A","A","cassia eller"
"184",4," cassia eller a orelha de euridice ",14,"C","A","cassia eller"
"185",4," cassia eller a orelha de euridice ",14,"Bb","A","cassia eller"
"186",4," cassia eller a orelha de euridice ",14,"A","A","cassia eller"
"187",4," cassia eller a orelha de euridice ",14,"Bb","A","cassia eller"
"188",4," cassia eller a orelha de euridice ",14,"A","A","cassia eller"
"189",4," cassia eller a orelha de euridice ",14,"Bb","A","cassia eller"
"190",4," cassia eller a orelha de euridice ",14,"A","A","cassia eller"
"191",4," cassia eller a orelha de euridice ",14,"C","A","cassia eller"
"192",4," cassia eller a orelha de euridice ",14,"F","A","cassia eller"
"193",4," cassia eller a orelha de euridice ",14,"E","A","cassia eller"
"194",4," cassia eller a orelha de euridice ",14,"F","A","cassia eller"
"195",4," cassia eller a orelha de euridice ",14,"D","A","cassia eller"
"196",4," cassia eller a orelha de euridice ",14,"C","A","cassia eller"
"197",4," cassia eller a orelha de euridice ",14,"D","A","cassia eller"
"198",4," cassia eller a orelha de euridice ",14,"C","A","cassia eller"
"199",4," cassia eller a orelha de euridice ",14,"F","A","cassia eller"
"200",4," cassia eller a orelha de euridice ",14,"F","A","cassia eller"
"201",4," cassia eller a orelha de euridice ",14,"E","A","cassia eller"
"202",4," cassia eller a orelha de euridice ",14,"C","A","cassia eller"
"203",4," cassia eller a orelha de euridice ",14,"Bb","A","cassia eller"
"204",4," cassia eller a orelha de euridice ",14,"C","A","cassia eller"
"205",4," cassia eller a orelha de euridice ",14,"Bb","A","cassia eller"
"206",4," cassia eller a orelha de euridice ",14,"A","A","cassia eller"
"207",4," cassia eller a orelha de euridice ",14,"Bb","A","cassia eller"
"208",4," cassia eller a orelha de euridice ",14,"A","A","cassia eller"
"209",13," cassia eller all star ",45,"E","G","cassia eller"
"210",13," cassia eller all star ",45,"A7+","G","cassia eller"
"211",13," cassia eller all star ",45,"E","G","cassia eller"
"212",13," cassia eller all star ",45,"A7+","G","cassia eller"
"213",13," cassia eller all star ",45,"E","G","cassia eller"
"214",13," cassia eller all star ",45,"A7+","G","cassia eller"
"215",13," cassia eller all star ",45,"E","G","cassia eller"
"216",13," cassia eller all star ",45,"A7+","G","cassia eller"
"217",13," cassia eller all star ",45,"E","G","cassia eller"
"218",13," cassia eller all star ",45,"A7+","G","cassia eller"
"219",13," cassia eller all star ",45,"C","G","cassia eller"
"220",13," cassia eller all star ",45,"D","G","cassia eller"
"221",13," cassia eller all star ",45,"E","G","cassia eller"
