"date","music","popul","chord","key","artist"
"1",2," chico buarque a banda ",48,"D6/9","D","chico buarque"
"2",2," chico buarque a banda ",48,"A7","D","chico buarque"
"3",2," chico buarque a banda ",48,"F#m7","D","chico buarque"
"4",2," chico buarque a banda ",48,"B7","D","chico buarque"
"5",2," chico buarque a banda ",48,"E7(9)","D","chico buarque"
"6",2," chico buarque a banda ",48,"A7","D","chico buarque"
"7",2," chico buarque a banda ",48,"D6/9","D","chico buarque"
"8",2," chico buarque a banda ",48,"A7","D","chico buarque"
"9",2," chico buarque a banda ",48,"F#m7","D","chico buarque"
"10",2," chico buarque a banda ",48,"B7","D","chico buarque"
"11",2," chico buarque a banda ",48,"E7(9)","D","chico buarque"
"12",2," chico buarque a banda ",48,"A7","D","chico buarque"
"13",2," chico buarque a banda ",48,"D6/9","D","chico buarque"
"14",2," chico buarque a banda ",48,"D7M","D","chico buarque"
"15",2," chico buarque a banda ",48,"A7","D","chico buarque"
"16",2," chico buarque a banda ",48,"Am6/C","D","chico buarque"
"17",2," chico buarque a banda ",48,"B7","D","chico buarque"
"18",2," chico buarque a banda ",48,"Em7","D","chico buarque"
"19",2," chico buarque a banda ",48,"Em/D","D","chico buarque"
"20",2," chico buarque a banda ",48,"C#m7","D","chico buarque"
"21",2," chico buarque a banda ",48,"F#7(9)","D","chico buarque"
"22",2," chico buarque a banda ",48,"F#m7","D","chico buarque"
"23",2," chico buarque a banda ",48,"B7","D","chico buarque"
"24",2," chico buarque a banda ",48,"E7(9)","D","chico buarque"
"25",2," chico buarque a banda ",48,"Em7(9)","D","chico buarque"
"26",2," chico buarque a banda ",48,"A7","D","chico buarque"
"27",2," chico buarque a banda ",48,"D7M","D","chico buarque"
"28",2," chico buarque a banda ",48,"A7","D","chico buarque"
"29",2," chico buarque a banda ",48,"Am6/C","D","chico buarque"
"30",2," chico buarque a banda ",48,"B7","D","chico buarque"
"31",2," chico buarque a banda ",48,"Em7","D","chico buarque"
"32",2," chico buarque a banda ",48,"Em/D","D","chico buarque"
"33",2," chico buarque a banda ",48,"C#m7","D","chico buarque"
"34",2," chico buarque a banda ",48,"F#7(9)","D","chico buarque"
"35",2," chico buarque a banda ",48,"F#m7","D","chico buarque"
"36",2," chico buarque a banda ",48,"B7","D","chico buarque"
"37",2," chico buarque a banda ",48,"E7(9)","D","chico buarque"
"38",2," chico buarque a banda ",48,"A7","D","chico buarque"
"39",2," chico buarque a banda ",48,"D6/9","D","chico buarque"
"40",2," chico buarque a banda ",48,"A7","D","chico buarque"
"41",2," chico buarque a banda ",48,"F#m7","D","chico buarque"
"42",2," chico buarque a banda ",48,"B7","D","chico buarque"
"43",2," chico buarque a banda ",48,"E7(9)","D","chico buarque"
"44",2," chico buarque a banda ",48,"A7","D","chico buarque"
"45",2," chico buarque a banda ",48,"D6/9","D","chico buarque"
"46",2," chico buarque a banda ",48,"A7","D","chico buarque"
"47",2," chico buarque a banda ",48,"F#m7","D","chico buarque"
"48",2," chico buarque a banda ",48,"B7","D","chico buarque"
"49",2," chico buarque a banda ",48,"E7(9)","D","chico buarque"
"50",2," chico buarque a banda ",48,"A7","D","chico buarque"
"51",2," chico buarque a banda ",48,"D6/9","D","chico buarque"
"52",2," chico buarque a banda ",48,"D7M","D","chico buarque"
"53",2," chico buarque a banda ",48,"A7","D","chico buarque"
"54",2," chico buarque a banda ",48,"Am6/C","D","chico buarque"
"55",2," chico buarque a banda ",48,"B7","D","chico buarque"
"56",2," chico buarque a banda ",48,"Em7","D","chico buarque"
"57",2," chico buarque a banda ",48,"Em/D","D","chico buarque"
"58",2," chico buarque a banda ",48,"C#m7","D","chico buarque"
"59",2," chico buarque a banda ",48,"F#7(9)","D","chico buarque"
"60",2," chico buarque a banda ",48,"F#m7","D","chico buarque"
"61",2," chico buarque a banda ",48,"B7","D","chico buarque"
"62",2," chico buarque a banda ",48,"E7(9)","D","chico buarque"
"63",2," chico buarque a banda ",48,"Em7(9)","D","chico buarque"
"64",2," chico buarque a banda ",48,"A7","D","chico buarque"
"65",2," chico buarque a banda ",48,"D7M","D","chico buarque"
"66",2," chico buarque a banda ",48,"A7","D","chico buarque"
"67",2," chico buarque a banda ",48,"Am6/C","D","chico buarque"
"68",2," chico buarque a banda ",48,"B7","D","chico buarque"
"69",2," chico buarque a banda ",48,"Em7","D","chico buarque"
"70",2," chico buarque a banda ",48,"Em/D","D","chico buarque"
"71",2," chico buarque a banda ",48,"C#m7","D","chico buarque"
"72",2," chico buarque a banda ",48,"F#7(9)","D","chico buarque"
"73",2," chico buarque a banda ",48,"F#m7","D","chico buarque"
"74",2," chico buarque a banda ",48,"B7","D","chico buarque"
"75",2," chico buarque a banda ",48,"E7(9)","D","chico buarque"
"76",2," chico buarque a banda ",48,"A7","D","chico buarque"
"77",2," chico buarque a banda ",48,"D6/9","D","chico buarque"
"78",2," chico buarque a banda ",48,"A7","D","chico buarque"
"79",2," chico buarque a banda ",48,"F#m7","D","chico buarque"
"80",2," chico buarque a banda ",48,"B7","D","chico buarque"
"81",2," chico buarque a banda ",48,"E7(9)","D","chico buarque"
"82",2," chico buarque a banda ",48,"A7","D","chico buarque"
"83",2," chico buarque a banda ",48,"D6/9","D","chico buarque"
"84",2," chico buarque a banda ",48,"A7","D","chico buarque"
"85",2," chico buarque a banda ",48,"F#m7","D","chico buarque"
"86",2," chico buarque a banda ",48,"B7","D","chico buarque"
"87",2," chico buarque a banda ",48,"E7(9)","D","chico buarque"
"88",2," chico buarque a banda ",48,"A7","D","chico buarque"
"89",2," chico buarque a banda ",48,"D6/9","D","chico buarque"
"90",2," chico buarque a banda ",48,"B7","D","chico buarque"
"91",2," chico buarque a banda ",48,"E7(9)","D","chico buarque"
"92",2," chico buarque a banda ",48,"A7","D","chico buarque"
"93",2," chico buarque a banda ",48,"D6/9","D","chico buarque"
"94",2," chico buarque a banda ",48,"B7","D","chico buarque"
