"date","music","popul","chord","key","artist"
"1",14," chitaozinho e xororo 40 e 20 ",11,"C#m","E","chitaozinho e xororo"
"2",14," chitaozinho e xororo 40 e 20 ",11,"F#","E","chitaozinho e xororo"
"3",14," chitaozinho e xororo 40 e 20 ",11,"D#m","E","chitaozinho e xororo"
"4",14," chitaozinho e xororo 40 e 20 ",11,"G#","E","chitaozinho e xororo"
"5",14," chitaozinho e xororo 40 e 20 ",11,"C#m","E","chitaozinho e xororo"
"6",14," chitaozinho e xororo 40 e 20 ",11,"D#","E","chitaozinho e xororo"
"7",14," chitaozinho e xororo 40 e 20 ",11,"G#m","E","chitaozinho e xororo"
"8",14," chitaozinho e xororo 40 e 20 ",11,"C#m","E","chitaozinho e xororo"
"9",14," chitaozinho e xororo 40 e 20 ",11,"F#","E","chitaozinho e xororo"
"10",14," chitaozinho e xororo 40 e 20 ",11,"B","E","chitaozinho e xororo"
"11",14," chitaozinho e xororo 40 e 20 ",11,"E","E","chitaozinho e xororo"
"12",14," chitaozinho e xororo 40 e 20 ",11,"A","E","chitaozinho e xororo"
"13",14," chitaozinho e xororo 40 e 20 ",11,"Bb","E","chitaozinho e xororo"
"14",14," chitaozinho e xororo 40 e 20 ",11,"D#","E","chitaozinho e xororo"
"15",14," chitaozinho e xororo 40 e 20 ",11,"G#m","E","chitaozinho e xororo"
"16",14," chitaozinho e xororo 40 e 20 ",11,"C#m","E","chitaozinho e xororo"
"17",14," chitaozinho e xororo 40 e 20 ",11,"F#","E","chitaozinho e xororo"
"18",14," chitaozinho e xororo 40 e 20 ",11,"B","E","chitaozinho e xororo"
"19",14," chitaozinho e xororo 40 e 20 ",11,"G#m","E","chitaozinho e xororo"
"20",14," chitaozinho e xororo 40 e 20 ",11,"E","E","chitaozinho e xororo"
"21",14," chitaozinho e xororo 40 e 20 ",11,"A","E","chitaozinho e xororo"
"22",14," chitaozinho e xororo 40 e 20 ",11,"Bb","E","chitaozinho e xororo"
"23",14," chitaozinho e xororo 40 e 20 ",11,"D#","E","chitaozinho e xororo"
"24",14," chitaozinho e xororo 40 e 20 ",11,"G#m","E","chitaozinho e xororo"
"25",14," chitaozinho e xororo 40 e 20 ",11,"G#m","E","chitaozinho e xororo"
"26",14," chitaozinho e xororo 40 e 20 ",11,"C#m","E","chitaozinho e xororo"
"27",14," chitaozinho e xororo 40 e 20 ",11,"F#","E","chitaozinho e xororo"
"28",14," chitaozinho e xororo 40 e 20 ",11,"B","E","chitaozinho e xororo"
"29",14," chitaozinho e xororo 40 e 20 ",11,"E","E","chitaozinho e xororo"
"30",14," chitaozinho e xororo 40 e 20 ",11,"C#m","E","chitaozinho e xororo"
"31",14," chitaozinho e xororo 40 e 20 ",11,"D#","E","chitaozinho e xororo"
"32",14," chitaozinho e xororo 40 e 20 ",11,"G#m","E","chitaozinho e xororo"
"33",14," chitaozinho e xororo 40 e 20 ",11,"F#m","E","chitaozinho e xororo"
"34",14," chitaozinho e xororo 40 e 20 ",11,"G#m","E","chitaozinho e xororo"
"35",14," chitaozinho e xororo 40 e 20 ",11,"C#m","E","chitaozinho e xororo"
"36",14," chitaozinho e xororo 40 e 20 ",11,"F#","E","chitaozinho e xororo"
"37",14," chitaozinho e xororo 40 e 20 ",11,"B","E","chitaozinho e xororo"
"38",14," chitaozinho e xororo 40 e 20 ",11,"E","E","chitaozinho e xororo"
"39",14," chitaozinho e xororo 40 e 20 ",11,"C#m","E","chitaozinho e xororo"
"40",14," chitaozinho e xororo 40 e 20 ",11,"D#","E","chitaozinho e xororo"
"41",14," chitaozinho e xororo 40 e 20 ",11,"G#m","E","chitaozinho e xororo"
"42",14," chitaozinho e xororo 40 e 20 ",11,"G#m","E","chitaozinho e xororo"
"43",14," chitaozinho e xororo 40 e 20 ",11,"C#m","E","chitaozinho e xororo"
"44",14," chitaozinho e xororo 40 e 20 ",11,"F#","E","chitaozinho e xororo"
"45",14," chitaozinho e xororo 40 e 20 ",11,"D#m","E","chitaozinho e xororo"
"46",14," chitaozinho e xororo 40 e 20 ",11,"G#","E","chitaozinho e xororo"
"47",14," chitaozinho e xororo 40 e 20 ",11,"C#m","E","chitaozinho e xororo"
"48",14," chitaozinho e xororo 40 e 20 ",11,"D#","E","chitaozinho e xororo"
"49",14," chitaozinho e xororo 40 e 20 ",11,"G#m","E","chitaozinho e xororo"
"50",14," chitaozinho e xororo 40 e 20 ",11,"C#m","E","chitaozinho e xororo"
"51",14," chitaozinho e xororo 40 e 20 ",11,"F#","E","chitaozinho e xororo"
"52",14," chitaozinho e xororo 40 e 20 ",11,"B","E","chitaozinho e xororo"
"53",14," chitaozinho e xororo 40 e 20 ",11,"E","E","chitaozinho e xororo"
"54",14," chitaozinho e xororo 40 e 20 ",11,"A","E","chitaozinho e xororo"
"55",14," chitaozinho e xororo 40 e 20 ",11,"Bb","E","chitaozinho e xororo"
"56",14," chitaozinho e xororo 40 e 20 ",11,"D#","E","chitaozinho e xororo"
"57",14," chitaozinho e xororo 40 e 20 ",11,"G#m","E","chitaozinho e xororo"
"58",14," chitaozinho e xororo 40 e 20 ",11,"C#m","E","chitaozinho e xororo"
"59",14," chitaozinho e xororo 40 e 20 ",11,"F#","E","chitaozinho e xororo"
"60",14," chitaozinho e xororo 40 e 20 ",11,"B","E","chitaozinho e xororo"
"61",14," chitaozinho e xororo 40 e 20 ",11,"G#m","E","chitaozinho e xororo"
"62",14," chitaozinho e xororo 40 e 20 ",11,"E","E","chitaozinho e xororo"
"63",14," chitaozinho e xororo 40 e 20 ",11,"A","E","chitaozinho e xororo"
"64",14," chitaozinho e xororo 40 e 20 ",11,"Bb","E","chitaozinho e xororo"
