"date","music","popul","chord","key","artist"
"1",15," clara nunes a deusa dos orixas ",36,"A","A","clara nunes"
"2",15," clara nunes a deusa dos orixas ",36,"Bm7","A","clara nunes"
"3",15," clara nunes a deusa dos orixas ",36,"E7","A","clara nunes"
"4",15," clara nunes a deusa dos orixas ",36,"A","A","clara nunes"
"5",15," clara nunes a deusa dos orixas ",36,"A","A","clara nunes"
"6",15," clara nunes a deusa dos orixas ",36,"Bm7","A","clara nunes"
"7",15," clara nunes a deusa dos orixas ",36,"E7","A","clara nunes"
"8",15," clara nunes a deusa dos orixas ",36,"A","A","clara nunes"
"9",15," clara nunes a deusa dos orixas ",36,"Bm7","A","clara nunes"
"10",15," clara nunes a deusa dos orixas ",36,"E7","A","clara nunes"
"11",15," clara nunes a deusa dos orixas ",36,"A","A","clara nunes"
"12",15," clara nunes a deusa dos orixas ",36,"A","A","clara nunes"
"13",15," clara nunes a deusa dos orixas ",36,"Bm7","A","clara nunes"
"14",15," clara nunes a deusa dos orixas ",36,"E7","A","clara nunes"
"15",15," clara nunes a deusa dos orixas ",36,"A","A","clara nunes"
"16",15," clara nunes a deusa dos orixas ",36,"A","A","clara nunes"
"17",15," clara nunes a deusa dos orixas ",36,"Bm7","A","clara nunes"
"18",15," clara nunes a deusa dos orixas ",36,"E7","A","clara nunes"
"19",15," clara nunes a deusa dos orixas ",36,"A","A","clara nunes"
"20",15," clara nunes a deusa dos orixas ",36,"Bm7","A","clara nunes"
"21",15," clara nunes a deusa dos orixas ",36,"E7","A","clara nunes"
"22",15," clara nunes a deusa dos orixas ",36,"A","A","clara nunes"
"23",15," clara nunes a deusa dos orixas ",36,"E7","A","clara nunes"
"24",15," clara nunes a deusa dos orixas ",36,"A","A","clara nunes"
"25",15," clara nunes a deusa dos orixas ",36,"A","A","clara nunes"
"26",15," clara nunes a deusa dos orixas ",36,"Bm7","A","clara nunes"
"27",5," clara nunes a flor da pele ",10,"Gm","D#","clara nunes"
"28",5," clara nunes a flor da pele ",10,"Gm7+","D#","clara nunes"
"29",5," clara nunes a flor da pele ",10,"Gm7","D#","clara nunes"
"30",5," clara nunes a flor da pele ",10,"C7/9","D#","clara nunes"
"31",5," clara nunes a flor da pele ",10,"Eb7/9","D#","clara nunes"
"32",5," clara nunes a flor da pele ",10,"Gm7","D#","clara nunes"
"33",5," clara nunes a flor da pele ",10,"G#7+","D#","clara nunes"
"34",5," clara nunes a flor da pele ",10,"Gm","D#","clara nunes"
"35",5," clara nunes a flor da pele ",10,"Gm7+","D#","clara nunes"
"36",5," clara nunes a flor da pele ",10,"Gm7","D#","clara nunes"
"37",5," clara nunes a flor da pele ",10,"C7/9","D#","clara nunes"
"38",5," clara nunes a flor da pele ",10,"A°","D#","clara nunes"
"39",5," clara nunes a flor da pele ",10,"D7","D#","clara nunes"
"40",5," clara nunes a flor da pele ",10,"Gm","D#","clara nunes"
"41",5," clara nunes a flor da pele ",10,"Gm7+","D#","clara nunes"
"42",5," clara nunes a flor da pele ",10,"Gm7","D#","clara nunes"
"43",5," clara nunes a flor da pele ",10,"C7/9","D#","clara nunes"
"44",5," clara nunes a flor da pele ",10,"Eb7/9","D#","clara nunes"
"45",5," clara nunes a flor da pele ",10,"D7","D#","clara nunes"
"46",5," clara nunes a flor da pele ",10,"Gm","D#","clara nunes"
"47",5," clara nunes a flor da pele ",10,"Gm7+","D#","clara nunes"
"48",5," clara nunes a flor da pele ",10,"Gm7","D#","clara nunes"
"49",5," clara nunes a flor da pele ",10,"C7/9","D#","clara nunes"
"50",5," clara nunes a flor da pele ",10,"Eb7/9","D#","clara nunes"
"51",5," clara nunes a flor da pele ",10,"D7","D#","clara nunes"
"52",5," clara nunes a flor da pele ",10,"G7","D#","clara nunes"
"53",5," clara nunes a flor da pele ",10,"Cm","D#","clara nunes"
"54",5," clara nunes a flor da pele ",10,"A7","D#","clara nunes"
"55",5," clara nunes a flor da pele ",10,"Eb7/9","D#","clara nunes"
"56",5," clara nunes a flor da pele ",10,"D7","D#","clara nunes"
"57",5," clara nunes a flor da pele ",10,"Gm","D#","clara nunes"
"58",5," clara nunes a flor da pele ",10,"Gm7+","D#","clara nunes"
"59",5," clara nunes a flor da pele ",10,"Gm7","D#","clara nunes"
"60",5," clara nunes a flor da pele ",10,"C7/9","D#","clara nunes"
"61",5," clara nunes a flor da pele ",10,"Eb7/9","D#","clara nunes"
"62",5," clara nunes a flor da pele ",10,"D7","D#","clara nunes"
"63",5," clara nunes a flor da pele ",10,"Gm","D#","clara nunes"
"64",5," clara nunes a flor da pele ",10,"Gm7+","D#","clara nunes"
"65",5," clara nunes a flor da pele ",10,"Gm7","D#","clara nunes"
"66",5," clara nunes a flor da pele ",10,"C7/9","D#","clara nunes"
"67",5," clara nunes a flor da pele ",10,"Eb7/9","D#","clara nunes"
"68",5," clara nunes a flor da pele ",10,"D7","D#","clara nunes"
"69",5," clara nunes a flor da pele ",10,"G7","D#","clara nunes"
"70",5," clara nunes a flor da pele ",10,"Cm","D#","clara nunes"
