"date" "music" "popul" "chord" "key" "artist"
"1" NA " cristiano araujo a razao " NA "D" "D" "cristiano araujo"
"2" NA " cristiano araujo a razao " NA "Bm" "D" "cristiano araujo"
"3" NA " cristiano araujo a razao " NA "D" "D" "cristiano araujo"
"4" NA " cristiano araujo a razao " NA "Bm" "D" "cristiano araujo"
"5" NA " cristiano araujo a razao " NA "G" "D" "cristiano araujo"
"6" NA " cristiano araujo a razao " NA "A" "D" "cristiano araujo"
"7" NA " cristiano araujo a razao " NA "D" "D" "cristiano araujo"
"8" NA " cristiano araujo a razao " NA "Bm" "D" "cristiano araujo"
"9" NA " cristiano araujo a razao " NA "G" "D" "cristiano araujo"
"10" NA " cristiano araujo a razao " NA "A" "D" "cristiano araujo"
"11" NA " cristiano araujo a razao " NA "D" "D" "cristiano araujo"
"12" NA " cristiano araujo a razao " NA "Bm" "D" "cristiano araujo"
"13" NA " cristiano araujo a razao " NA "D" "D" "cristiano araujo"
"14" NA " cristiano araujo a razao " NA "Bm" "D" "cristiano araujo"
"15" NA " cristiano araujo a razao " NA "G" "D" "cristiano araujo"
"16" NA " cristiano araujo a razao " NA "A" "D" "cristiano araujo"
"17" NA " cristiano araujo a razao " NA "D" "D" "cristiano araujo"
"18" NA " cristiano araujo a razao " NA "Bm" "D" "cristiano araujo"
"19" NA " cristiano araujo a razao " NA "G" "D" "cristiano araujo"
"20" NA " cristiano araujo a razao " NA "A" "D" "cristiano araujo"
"21" NA " cristiano araujo a razao " NA "G" "D" "cristiano araujo"
"22" NA " cristiano araujo a razao " NA "D" "D" "cristiano araujo"
"23" NA " cristiano araujo a razao " NA "G" "D" "cristiano araujo"
"24" NA " cristiano araujo a razao " NA "D" "D" "cristiano araujo"
"25" NA " cristiano araujo a razao " NA "Bm" "D" "cristiano araujo"
"26" NA " cristiano araujo a razao " NA "G" "D" "cristiano araujo"
"27" NA " cristiano araujo a razao " NA "A" "D" "cristiano araujo"
"28" NA " cristiano araujo a razao " NA "D" "D" "cristiano araujo"
"29" NA " cristiano araujo a razao " NA "Bm" "D" "cristiano araujo"
"30" NA " cristiano araujo a razao " NA "G" "D" "cristiano araujo"
"31" NA " cristiano araujo a razao " NA "A" "D" "cristiano araujo"
"32" NA " cristiano araujo a razao " NA "D" "D" "cristiano araujo"
"33" NA " cristiano araujo a razao " NA "Bm" "D" "cristiano araujo"
