"date","music","popul","chord","key","artist"
"1",13," detonautas acre song ",34,"Bb","G","detonautas"
"2",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"3",13," detonautas acre song ",34,"C","G","detonautas"
"4",13," detonautas acre song ",34,"Am","G","detonautas"
"5",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"6",13," detonautas acre song ",34,"Am","G","detonautas"
"7",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"8",13," detonautas acre song ",34,"Am","G","detonautas"
"9",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"10",13," detonautas acre song ",34,"Am","G","detonautas"
"11",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"12",13," detonautas acre song ",34,"Bb","G","detonautas"
"13",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"14",13," detonautas acre song ",34,"C","G","detonautas"
"15",13," detonautas acre song ",34,"Bb","G","detonautas"
"16",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"17",13," detonautas acre song ",34,"C","G","detonautas"
"18",13," detonautas acre song ",34,"Bb","G","detonautas"
"19",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"20",13," detonautas acre song ",34,"C","G","detonautas"
"21",13," detonautas acre song ",34,"Bb","G","detonautas"
"22",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"23",13," detonautas acre song ",34,"C","G","detonautas"
"24",13," detonautas acre song ",34,"Bb","G","detonautas"
"25",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"26",13," detonautas acre song ",34,"G","G","detonautas"
"27",13," detonautas acre song ",34,"Am","G","detonautas"
"28",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"29",13," detonautas acre song ",34,"Am","G","detonautas"
"30",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"31",13," detonautas acre song ",34,"Am","G","detonautas"
"32",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"33",13," detonautas acre song ",34,"Am","G","detonautas"
"34",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"35",13," detonautas acre song ",34,"Bb","G","detonautas"
"36",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"37",13," detonautas acre song ",34,"C","G","detonautas"
"38",13," detonautas acre song ",34,"Bb","G","detonautas"
"39",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"40",13," detonautas acre song ",34,"C","G","detonautas"
"41",13," detonautas acre song ",34,"Bb","G","detonautas"
"42",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"43",13," detonautas acre song ",34,"C","G","detonautas"
"44",13," detonautas acre song ",34,"Bb","G","detonautas"
"45",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"46",13," detonautas acre song ",34,"C","G","detonautas"
"47",13," detonautas acre song ",34,"Bb","G","detonautas"
"48",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"49",13," detonautas acre song ",34,"Bb","G","detonautas"
"50",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"51",13," detonautas acre song ",34,"Bb","G","detonautas"
"52",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"53",13," detonautas acre song ",34,"Bb","G","detonautas"
"54",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"55",13," detonautas acre song ",34,"G","G","detonautas"
"56",13," detonautas acre song ",34,"Bb","G","detonautas"
"57",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"58",13," detonautas acre song ",34,"C","G","detonautas"
"59",13," detonautas acre song ",34,"Bb","G","detonautas"
"60",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"61",13," detonautas acre song ",34,"C","G","detonautas"
"62",13," detonautas acre song ",34,"Bb","G","detonautas"
"63",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"64",13," detonautas acre song ",34,"C","G","detonautas"
"65",13," detonautas acre song ",34,"Bb","G","detonautas"
"66",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"67",13," detonautas acre song ",34,"C","G","detonautas"
"68",13," detonautas acre song ",34,"Bb","G","detonautas"
"69",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"70",13," detonautas acre song ",34,"Bb","G","detonautas"
"71",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"72",13," detonautas acre song ",34,"Bb","G","detonautas"
"73",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"74",13," detonautas acre song ",34,"Bb","G","detonautas"
"75",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"76",13," detonautas acre song ",34,"Bb","G","detonautas"
"77",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"78",13," detonautas acre song ",34,"Bb","G","detonautas"
"79",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"80",13," detonautas acre song ",34,"Bb","G","detonautas"
"81",13," detonautas acre song ",34,"D5(9)","G","detonautas"
"82",8," detonautas acredite no seu coracao ",28,"C","C","detonautas"
"83",8," detonautas acredite no seu coracao ",28,"G","C","detonautas"
"84",8," detonautas acredite no seu coracao ",28,"D","C","detonautas"
"85",8," detonautas acredite no seu coracao ",28,"Em","C","detonautas"
"86",8," detonautas acredite no seu coracao ",28,"C","C","detonautas"
"87",8," detonautas acredite no seu coracao ",28,"G","C","detonautas"
"88",8," detonautas acredite no seu coracao ",28,"D","C","detonautas"
"89",8," detonautas acredite no seu coracao ",28,"C","C","detonautas"
"90",8," detonautas acredite no seu coracao ",28,"G","C","detonautas"
"91",8," detonautas acredite no seu coracao ",28,"D","C","detonautas"
"92",8," detonautas acredite no seu coracao ",28,"C","C","detonautas"
"93",8," detonautas acredite no seu coracao ",28,"G","C","detonautas"
"94",8," detonautas acredite no seu coracao ",28,"D","C","detonautas"
"95",8," detonautas acredite no seu coracao ",28,"C","C","detonautas"
"96",8," detonautas acredite no seu coracao ",28,"G","C","detonautas"
"97",8," detonautas acredite no seu coracao ",28,"D","C","detonautas"
"98",8," detonautas acredite no seu coracao ",28,"C","C","detonautas"
"99",8," detonautas acredite no seu coracao ",28,"G","C","detonautas"
"100",8," detonautas acredite no seu coracao ",28,"D","C","detonautas"
"101",8," detonautas acredite no seu coracao ",28,"Em","C","detonautas"
"102",8," detonautas acredite no seu coracao ",28,"Am","C","detonautas"
"103",8," detonautas acredite no seu coracao ",28,"Em","C","detonautas"
"104",8," detonautas acredite no seu coracao ",28,"Am","C","detonautas"
"105",8," detonautas acredite no seu coracao ",28,"D","C","detonautas"
"106",8," detonautas acredite no seu coracao ",28,"D9/C","C","detonautas"
"107",8," detonautas acredite no seu coracao ",28,"D9/B","C","detonautas"
"108",8," detonautas acredite no seu coracao ",28,"D9","C","detonautas"
"109",8," detonautas acredite no seu coracao ",28,"D9/B","C","detonautas"
"110",8," detonautas acredite no seu coracao ",28,"F7M/C","C","detonautas"
"111",8," detonautas acredite no seu coracao ",28,"C","C","detonautas"
"112",8," detonautas acredite no seu coracao ",28,"G","C","detonautas"
"113",8," detonautas acredite no seu coracao ",28,"D","C","detonautas"
"114",8," detonautas acredite no seu coracao ",28,"D9/B","C","detonautas"
"115",8," detonautas acredite no seu coracao ",28,"F7M/C","C","detonautas"
"116",8," detonautas acredite no seu coracao ",28,"C","C","detonautas"
"117",8," detonautas acredite no seu coracao ",28,"G","C","detonautas"
"118",8," detonautas acredite no seu coracao ",28,"D","C","detonautas"
"119",8," detonautas acredite no seu coracao ",28,"C","C","detonautas"
