"date" "music" "popul" "chord" "key" "artist"
"1" "2015-06-02" " diogo nogueira a gente se liga " 33 "Bm" "D" "diogo nogueira"
"2" "2015-06-02" " diogo nogueira a gente se liga " 33 "F#7" "D" "diogo nogueira"
"3" "2015-06-02" " diogo nogueira a gente se liga " 33 "Cdim" "D" "diogo nogueira"
"4" "2015-06-02" " diogo nogueira a gente se liga " 33 "Em/B" "D" "diogo nogueira"
"5" "2015-06-02" " diogo nogueira a gente se liga " 33 "A" "D" "diogo nogueira"
"6" "2015-06-02" " diogo nogueira a gente se liga " 33 "D" "D" "diogo nogueira"
"7" "2015-06-02" " diogo nogueira a gente se liga " 33 "G" "D" "diogo nogueira"
"8" "2015-06-02" " diogo nogueira a gente se liga " 33 "F#7" "D" "diogo nogueira"
"9" "2015-06-02" " diogo nogueira a gente se liga " 33 "Bm" "D" "diogo nogueira"
"10" "2015-06-02" " diogo nogueira a gente se liga " 33 "F#m7/5-" "D" "diogo nogueira"
"11" "2015-06-02" " diogo nogueira a gente se liga " 33 "B7" "D" "diogo nogueira"
"12" "2015-06-02" " diogo nogueira a gente se liga " 33 "Em" "D" "diogo nogueira"
"13" "2015-06-02" " diogo nogueira a gente se liga " 33 "A" "D" "diogo nogueira"
"14" "2015-06-02" " diogo nogueira a gente se liga " 33 "D" "D" "diogo nogueira"
"15" "2015-06-02" " diogo nogueira a gente se liga " 33 "G" "D" "diogo nogueira"
"16" "2015-06-02" " diogo nogueira a gente se liga " 33 "F#7" "D" "diogo nogueira"
"17" "2015-06-02" " diogo nogueira a gente se liga " 33 "B" "D" "diogo nogueira"
"18" "2015-06-02" " diogo nogueira a gente se liga " 33 "B5+" "D" "diogo nogueira"
"19" "2015-06-02" " diogo nogueira a gente se liga " 33 "B6" "D" "diogo nogueira"
"20" "2015-06-02" " diogo nogueira a gente se liga " 33 "B7" "D" "diogo nogueira"
"21" "2015-06-02" " diogo nogueira a gente se liga " 33 "E" "D" "diogo nogueira"
"22" "2015-06-02" " diogo nogueira a gente se liga " 33 "F#7" "D" "diogo nogueira"
"23" "2015-06-02" " diogo nogueira a gente se liga " 33 "B" "D" "diogo nogueira"
"24" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "C#" "C#" "diogo nogueira"
"25" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "A#7" "C#" "diogo nogueira"
"26" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "D#m" "C#" "diogo nogueira"
"27" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "G#7" "C#" "diogo nogueira"
"28" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "C#" "C#" "diogo nogueira"
"29" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "A#7" "C#" "diogo nogueira"
"30" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "D#m" "C#" "diogo nogueira"
"31" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "G#7" "C#" "diogo nogueira"
"32" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "C#" "C#" "diogo nogueira"
"33" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "G#7" "C#" "diogo nogueira"
"34" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "C#" "C#" "diogo nogueira"
"35" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "F#" "C#" "diogo nogueira"
"36" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "C#" "C#" "diogo nogueira"
"37" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "F#" "C#" "diogo nogueira"
"38" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "C#" "C#" "diogo nogueira"
"39" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "A#7" "C#" "diogo nogueira"
"40" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "D#m" "C#" "diogo nogueira"
"41" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "A#7" "C#" "diogo nogueira"
"42" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "D#m" "C#" "diogo nogueira"
"43" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "G#7" "C#" "diogo nogueira"
"44" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "C#" "C#" "diogo nogueira"
"45" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "F#" "C#" "diogo nogueira"
"46" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "C#" "C#" "diogo nogueira"
"47" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "G#7" "C#" "diogo nogueira"
"48" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "C#" "C#" "diogo nogueira"
"49" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "Fm" "C#" "diogo nogueira"
"50" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "C#" "C#" "diogo nogueira"
"51" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "A#7" "C#" "diogo nogueira"
"52" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "D#m" "C#" "diogo nogueira"
"53" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "A#7" "C#" "diogo nogueira"
"54" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "D#m" "C#" "diogo nogueira"
"55" "2010-12-03" " diogo nogueira a vitoria demora mas vem " 24 "F#" "C#" "diogo nogueira"
