"date","music","popul","chord","key","artist"
"1",5," dudu nobre a grande familia ",40,"Bb7","A#","dudu nobre"
"2",5," dudu nobre a grande familia ",40,"Bb7","A#","dudu nobre"
"3",5," dudu nobre a grande familia ",40,"Bb7","A#","dudu nobre"
"4",5," dudu nobre a grande familia ",40,"Eb","A#","dudu nobre"
"5",5," dudu nobre a grande familia ",40,"E°","A#","dudu nobre"
"6",5," dudu nobre a grande familia ",40,"Bb","A#","dudu nobre"
"7",5," dudu nobre a grande familia ",40,"A","A#","dudu nobre"
"8",5," dudu nobre a grande familia ",40,"Ab","A#","dudu nobre"
"9",5," dudu nobre a grande familia ",40,"G7","A#","dudu nobre"
"10",5," dudu nobre a grande familia ",40,"C7/9","A#","dudu nobre"
"11",5," dudu nobre a grande familia ",40,"F7/9/11","A#","dudu nobre"
"12",5," dudu nobre a grande familia ",40,"Bb","A#","dudu nobre"
"13",5," dudu nobre a grande familia ",40,"Bb7","A#","dudu nobre"
"14",5," dudu nobre a grande familia ",40,"Eb","A#","dudu nobre"
"15",5," dudu nobre a grande familia ",40,"Ebm","A#","dudu nobre"
"16",5," dudu nobre a grande familia ",40,"F7","A#","dudu nobre"
"17",5," dudu nobre a grande familia ",40,"Bb","A#","dudu nobre"
"18",5," dudu nobre a grande familia ",40,"Bb","A#","dudu nobre"
"19",5," dudu nobre a grande familia ",40,"A","A#","dudu nobre"
"20",5," dudu nobre a grande familia ",40,"Ab","A#","dudu nobre"
"21",5," dudu nobre a grande familia ",40,"G7","A#","dudu nobre"
"22",5," dudu nobre a grande familia ",40,"C7/9","A#","dudu nobre"
"23",5," dudu nobre a grande familia ",40,"F7/9/11","A#","dudu nobre"
"24",5," dudu nobre a grande familia ",40,"F7","A#","dudu nobre"
"25",5," dudu nobre a grande familia ",40,"Bb","A#","dudu nobre"
"26",5," dudu nobre a grande familia ",40,"Cm7","A#","dudu nobre"
"27",5," dudu nobre a grande familia ",40,"F7/9","A#","dudu nobre"
"28",5," dudu nobre a grande familia ",40,"Bb","A#","dudu nobre"
"29",5," dudu nobre a grande familia ",40,"Cm7","A#","dudu nobre"
"30",5," dudu nobre a grande familia ",40,"F7/9","A#","dudu nobre"
"31",5," dudu nobre a grande familia ",40,"Bb","A#","dudu nobre"
"32",5," dudu nobre a grande familia ",40,"Cm7","A#","dudu nobre"
"33",5," dudu nobre a grande familia ",40,"F7/9","A#","dudu nobre"
"34",5," dudu nobre a grande familia ",40,"Bb","A#","dudu nobre"
"35",5," dudu nobre a grande familia ",40,"Em7/5b","A#","dudu nobre"
"36",5," dudu nobre a grande familia ",40,"A7","A#","dudu nobre"
"37",5," dudu nobre a grande familia ",40,"Dm7","A#","dudu nobre"
"38",5," dudu nobre a grande familia ",40,"Eb","A#","dudu nobre"
"39",5," dudu nobre a grande familia ",40,"E°","A#","dudu nobre"
"40",5," dudu nobre a grande familia ",40,"Bb","A#","dudu nobre"
"41",5," dudu nobre a grande familia ",40,"E°","A#","dudu nobre"
"42",5," dudu nobre a grande familia ",40,"Cm7","A#","dudu nobre"
"43",5," dudu nobre a grande familia ",40,"F7/9/11","A#","dudu nobre"
"44",5," dudu nobre a grande familia ",40,"Bb","A#","dudu nobre"
"45",3," dudu nobre caboquere ",4,"C7","F","dudu nobre"
"46",3," dudu nobre caboquere ",4,"Bb","F","dudu nobre"
"47",3," dudu nobre caboquere ",4,"F","F","dudu nobre"
"48",3," dudu nobre caboquere ",4,"Bb","F","dudu nobre"
"49",3," dudu nobre caboquere ",4,"F","F","dudu nobre"
"50",3," dudu nobre caboquere ",4,"C7","F","dudu nobre"
