"date" "music" "popul" "chord" "key" "artist"
"1" "2004-03-15" " dudu nobre a grande familia " 39 "Bb7" "A#" "dudu nobre"
"2" "2004-03-15" " dudu nobre a grande familia " 39 "Bb7" "A#" "dudu nobre"
"3" "2004-03-15" " dudu nobre a grande familia " 39 "Bb7" "A#" "dudu nobre"
"4" "2004-03-15" " dudu nobre a grande familia " 39 "Eb" "A#" "dudu nobre"
"5" "2004-03-15" " dudu nobre a grande familia " 39 "Edim" "A#" "dudu nobre"
"6" "2004-03-15" " dudu nobre a grande familia " 39 "Bb" "A#" "dudu nobre"
"7" "2004-03-15" " dudu nobre a grande familia " 39 "A" "A#" "dudu nobre"
"8" "2004-03-15" " dudu nobre a grande familia " 39 "Ab" "A#" "dudu nobre"
"9" "2004-03-15" " dudu nobre a grande familia " 39 "G7" "A#" "dudu nobre"
"10" "2004-03-15" " dudu nobre a grande familia " 39 "C7/9" "A#" "dudu nobre"
"11" "2004-03-15" " dudu nobre a grande familia " 39 "F7/9/11" "A#" "dudu nobre"
"12" "2004-03-15" " dudu nobre a grande familia " 39 "Bb" "A#" "dudu nobre"
"13" "2004-03-15" " dudu nobre a grande familia " 39 "Bb7" "A#" "dudu nobre"
"14" "2004-03-15" " dudu nobre a grande familia " 39 "Eb" "A#" "dudu nobre"
"15" "2004-03-15" " dudu nobre a grande familia " 39 "Ebm" "A#" "dudu nobre"
"16" "2004-03-15" " dudu nobre a grande familia " 39 "F7" "A#" "dudu nobre"
"17" "2004-03-15" " dudu nobre a grande familia " 39 "Bb" "A#" "dudu nobre"
"18" "2004-03-15" " dudu nobre a grande familia " 39 "Bb" "A#" "dudu nobre"
"19" "2004-03-15" " dudu nobre a grande familia " 39 "A" "A#" "dudu nobre"
"20" "2004-03-15" " dudu nobre a grande familia " 39 "Ab" "A#" "dudu nobre"
"21" "2004-03-15" " dudu nobre a grande familia " 39 "G7" "A#" "dudu nobre"
"22" "2004-03-15" " dudu nobre a grande familia " 39 "C7/9" "A#" "dudu nobre"
"23" "2004-03-15" " dudu nobre a grande familia " 39 "F7/9/11" "A#" "dudu nobre"
"24" "2004-03-15" " dudu nobre a grande familia " 39 "F7" "A#" "dudu nobre"
"25" "2004-03-15" " dudu nobre a grande familia " 39 "Bb" "A#" "dudu nobre"
"26" "2004-03-15" " dudu nobre a grande familia " 39 "Cm7" "A#" "dudu nobre"
"27" "2004-03-15" " dudu nobre a grande familia " 39 "F7/9" "A#" "dudu nobre"
"28" "2004-03-15" " dudu nobre a grande familia " 39 "Bb" "A#" "dudu nobre"
"29" "2004-03-15" " dudu nobre a grande familia " 39 "Cm7" "A#" "dudu nobre"
"30" "2004-03-15" " dudu nobre a grande familia " 39 "F7/9" "A#" "dudu nobre"
"31" "2004-03-15" " dudu nobre a grande familia " 39 "Bb" "A#" "dudu nobre"
"32" "2004-03-15" " dudu nobre a grande familia " 39 "Cm7" "A#" "dudu nobre"
"33" "2004-03-15" " dudu nobre a grande familia " 39 "F7/9" "A#" "dudu nobre"
"34" "2004-03-15" " dudu nobre a grande familia " 39 "Bb" "A#" "dudu nobre"
"35" "2004-03-15" " dudu nobre a grande familia " 39 "Em7/5b" "A#" "dudu nobre"
"36" "2004-03-15" " dudu nobre a grande familia " 39 "A7" "A#" "dudu nobre"
"37" "2004-03-15" " dudu nobre a grande familia " 39 "Dm7" "A#" "dudu nobre"
"38" "2004-03-15" " dudu nobre a grande familia " 39 "Eb" "A#" "dudu nobre"
"39" "2004-03-15" " dudu nobre a grande familia " 39 "Edim" "A#" "dudu nobre"
"40" "2004-03-15" " dudu nobre a grande familia " 39 "Bb" "A#" "dudu nobre"
"41" "2004-03-15" " dudu nobre a grande familia " 39 "Edim" "A#" "dudu nobre"
"42" "2004-03-15" " dudu nobre a grande familia " 39 "Cm7" "A#" "dudu nobre"
"43" "2004-03-15" " dudu nobre a grande familia " 39 "F7/9/11" "A#" "dudu nobre"
"44" "2004-03-15" " dudu nobre a grande familia " 39 "Bb" "A#" "dudu nobre"
"45" "1998-01-09" " dudu nobre caboquere " 3 "C7" "F" "dudu nobre"
"46" "1998-01-09" " dudu nobre caboquere " 3 "Bb" "F" "dudu nobre"
"47" "1998-01-09" " dudu nobre caboquere " 3 "F" "F" "dudu nobre"
"48" "1998-01-09" " dudu nobre caboquere " 3 "Bb" "F" "dudu nobre"
"49" "1998-01-09" " dudu nobre caboquere " 3 "F" "F" "dudu nobre"
"50" "1998-01-09" " dudu nobre caboquere " 3 "C7" "F" "dudu nobre"
"51" "1998-01-09" " dudu nobre caboquere " 3 "F" "F" "dudu nobre"
"52" "1998-01-09" " dudu nobre caboquere " 3 "C7" "F" "dudu nobre"
"53" "1998-01-09" " dudu nobre caboquere " 3 "Bb" "F" "dudu nobre"
"54" "1998-01-09" " dudu nobre caboquere " 3 "F" "F" "dudu nobre"
"55" "1998-01-09" " dudu nobre caboquere " 3 "C7" "F" "dudu nobre"
"56" "1998-01-09" " dudu nobre caboquere " 3 "F" "F" "dudu nobre"
"57" "1998-01-09" " dudu nobre caboquere " 3 "C7" "F" "dudu nobre"
"58" "1998-01-09" " dudu nobre caboquere " 3 "F" "F" "dudu nobre"
"59" "1998-01-09" " dudu nobre caboquere " 3 "C7" "F" "dudu nobre"
"60" "1998-01-09" " dudu nobre caboquere " 3 "F" "F" "dudu nobre"
"61" "1998-01-09" " dudu nobre caboquere " 3 "D7" "F" "dudu nobre"
"62" "1998-01-09" " dudu nobre caboquere " 3 "Gm" "F" "dudu nobre"
"63" "1998-01-09" " dudu nobre caboquere " 3 "C7" "F" "dudu nobre"
"64" "1998-01-09" " dudu nobre caboquere " 3 "F" "F" "dudu nobre"
"65" "1998-01-09" " dudu nobre caboquere " 3 "C7" "F" "dudu nobre"
"66" "1998-01-09" " dudu nobre caboquere " 3 "F" "F" "dudu nobre"
"67" "1998-01-09" " dudu nobre caboquere " 3 "D7" "F" "dudu nobre"
"68" "1998-01-09" " dudu nobre caboquere " 3 "Gm" "F" "dudu nobre"
"69" "1998-01-09" " dudu nobre caboquere " 3 "C7" "F" "dudu nobre"
"70" "1998-01-09" " dudu nobre caboquere " 3 "F" "F" "dudu nobre"
"71" "1998-01-09" " dudu nobre caboquere " 3 "D7" "F" "dudu nobre"
"72" "1998-01-09" " dudu nobre caboquere " 3 "Gm" "F" "dudu nobre"
"73" "1998-01-09" " dudu nobre caboquere " 3 "C7" "F" "dudu nobre"
"74" "1998-01-09" " dudu nobre caboquere " 3 "F" "F" "dudu nobre"
"75" "1998-01-09" " dudu nobre caboquere " 3 "D7" "F" "dudu nobre"
"76" "1998-01-09" " dudu nobre caboquere " 3 "Gm" "F" "dudu nobre"
"77" "1998-01-09" " dudu nobre caboquere " 3 "C7" "F" "dudu nobre"
"78" "1998-01-09" " dudu nobre caboquere " 3 "F" "F" "dudu nobre"
"79" "1998-01-09" " dudu nobre caboquere " 3 "D7" "F" "dudu nobre"
"80" "1998-01-09" " dudu nobre caboquere " 3 "Gm" "F" "dudu nobre"
"81" "1998-01-09" " dudu nobre caboquere " 3 "C7" "F" "dudu nobre"
"82" "1998-01-09" " dudu nobre caboquere " 3 "F" "F" "dudu nobre"
"83" "1998-01-09" " dudu nobre cangaceiro " 3 "C7" "F" "dudu nobre"
"84" "1998-01-09" " dudu nobre cangaceiro " 3 "F" "F" "dudu nobre"
"85" "1998-01-09" " dudu nobre cangaceiro " 3 "C7" "F" "dudu nobre"
"86" "1998-01-09" " dudu nobre cangaceiro " 3 "F" "F" "dudu nobre"
"87" "1998-01-09" " dudu nobre cangaceiro " 3 "Bb" "F" "dudu nobre"
"88" "1998-01-09" " dudu nobre cangaceiro " 3 "F" "F" "dudu nobre"
"89" "1998-01-09" " dudu nobre cangaceiro " 3 "C7" "F" "dudu nobre"
"90" "1998-01-09" " dudu nobre cangaceiro " 3 "F" "F" "dudu nobre"
"91" "1998-01-09" " dudu nobre cangaceiro " 3 "Bb" "F" "dudu nobre"
"92" "1998-01-09" " dudu nobre cangaceiro " 3 "G#º" "F" "dudu nobre"
