"date","music","popul","chord","key","artist"
"1",32," elis regina a banca do distinto ",7,"D7M","D","elis regina"
"2",32," elis regina a banca do distinto ",7,"Dm6","D","elis regina"
"3",32," elis regina a banca do distinto ",7,"C#m7","D","elis regina"
"4",32," elis regina a banca do distinto ",7,"F#7/13-","D","elis regina"
"5",32," elis regina a banca do distinto ",7,"Bm7","D","elis regina"
"6",32," elis regina a banca do distinto ",7,"E7/13","D","elis regina"
"7",32," elis regina a banca do distinto ",7,"A7M","D","elis regina"
"8",32," elis regina a banca do distinto ",7,"F#7/13-","D","elis regina"
"9",32," elis regina a banca do distinto ",7,"Bm7","D","elis regina"
"10",32," elis regina a banca do distinto ",7,"E7/9","D","elis regina"
"11",32," elis regina a banca do distinto ",7,"A7M","D","elis regina"
"12",32," elis regina a banca do distinto ",7,"F#7/13-","D","elis regina"
"13",32," elis regina a banca do distinto ",7,"Bm7","D","elis regina"
"14",32," elis regina a banca do distinto ",7,"E7/9","D","elis regina"
"15",32," elis regina a banca do distinto ",7,"A7M","D","elis regina"
"16",32," elis regina a banca do distinto ",7,"F#7/13","D","elis regina"
"17",32," elis regina a banca do distinto ",7,"F#7/13-","D","elis regina"
"18",32," elis regina a banca do distinto ",7,"Bm7","D","elis regina"
"19",32," elis regina a banca do distinto ",7,"E7/9","D","elis regina"
"20",32," elis regina a banca do distinto ",7,"A7M","D","elis regina"
"21",32," elis regina a banca do distinto ",7,"Bm7","D","elis regina"
"22",32," elis regina a banca do distinto ",7,"E7/9","D","elis regina"
"23",32," elis regina a banca do distinto ",7,"A7M","D","elis regina"
"24",32," elis regina a banca do distinto ",7,"Eb7/9","D","elis regina"
"25",32," elis regina a banca do distinto ",7,"D7M","D","elis regina"
"26",32," elis regina a banca do distinto ",7,"G#7/13-","D","elis regina"
"27",32," elis regina a banca do distinto ",7,"G7/13","D","elis regina"
"28",32," elis regina a banca do distinto ",7,"F#7/13-","D","elis regina"
"29",32," elis regina a banca do distinto ",7,"Bm7/9","D","elis regina"
"30",32," elis regina a banca do distinto ",7,"F7/9","D","elis regina"
"31",32," elis regina a banca do distinto ",7,"E7/9","D","elis regina"
"32",32," elis regina a banca do distinto ",7,"F#/G#","D","elis regina"
"33",32," elis regina a banca do distinto ",7,"A7M","D","elis regina"
"34",32," elis regina a banca do distinto ",7,"D7M","D","elis regina"
"35",32," elis regina a banca do distinto ",7,"D#dim","D","elis regina"
"36",32," elis regina a banca do distinto ",7,"A7M","D","elis regina"
"37",32," elis regina a banca do distinto ",7,"F#7/13","D","elis regina"
"38",32," elis regina a banca do distinto ",7,"F#7/13-","D","elis regina"
"39",32," elis regina a banca do distinto ",7,"Bm7/9","D","elis regina"
"40",32," elis regina a banca do distinto ",7,"E7/9","D","elis regina"
"41",32," elis regina a banca do distinto ",7,"A7M","D","elis regina"
"42",32," elis regina a banca do distinto ",7,"D7M","D","elis regina"
