"date","music","popul","chord","key","artist"
"1",13," engenheiros do hawaii 10000 destinos ",49,"C","C","engenheiros do hawaii"
"2",13," engenheiros do hawaii 10000 destinos ",49,"C","C","engenheiros do hawaii"
"3",13," engenheiros do hawaii 10000 destinos ",49,"D","C","engenheiros do hawaii"
"4",13," engenheiros do hawaii 10000 destinos ",49,"G","C","engenheiros do hawaii"
"5",13," engenheiros do hawaii 10000 destinos ",49,"C","C","engenheiros do hawaii"
"6",13," engenheiros do hawaii 10000 destinos ",49,"D","C","engenheiros do hawaii"
"7",13," engenheiros do hawaii 10000 destinos ",49,"G","C","engenheiros do hawaii"
"8",13," engenheiros do hawaii 10000 destinos ",49,"F","C","engenheiros do hawaii"
"9",13," engenheiros do hawaii 10000 destinos ",49,"Em","C","engenheiros do hawaii"
"10",13," engenheiros do hawaii 10000 destinos ",49,"C#7/9","C","engenheiros do hawaii"
"11",13," engenheiros do hawaii 10000 destinos ",49,"C7/9","C","engenheiros do hawaii"
"12",13," engenheiros do hawaii 10000 destinos ",49,"F","C","engenheiros do hawaii"
"13",13," engenheiros do hawaii 10000 destinos ",49,"C","C","engenheiros do hawaii"
"14",13," engenheiros do hawaii 10000 destinos ",49,"G/B","C","engenheiros do hawaii"
"15",13," engenheiros do hawaii 10000 destinos ",49,"C","C","engenheiros do hawaii"
"16",13," engenheiros do hawaii 10000 destinos ",49,"C","C","engenheiros do hawaii"
"17",13," engenheiros do hawaii 10000 destinos ",49,"D","C","engenheiros do hawaii"
"18",13," engenheiros do hawaii 10000 destinos ",49,"G","C","engenheiros do hawaii"
"19",13," engenheiros do hawaii 10000 destinos ",49,"C","C","engenheiros do hawaii"
"20",13," engenheiros do hawaii 10000 destinos ",49,"D","C","engenheiros do hawaii"
"21",13," engenheiros do hawaii 10000 destinos ",49,"G","C","engenheiros do hawaii"
"22",13," engenheiros do hawaii 10000 destinos ",49,"F","C","engenheiros do hawaii"
"23",13," engenheiros do hawaii 10000 destinos ",49,"Em","C","engenheiros do hawaii"
"24",13," engenheiros do hawaii 10000 destinos ",49,"C#7/9","C","engenheiros do hawaii"
"25",13," engenheiros do hawaii 10000 destinos ",49,"C7/9","C","engenheiros do hawaii"
"26",13," engenheiros do hawaii 10000 destinos ",49,"F","C","engenheiros do hawaii"
"27",13," engenheiros do hawaii 10000 destinos ",49,"C","C","engenheiros do hawaii"
"28",13," engenheiros do hawaii 10000 destinos ",49,"G/B","C","engenheiros do hawaii"
"29",13," engenheiros do hawaii 10000 destinos ",49,"C","C","engenheiros do hawaii"
"30",13," engenheiros do hawaii 10000 destinos ",49,"E5","C","engenheiros do hawaii"
"31",13," engenheiros do hawaii 10000 destinos ",49,"E7","C","engenheiros do hawaii"
"32",13," engenheiros do hawaii 10000 destinos ",49,"D7","C","engenheiros do hawaii"
"33",13," engenheiros do hawaii 10000 destinos ",49,"F/C","C","engenheiros do hawaii"
"34",13," engenheiros do hawaii 10000 destinos ",49,"E5","C","engenheiros do hawaii"
"35",13," engenheiros do hawaii 10000 destinos ",49,"E7","C","engenheiros do hawaii"
"36",13," engenheiros do hawaii 10000 destinos ",49,"D7","C","engenheiros do hawaii"
"37",13," engenheiros do hawaii 10000 destinos ",49,"F/C","C","engenheiros do hawaii"
"38",13," engenheiros do hawaii 10000 destinos ",49,"Dm","C","engenheiros do hawaii"
"39",13," engenheiros do hawaii 10000 destinos ",49,"G","C","engenheiros do hawaii"
"40",13," engenheiros do hawaii 10000 destinos ",49,"Dm","C","engenheiros do hawaii"
"41",13," engenheiros do hawaii 10000 destinos ",49,"G","C","engenheiros do hawaii"
"42",13," engenheiros do hawaii 10000 destinos ",49,"Dm","C","engenheiros do hawaii"
"43",13," engenheiros do hawaii 10000 destinos ",49,"G","C","engenheiros do hawaii"
"44",13," engenheiros do hawaii 10000 destinos ",49,"Dm","C","engenheiros do hawaii"
"45",13," engenheiros do hawaii 10000 destinos ",49,"G","C","engenheiros do hawaii"
"46",13," engenheiros do hawaii 10000 destinos ",49,"D9","C","engenheiros do hawaii"
"47",13," engenheiros do hawaii 10000 destinos ",49,"G6","C","engenheiros do hawaii"
"48",13," engenheiros do hawaii 10000 destinos ",49,"A9","C","engenheiros do hawaii"
"49",13," engenheiros do hawaii 10000 destinos ",49,"B9","C","engenheiros do hawaii"
"50",13," engenheiros do hawaii 10000 destinos ",49,"F/C","C","engenheiros do hawaii"
"51",13," engenheiros do hawaii 10000 destinos ",49,"D9","C","engenheiros do hawaii"
"52",13," engenheiros do hawaii 10000 destinos ",49,"G6","C","engenheiros do hawaii"
"53",13," engenheiros do hawaii 10000 destinos ",49,"A9","C","engenheiros do hawaii"
"54",13," engenheiros do hawaii 10000 destinos ",49,"B9","C","engenheiros do hawaii"
"55",13," engenheiros do hawaii 10000 destinos ",49,"F/C","C","engenheiros do hawaii"
"56",13," engenheiros do hawaii 10000 destinos ",49,"C","C","engenheiros do hawaii"
"57",13," engenheiros do hawaii 10000 destinos ",49,"C","C","engenheiros do hawaii"
"58",13," engenheiros do hawaii 10000 destinos ",49,"D","C","engenheiros do hawaii"
"59",13," engenheiros do hawaii 10000 destinos ",49,"G","C","engenheiros do hawaii"
"60",13," engenheiros do hawaii 10000 destinos ",49,"C","C","engenheiros do hawaii"
"61",13," engenheiros do hawaii 10000 destinos ",49,"D","C","engenheiros do hawaii"
"62",13," engenheiros do hawaii 10000 destinos ",49,"G","C","engenheiros do hawaii"
"63",13," engenheiros do hawaii 10000 destinos ",49,"F","C","engenheiros do hawaii"
"64",13," engenheiros do hawaii 10000 destinos ",49,"Em","C","engenheiros do hawaii"
"65",13," engenheiros do hawaii 10000 destinos ",49,"C#7/9","C","engenheiros do hawaii"
"66",13," engenheiros do hawaii 10000 destinos ",49,"C7/9","C","engenheiros do hawaii"
"67",13," engenheiros do hawaii 10000 destinos ",49,"F","C","engenheiros do hawaii"
"68",13," engenheiros do hawaii 10000 destinos ",49,"C","C","engenheiros do hawaii"
"69",13," engenheiros do hawaii 10000 destinos ",49,"G/B","C","engenheiros do hawaii"
"70",13," engenheiros do hawaii 10000 destinos ",49,"C","C","engenheiros do hawaii"
"71",13," engenheiros do hawaii 10000 destinos ",49,"E5","C","engenheiros do hawaii"
"72",13," engenheiros do hawaii 10000 destinos ",49,"E7","C","engenheiros do hawaii"
"73",13," engenheiros do hawaii 10000 destinos ",49,"D7","C","engenheiros do hawaii"
"74",13," engenheiros do hawaii 10000 destinos ",49,"F/C","C","engenheiros do hawaii"
"75",13," engenheiros do hawaii 10000 destinos ",49,"E5","C","engenheiros do hawaii"
"76",13," engenheiros do hawaii 10000 destinos ",49,"E7","C","engenheiros do hawaii"
"77",13," engenheiros do hawaii 10000 destinos ",49,"D7","C","engenheiros do hawaii"
"78",13," engenheiros do hawaii 10000 destinos ",49,"F/C","C","engenheiros do hawaii"
"79",13," engenheiros do hawaii 10000 destinos ",49,"Dm","C","engenheiros do hawaii"
"80",13," engenheiros do hawaii 10000 destinos ",49,"G","C","engenheiros do hawaii"
"81",13," engenheiros do hawaii 10000 destinos ",49,"Dm","C","engenheiros do hawaii"
"82",13," engenheiros do hawaii 10000 destinos ",49,"G","C","engenheiros do hawaii"
"83",13," engenheiros do hawaii 10000 destinos ",49,"Dm","C","engenheiros do hawaii"
"84",13," engenheiros do hawaii 10000 destinos ",49,"G","C","engenheiros do hawaii"
"85",13," engenheiros do hawaii 10000 destinos ",49,"Dm","C","engenheiros do hawaii"
"86",13," engenheiros do hawaii 10000 destinos ",49,"G","C","engenheiros do hawaii"
"87",13," engenheiros do hawaii 10000 destinos ",49,"D9","C","engenheiros do hawaii"
"88",13," engenheiros do hawaii 10000 destinos ",49,"G6","C","engenheiros do hawaii"
"89",13," engenheiros do hawaii 10000 destinos ",49,"A9","C","engenheiros do hawaii"
"90",13," engenheiros do hawaii 10000 destinos ",49,"B9","C","engenheiros do hawaii"
"91",13," engenheiros do hawaii 10000 destinos ",49,"F/C","C","engenheiros do hawaii"
"92",13," engenheiros do hawaii 10000 destinos ",49,"C","C","engenheiros do hawaii"
"93",13," engenheiros do hawaii 10000 destinos ",49,"Dm","C","engenheiros do hawaii"
"94",13," engenheiros do hawaii 10000 destinos ",49,"G","C","engenheiros do hawaii"
"95",13," engenheiros do hawaii 10000 destinos ",49,"Dm","C","engenheiros do hawaii"
"96",13," engenheiros do hawaii 10000 destinos ",49,"G","C","engenheiros do hawaii"
"97",13," engenheiros do hawaii 10000 destinos ",49,"Dm","C","engenheiros do hawaii"
"98",13," engenheiros do hawaii 10000 destinos ",49,"G","C","engenheiros do hawaii"
"99",13," engenheiros do hawaii 10000 destinos ",49,"Dm","C","engenheiros do hawaii"
"100",13," engenheiros do hawaii 10000 destinos ",49,"G","C","engenheiros do hawaii"
"101",13," engenheiros do hawaii 10000 destinos ",49,"D9","C","engenheiros do hawaii"
"102",13," engenheiros do hawaii 10000 destinos ",49,"G6","C","engenheiros do hawaii"
"103",13," engenheiros do hawaii 10000 destinos ",49,"A9","C","engenheiros do hawaii"
"104",13," engenheiros do hawaii 10000 destinos ",49,"B9","C","engenheiros do hawaii"
"105",13," engenheiros do hawaii 10000 destinos ",49,"F/C","C","engenheiros do hawaii"
"106",11," engenheiros do hawaii 3 minutos ",20,"A","A#","engenheiros do hawaii"
"107",11," engenheiros do hawaii 3 minutos ",20,"Gm","A#","engenheiros do hawaii"
"108",11," engenheiros do hawaii 3 minutos ",20,"Cm","A#","engenheiros do hawaii"
"109",11," engenheiros do hawaii 3 minutos ",20,"F","A#","engenheiros do hawaii"
"110",11," engenheiros do hawaii 3 minutos ",20,"F#°","A#","engenheiros do hawaii"
"111",11," engenheiros do hawaii 3 minutos ",20,"Gm","A#","engenheiros do hawaii"
"112",11," engenheiros do hawaii 3 minutos ",20,"Cm","A#","engenheiros do hawaii"
"113",11," engenheiros do hawaii 3 minutos ",20,"F","A#","engenheiros do hawaii"
"114",11," engenheiros do hawaii 3 minutos ",20,"F#°","A#","engenheiros do hawaii"
"115",11," engenheiros do hawaii 3 minutos ",20,"Gm","A#","engenheiros do hawaii"
"116",11," engenheiros do hawaii 3 minutos ",20,"Cm","A#","engenheiros do hawaii"
"117",11," engenheiros do hawaii 3 minutos ",20,"F","A#","engenheiros do hawaii"
"118",11," engenheiros do hawaii 3 minutos ",20,"F#°","A#","engenheiros do hawaii"
"119",11," engenheiros do hawaii 3 minutos ",20,"Gm","A#","engenheiros do hawaii"
"120",11," engenheiros do hawaii 3 minutos ",20,"Cm","A#","engenheiros do hawaii"
"121",11," engenheiros do hawaii 3 minutos ",20,"F","A#","engenheiros do hawaii"
"122",11," engenheiros do hawaii 3 minutos ",20,"F#°","A#","engenheiros do hawaii"
"123",11," engenheiros do hawaii 3 minutos ",20,"Gm","A#","engenheiros do hawaii"
"124",11," engenheiros do hawaii 3 minutos ",20,"Cm","A#","engenheiros do hawaii"
"125",11," engenheiros do hawaii 3 minutos ",20,"F","A#","engenheiros do hawaii"
"126",11," engenheiros do hawaii 3 minutos ",20,"F#°","A#","engenheiros do hawaii"
"127",11," engenheiros do hawaii 3 minutos ",20,"Gm","A#","engenheiros do hawaii"
"128",11," engenheiros do hawaii 3 minutos ",20,"Bb","A#","engenheiros do hawaii"
"129",11," engenheiros do hawaii 3 minutos ",20,"A","A#","engenheiros do hawaii"
"130",11," engenheiros do hawaii 3 minutos ",20,"Ab","A#","engenheiros do hawaii"
"131",11," engenheiros do hawaii 3 minutos ",20,"Gm","A#","engenheiros do hawaii"
"132",11," engenheiros do hawaii 3 minutos ",20,"Bb","A#","engenheiros do hawaii"
"133",11," engenheiros do hawaii 3 minutos ",20,"A","A#","engenheiros do hawaii"
"134",11," engenheiros do hawaii 3 minutos ",20,"Ab","A#","engenheiros do hawaii"
"135",11," engenheiros do hawaii 3 minutos ",20,"Gm","A#","engenheiros do hawaii"
"136",11," engenheiros do hawaii 3 minutos ",20,"Cm","A#","engenheiros do hawaii"
"137",11," engenheiros do hawaii 3 minutos ",20,"F","A#","engenheiros do hawaii"
"138",11," engenheiros do hawaii 3 minutos ",20,"F#°","A#","engenheiros do hawaii"
"139",11," engenheiros do hawaii 3 minutos ",20,"Gm","A#","engenheiros do hawaii"
"140",11," engenheiros do hawaii 3 minutos ",20,"Cm","A#","engenheiros do hawaii"
"141",11," engenheiros do hawaii 3 minutos ",20,"F","A#","engenheiros do hawaii"
"142",11," engenheiros do hawaii 3 minutos ",20,"F#°","A#","engenheiros do hawaii"
"143",11," engenheiros do hawaii 3 minutos ",20,"Gm","A#","engenheiros do hawaii"
"144",11," engenheiros do hawaii 3 minutos ",20,"Cm","A#","engenheiros do hawaii"
"145",11," engenheiros do hawaii 3 minutos ",20,"F","A#","engenheiros do hawaii"
"146",11," engenheiros do hawaii 3 minutos ",20,"F#°","A#","engenheiros do hawaii"
"147",11," engenheiros do hawaii 3 minutos ",20,"Gm","A#","engenheiros do hawaii"
"148",11," engenheiros do hawaii 3 minutos ",20,"Cm","A#","engenheiros do hawaii"
"149",11," engenheiros do hawaii 3 minutos ",20,"F","A#","engenheiros do hawaii"
"150",11," engenheiros do hawaii 3 minutos ",20,"Bb","A#","engenheiros do hawaii"
"151",11," engenheiros do hawaii 3 minutos ",20,"A","A#","engenheiros do hawaii"
"152",11," engenheiros do hawaii 3 minutos ",20,"Ab","A#","engenheiros do hawaii"
"153",11," engenheiros do hawaii 3 minutos ",20,"Gm","A#","engenheiros do hawaii"
"154",11," engenheiros do hawaii 3 minutos ",20,"Bb","A#","engenheiros do hawaii"
"155",11," engenheiros do hawaii 3 minutos ",20,"A","A#","engenheiros do hawaii"
"156",11," engenheiros do hawaii 3 minutos ",20,"Ab","A#","engenheiros do hawaii"
"157",11," engenheiros do hawaii 3 minutos ",20,"Gm","A#","engenheiros do hawaii"
"158",11," engenheiros do hawaii 3 minutos ",20,"Bb","A#","engenheiros do hawaii"
"159",11," engenheiros do hawaii 3 minutos ",20,"A","A#","engenheiros do hawaii"
"160",11," engenheiros do hawaii 3 minutos ",20,"Ab","A#","engenheiros do hawaii"
"161",11," engenheiros do hawaii 3 minutos ",20,"Gm","A#","engenheiros do hawaii"
"162",11," engenheiros do hawaii 3 minutos ",20,"Bb","A#","engenheiros do hawaii"
"163",11," engenheiros do hawaii 3 minutos ",20,"A","A#","engenheiros do hawaii"
"164",11," engenheiros do hawaii 3 minutos ",20,"Ab","A#","engenheiros do hawaii"
"165",11," engenheiros do hawaii 3 minutos ",20,"Gm","A#","engenheiros do hawaii"
"166",21," engenheiros do hawaii 3x4 ",13,"E","E","engenheiros do hawaii"
"167",21," engenheiros do hawaii 3x4 ",13,"B5(9)","E","engenheiros do hawaii"
"168",21," engenheiros do hawaii 3x4 ",13,"C#m","E","engenheiros do hawaii"
"169",21," engenheiros do hawaii 3x4 ",13,"E","E","engenheiros do hawaii"
"170",21," engenheiros do hawaii 3x4 ",13,"G#","E","engenheiros do hawaii"
"171",21," engenheiros do hawaii 3x4 ",13,"A5(9)","E","engenheiros do hawaii"
"172",21," engenheiros do hawaii 3x4 ",13,"A#°","E","engenheiros do hawaii"
"173",21," engenheiros do hawaii 3x4 ",13,"E","E","engenheiros do hawaii"
"174",21," engenheiros do hawaii 3x4 ",13,"G#","E","engenheiros do hawaii"
"175",21," engenheiros do hawaii 3x4 ",13,"A5(9)","E","engenheiros do hawaii"
"176",21," engenheiros do hawaii 3x4 ",13,"A#°","E","engenheiros do hawaii"
"177",21," engenheiros do hawaii 3x4 ",13,"E","E","engenheiros do hawaii"
"178",21," engenheiros do hawaii 3x4 ",13,"B5(9)","E","engenheiros do hawaii"
"179",21," engenheiros do hawaii 3x4 ",13,"C#m","E","engenheiros do hawaii"
"180",21," engenheiros do hawaii 3x4 ",13,"E","E","engenheiros do hawaii"
"181",21," engenheiros do hawaii 3x4 ",13,"G#","E","engenheiros do hawaii"
"182",21," engenheiros do hawaii 3x4 ",13,"A5(9)","E","engenheiros do hawaii"
"183",21," engenheiros do hawaii 3x4 ",13,"A#°","E","engenheiros do hawaii"
"184",21," engenheiros do hawaii 3x4 ",13,"E","E","engenheiros do hawaii"
"185",21," engenheiros do hawaii 3x4 ",13,"G#","E","engenheiros do hawaii"
"186",21," engenheiros do hawaii 3x4 ",13,"A5(9)","E","engenheiros do hawaii"
"187",21," engenheiros do hawaii 3x4 ",13,"A#°","E","engenheiros do hawaii"
"188",21," engenheiros do hawaii 3x4 ",13,"E","E","engenheiros do hawaii"
"189",21," engenheiros do hawaii 3x4 ",13,"B5(9)","E","engenheiros do hawaii"
"190",21," engenheiros do hawaii 3x4 ",13,"C#m","E","engenheiros do hawaii"
"191",21," engenheiros do hawaii 3x4 ",13,"A5(9)","E","engenheiros do hawaii"
"192",21," engenheiros do hawaii 3x4 ",13,"B5(9)","E","engenheiros do hawaii"
"193",21," engenheiros do hawaii 3x4 ",13,"C#m","E","engenheiros do hawaii"
"194",21," engenheiros do hawaii 3x4 ",13,"A5(9)","E","engenheiros do hawaii"
