"date" "music" "popul" "chord" "key" "artist"
"1" NA " fagner a noite do meu bem " NA "Am" "C" "fagner"
"2" NA " fagner a noite do meu bem " NA "Dm" "C" "fagner"
"3" NA " fagner a noite do meu bem " NA "E7" "C" "fagner"
"4" NA " fagner a noite do meu bem " NA "Am" "C" "fagner"
"5" NA " fagner a noite do meu bem " NA "Dm" "C" "fagner"
"6" NA " fagner a noite do meu bem " NA "E7" "C" "fagner"
"7" NA " fagner a noite do meu bem " NA "Am" "C" "fagner"
"8" NA " fagner a noite do meu bem " NA "Dm" "C" "fagner"
"9" NA " fagner a noite do meu bem " NA "E7" "C" "fagner"
"10" NA " fagner a noite do meu bem " NA "Am" "C" "fagner"
"11" NA " fagner a noite do meu bem " NA "Dm" "C" "fagner"
"12" NA " fagner a noite do meu bem " NA "E7" "C" "fagner"
"13" NA " fagner a noite do meu bem " NA "A7" "C" "fagner"
"14" NA " fagner a noite do meu bem " NA "Dm" "C" "fagner"
"15" NA " fagner a noite do meu bem " NA "G7" "C" "fagner"
"16" NA " fagner a noite do meu bem " NA "C" "C" "fagner"
"17" NA " fagner a noite do meu bem " NA "A7" "C" "fagner"
"18" NA " fagner a noite do meu bem " NA "Dm" "C" "fagner"
"19" NA " fagner a noite do meu bem " NA "G7" "C" "fagner"
"20" NA " fagner a noite do meu bem " NA "C" "C" "fagner"
"21" NA " fagner a noite do meu bem " NA "E7" "C" "fagner"
"22" NA " fagner a noite do meu bem " NA "Am" "C" "fagner"
"23" NA " fagner a noite do meu bem " NA "Dm" "C" "fagner"
"24" NA " fagner a noite do meu bem " NA "E7" "C" "fagner"
"25" NA " fagner a noite do meu bem " NA "Am" "C" "fagner"
"26" NA " fagner a noite do meu bem " NA "Dm" "C" "fagner"
"27" NA " fagner a noite do meu bem " NA "E7" "C" "fagner"
"28" NA " fagner a noite do meu bem " NA "Am" "C" "fagner"
"29" NA " fagner a noite do meu bem " NA "A7" "C" "fagner"
"30" NA " fagner a noite do meu bem " NA "Am" "C" "fagner"
"31" NA " fagner a noite do meu bem " NA "Dm" "C" "fagner"
"32" NA " fagner a noite do meu bem " NA "E7" "C" "fagner"
"33" NA " fagner a noite do meu bem " NA "Am" "C" "fagner"
"34" NA " fagner a noite do meu bem " NA "Dm" "C" "fagner"
"35" NA " fagner a noite do meu bem " NA "E7" "C" "fagner"
"36" NA " fagner a noite do meu bem " NA "Am" "C" "fagner"
"37" "1975" " fagner a palo seco " 20 "G" "G" "fagner"
"38" "1975" " fagner a palo seco " 20 "Bm7" "G" "fagner"
"39" "1975" " fagner a palo seco " 20 "C" "G" "fagner"
"40" "1975" " fagner a palo seco " 20 "D7" "G" "fagner"
"41" "1975" " fagner a palo seco " 20 "G" "G" "fagner"
"42" "1975" " fagner a palo seco " 20 "Bm7" "G" "fagner"
"43" "1975" " fagner a palo seco " 20 "C" "G" "fagner"
"44" "1975" " fagner a palo seco " 20 "D7" "G" "fagner"
"45" "1975" " fagner a palo seco " 20 "G" "G" "fagner"
"46" "1975" " fagner a palo seco " 20 "Bm7" "G" "fagner"
"47" "1975" " fagner a palo seco " 20 "C" "G" "fagner"
"48" "1975" " fagner a palo seco " 20 "D7" "G" "fagner"
"49" "1975" " fagner a palo seco " 20 "Em" "G" "fagner"
"50" "1975" " fagner a palo seco " 20 "A" "G" "fagner"
"51" "1975" " fagner a palo seco " 20 "D" "G" "fagner"
"52" "1975" " fagner a palo seco " 20 "G" "G" "fagner"
"53" "1975" " fagner a palo seco " 20 "Em" "G" "fagner"
"54" "1975" " fagner a palo seco " 20 "Am" "G" "fagner"
"55" "1975" " fagner a palo seco " 20 "D" "G" "fagner"
"56" "1975" " fagner a palo seco " 20 "G" "G" "fagner"
"57" "1975" " fagner a palo seco " 20 "Em" "G" "fagner"
"58" "1975" " fagner a palo seco " 20 "Am" "G" "fagner"
"59" "1975" " fagner a palo seco " 20 "D" "G" "fagner"
"60" "1975" " fagner a palo seco " 20 "G" "G" "fagner"
"61" "1975" " fagner a palo seco " 20 "Bm7" "G" "fagner"
"62" "1975" " fagner a palo seco " 20 "C" "G" "fagner"
"63" "1975" " fagner a palo seco " 20 "D" "G" "fagner"
"64" "1975" " fagner a palo seco " 20 "G" "G" "fagner"
"65" "1975" " fagner a palo seco " 20 "Bm7" "G" "fagner"
"66" "1975" " fagner a palo seco " 20 "C" "G" "fagner"
"67" "1975" " fagner a palo seco " 20 "D" "G" "fagner"
"68" "1975" " fagner a palo seco " 20 "Em" "G" "fagner"
"69" "1975" " fagner a palo seco " 20 "Am" "G" "fagner"
"70" "1975" " fagner a palo seco " 20 "D7" "G" "fagner"
"71" "1975" " fagner a palo seco " 20 "G" "G" "fagner"
"72" "1975" " fagner a palo seco " 20 "Em" "G" "fagner"
"73" "1975" " fagner a palo seco " 20 "Am" "G" "fagner"
"74" "1975" " fagner a palo seco " 20 "D" "G" "fagner"
"75" "1975" " fagner a palo seco " 20 "G" "G" "fagner"
"76" "1975" " fagner a palo seco " 20 "Em" "G" "fagner"
"77" "1975" " fagner a palo seco " 20 "Am" "G" "fagner"
"78" "1975" " fagner a palo seco " 20 "D" "G" "fagner"
"79" "1975" " fagner a palo seco " 20 "G" "G" "fagner"
"80" "1987" " fagner a sombra de um vulcao " 18 "Am" "G" "fagner"
"81" "1987" " fagner a sombra de um vulcao " 18 "D7" "G" "fagner"
"82" "1987" " fagner a sombra de um vulcao " 18 "G" "G" "fagner"
"83" "1987" " fagner a sombra de um vulcao " 18 "Em" "G" "fagner"
"84" "1987" " fagner a sombra de um vulcao " 18 "F#m/5-" "G" "fagner"
"85" "1987" " fagner a sombra de um vulcao " 18 "B7" "G" "fagner"
"86" "1987" " fagner a sombra de um vulcao " 18 "Em" "G" "fagner"
"87" "1987" " fagner a sombra de um vulcao " 18 "E7" "G" "fagner"
"88" "1987" " fagner a sombra de um vulcao " 18 "Am" "G" "fagner"
"89" "1987" " fagner a sombra de um vulcao " 18 "D7" "G" "fagner"
"90" "1987" " fagner a sombra de um vulcao " 18 "G" "G" "fagner"
"91" "1987" " fagner a sombra de um vulcao " 18 "B7" "G" "fagner"
"92" "1987" " fagner a sombra de um vulcao " 18 "Em" "G" "fagner"
"93" "1987" " fagner a sombra de um vulcao " 18 "C#dim" "G" "fagner"
"94" "1987" " fagner a sombra de um vulcao " 18 "F#m7/5-" "G" "fagner"
"95" "1987" " fagner a sombra de um vulcao " 18 "B7" "G" "fagner"
"96" "1987" " fagner a sombra de um vulcao " 18 "F#m7/5-" "G" "fagner"
"97" "1987" " fagner a sombra de um vulcao " 18 "B7" "G" "fagner"
"98" "1987" " fagner a sombra de um vulcao " 18 "Em" "G" "fagner"
"99" "1987" " fagner a sombra de um vulcao " 18 "D7" "G" "fagner"
"100" "1987" " fagner a sombra de um vulcao " 18 "G" "G" "fagner"
"101" "1987" " fagner a sombra de um vulcao " 18 "Am" "G" "fagner"
"102" "1987" " fagner a sombra de um vulcao " 18 "C7" "G" "fagner"
"103" "1987" " fagner a sombra de um vulcao " 18 "Bm7/5-" "G" "fagner"
"104" "1987" " fagner a sombra de um vulcao " 18 "E7" "G" "fagner"
"105" "1987" " fagner a sombra de um vulcao " 18 "Am" "G" "fagner"
"106" "1987" " fagner a sombra de um vulcao " 18 "D7" "G" "fagner"
"107" "1987" " fagner a sombra de um vulcao " 18 "G" "G" "fagner"
"108" "1987" " fagner a sombra de um vulcao " 18 "B7" "G" "fagner"
"109" "1987" " fagner a sombra de um vulcao " 18 "Em" "G" "fagner"
"110" "1987" " fagner a sombra de um vulcao " 18 "F#m7/5-" "G" "fagner"
"111" "1987" " fagner a sombra de um vulcao " 18 "B7" "G" "fagner"
"112" "1987" " fagner a sombra de um vulcao " 18 "Em" "G" "fagner"
"113" "1987" " fagner a sombra de um vulcao " 18 "G" "G" "fagner"
"114" "1987" " fagner a sombra de um vulcao " 18 "E7" "G" "fagner"
"115" "1987" " fagner a sombra de um vulcao " 18 "Am" "G" "fagner"
"116" "1987" " fagner a sombra de um vulcao " 18 "D7" "G" "fagner"
