"date","music","popul","chord","key","artist"
"1",4," felipe araujo alcontece ",49,"Am","C","felipe araujo"
"2",4," felipe araujo alcontece ",49,"F","C","felipe araujo"
"3",4," felipe araujo alcontece ",49,"Am","C","felipe araujo"
"4",4," felipe araujo alcontece ",49,"F","C","felipe araujo"
"5",4," felipe araujo alcontece ",49,"E","C","felipe araujo"
"6",4," felipe araujo alcontece ",49,"Am","C","felipe araujo"
"7",4," felipe araujo alcontece ",49,"F","C","felipe araujo"
"8",4," felipe araujo alcontece ",49,"Am","C","felipe araujo"
"9",4," felipe araujo alcontece ",49,"F","C","felipe araujo"
"10",4," felipe araujo alcontece ",49,"E","C","felipe araujo"
"11",4," felipe araujo alcontece ",49,"F","C","felipe araujo"
"12",4," felipe araujo alcontece ",49,"G","C","felipe araujo"
"13",4," felipe araujo alcontece ",49,"F","C","felipe araujo"
"14",4," felipe araujo alcontece ",49,"E","C","felipe araujo"
"15",4," felipe araujo alcontece ",49,"Am","C","felipe araujo"
"16",4," felipe araujo alcontece ",49,"F","C","felipe araujo"
"17",4," felipe araujo alcontece ",49,"C","C","felipe araujo"
"18",4," felipe araujo alcontece ",49,"G","C","felipe araujo"
"19",4," felipe araujo alcontece ",49,"Am","C","felipe araujo"
"20",4," felipe araujo alcontece ",49,"F","C","felipe araujo"
"21",4," felipe araujo alcontece ",49,"E","C","felipe araujo"
"22",4," felipe araujo alcontece ",49,"Am","C","felipe araujo"
"23",4," felipe araujo alcontece ",49,"F","C","felipe araujo"
"24",4," felipe araujo alcontece ",49,"C","C","felipe araujo"
"25",4," felipe araujo alcontece ",49,"G","C","felipe araujo"
"26",4," felipe araujo alcontece ",49,"Am","C","felipe araujo"
"27",4," felipe araujo alcontece ",49,"F","C","felipe araujo"
"28",4," felipe araujo alcontece ",49,"C","C","felipe araujo"
"29",4," felipe araujo alcontece ",49,"G","C","felipe araujo"
"30",4," felipe araujo alcontece ",49,"Dm","C","felipe araujo"
"31",4," felipe araujo alcontece ",49,"F","C","felipe araujo"
"32",4," felipe araujo alcontece ",49,"E","C","felipe araujo"
"33",4," felipe araujo alcontece ",49,"F","C","felipe araujo"
"34",4," felipe araujo alcontece ",49,"E","C","felipe araujo"
"35",4," felipe araujo alcontece ",49,"F","C","felipe araujo"
"36",4," felipe araujo alcontece ",49,"E","C","felipe araujo"
"37",4," felipe araujo alcontece ",49,"F","C","felipe araujo"
"38",4," felipe araujo alcontece ",49,"Am","C","felipe araujo"
"39",4," felipe araujo amante fiel ",44,"C#","D","felipe araujo"
"40",4," felipe araujo amante fiel ",44,"Fm","D","felipe araujo"
"41",4," felipe araujo amante fiel ",44,"D#m","D","felipe araujo"
"42",4," felipe araujo amante fiel ",44,"F#","D","felipe araujo"
"43",4," felipe araujo amante fiel ",44,"G#","D","felipe araujo"
"44",4," felipe araujo amante fiel ",44,"C#","D","felipe araujo"
"45",4," felipe araujo amante fiel ",44,"G#","D","felipe araujo"
"46",4," felipe araujo amante fiel ",44,"D#m","D","felipe araujo"
"47",4," felipe araujo amante fiel ",44,"F#","D","felipe araujo"
"48",4," felipe araujo amante fiel ",44,"Bbm","D","felipe araujo"
"49",4," felipe araujo amante fiel ",44,"G#","D","felipe araujo"
"50",4," felipe araujo amante fiel ",44,"C#","D","felipe araujo"
"51",4," felipe araujo amante fiel ",44,"G#","D","felipe araujo"
"52",4," felipe araujo amante fiel ",44,"D#m","D","felipe araujo"
"53",4," felipe araujo amante fiel ",44,"F#","D","felipe araujo"
"54",4," felipe araujo amante fiel ",44,"Bbm","D","felipe araujo"
"55",4," felipe araujo amante fiel ",44,"G#","D","felipe araujo"
"56",4," felipe araujo amante fiel ",44,"F#","D","felipe araujo"
"57",4," felipe araujo amante fiel ",44,"G#","D","felipe araujo"
"58",4," felipe araujo amante fiel ",44,"Bbm","D","felipe araujo"
"59",4," felipe araujo amante fiel ",44,"D#m","D","felipe araujo"
"60",4," felipe araujo amante fiel ",44,"G#","D","felipe araujo"
"61",4," felipe araujo amante fiel ",44,"C#","D","felipe araujo"
"62",4," felipe araujo amante fiel ",44,"Fm","D","felipe araujo"
"63",4," felipe araujo amante fiel ",44,"D#m","D","felipe araujo"
"64",4," felipe araujo amante fiel ",44,"F#","D","felipe araujo"
"65",4," felipe araujo amante fiel ",44,"G#","D","felipe araujo"
"66",4," felipe araujo amante fiel ",44,"C#","D","felipe araujo"
"67",4," felipe araujo amante fiel ",44,"Fm","D","felipe araujo"
"68",4," felipe araujo amante fiel ",44,"D#m","D","felipe araujo"
"69",4," felipe araujo amante fiel ",44,"F#","D","felipe araujo"
"70",4," felipe araujo amante fiel ",44,"G#","D","felipe araujo"
"71",4," felipe araujo amante fiel ",44,"C#","D","felipe araujo"
"72",4," felipe araujo amante fiel ",44,"C#","D","felipe araujo"
"73",4," felipe araujo amante fiel ",44,"Fm","D","felipe araujo"
"74",4," felipe araujo amante fiel ",44,"D#m","D","felipe araujo"
"75",4," felipe araujo amante fiel ",44,"F#","D","felipe araujo"
"76",4," felipe araujo amante fiel ",44,"G#","D","felipe araujo"
"77",4," felipe araujo amante fiel ",44,"A","D","felipe araujo"
"78",4," felipe araujo amante fiel ",44,"B","D","felipe araujo"
"79",4," felipe araujo amante fiel ",44,"G","D","felipe araujo"
"80",4," felipe araujo amante fiel ",44,"A","D","felipe araujo"
"81",4," felipe araujo amante fiel ",44,"Bm","D","felipe araujo"
"82",4," felipe araujo amante fiel ",44,"Em","D","felipe araujo"
"83",4," felipe araujo amante fiel ",44,"A","D","felipe araujo"
"84",4," felipe araujo amante fiel ",44,"D","D","felipe araujo"
"85",4," felipe araujo amante fiel ",44,"F#m","D","felipe araujo"
"86",4," felipe araujo amante fiel ",44,"Em","D","felipe araujo"
"87",4," felipe araujo amante fiel ",44,"G","D","felipe araujo"
"88",4," felipe araujo amante fiel ",44,"A","D","felipe araujo"
"89",4," felipe araujo amante fiel ",44,"D","D","felipe araujo"
"90",4," felipe araujo amante fiel ",44,"F#m","D","felipe araujo"
"91",4," felipe araujo amante fiel ",44,"Em","D","felipe araujo"
"92",4," felipe araujo amante fiel ",44,"G","D","felipe araujo"
"93",4," felipe araujo amante fiel ",44,"A","D","felipe araujo"
"94",4," felipe araujo amante fiel ",44,"D","D","felipe araujo"
"95",NA," felipe araujo amor da sua vida ",NA,"C","G","felipe araujo"
"96",NA," felipe araujo amor da sua vida ",NA,"D","G","felipe araujo"
"97",NA," felipe araujo amor da sua vida ",NA,"Bm","G","felipe araujo"
"98",NA," felipe araujo amor da sua vida ",NA,"Em","G","felipe araujo"
"99",NA," felipe araujo amor da sua vida ",NA,"C","G","felipe araujo"
"100",NA," felipe araujo amor da sua vida ",NA,"D","G","felipe araujo"
"101",NA," felipe araujo amor da sua vida ",NA,"Bm","G","felipe araujo"
"102",NA," felipe araujo amor da sua vida ",NA,"Em","G","felipe araujo"
"103",NA," felipe araujo amor da sua vida ",NA,"C","G","felipe araujo"
"104",NA," felipe araujo amor da sua vida ",NA,"D","G","felipe araujo"
"105",NA," felipe araujo amor da sua vida ",NA,"Bm","G","felipe araujo"
"106",NA," felipe araujo amor da sua vida ",NA,"Em","G","felipe araujo"
"107",NA," felipe araujo amor da sua vida ",NA,"C","G","felipe araujo"
"108",NA," felipe araujo amor da sua vida ",NA,"D","G","felipe araujo"
"109",NA," felipe araujo amor da sua vida ",NA,"C","G","felipe araujo"
"110",NA," felipe araujo amor da sua vida ",NA,"D","G","felipe araujo"
"111",NA," felipe araujo amor da sua vida ",NA,"Bm","G","felipe araujo"
"112",NA," felipe araujo amor da sua vida ",NA,"Em","G","felipe araujo"
"113",NA," felipe araujo amor da sua vida ",NA,"C","G","felipe araujo"
"114",NA," felipe araujo amor da sua vida ",NA,"D","G","felipe araujo"
"115",NA," felipe araujo amor da sua vida ",NA,"Bm","G","felipe araujo"
"116",NA," felipe araujo amor da sua vida ",NA,"Em","G","felipe araujo"
"117",NA," felipe araujo amor da sua vida ",NA,"C","G","felipe araujo"
"118",NA," felipe araujo amor da sua vida ",NA,"D","G","felipe araujo"
"119",NA," felipe araujo amor da sua vida ",NA,"Bm","G","felipe araujo"
"120",NA," felipe araujo amor da sua vida ",NA,"Em","G","felipe araujo"
"121",NA," felipe araujo amor da sua vida ",NA,"C","G","felipe araujo"
"122",NA," felipe araujo amor da sua vida ",NA,"D","G","felipe araujo"
"123",NA," felipe araujo amor da sua vida ",NA,"Bm","G","felipe araujo"
"124",NA," felipe araujo amor da sua vida ",NA,"Em","G","felipe araujo"
"125",4," felipe araujo book rosa ",47,"F#m","A","felipe araujo"
"126",4," felipe araujo book rosa ",47,"D","A","felipe araujo"
"127",4," felipe araujo book rosa ",47,"C#m","A","felipe araujo"
"128",4," felipe araujo book rosa ",47,"F#m","A","felipe araujo"
"129",4," felipe araujo book rosa ",47,"D","A","felipe araujo"
"130",4," felipe araujo book rosa ",47,"F#m","A","felipe araujo"
"131",4," felipe araujo book rosa ",47,"D","A","felipe araujo"
"132",4," felipe araujo book rosa ",47,"C#m","A","felipe araujo"
"133",4," felipe araujo book rosa ",47,"A","A","felipe araujo"
"134",4," felipe araujo book rosa ",47,"Abm","A","felipe araujo"
"135",4," felipe araujo book rosa ",47,"Em","A","felipe araujo"
"136",4," felipe araujo book rosa ",47,"Bm","A","felipe araujo"
"137",4," felipe araujo book rosa ",47,"A","A","felipe araujo"
"138",4," felipe araujo book rosa ",47,"Bm","A","felipe araujo"
"139",4," felipe araujo book rosa ",47,"C#m","A","felipe araujo"
"140",4," felipe araujo book rosa ",47,"Bm","A","felipe araujo"
"141",4," felipe araujo book rosa ",47,"E","A","felipe araujo"
"142",4," felipe araujo book rosa ",47,"A","A","felipe araujo"
"143",4," felipe araujo book rosa ",47,"Bm","A","felipe araujo"
"144",4," felipe araujo book rosa ",47,"A","A","felipe araujo"
"145",4," felipe araujo book rosa ",47,"D","A","felipe araujo"
"146",4," felipe araujo book rosa ",47,"E","A","felipe araujo"
"147",4," felipe araujo book rosa ",47,"C#m","A","felipe araujo"
"148",4," felipe araujo book rosa ",47,"Bm","A","felipe araujo"
"149",4," felipe araujo book rosa ",47,"C#m","A","felipe araujo"
"150",4," felipe araujo book rosa ",47,"F#m","A","felipe araujo"
"151",4," felipe araujo book rosa ",47,"D","A","felipe araujo"
"152",4," felipe araujo book rosa ",47,"A","A","felipe araujo"
"153",4," felipe araujo book rosa ",47,"E","A","felipe araujo"
"154",4," felipe araujo book rosa ",47,"F#m","A","felipe araujo"
"155",4," felipe araujo book rosa ",47,"Bm","A","felipe araujo"
"156",4," felipe araujo book rosa ",47,"E","A","felipe araujo"
"157",4," felipe araujo book rosa ",47,"F#m","A","felipe araujo"
"158",4," felipe araujo book rosa ",47,"D","A","felipe araujo"
"159",4," felipe araujo book rosa ",47,"A","A","felipe araujo"
"160",4," felipe araujo book rosa ",47,"E","A","felipe araujo"
"161",4," felipe araujo book rosa ",47,"Bm","A","felipe araujo"
"162",4," felipe araujo book rosa ",47,"A","A","felipe araujo"
"163",4," felipe araujo book rosa ",47,"D","A","felipe araujo"
"164",4," felipe araujo book rosa ",47,"E","A","felipe araujo"
"165",4," felipe araujo book rosa ",47,"A","A","felipe araujo"
"166",4," felipe araujo book rosa ",47,"B","A","felipe araujo"
"167",4," felipe araujo book rosa ",47,"F#","A","felipe araujo"
"168",4," felipe araujo book rosa ",47,"E","A","felipe araujo"
"169",4," felipe araujo book rosa ",47,"D","A","felipe araujo"
"170",4," felipe araujo book rosa ",47,"Bm","A","felipe araujo"
"171",4," felipe araujo book rosa ",47,"C#m","A","felipe araujo"
"172",4," felipe araujo book rosa ",47,"F#m","A","felipe araujo"
"173",4," felipe araujo book rosa ",47,"D","A","felipe araujo"
"174",4," felipe araujo bora beber  ",52,"Am","C","felipe araujo"
"175",4," felipe araujo bora beber  ",52,"G","C","felipe araujo"
"176",4," felipe araujo bora beber  ",52,"F","C","felipe araujo"
"177",4," felipe araujo bora beber  ",52,"E","C","felipe araujo"
"178",4," felipe araujo bora beber  ",52,"Am","C","felipe araujo"
"179",4," felipe araujo bora beber  ",52,"C","C","felipe araujo"
"180",4," felipe araujo bora beber  ",52,"G","C","felipe araujo"
"181",4," felipe araujo bora beber  ",52,"F","C","felipe araujo"
"182",4," felipe araujo bora beber  ",52,"Am","C","felipe araujo"
"183",4," felipe araujo bora beber  ",52,"Am","C","felipe araujo"
"184",4," felipe araujo bora beber  ",52,"C","C","felipe araujo"
"185",4," felipe araujo bora beber  ",52,"G","C","felipe araujo"
"186",4," felipe araujo bora beber  ",52,"F","C","felipe araujo"
"187",4," felipe araujo bora beber  ",52,"G","C","felipe araujo"
"188",4," felipe araujo bora beber  ",52,"Am","C","felipe araujo"
"189",4," felipe araujo bora beber  ",52,"Am","C","felipe araujo"
"190",4," felipe araujo bora beber  ",52,"G","C","felipe araujo"
"191",4," felipe araujo bora beber  ",52,"F","C","felipe araujo"
"192",4," felipe araujo bora beber  ",52,"E","C","felipe araujo"
"193",4," felipe araujo bora beber  ",52,"Am","C","felipe araujo"
"194",4," felipe araujo bora beber  ",52,"G","C","felipe araujo"
"195",4," felipe araujo bora beber  ",52,"F","C","felipe araujo"
"196",4," felipe araujo bora beber  ",52,"Am","C","felipe araujo"
"197",4," felipe araujo bora beber  ",52,"G","C","felipe araujo"
"198",4," felipe araujo bora beber  ",52,"F","C","felipe araujo"
"199",4," felipe araujo bora beber  ",52,"C","C","felipe araujo"
"200",4," felipe araujo bora beber  ",52,"G","C","felipe araujo"
"201",4," felipe araujo bora beber  ",52,"Dm","C","felipe araujo"
"202",4," felipe araujo bora beber  ",52,"F","C","felipe araujo"
"203",4," felipe araujo bora beber  ",52,"C","C","felipe araujo"
"204",4," felipe araujo bora beber  ",52,"G","C","felipe araujo"
"205",4," felipe araujo bora beber  ",52,"Dm","C","felipe araujo"
"206",4," felipe araujo bora beber  ",52,"F","C","felipe araujo"
"207",4," felipe araujo bora beber  ",52,"E","C","felipe araujo"
"208",4," felipe araujo bora beber  ",52,"Am","C","felipe araujo"
"209",4," felipe araujo bora beber  ",52,"C","C","felipe araujo"
"210",4," felipe araujo bora beber  ",52,"G","C","felipe araujo"
"211",4," felipe araujo bora beber  ",52,"F","C","felipe araujo"
"212",4," felipe araujo bora beber  ",52,"Am","C","felipe araujo"
"213",4," felipe araujo bora beber  ",52,"Am","C","felipe araujo"
"214",4," felipe araujo bora beber  ",52,"C","C","felipe araujo"
"215",4," felipe araujo bora beber  ",52,"G","C","felipe araujo"
"216",4," felipe araujo bora beber  ",52,"F","C","felipe araujo"
"217",4," felipe araujo bora beber  ",52,"G","C","felipe araujo"
"218",4," felipe araujo bora beber  ",52,"Am","C","felipe araujo"
"219",4," felipe araujo bora beber  ",52,"Am","C","felipe araujo"
"220",4," felipe araujo bora beber  ",52,"G","C","felipe araujo"
"221",4," felipe araujo bora beber  ",52,"F","C","felipe araujo"
"222",4," felipe araujo bora beber  ",52,"E","C","felipe araujo"
"223",4," felipe araujo bora beber ",52,"B","B","felipe araujo"
"224",4," felipe araujo bora beber ",52,"F#","B","felipe araujo"
"225",4," felipe araujo bora beber ",52,"G#m","B","felipe araujo"
"226",4," felipe araujo bora beber ",52,"E","B","felipe araujo"
"227",4," felipe araujo bora beber ",52,"G#m","B","felipe araujo"
"228",4," felipe araujo bora beber ",52,"B","B","felipe araujo"
"229",4," felipe araujo bora beber ",52,"F#","B","felipe araujo"
"230",4," felipe araujo bora beber ",52,"C#m","B","felipe araujo"
"231",4," felipe araujo bora beber ",52,"G#m","B","felipe araujo"
"232",4," felipe araujo bora beber ",52,"G#m","B","felipe araujo"
"233",4," felipe araujo bora beber ",52,"B","B","felipe araujo"
"234",4," felipe araujo bora beber ",52,"F#","B","felipe araujo"
"235",4," felipe araujo bora beber ",52,"C#m","B","felipe araujo"
"236",4," felipe araujo bora beber ",52,"D#","B","felipe araujo"
"237",4," felipe araujo bora beber ",52,"G#m","B","felipe araujo"
"238",4," felipe araujo bora beber ",52,"B","B","felipe araujo"
"239",4," felipe araujo bora beber ",52,"F#","B","felipe araujo"
"240",4," felipe araujo bora beber ",52,"C#m","B","felipe araujo"
"241",4," felipe araujo bora beber ",52,"E","B","felipe araujo"
"242",4," felipe araujo bora beber ",52,"B","B","felipe araujo"
"243",4," felipe araujo bora beber ",52,"F#","B","felipe araujo"
"244",4," felipe araujo bora beber ",52,"C#m","B","felipe araujo"
"245",4," felipe araujo bora beber ",52,"E","B","felipe araujo"
"246",4," felipe araujo bora beber ",52,"B","B","felipe araujo"
"247",4," felipe araujo bora beber ",52,"F#","B","felipe araujo"
"248",4," felipe araujo bora beber ",52,"C#m","B","felipe araujo"
"249",4," felipe araujo bora beber ",52,"E","B","felipe araujo"
"250",4," felipe araujo bora beber ",52,"G#m","B","felipe araujo"
"251",4," felipe araujo bora beber ",52,"B","B","felipe araujo"
"252",4," felipe araujo bora beber ",52,"F#","B","felipe araujo"
"253",4," felipe araujo bora beber ",52,"C#m","B","felipe araujo"
"254",4," felipe araujo bora beber ",52,"G#m","B","felipe araujo"
"255",4," felipe araujo bora beber ",52,"G#m","B","felipe araujo"
