"date","music","popul","chord","key","artist"
"1",NA," fernando sorocaba 100 voce ",NA,"C#m","E","fernando sorocaba"
"2",NA," fernando sorocaba 100 voce ",NA,"G#m","E","fernando sorocaba"
"3",NA," fernando sorocaba 100 voce ",NA,"A","E","fernando sorocaba"
"4",NA," fernando sorocaba 100 voce ",NA,"E","E","fernando sorocaba"
"5",NA," fernando sorocaba 100 voce ",NA,"A","E","fernando sorocaba"
"6",NA," fernando sorocaba 100 voce ",NA,"E","E","fernando sorocaba"
"7",NA," fernando sorocaba 100 voce ",NA,"B","E","fernando sorocaba"
"8",NA," fernando sorocaba 100 voce ",NA,"E","E","fernando sorocaba"
"9",NA," fernando sorocaba 100 voce ",NA,"C#m","E","fernando sorocaba"
"10",NA," fernando sorocaba 100 voce ",NA,"G#m","E","fernando sorocaba"
"11",NA," fernando sorocaba 100 voce ",NA,"A","E","fernando sorocaba"
"12",NA," fernando sorocaba 100 voce ",NA,"E","E","fernando sorocaba"
"13",NA," fernando sorocaba 100 voce ",NA,"A","E","fernando sorocaba"
"14",NA," fernando sorocaba 100 voce ",NA,"B","E","fernando sorocaba"
"15",NA," fernando sorocaba 100 voce ",NA,"E","E","fernando sorocaba"
"16",NA," fernando sorocaba 100 voce ",NA,"B","E","fernando sorocaba"
"17",NA," fernando sorocaba 100 voce ",NA,"A","E","fernando sorocaba"
"18",NA," fernando sorocaba 100 voce ",NA,"E","E","fernando sorocaba"
"19",NA," fernando sorocaba 100 voce ",NA,"B","E","fernando sorocaba"
"20",NA," fernando sorocaba 100 voce ",NA,"A","E","fernando sorocaba"
"21",NA," fernando sorocaba 100 voce ",NA,"E","E","fernando sorocaba"
"22",NA," fernando sorocaba 100 voce ",NA,"F#m","E","fernando sorocaba"
"23",NA," fernando sorocaba 100 voce ",NA,"A","E","fernando sorocaba"
"24",NA," fernando sorocaba 100 voce ",NA,"E","E","fernando sorocaba"
"25",NA," fernando sorocaba 100 voce ",NA,"B","E","fernando sorocaba"
"26",NA," fernando sorocaba 100 voce ",NA,"F#m","E","fernando sorocaba"
"27",NA," fernando sorocaba 100 voce ",NA,"A","E","fernando sorocaba"
"28",NA," fernando sorocaba 100 voce ",NA,"E","E","fernando sorocaba"
