"date","music","popul","chord","key","artist"
"1",27," fundo de quintal a amizade ",49,"D#m5-/7","G","fundo de quintal"
"2",27," fundo de quintal a amizade ",49,"G#7","G","fundo de quintal"
"3",27," fundo de quintal a amizade ",49,"C#m","G","fundo de quintal"
"4",27," fundo de quintal a amizade ",49,"F#7","G","fundo de quintal"
"5",27," fundo de quintal a amizade ",49,"Bm","G","fundo de quintal"
"6",27," fundo de quintal a amizade ",49,"E7","G","fundo de quintal"
"7",27," fundo de quintal a amizade ",49,"A7+","G","fundo de quintal"
"8",27," fundo de quintal a amizade ",49,"E7","G","fundo de quintal"
"9",27," fundo de quintal a amizade ",49,"A7+","G","fundo de quintal"
"10",27," fundo de quintal a amizade ",49,"G#m5-/7","G","fundo de quintal"
"11",27," fundo de quintal a amizade ",49,"C#7","G","fundo de quintal"
"12",27," fundo de quintal a amizade ",49,"F#m7+","G","fundo de quintal"
"13",27," fundo de quintal a amizade ",49,"F#m7","G","fundo de quintal"
"14",27," fundo de quintal a amizade ",49,"Em7","G","fundo de quintal"
"15",27," fundo de quintal a amizade ",49,"A7","G","fundo de quintal"
"16",27," fundo de quintal a amizade ",49,"D7+","G","fundo de quintal"
"17",27," fundo de quintal a amizade ",49,"D#m5-/7","G","fundo de quintal"
"18",27," fundo de quintal a amizade ",49,"G#7","G","fundo de quintal"
"19",27," fundo de quintal a amizade ",49,"C#m5-/7","G","fundo de quintal"
"20",27," fundo de quintal a amizade ",49,"F#7","G","fundo de quintal"
"21",27," fundo de quintal a amizade ",49,"Bm5-/7","G","fundo de quintal"
"22",27," fundo de quintal a amizade ",49,"E7","G","fundo de quintal"
"23",27," fundo de quintal a amizade ",49,"Em7","G","fundo de quintal"
"24",27," fundo de quintal a amizade ",49,"A7","G","fundo de quintal"
"25",27," fundo de quintal a amizade ",49,"D#m5-/7","G","fundo de quintal"
"26",27," fundo de quintal a amizade ",49,"G#7","G","fundo de quintal"
"27",27," fundo de quintal a amizade ",49,"C#m5-/7","G","fundo de quintal"
"28",27," fundo de quintal a amizade ",49,"F#7","G","fundo de quintal"
"29",27," fundo de quintal a amizade ",49,"Bm","G","fundo de quintal"
"30",27," fundo de quintal a amizade ",49,"E7","G","fundo de quintal"
"31",27," fundo de quintal a amizade ",49,"A7+","G","fundo de quintal"
"32",27," fundo de quintal a amizade ",49,"E7","G","fundo de quintal"
"33",27," fundo de quintal a amizade ",49,"Am","G","fundo de quintal"
"34",27," fundo de quintal a amizade ",49,"Dm","G","fundo de quintal"
"35",27," fundo de quintal a amizade ",49,"G7/11","G","fundo de quintal"
"36",27," fundo de quintal a amizade ",49,"G7","G","fundo de quintal"
"37",27," fundo de quintal a amizade ",49,"C7+","G","fundo de quintal"
"38",27," fundo de quintal a amizade ",49,"C6","G","fundo de quintal"
"39",27," fundo de quintal a amizade ",49,"A7","G","fundo de quintal"
"40",27," fundo de quintal a amizade ",49,"Dm","G","fundo de quintal"
"41",27," fundo de quintal a amizade ",49,"F#°","G","fundo de quintal"
"42",27," fundo de quintal a amizade ",49,"A°","G","fundo de quintal"
"43",27," fundo de quintal a amizade ",49,"Bm5-/7","G","fundo de quintal"
"44",27," fundo de quintal a amizade ",49,"E7","G","fundo de quintal"
"45",27," fundo de quintal a amizade ",49,"A7+","G","fundo de quintal"
"46",27," fundo de quintal a amizade ",49,"A6","G","fundo de quintal"
"47",27," fundo de quintal a amizade ",49,"G#m5-/7","G","fundo de quintal"
"48",27," fundo de quintal a amizade ",49,"C#7","G","fundo de quintal"
"49",27," fundo de quintal a amizade ",49,"F#m7","G","fundo de quintal"
"50",27," fundo de quintal a amizade ",49,"A7","G","fundo de quintal"
"51",27," fundo de quintal a amizade ",49,"Em7","G","fundo de quintal"
"52",27," fundo de quintal a amizade ",49,"A7","G","fundo de quintal"
"53",27," fundo de quintal a amizade ",49,"D7+","G","fundo de quintal"
"54",27," fundo de quintal a amizade ",49,"D#m5-/7","G","fundo de quintal"
"55",27," fundo de quintal a amizade ",49,"Dm6","G","fundo de quintal"
"56",27," fundo de quintal a amizade ",49,"C#m","G","fundo de quintal"
"57",27," fundo de quintal a amizade ",49,"F#7","G","fundo de quintal"
"58",27," fundo de quintal a amizade ",49,"D#m5-/7","G","fundo de quintal"
"59",27," fundo de quintal a amizade ",49,"E7","G","fundo de quintal"
"60",27," fundo de quintal a amizade ",49,"A7+","G","fundo de quintal"
"61",27," fundo de quintal a amizade ",49,"Em7","G","fundo de quintal"
"62",27," fundo de quintal a amizade ",49,"A7","G","fundo de quintal"
"63",27," fundo de quintal a amizade ",49,"D7+","G","fundo de quintal"
"64",27," fundo de quintal a amizade ",49,"Dm6","G","fundo de quintal"
"65",27," fundo de quintal a amizade ",49,"C#m","G","fundo de quintal"
"66",27," fundo de quintal a amizade ",49,"F#7","G","fundo de quintal"
"67",27," fundo de quintal a amizade ",49,"D#m5-/7","G","fundo de quintal"
"68",27," fundo de quintal a amizade ",49,"E7","G","fundo de quintal"
"69",27," fundo de quintal a amizade ",49,"A7+","G","fundo de quintal"
"70",20," fundo de quintal a batucada dos nossos tantas  ",51,"Bb7+","A#","fundo de quintal"
"71",20," fundo de quintal a batucada dos nossos tantas  ",51,"Bbm6","A#","fundo de quintal"
"72",20," fundo de quintal a batucada dos nossos tantas  ",51,"Am7","A#","fundo de quintal"
"73",20," fundo de quintal a batucada dos nossos tantas  ",51,"D7/9","A#","fundo de quintal"
"74",20," fundo de quintal a batucada dos nossos tantas  ",51,"G7/9","A#","fundo de quintal"
"75",20," fundo de quintal a batucada dos nossos tantas  ",51,"C7","A#","fundo de quintal"
"76",20," fundo de quintal a batucada dos nossos tantas  ",51,"F","A#","fundo de quintal"
"77",20," fundo de quintal a batucada dos nossos tantas  ",51,"C7","A#","fundo de quintal"
"78",20," fundo de quintal a batucada dos nossos tantas  ",51,"F","A#","fundo de quintal"
"79",20," fundo de quintal a batucada dos nossos tantas  ",51,"Am7","A#","fundo de quintal"
"80",20," fundo de quintal a batucada dos nossos tantas  ",51,"Cm","A#","fundo de quintal"
"81",20," fundo de quintal a batucada dos nossos tantas  ",51,"F","A#","fundo de quintal"
"82",20," fundo de quintal a batucada dos nossos tantas  ",51,"F7","A#","fundo de quintal"
"83",20," fundo de quintal a batucada dos nossos tantas  ",51,"Bb7+","A#","fundo de quintal"
"84",20," fundo de quintal a batucada dos nossos tantas  ",51,"Bbm6","A#","fundo de quintal"
"85",20," fundo de quintal a batucada dos nossos tantas  ",51,"Am7","A#","fundo de quintal"
"86",20," fundo de quintal a batucada dos nossos tantas  ",51,"D7/9","A#","fundo de quintal"
"87",20," fundo de quintal a batucada dos nossos tantas  ",51,"G7/9","A#","fundo de quintal"
"88",20," fundo de quintal a batucada dos nossos tantas  ",51,"Gm7","A#","fundo de quintal"
"89",20," fundo de quintal a batucada dos nossos tantas  ",51,"C7","A#","fundo de quintal"
"90",20," fundo de quintal a batucada dos nossos tantas  ",51,"F","A#","fundo de quintal"
"91",20," fundo de quintal a batucada dos nossos tantas  ",51,"Am7","A#","fundo de quintal"
"92",20," fundo de quintal a batucada dos nossos tantas  ",51,"Cm","A#","fundo de quintal"
"93",20," fundo de quintal a batucada dos nossos tantas  ",51,"F","A#","fundo de quintal"
"94",20," fundo de quintal a batucada dos nossos tantas  ",51,"F7","A#","fundo de quintal"
"95",20," fundo de quintal a batucada dos nossos tantas  ",51,"Bb7+","A#","fundo de quintal"
"96",20," fundo de quintal a batucada dos nossos tantas  ",51,"Bbm6","A#","fundo de quintal"
"97",20," fundo de quintal a batucada dos nossos tantas  ",51,"A6/7","A#","fundo de quintal"
"98",20," fundo de quintal a batucada dos nossos tantas  ",51,"D7/9","A#","fundo de quintal"
"99",20," fundo de quintal a batucada dos nossos tantas  ",51,"G7/9","A#","fundo de quintal"
"100",20," fundo de quintal a batucada dos nossos tantas  ",51,"C7","A#","fundo de quintal"
"101",20," fundo de quintal a batucada dos nossos tantas  ",51,"F","A#","fundo de quintal"
"102",20," fundo de quintal a batucada dos nossos tantas  ",51,"D7","A#","fundo de quintal"
"103",20," fundo de quintal a batucada dos nossos tantas  ",51,"Gm7","A#","fundo de quintal"
"104",20," fundo de quintal a batucada dos nossos tantas  ",51,"C7","A#","fundo de quintal"
"105",20," fundo de quintal a batucada dos nossos tantas  ",51,"F6","A#","fundo de quintal"
"106",20," fundo de quintal a batucada dos nossos tantas  ",51,"D7","A#","fundo de quintal"
"107",20," fundo de quintal a batucada dos nossos tantas  ",51,"Gm7","A#","fundo de quintal"
"108",20," fundo de quintal a batucada dos nossos tantas  ",51,"C7","A#","fundo de quintal"
"109",20," fundo de quintal a batucada dos nossos tantas  ",51,"F","A#","fundo de quintal"
"110",20," fundo de quintal a batucada dos nossos tantas  ",51,"D7","A#","fundo de quintal"
"111",20," fundo de quintal a batucada dos nossos tantas  ",51,"Gm6","A#","fundo de quintal"
"112",20," fundo de quintal a batucada dos nossos tantas  ",51,"C7","A#","fundo de quintal"
"113",20," fundo de quintal a batucada dos nossos tantas  ",51,"F6","A#","fundo de quintal"
"114",20," fundo de quintal a batucada dos nossos tantas  ",51,"D7","A#","fundo de quintal"
"115",20," fundo de quintal a batucada dos nossos tantas  ",51,"Gm7","A#","fundo de quintal"
"116",20," fundo de quintal a batucada dos nossos tantas  ",51,"C7","A#","fundo de quintal"
"117",20," fundo de quintal a batucada dos nossos tantas  ",51,"F","A#","fundo de quintal"
"118",20," fundo de quintal a batucada dos nossos tantas  ",51,"C7","A#","fundo de quintal"
"119",20," fundo de quintal a batucada dos nossos tantas ",51,"Bb7+","F","fundo de quintal"
"120",20," fundo de quintal a batucada dos nossos tantas ",51,"Bbm6","F","fundo de quintal"
"121",20," fundo de quintal a batucada dos nossos tantas ",51,"Am7","F","fundo de quintal"
"122",20," fundo de quintal a batucada dos nossos tantas ",51,"D7/9","F","fundo de quintal"
"123",20," fundo de quintal a batucada dos nossos tantas ",51,"G7/9","F","fundo de quintal"
"124",20," fundo de quintal a batucada dos nossos tantas ",51,"C7","F","fundo de quintal"
"125",20," fundo de quintal a batucada dos nossos tantas ",51,"F","F","fundo de quintal"
"126",20," fundo de quintal a batucada dos nossos tantas ",51,"C7","F","fundo de quintal"
"127",20," fundo de quintal a batucada dos nossos tantas ",51,"F","F","fundo de quintal"
"128",20," fundo de quintal a batucada dos nossos tantas ",51,"Am7","F","fundo de quintal"
"129",20," fundo de quintal a batucada dos nossos tantas ",51,"Cm","F","fundo de quintal"
"130",20," fundo de quintal a batucada dos nossos tantas ",51,"F","F","fundo de quintal"
"131",20," fundo de quintal a batucada dos nossos tantas ",51,"F7","F","fundo de quintal"
"132",20," fundo de quintal a batucada dos nossos tantas ",51,"Bb7+","F","fundo de quintal"
"133",20," fundo de quintal a batucada dos nossos tantas ",51,"Bbm6","F","fundo de quintal"
"134",20," fundo de quintal a batucada dos nossos tantas ",51,"Am7","F","fundo de quintal"
"135",20," fundo de quintal a batucada dos nossos tantas ",51,"D7/9","F","fundo de quintal"
"136",20," fundo de quintal a batucada dos nossos tantas ",51,"G7/9","F","fundo de quintal"
"137",20," fundo de quintal a batucada dos nossos tantas ",51,"Gm7","F","fundo de quintal"
"138",20," fundo de quintal a batucada dos nossos tantas ",51,"C7","F","fundo de quintal"
"139",20," fundo de quintal a batucada dos nossos tantas ",51,"F","F","fundo de quintal"
"140",20," fundo de quintal a batucada dos nossos tantas ",51,"Am7","F","fundo de quintal"
"141",20," fundo de quintal a batucada dos nossos tantas ",51,"Cm","F","fundo de quintal"
"142",20," fundo de quintal a batucada dos nossos tantas ",51,"F","F","fundo de quintal"
"143",20," fundo de quintal a batucada dos nossos tantas ",51,"F7","F","fundo de quintal"
"144",20," fundo de quintal a batucada dos nossos tantas ",51,"Bb7+","F","fundo de quintal"
"145",20," fundo de quintal a batucada dos nossos tantas ",51,"Bbm6","F","fundo de quintal"
"146",20," fundo de quintal a batucada dos nossos tantas ",51,"A6/7","F","fundo de quintal"
"147",20," fundo de quintal a batucada dos nossos tantas ",51,"D7/9","F","fundo de quintal"
"148",20," fundo de quintal a batucada dos nossos tantas ",51,"G7/9","F","fundo de quintal"
"149",20," fundo de quintal a batucada dos nossos tantas ",51,"C7","F","fundo de quintal"
"150",20," fundo de quintal a batucada dos nossos tantas ",51,"F","F","fundo de quintal"
"151",20," fundo de quintal a batucada dos nossos tantas ",51,"D7","F","fundo de quintal"
"152",20," fundo de quintal a batucada dos nossos tantas ",51,"Gm7","F","fundo de quintal"
"153",20," fundo de quintal a batucada dos nossos tantas ",51,"C7","F","fundo de quintal"
"154",20," fundo de quintal a batucada dos nossos tantas ",51,"F6","F","fundo de quintal"
"155",20," fundo de quintal a batucada dos nossos tantas ",51,"D7","F","fundo de quintal"
"156",20," fundo de quintal a batucada dos nossos tantas ",51,"Gm7","F","fundo de quintal"
"157",20," fundo de quintal a batucada dos nossos tantas ",51,"C7","F","fundo de quintal"
"158",20," fundo de quintal a batucada dos nossos tantas ",51,"F","F","fundo de quintal"
"159",20," fundo de quintal a batucada dos nossos tantas ",51,"D7","F","fundo de quintal"
"160",20," fundo de quintal a batucada dos nossos tantas ",51,"Gm6","F","fundo de quintal"
"161",20," fundo de quintal a batucada dos nossos tantas ",51,"C7","F","fundo de quintal"
"162",20," fundo de quintal a batucada dos nossos tantas ",51,"F6","F","fundo de quintal"
"163",20," fundo de quintal a batucada dos nossos tantas ",51,"D7","F","fundo de quintal"
"164",20," fundo de quintal a batucada dos nossos tantas ",51,"Gm7","F","fundo de quintal"
"165",20," fundo de quintal a batucada dos nossos tantas ",51,"C7","F","fundo de quintal"
"166",20," fundo de quintal a batucada dos nossos tantas ",51,"F","F","fundo de quintal"
"167",20," fundo de quintal a batucada dos nossos tantas ",51,"C7","F","fundo de quintal"
"168",NA," fundo de quintal a flor o sambasamba da antiga ",NA,"C","C","fundo de quintal"
"169",NA," fundo de quintal a flor o sambasamba da antiga ",NA,"A7","C","fundo de quintal"
"170",NA," fundo de quintal a flor o sambasamba da antiga ",NA,"Dm","C","fundo de quintal"
"171",NA," fundo de quintal a flor o sambasamba da antiga ",NA,"G7","C","fundo de quintal"
"172",NA," fundo de quintal a flor o sambasamba da antiga ",NA,"C","C","fundo de quintal"
"173",NA," fundo de quintal a flor o sambasamba da antiga ",NA,"A7","C","fundo de quintal"
"174",NA," fundo de quintal a flor o sambasamba da antiga ",NA,"Dm","C","fundo de quintal"
"175",NA," fundo de quintal a flor o sambasamba da antiga ",NA,"G7","C","fundo de quintal"
"176",NA," fundo de quintal a flor o sambasamba da antiga ",NA,"C","C","fundo de quintal"
"177",NA," fundo de quintal a flor o sambasamba da antiga ",NA,"G7","C","fundo de quintal"
"178",NA," fundo de quintal a flor o sambasamba da antiga ",NA,"C","C","fundo de quintal"
"179",NA," fundo de quintal a flor o sambasamba da antiga ",NA,"A7","C","fundo de quintal"
"180",NA," fundo de quintal a flor o sambasamba da antiga ",NA,"Dm","C","fundo de quintal"
"181",NA," fundo de quintal a flor o sambasamba da antiga ",NA,"G7","C","fundo de quintal"
"182",NA," fundo de quintal a flor o sambasamba da antiga ",NA,"C","C","fundo de quintal"
"183",NA," fundo de quintal a flor o sambasamba da antiga ",NA,"G7","C","fundo de quintal"
"184",NA," fundo de quintal a flor o sambasamba da antiga ",NA,"C","C","fundo de quintal"
