"date","music","popul","chord","key","artist"
"1",5," geraldo azevedo a voz do morto ",4,"E7+","E","geraldo azevedo"
"2",5," geraldo azevedo a voz do morto ",4,"A7+","E","geraldo azevedo"
"3",5," geraldo azevedo a voz do morto ",4,"B7","E","geraldo azevedo"
"4",5," geraldo azevedo a voz do morto ",4,"G#m7","E","geraldo azevedo"
"5",5," geraldo azevedo a voz do morto ",4,"C#m7(9+)","E","geraldo azevedo"
"6",5," geraldo azevedo a voz do morto ",4,"Fm7","E","geraldo azevedo"
"7",5," geraldo azevedo a voz do morto ",4,"B7","E","geraldo azevedo"
"8",5," geraldo azevedo a voz do morto ",4,"E7+","E","geraldo azevedo"
"9",5," geraldo azevedo a voz do morto ",4,"A7+","E","geraldo azevedo"
"10",5," geraldo azevedo a voz do morto ",4,"B7","E","geraldo azevedo"
"11",9," geraldo azevedo adoro voce ",13,"C","C","geraldo azevedo"
"12",9," geraldo azevedo adoro voce ",13,"E7/B","C","geraldo azevedo"
"13",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"14",9," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"15",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"16",9," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"17",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"18",9," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"19",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"20",9," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"21",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"22",9," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"23",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"24",9," geraldo azevedo adoro voce ",13,"D7","C","geraldo azevedo"
"25",9," geraldo azevedo adoro voce ",13,"G","C","geraldo azevedo"
"26",9," geraldo azevedo adoro voce ",13,"E7","C","geraldo azevedo"
"27",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"28",9," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"29",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"30",9," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"31",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"32",9," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"33",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"34",9," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"35",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"36",9," geraldo azevedo adoro voce ",13,"D7","C","geraldo azevedo"
"37",9," geraldo azevedo adoro voce ",13,"G","C","geraldo azevedo"
"38",9," geraldo azevedo adoro voce ",13,"E7","C","geraldo azevedo"
"39",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"40",9," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"41",9," geraldo azevedo adoro voce ",13,"D7/4","C","geraldo azevedo"
"42",9," geraldo azevedo adoro voce ",13,"E7","C","geraldo azevedo"
"43",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"44",9," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"45",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"46",9," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"47",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"48",9," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"49",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"50",9," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"51",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"52",9," geraldo azevedo adoro voce ",13,"D7","C","geraldo azevedo"
"53",9," geraldo azevedo adoro voce ",13,"G","C","geraldo azevedo"
"54",9," geraldo azevedo adoro voce ",13,"E7","C","geraldo azevedo"
"55",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"56",9," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"57",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"58",9," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"59",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"60",9," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"61",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"62",9," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"63",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"64",9," geraldo azevedo adoro voce ",13,"D7","C","geraldo azevedo"
"65",9," geraldo azevedo adoro voce ",13,"G","C","geraldo azevedo"
"66",9," geraldo azevedo adoro voce ",13,"E7","C","geraldo azevedo"
"67",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"68",9," geraldo azevedo adoro voce ",13,"Dm/F","C","geraldo azevedo"
"69",9," geraldo azevedo adoro voce ",13,"D7/4","C","geraldo azevedo"
"70",9," geraldo azevedo adoro voce ",13,"E7","C","geraldo azevedo"
"71",9," geraldo azevedo adoro voce ",13,"Am","C","geraldo azevedo"
"72",12," geraldo azevedo ai que saudade doce ",51,"D","D","geraldo azevedo"
"73",12," geraldo azevedo ai que saudade doce ",51,"D7","D","geraldo azevedo"
"74",12," geraldo azevedo ai que saudade doce ",51,"G","D","geraldo azevedo"
"75",12," geraldo azevedo ai que saudade doce ",51,"Gm","D","geraldo azevedo"
"76",12," geraldo azevedo ai que saudade doce ",51,"D","D","geraldo azevedo"
"77",12," geraldo azevedo ai que saudade doce ",51,"D7","D","geraldo azevedo"
"78",12," geraldo azevedo ai que saudade doce ",51,"G","D","geraldo azevedo"
"79",12," geraldo azevedo ai que saudade doce ",51,"Gm","D","geraldo azevedo"
"80",12," geraldo azevedo ai que saudade doce ",51,"D","D","geraldo azevedo"
"81",12," geraldo azevedo ai que saudade doce ",51,"Bb","D","geraldo azevedo"
"82",12," geraldo azevedo ai que saudade doce ",51,"A","D","geraldo azevedo"
"83",12," geraldo azevedo ai que saudade doce ",51,"D","D","geraldo azevedo"
"84",12," geraldo azevedo ai que saudade doce ",51,"Bb","D","geraldo azevedo"
"85",12," geraldo azevedo ai que saudade doce ",51,"A","D","geraldo azevedo"
"86",12," geraldo azevedo ai que saudade doce ",51,"D","D","geraldo azevedo"
"87",12," geraldo azevedo ai que saudade doce ",51,"G","D","geraldo azevedo"
"88",12," geraldo azevedo ai que saudade doce ",51,"Gm","D","geraldo azevedo"
"89",12," geraldo azevedo ai que saudade doce ",51,"D","D","geraldo azevedo"
"90",12," geraldo azevedo ai que saudade doce ",51,"D7","D","geraldo azevedo"
"91",12," geraldo azevedo ai que saudade doce ",51,"G","D","geraldo azevedo"
"92",12," geraldo azevedo ai que saudade doce ",51,"Gm","D","geraldo azevedo"
"93",12," geraldo azevedo ai que saudade doce ",51,"Bm","D","geraldo azevedo"
"94",12," geraldo azevedo ai que saudade doce ",51,"F#m","D","geraldo azevedo"
"95",12," geraldo azevedo ai que saudade doce ",51,"Em","D","geraldo azevedo"
"96",12," geraldo azevedo ai que saudade doce ",51,"A","D","geraldo azevedo"
"97",12," geraldo azevedo ai que saudade doce ",51,"A7","D","geraldo azevedo"
"98",12," geraldo azevedo ai que saudade doce ",51,"D","D","geraldo azevedo"
"99",12," geraldo azevedo ai que saudade doce ",51,"D7","D","geraldo azevedo"
"100",12," geraldo azevedo ai que saudade doce ",51,"D","D","geraldo azevedo"
"101",12," geraldo azevedo ai que saudade doce ",51,"G","D","geraldo azevedo"
"102",12," geraldo azevedo ai que saudade doce ",51,"Gm","D","geraldo azevedo"
"103",12," geraldo azevedo ai que saudade doce ",51,"D","D","geraldo azevedo"
"104",12," geraldo azevedo ai que saudade doce ",51,"D7","D","geraldo azevedo"
"105",12," geraldo azevedo ai que saudade doce ",51,"G","D","geraldo azevedo"
"106",12," geraldo azevedo ai que saudade doce ",51,"Gm","D","geraldo azevedo"
"107",12," geraldo azevedo ai que saudade doce ",51,"Bm","D","geraldo azevedo"
"108",12," geraldo azevedo ai que saudade doce ",51,"F#m","D","geraldo azevedo"
"109",12," geraldo azevedo ai que saudade doce ",51,"Em","D","geraldo azevedo"
"110",12," geraldo azevedo ai que saudade doce ",51,"A","D","geraldo azevedo"
"111",12," geraldo azevedo ai que saudade doce ",51,"A7","D","geraldo azevedo"
"112",12," geraldo azevedo ai que saudade doce ",51,"D","D","geraldo azevedo"
"113",12," geraldo azevedo ai que saudade doce ",51,"D7","D","geraldo azevedo"
"114",12," geraldo azevedo ai que saudade doce ",51,"D","D","geraldo azevedo"
"115",12," geraldo azevedo ai que saudade doce ",51,"G","D","geraldo azevedo"
"116",12," geraldo azevedo ai que saudade doce ",51,"Gm","D","geraldo azevedo"
"117",12," geraldo azevedo ai que saudade doce ",51,"D","D","geraldo azevedo"
"118",12," geraldo azevedo ai que saudade doce ",51,"D7","D","geraldo azevedo"
"119",12," geraldo azevedo ai que saudade doce ",51,"G","D","geraldo azevedo"
"120",12," geraldo azevedo ai que saudade doce ",51,"Gm","D","geraldo azevedo"
"121",12," geraldo azevedo ai que saudade doce ",51,"Bm","D","geraldo azevedo"
"122",12," geraldo azevedo ai que saudade doce ",51,"F#m","D","geraldo azevedo"
"123",12," geraldo azevedo ai que saudade doce ",51,"Em","D","geraldo azevedo"
"124",12," geraldo azevedo ai que saudade doce ",51,"A","D","geraldo azevedo"
"125",12," geraldo azevedo ai que saudade doce ",51,"A7","D","geraldo azevedo"
"126",12," geraldo azevedo ai que saudade doce ",51,"D","D","geraldo azevedo"
"127",12," geraldo azevedo ai que saudade doce ",51,"D7","D","geraldo azevedo"
"128",NA," geraldo azevedo as quatro estacoes ",NA,"B","B","geraldo azevedo"
"129",NA," geraldo azevedo as quatro estacoes ",NA,"Abm","B","geraldo azevedo"
"130",NA," geraldo azevedo as quatro estacoes ",NA,"E","B","geraldo azevedo"
"131",NA," geraldo azevedo as quatro estacoes ",NA,"F#7","B","geraldo azevedo"
