"date","music","popul","chord","key","artist"
"1",NA," gilberto gil a forca secreta daquela alegria ",NA,"E7/9","E","gilberto gil"
"2",NA," gilberto gil a forca secreta daquela alegria ",NA,"B6","E","gilberto gil"
"3",NA," gilberto gil a forca secreta daquela alegria ",NA,"E7/9","E","gilberto gil"
"4",NA," gilberto gil a forca secreta daquela alegria ",NA,"B6","E","gilberto gil"
"5",NA," gilberto gil a forca secreta daquela alegria ",NA,"C#m7","E","gilberto gil"
"6",NA," gilberto gil a forca secreta daquela alegria ",NA,"C7/9","E","gilberto gil"
"7",NA," gilberto gil a forca secreta daquela alegria ",NA,"B6","E","gilberto gil"
"8",NA," gilberto gil a forca secreta daquela alegria ",NA,"F#7","E","gilberto gil"
"9",NA," gilberto gil a forca secreta daquela alegria ",NA,"F#7/13","E","gilberto gil"
"10",NA," gilberto gil a forca secreta daquela alegria ",NA,"B6","E","gilberto gil"
"11",NA," gilberto gil a forca secreta daquela alegria ",NA,"C#/B","E","gilberto gil"
"12",NA," gilberto gil a forca secreta daquela alegria ",NA,"C/Bb","E","gilberto gil"
"13",NA," gilberto gil a forca secreta daquela alegria ",NA,"B6","E","gilberto gil"
"14",NA," gilberto gil a forca secreta daquela alegria ",NA,"B7/9","E","gilberto gil"
"15",NA," gilberto gil a forca secreta daquela alegria ",NA,"E7+","E","gilberto gil"
"16",NA," gilberto gil a forca secreta daquela alegria ",NA,"Bb7","E","gilberto gil"
"17",NA," gilberto gil a forca secreta daquela alegria ",NA,"A7","E","gilberto gil"
"18",NA," gilberto gil a forca secreta daquela alegria ",NA,"G#7","E","gilberto gil"
"19",NA," gilberto gil a forca secreta daquela alegria ",NA,"G#m6","E","gilberto gil"
"20",NA," gilberto gil a forca secreta daquela alegria ",NA,"G#7","E","gilberto gil"
"21",NA," gilberto gil a forca secreta daquela alegria ",NA,"G#m6","E","gilberto gil"
"22",NA," gilberto gil a forca secreta daquela alegria ",NA,"G#7","E","gilberto gil"
"23",NA," gilberto gil a forca secreta daquela alegria ",NA,"B/A","E","gilberto gil"
"24",NA," gilberto gil a forca secreta daquela alegria ",NA,"E/G#","E","gilberto gil"
"25",NA," gilberto gil a forca secreta daquela alegria ",NA,"Bb/Ab","E","gilberto gil"
"26",NA," gilberto gil a forca secreta daquela alegria ",NA,"E/G#","E","gilberto gil"
"27",NA," gilberto gil a forca secreta daquela alegria ",NA,"A7","E","gilberto gil"
"28",NA," gilberto gil a forca secreta daquela alegria ",NA,"G#7","E","gilberto gil"
"29",NA," gilberto gil a forca secreta daquela alegria ",NA,"C#m7","E","gilberto gil"
"30",NA," gilberto gil a forca secreta daquela alegria ",NA,"F#7","E","gilberto gil"
"31",NA," gilberto gil a forca secreta daquela alegria ",NA,"B6","E","gilberto gil"
"32",14," gilberto gil a gente precisa ver o luar ",24,"F","F","gilberto gil"
"33",14," gilberto gil a gente precisa ver o luar ",24,"Bb","F","gilberto gil"
"34",14," gilberto gil a gente precisa ver o luar ",24,"F","F","gilberto gil"
"35",14," gilberto gil a gente precisa ver o luar ",24,"Bb","F","gilberto gil"
"36",14," gilberto gil a gente precisa ver o luar ",24,"F/C","F","gilberto gil"
"37",14," gilberto gil a gente precisa ver o luar ",24,"Dm7","F","gilberto gil"
"38",14," gilberto gil a gente precisa ver o luar ",24,"C","F","gilberto gil"
"39",14," gilberto gil a gente precisa ver o luar ",24,"Dm7","F","gilberto gil"
"40",14," gilberto gil a gente precisa ver o luar ",24,"C","F","gilberto gil"
"41",14," gilberto gil a gente precisa ver o luar ",24,"Dm7","F","gilberto gil"
"42",14," gilberto gil a gente precisa ver o luar ",24,"C","F","gilberto gil"
"43",14," gilberto gil a gente precisa ver o luar ",24,"Dm7","F","gilberto gil"
"44",14," gilberto gil a gente precisa ver o luar ",24,"C","F","gilberto gil"
"45",14," gilberto gil a gente precisa ver o luar ",24,"F","F","gilberto gil"
"46",14," gilberto gil a gente precisa ver o luar ",24,"G","F","gilberto gil"
"47",14," gilberto gil a gente precisa ver o luar ",24,"D","F","gilberto gil"
"48",14," gilberto gil a gente precisa ver o luar ",24,"E/D","F","gilberto gil"
"49",14," gilberto gil a gente precisa ver o luar ",24,"G","F","gilberto gil"
"50",14," gilberto gil a gente precisa ver o luar ",24,"Dsus","F","gilberto gil"
"51",14," gilberto gil a gente precisa ver o luar ",24,"G","F","gilberto gil"
"52",14," gilberto gil a gente precisa ver o luar ",24,"Dsus","F","gilberto gil"
"53",14," gilberto gil a gente precisa ver o luar ",24,"G","F","gilberto gil"
"54",14," gilberto gil a gente precisa ver o luar ",24,"Gm6","F","gilberto gil"
"55",14," gilberto gil a gente precisa ver o luar ",24,"D","F","gilberto gil"
"56",14," gilberto gil a gente precisa ver o luar ",24,"Dm7","F","gilberto gil"
"57",14," gilberto gil a gente precisa ver o luar ",24,"C","F","gilberto gil"
"58",14," gilberto gil a gente precisa ver o luar ",24,"Dm7","F","gilberto gil"
"59",14," gilberto gil a gente precisa ver o luar ",24,"C","F","gilberto gil"
"60",14," gilberto gil a gente precisa ver o luar ",24,"Dm7","F","gilberto gil"
"61",14," gilberto gil a gente precisa ver o luar ",24,"C","F","gilberto gil"
"62",40," gilberto gil a linha o linho ",34,"Em7+/9","D","gilberto gil"
"63",40," gilberto gil a linha o linho ",34,"Em7/9","D","gilberto gil"
"64",40," gilberto gil a linha o linho ",34,"Bm7","D","gilberto gil"
"65",40," gilberto gil a linha o linho ",34,"Bbº/13-","D","gilberto gil"
"66",40," gilberto gil a linha o linho ",34,"F#m7/11","D","gilberto gil"
"67",40," gilberto gil a linha o linho ",34,"B7/9-/11+","D","gilberto gil"
"68",40," gilberto gil a linha o linho ",34,"B7","D","gilberto gil"
"69",40," gilberto gil a linha o linho ",34,"Em7/9","D","gilberto gil"
"70",40," gilberto gil a linha o linho ",34,"A7/9/11+","D","gilberto gil"
"71",40," gilberto gil a linha o linho ",34,"A7","D","gilberto gil"
"72",40," gilberto gil a linha o linho ",34,"C7+","D","gilberto gil"
"73",40," gilberto gil a linha o linho ",34,"Cº","D","gilberto gil"
"74",40," gilberto gil a linha o linho ",34,"G7+/5+","D","gilberto gil"
"75",40," gilberto gil a linha o linho ",34,"G7+","D","gilberto gil"
"76",40," gilberto gil a linha o linho ",34,"F#m7/11","D","gilberto gil"
"77",40," gilberto gil a linha o linho ",34,"B7/9-/11+","D","gilberto gil"
"78",40," gilberto gil a linha o linho ",34,"B7","D","gilberto gil"
"79",40," gilberto gil a linha o linho ",34,"Em6/9","D","gilberto gil"
"80",40," gilberto gil a linha o linho ",34,"B/D#","D","gilberto gil"
"81",40," gilberto gil a linha o linho ",34,"Dm7/9","D","gilberto gil"
"82",40," gilberto gil a linha o linho ",34,"F/G","D","gilberto gil"
"83",40," gilberto gil a linha o linho ",34,"Db7/9/11+","D","gilberto gil"
"84",40," gilberto gil a linha o linho ",34,"C7+","D","gilberto gil"
"85",40," gilberto gil a linha o linho ",34,"C#º","D","gilberto gil"
"86",40," gilberto gil a linha o linho ",34,"G/D","D","gilberto gil"
"87",40," gilberto gil a linha o linho ",34,"B/D#","D","gilberto gil"
"88",40," gilberto gil a linha o linho ",34,"Em7","D","gilberto gil"
"89",40," gilberto gil a linha o linho ",34,"B/D#","D","gilberto gil"
"90",40," gilberto gil a linha o linho ",34,"G/D","D","gilberto gil"
"91",40," gilberto gil a linha o linho ",34,"B/D#","D","gilberto gil"
"92",40," gilberto gil a linha o linho ",34,"G/D","D","gilberto gil"
"93",40," gilberto gil a linha o linho ",34,"A7/9","D","gilberto gil"
"94",40," gilberto gil a linha o linho ",34,"G/A","D","gilberto gil"
"95",40," gilberto gil a linha o linho ",34,"A7/9/11+","D","gilberto gil"
"96",40," gilberto gil a linha o linho ",34,"A7","D","gilberto gil"
"97",40," gilberto gil a linha o linho ",34,"D7","D","gilberto gil"
"98",40," gilberto gil a linha o linho ",34,"G7+/5+","D","gilberto gil"
"99",40," gilberto gil a linha o linho ",34,"G7+","D","gilberto gil"
"100",40," gilberto gil a linha o linho ",34,"F#m7/11","D","gilberto gil"
"101",40," gilberto gil a linha o linho ",34,"B7/9-/11+","D","gilberto gil"
"102",40," gilberto gil a linha o linho ",34,"B7","D","gilberto gil"
"103",40," gilberto gil a linha o linho ",34,"Em6/9","D","gilberto gil"
"104",40," gilberto gil a linha o linho ",34,"B/D#","D","gilberto gil"
"105",40," gilberto gil a linha o linho ",34,"Dm7/9","D","gilberto gil"
"106",40," gilberto gil a linha o linho ",34,"F/G","D","gilberto gil"
"107",40," gilberto gil a linha o linho ",34,"Bb7/9/11+","D","gilberto gil"
"108",40," gilberto gil a linha o linho ",34,"C7+","D","gilberto gil"
"109",40," gilberto gil a linha o linho ",34,"C#º","D","gilberto gil"
"110",40," gilberto gil a linha o linho ",34,"G/D","D","gilberto gil"
"111",40," gilberto gil a linha o linho ",34,"B/D#","D","gilberto gil"
"112",40," gilberto gil a linha o linho ",34,"Em7","D","gilberto gil"
"113",40," gilberto gil a linha o linho ",34,"B/D#","D","gilberto gil"
"114",40," gilberto gil a linha o linho ",34,"G/D","D","gilberto gil"
"115",40," gilberto gil a linha o linho ",34,"B/D#","D","gilberto gil"
"116",40," gilberto gil a linha o linho ",34,"G/D","D","gilberto gil"
"117",40," gilberto gil a linha o linho ",34,"A7/9","D","gilberto gil"
"118",40," gilberto gil a linha o linho ",34,"G/A","D","gilberto gil"
"119",40," gilberto gil a linha o linho ",34,"A7/9/11+","D","gilberto gil"
"120",40," gilberto gil a linha o linho ",34,"A7/9","D","gilberto gil"
"121",40," gilberto gil a linha o linho ",34,"Eb7/9","D","gilberto gil"
"122",40," gilberto gil a linha o linho ",34,"D7","D","gilberto gil"
"123",18," gilberto gil a mao da limpeza ",18,"G","G","gilberto gil"
"124",18," gilberto gil a mao da limpeza ",18,"Am","G","gilberto gil"
"125",18," gilberto gil a mao da limpeza ",18,"C","G","gilberto gil"
"126",18," gilberto gil a mao da limpeza ",18,"F","G","gilberto gil"
"127",18," gilberto gil a mao da limpeza ",18,"C","G","gilberto gil"
"128",18," gilberto gil a mao da limpeza ",18,"F","G","gilberto gil"
"129",18," gilberto gil a mao da limpeza ",18,"Am","G","gilberto gil"
"130",18," gilberto gil a mao da limpeza ",18,"D","G","gilberto gil"
"131",18," gilberto gil a mao da limpeza ",18,"Am","G","gilberto gil"
"132",18," gilberto gil a mao da limpeza ",18,"D","G","gilberto gil"
"133",18," gilberto gil a mao da limpeza ",18,"Am","G","gilberto gil"
"134",18," gilberto gil a mao da limpeza ",18,"F","G","gilberto gil"
"135",18," gilberto gil a mao da limpeza ",18,"C","G","gilberto gil"
"136",18," gilberto gil a mao da limpeza ",18,"F","G","gilberto gil"
"137",18," gilberto gil a mao da limpeza ",18,"C","G","gilberto gil"
"138",18," gilberto gil a mao da limpeza ",18,"F","G","gilberto gil"
"139",18," gilberto gil a mao da limpeza ",18,"C","G","gilberto gil"
"140",18," gilberto gil a mao da limpeza ",18,"F","G","gilberto gil"
"141",18," gilberto gil a mao da limpeza ",18,"C","G","gilberto gil"
"142",18," gilberto gil a mao da limpeza ",18,"F","G","gilberto gil"
"143",18," gilberto gil a mao da limpeza ",18,"C","G","gilberto gil"
"144",18," gilberto gil a mao da limpeza ",18,"F","G","gilberto gil"
"145",18," gilberto gil a mao da limpeza ",18,"C","G","gilberto gil"
"146",18," gilberto gil a mao da limpeza ",18,"F","G","gilberto gil"
"147",18," gilberto gil a mao da limpeza ",18,"C","G","gilberto gil"
"148",18," gilberto gil a mao da limpeza ",18,"F","G","gilberto gil"
"149",18," gilberto gil a mao da limpeza ",18,"C","G","gilberto gil"
"150",18," gilberto gil a mao da limpeza ",18,"F","G","gilberto gil"
"151",18," gilberto gil a mao da limpeza ",18,"C","G","gilberto gil"
"152",18," gilberto gil a mao da limpeza ",18,"F","G","gilberto gil"
"153",18," gilberto gil a mao da limpeza ",18,"Am","G","gilberto gil"
"154",18," gilberto gil a mao da limpeza ",18,"D","G","gilberto gil"
"155",18," gilberto gil a mao da limpeza ",18,"Am","G","gilberto gil"
"156",18," gilberto gil a mao da limpeza ",18,"D","G","gilberto gil"
