"date" "music" "popul" "chord" "key" "artist"
"1" NA " gilberto gil a forca secreta daquela alegria " NA "E7/9" "E" "gilberto gil"
"2" NA " gilberto gil a forca secreta daquela alegria " NA "B6" "E" "gilberto gil"
"3" NA " gilberto gil a forca secreta daquela alegria " NA "E7/9" "E" "gilberto gil"
"4" NA " gilberto gil a forca secreta daquela alegria " NA "B6" "E" "gilberto gil"
"5" NA " gilberto gil a forca secreta daquela alegria " NA "C#m7" "E" "gilberto gil"
"6" NA " gilberto gil a forca secreta daquela alegria " NA "C7/9" "E" "gilberto gil"
"7" NA " gilberto gil a forca secreta daquela alegria " NA "B6" "E" "gilberto gil"
"8" NA " gilberto gil a forca secreta daquela alegria " NA "F#7" "E" "gilberto gil"
"9" NA " gilberto gil a forca secreta daquela alegria " NA "F#7/13" "E" "gilberto gil"
"10" NA " gilberto gil a forca secreta daquela alegria " NA "B6" "E" "gilberto gil"
"11" NA " gilberto gil a forca secreta daquela alegria " NA "C#/B" "E" "gilberto gil"
"12" NA " gilberto gil a forca secreta daquela alegria " NA "C/Bb" "E" "gilberto gil"
"13" NA " gilberto gil a forca secreta daquela alegria " NA "B6" "E" "gilberto gil"
"14" NA " gilberto gil a forca secreta daquela alegria " NA "B7/9" "E" "gilberto gil"
"15" NA " gilberto gil a forca secreta daquela alegria " NA "E7+" "E" "gilberto gil"
"16" NA " gilberto gil a forca secreta daquela alegria " NA "Bb7" "E" "gilberto gil"
"17" NA " gilberto gil a forca secreta daquela alegria " NA "A7" "E" "gilberto gil"
"18" NA " gilberto gil a forca secreta daquela alegria " NA "G#7" "E" "gilberto gil"
"19" NA " gilberto gil a forca secreta daquela alegria " NA "G#m6" "E" "gilberto gil"
"20" NA " gilberto gil a forca secreta daquela alegria " NA "G#7" "E" "gilberto gil"
"21" NA " gilberto gil a forca secreta daquela alegria " NA "G#m6" "E" "gilberto gil"
"22" NA " gilberto gil a forca secreta daquela alegria " NA "G#7" "E" "gilberto gil"
"23" NA " gilberto gil a forca secreta daquela alegria " NA "B/A" "E" "gilberto gil"
"24" NA " gilberto gil a forca secreta daquela alegria " NA "E/G#" "E" "gilberto gil"
"25" NA " gilberto gil a forca secreta daquela alegria " NA "Bb/Ab" "E" "gilberto gil"
"26" NA " gilberto gil a forca secreta daquela alegria " NA "E/G#" "E" "gilberto gil"
"27" NA " gilberto gil a forca secreta daquela alegria " NA "A7" "E" "gilberto gil"
"28" NA " gilberto gil a forca secreta daquela alegria " NA "G#7" "E" "gilberto gil"
"29" NA " gilberto gil a forca secreta daquela alegria " NA "C#m7" "E" "gilberto gil"
"30" NA " gilberto gil a forca secreta daquela alegria " NA "F#7" "E" "gilberto gil"
"31" NA " gilberto gil a forca secreta daquela alegria " NA "B6" "E" "gilberto gil"
"32" "1981" " gilberto gil a gente precisa ver o luar " 26 "F" "F" "gilberto gil"
"33" "1981" " gilberto gil a gente precisa ver o luar " 26 "Bb" "F" "gilberto gil"
"34" "1981" " gilberto gil a gente precisa ver o luar " 26 "F" "F" "gilberto gil"
"35" "1981" " gilberto gil a gente precisa ver o luar " 26 "Bb" "F" "gilberto gil"
"36" "1981" " gilberto gil a gente precisa ver o luar " 26 "F/C" "F" "gilberto gil"
"37" "1981" " gilberto gil a gente precisa ver o luar " 26 "Dm7" "F" "gilberto gil"
"38" "1981" " gilberto gil a gente precisa ver o luar " 26 "C" "F" "gilberto gil"
"39" "1981" " gilberto gil a gente precisa ver o luar " 26 "Dm7" "F" "gilberto gil"
"40" "1981" " gilberto gil a gente precisa ver o luar " 26 "C" "F" "gilberto gil"
"41" "1981" " gilberto gil a gente precisa ver o luar " 26 "Dm7" "F" "gilberto gil"
"42" "1981" " gilberto gil a gente precisa ver o luar " 26 "C" "F" "gilberto gil"
"43" "1981" " gilberto gil a gente precisa ver o luar " 26 "Dm7" "F" "gilberto gil"
"44" "1981" " gilberto gil a gente precisa ver o luar " 26 "C" "F" "gilberto gil"
"45" "1981" " gilberto gil a gente precisa ver o luar " 26 "F" "F" "gilberto gil"
"46" "1981" " gilberto gil a gente precisa ver o luar " 26 "G" "F" "gilberto gil"
"47" "1981" " gilberto gil a gente precisa ver o luar " 26 "D" "F" "gilberto gil"
"48" "1981" " gilberto gil a gente precisa ver o luar " 26 "E/D" "F" "gilberto gil"
"49" "1981" " gilberto gil a gente precisa ver o luar " 26 "G" "F" "gilberto gil"
"50" "1981" " gilberto gil a gente precisa ver o luar " 26 "Dsus" "F" "gilberto gil"
"51" "1981" " gilberto gil a gente precisa ver o luar " 26 "G" "F" "gilberto gil"
"52" "1981" " gilberto gil a gente precisa ver o luar " 26 "Dsus" "F" "gilberto gil"
"53" "1981" " gilberto gil a gente precisa ver o luar " 26 "G" "F" "gilberto gil"
"54" "1981" " gilberto gil a gente precisa ver o luar " 26 "Gm6" "F" "gilberto gil"
"55" "1981" " gilberto gil a gente precisa ver o luar " 26 "D" "F" "gilberto gil"
"56" "1981" " gilberto gil a gente precisa ver o luar " 26 "Dm7" "F" "gilberto gil"
"57" "1981" " gilberto gil a gente precisa ver o luar " 26 "C" "F" "gilberto gil"
"58" "1981" " gilberto gil a gente precisa ver o luar " 26 "Dm7" "F" "gilberto gil"
"59" "1981" " gilberto gil a gente precisa ver o luar " 26 "C" "F" "gilberto gil"
"60" "1981" " gilberto gil a gente precisa ver o luar " 26 "Dm7" "F" "gilberto gil"
"61" "1981" " gilberto gil a gente precisa ver o luar " 26 "C" "F" "gilberto gil"
"62" "2012-01-01" " gilberto gil a linha o linho " 36 "Em7+/9" "D" "gilberto gil"
"63" "2012-01-01" " gilberto gil a linha o linho " 36 "Em7/9" "D" "gilberto gil"
"64" "2012-01-01" " gilberto gil a linha o linho " 36 "Bm7" "D" "gilberto gil"
"65" "2012-01-01" " gilberto gil a linha o linho " 36 "Bbº/13-" "D" "gilberto gil"
"66" "2012-01-01" " gilberto gil a linha o linho " 36 "F#m7/11" "D" "gilberto gil"
"67" "2012-01-01" " gilberto gil a linha o linho " 36 "B7/9-/11+" "D" "gilberto gil"
"68" "2012-01-01" " gilberto gil a linha o linho " 36 "B7" "D" "gilberto gil"
"69" "2012-01-01" " gilberto gil a linha o linho " 36 "Em7/9" "D" "gilberto gil"
"70" "2012-01-01" " gilberto gil a linha o linho " 36 "A7/9/11+" "D" "gilberto gil"
"71" "2012-01-01" " gilberto gil a linha o linho " 36 "A7" "D" "gilberto gil"
"72" "2012-01-01" " gilberto gil a linha o linho " 36 "C7+" "D" "gilberto gil"
"73" "2012-01-01" " gilberto gil a linha o linho " 36 "Cº" "D" "gilberto gil"
"74" "2012-01-01" " gilberto gil a linha o linho " 36 "G7+/5+" "D" "gilberto gil"
"75" "2012-01-01" " gilberto gil a linha o linho " 36 "G7+" "D" "gilberto gil"
"76" "2012-01-01" " gilberto gil a linha o linho " 36 "F#m7/11" "D" "gilberto gil"
"77" "2012-01-01" " gilberto gil a linha o linho " 36 "B7/9-/11+" "D" "gilberto gil"
"78" "2012-01-01" " gilberto gil a linha o linho " 36 "B7" "D" "gilberto gil"
"79" "2012-01-01" " gilberto gil a linha o linho " 36 "Em6/9" "D" "gilberto gil"
"80" "2012-01-01" " gilberto gil a linha o linho " 36 "B/D#" "D" "gilberto gil"
"81" "2012-01-01" " gilberto gil a linha o linho " 36 "Dm7/9" "D" "gilberto gil"
"82" "2012-01-01" " gilberto gil a linha o linho " 36 "F/G" "D" "gilberto gil"
"83" "2012-01-01" " gilberto gil a linha o linho " 36 "Db7/9/11+" "D" "gilberto gil"
"84" "2012-01-01" " gilberto gil a linha o linho " 36 "C7+" "D" "gilberto gil"
"85" "2012-01-01" " gilberto gil a linha o linho " 36 "C#º" "D" "gilberto gil"
"86" "2012-01-01" " gilberto gil a linha o linho " 36 "G/D" "D" "gilberto gil"
"87" "2012-01-01" " gilberto gil a linha o linho " 36 "B/D#" "D" "gilberto gil"
"88" "2012-01-01" " gilberto gil a linha o linho " 36 "Em7" "D" "gilberto gil"
"89" "2012-01-01" " gilberto gil a linha o linho " 36 "B/D#" "D" "gilberto gil"
"90" "2012-01-01" " gilberto gil a linha o linho " 36 "G/D" "D" "gilberto gil"
"91" "2012-01-01" " gilberto gil a linha o linho " 36 "B/D#" "D" "gilberto gil"
"92" "2012-01-01" " gilberto gil a linha o linho " 36 "G/D" "D" "gilberto gil"
"93" "2012-01-01" " gilberto gil a linha o linho " 36 "A7/9" "D" "gilberto gil"
"94" "2012-01-01" " gilberto gil a linha o linho " 36 "G/A" "D" "gilberto gil"
"95" "2012-01-01" " gilberto gil a linha o linho " 36 "A7/9/11+" "D" "gilberto gil"
"96" "2012-01-01" " gilberto gil a linha o linho " 36 "A7" "D" "gilberto gil"
"97" "2012-01-01" " gilberto gil a linha o linho " 36 "D7" "D" "gilberto gil"
"98" "2012-01-01" " gilberto gil a linha o linho " 36 "G7+/5+" "D" "gilberto gil"
"99" "2012-01-01" " gilberto gil a linha o linho " 36 "G7+" "D" "gilberto gil"
"100" "2012-01-01" " gilberto gil a linha o linho " 36 "F#m7/11" "D" "gilberto gil"
"101" "2012-01-01" " gilberto gil a linha o linho " 36 "B7/9-/11+" "D" "gilberto gil"
"102" "2012-01-01" " gilberto gil a linha o linho " 36 "B7" "D" "gilberto gil"
"103" "2012-01-01" " gilberto gil a linha o linho " 36 "Em6/9" "D" "gilberto gil"
"104" "2012-01-01" " gilberto gil a linha o linho " 36 "B/D#" "D" "gilberto gil"
"105" "2012-01-01" " gilberto gil a linha o linho " 36 "Dm7/9" "D" "gilberto gil"
"106" "2012-01-01" " gilberto gil a linha o linho " 36 "F/G" "D" "gilberto gil"
"107" "2012-01-01" " gilberto gil a linha o linho " 36 "Bb7/9/11+" "D" "gilberto gil"
"108" "2012-01-01" " gilberto gil a linha o linho " 36 "C7+" "D" "gilberto gil"
"109" "2012-01-01" " gilberto gil a linha o linho " 36 "C#º" "D" "gilberto gil"
"110" "2012-01-01" " gilberto gil a linha o linho " 36 "G/D" "D" "gilberto gil"
"111" "2012-01-01" " gilberto gil a linha o linho " 36 "B/D#" "D" "gilberto gil"
"112" "2012-01-01" " gilberto gil a linha o linho " 36 "Em7" "D" "gilberto gil"
"113" "2012-01-01" " gilberto gil a linha o linho " 36 "B/D#" "D" "gilberto gil"
"114" "2012-01-01" " gilberto gil a linha o linho " 36 "G/D" "D" "gilberto gil"
"115" "2012-01-01" " gilberto gil a linha o linho " 36 "B/D#" "D" "gilberto gil"
"116" "2012-01-01" " gilberto gil a linha o linho " 36 "G/D" "D" "gilberto gil"
"117" "2012-01-01" " gilberto gil a linha o linho " 36 "A7/9" "D" "gilberto gil"
"118" "2012-01-01" " gilberto gil a linha o linho " 36 "G/A" "D" "gilberto gil"
"119" "2012-01-01" " gilberto gil a linha o linho " 36 "A7/9/11+" "D" "gilberto gil"
"120" "2012-01-01" " gilberto gil a linha o linho " 36 "A7/9" "D" "gilberto gil"
"121" "2012-01-01" " gilberto gil a linha o linho " 36 "Eb7/9" "D" "gilberto gil"
"122" "2012-01-01" " gilberto gil a linha o linho " 36 "D7" "D" "gilberto gil"
"123" "1984" " gilberto gil a mao da limpeza " 20 "G" "G" "gilberto gil"
"124" "1984" " gilberto gil a mao da limpeza " 20 "Am" "G" "gilberto gil"
"125" "1984" " gilberto gil a mao da limpeza " 20 "C" "G" "gilberto gil"
"126" "1984" " gilberto gil a mao da limpeza " 20 "F" "G" "gilberto gil"
"127" "1984" " gilberto gil a mao da limpeza " 20 "C" "G" "gilberto gil"
"128" "1984" " gilberto gil a mao da limpeza " 20 "F" "G" "gilberto gil"
"129" "1984" " gilberto gil a mao da limpeza " 20 "Am" "G" "gilberto gil"
"130" "1984" " gilberto gil a mao da limpeza " 20 "D" "G" "gilberto gil"
"131" "1984" " gilberto gil a mao da limpeza " 20 "Am" "G" "gilberto gil"
"132" "1984" " gilberto gil a mao da limpeza " 20 "D" "G" "gilberto gil"
"133" "1984" " gilberto gil a mao da limpeza " 20 "Am" "G" "gilberto gil"
"134" "1984" " gilberto gil a mao da limpeza " 20 "F" "G" "gilberto gil"
"135" "1984" " gilberto gil a mao da limpeza " 20 "C" "G" "gilberto gil"
