"date","music","popul","chord","key","artist"
"1",19," gusttavo lima 10 anos ",46,"Bm","D","gusttavo lima"
"2",19," gusttavo lima 10 anos ",46,"G","D","gusttavo lima"
"3",19," gusttavo lima 10 anos ",46,"D","D","gusttavo lima"
"4",19," gusttavo lima 10 anos ",46,"A","D","gusttavo lima"
"5",19," gusttavo lima 10 anos ",46,"D","D","gusttavo lima"
"6",19," gusttavo lima 10 anos ",46,"F#m","D","gusttavo lima"
"7",19," gusttavo lima 10 anos ",46,"Bm","D","gusttavo lima"
"8",19," gusttavo lima 10 anos ",46,"G","D","gusttavo lima"
"9",19," gusttavo lima 10 anos ",46,"D","D","gusttavo lima"
"10",19," gusttavo lima 10 anos ",46,"F#m","D","gusttavo lima"
"11",19," gusttavo lima 10 anos ",46,"Bm","D","gusttavo lima"
"12",19," gusttavo lima 10 anos ",46,"G","D","gusttavo lima"
"13",19," gusttavo lima 10 anos ",46,"D","D","gusttavo lima"
"14",19," gusttavo lima 10 anos ",46,"F#m","D","gusttavo lima"
"15",19," gusttavo lima 10 anos ",46,"Bm","D","gusttavo lima"
"16",19," gusttavo lima 10 anos ",46,"G","D","gusttavo lima"
"17",19," gusttavo lima 10 anos ",46,"D","D","gusttavo lima"
"18",19," gusttavo lima 10 anos ",46,"A","D","gusttavo lima"
"19",19," gusttavo lima 10 anos ",46,"Bm","D","gusttavo lima"
"20",19," gusttavo lima 10 anos ",46,"G","D","gusttavo lima"
"21",19," gusttavo lima 10 anos ",46,"D","D","gusttavo lima"
"22",19," gusttavo lima 10 anos ",46,"A","D","gusttavo lima"
"23",19," gusttavo lima 10 anos ",46,"D","D","gusttavo lima"
"24",19," gusttavo lima 10 anos ",46,"F#m","D","gusttavo lima"
"25",19," gusttavo lima 10 anos ",46,"Bm","D","gusttavo lima"
"26",19," gusttavo lima 10 anos ",46,"G","D","gusttavo lima"
"27",19," gusttavo lima 10 anos ",46,"D","D","gusttavo lima"
"28",19," gusttavo lima 10 anos ",46,"F#m","D","gusttavo lima"
"29",19," gusttavo lima 10 anos ",46,"Bm","D","gusttavo lima"
"30",19," gusttavo lima 10 anos ",46,"G","D","gusttavo lima"
"31",19," gusttavo lima 10 anos ",46,"D","D","gusttavo lima"
"32",19," gusttavo lima 10 anos ",46,"F#m","D","gusttavo lima"
"33",19," gusttavo lima 10 anos ",46,"Bm","D","gusttavo lima"
"34",19," gusttavo lima 10 anos ",46,"G","D","gusttavo lima"
"35",19," gusttavo lima 10 anos ",46,"D","D","gusttavo lima"
"36",19," gusttavo lima 10 anos ",46,"A","D","gusttavo lima"
"37",NA," gusttavo lima 100 maneiras ",NA,"F","F","gusttavo lima"
"38",NA," gusttavo lima 100 maneiras ",NA,"C","F","gusttavo lima"
"39",NA," gusttavo lima 100 maneiras ",NA,"Gm","F","gusttavo lima"
"40",NA," gusttavo lima 100 maneiras ",NA,"Bb","F","gusttavo lima"
"41",NA," gusttavo lima 100 maneiras ",NA,"C","F","gusttavo lima"
"42",NA," gusttavo lima 100 maneiras ",NA,"Gm","F","gusttavo lima"
"43",NA," gusttavo lima 100 maneiras ",NA,"Bb","F","gusttavo lima"
"44",NA," gusttavo lima 100 maneiras ",NA,"F","F","gusttavo lima"
"45",NA," gusttavo lima 100 maneiras ",NA,"C","F","gusttavo lima"
"46",NA," gusttavo lima 100 maneiras ",NA,"Gm","F","gusttavo lima"
"47",NA," gusttavo lima 100 maneiras ",NA,"Bb","F","gusttavo lima"
"48",NA," gusttavo lima 100 maneiras ",NA,"F","F","gusttavo lima"
"49",NA," gusttavo lima 100 maneiras ",NA,"C","F","gusttavo lima"
"50",NA," gusttavo lima 100 maneiras ",NA,"Gm","F","gusttavo lima"
"51",NA," gusttavo lima 100 maneiras ",NA,"Bb","F","gusttavo lima"
"52",NA," gusttavo lima 100 maneiras ",NA,"F","F","gusttavo lima"
"53",NA," gusttavo lima 100 maneiras ",NA,"C","F","gusttavo lima"
"54",NA," gusttavo lima 100 maneiras ",NA,"F","F","gusttavo lima"
"55",NA," gusttavo lima 100 maneiras ",NA,"C","F","gusttavo lima"
"56",NA," gusttavo lima 100 maneiras ",NA,"Gm","F","gusttavo lima"
"57",NA," gusttavo lima 100 maneiras ",NA,"Bb","F","gusttavo lima"
"58",NA," gusttavo lima 100 maneiras ",NA,"F","F","gusttavo lima"
"59",NA," gusttavo lima 100 maneiras ",NA,"C","F","gusttavo lima"
"60",NA," gusttavo lima 100 maneiras ",NA,"F","F","gusttavo lima"
"61",NA," gusttavo lima 100 maneiras ",NA,"C","F","gusttavo lima"
"62",NA," gusttavo lima 100 maneiras ",NA,"Gm","F","gusttavo lima"
"63",NA," gusttavo lima 100 maneiras ",NA,"Bb","F","gusttavo lima"
