"date","music","popul","chord","key","artist"
"1",12," henrique e juliano 3 horas de motel ",66,"B","B","henrique e juliano"
"2",12," henrique e juliano 3 horas de motel ",66,"F#","B","henrique e juliano"
"3",12," henrique e juliano 3 horas de motel ",66,"C#m","B","henrique e juliano"
"4",12," henrique e juliano 3 horas de motel ",66,"E","B","henrique e juliano"
"5",12," henrique e juliano 3 horas de motel ",66,"F#","B","henrique e juliano"
"6",12," henrique e juliano 3 horas de motel ",66,"B","B","henrique e juliano"
"7",12," henrique e juliano 3 horas de motel ",66,"B","B","henrique e juliano"
"8",12," henrique e juliano 3 horas de motel ",66,"F#","B","henrique e juliano"
"9",12," henrique e juliano 3 horas de motel ",66,"E","B","henrique e juliano"
"10",12," henrique e juliano 3 horas de motel ",66,"Em","B","henrique e juliano"
"11",12," henrique e juliano 3 horas de motel ",66,"F#","B","henrique e juliano"
"12",12," henrique e juliano 3 horas de motel ",66,"B","B","henrique e juliano"
"13",12," henrique e juliano 3 horas de motel ",66,"F#","B","henrique e juliano"
"14",12," henrique e juliano 3 horas de motel ",66,"C#m","B","henrique e juliano"
"15",12," henrique e juliano 3 horas de motel ",66,"E","B","henrique e juliano"
"16",12," henrique e juliano 3 horas de motel ",66,"F#","B","henrique e juliano"
"17",12," henrique e juliano 3 horas de motel ",66,"B","B","henrique e juliano"
"18",12," henrique e juliano 3 horas de motel ",66,"F#","B","henrique e juliano"
"19",12," henrique e juliano 3 horas de motel ",66,"C#m","B","henrique e juliano"
"20",12," henrique e juliano 3 horas de motel ",66,"E","B","henrique e juliano"
"21",12," henrique e juliano 3 horas de motel ",66,"F#","B","henrique e juliano"
"22",12," henrique e juliano 3 horas de motel ",66,"B","B","henrique e juliano"
"23",12," henrique e juliano 5 km ",67,"A9","A","henrique e juliano"
"24",12," henrique e juliano 5 km ",67,"E","A","henrique e juliano"
"25",12," henrique e juliano 5 km ",67,"F#m11","A","henrique e juliano"
"26",12," henrique e juliano 5 km ",67,"D9","A","henrique e juliano"
"27",12," henrique e juliano 5 km ",67,"A9","A","henrique e juliano"
"28",12," henrique e juliano 5 km ",67,"E","A","henrique e juliano"
"29",12," henrique e juliano 5 km ",67,"F#m11","A","henrique e juliano"
"30",12," henrique e juliano 5 km ",67,"D9","A","henrique e juliano"
"31",12," henrique e juliano 5 km ",67,"A9","A","henrique e juliano"
"32",12," henrique e juliano 5 km ",67,"E","A","henrique e juliano"
"33",12," henrique e juliano 5 km ",67,"F#m11","A","henrique e juliano"
"34",12," henrique e juliano 5 km ",67,"D9","A","henrique e juliano"
"35",12," henrique e juliano 5 km ",67,"A9","A","henrique e juliano"
"36",12," henrique e juliano 5 km ",67,"E","A","henrique e juliano"
"37",12," henrique e juliano 5 km ",67,"F#m11","A","henrique e juliano"
"38",12," henrique e juliano 5 km ",67,"D9","A","henrique e juliano"
"39",12," henrique e juliano 5 km ",67,"E","A","henrique e juliano"
