"date" "music" "popul" "chord" "key" "artist"
"1" "2017-07-07" " henrique e juliano 3 horas de motel " 66 "B" "B" "henrique e juliano"
"2" "2017-07-07" " henrique e juliano 3 horas de motel " 66 "F#" "B" "henrique e juliano"
"3" "2017-07-07" " henrique e juliano 3 horas de motel " 66 "C#m" "B" "henrique e juliano"
"4" "2017-07-07" " henrique e juliano 3 horas de motel " 66 "E" "B" "henrique e juliano"
"5" "2017-07-07" " henrique e juliano 3 horas de motel " 66 "F#" "B" "henrique e juliano"
"6" "2017-07-07" " henrique e juliano 3 horas de motel " 66 "B" "B" "henrique e juliano"
"7" "2017-07-07" " henrique e juliano 3 horas de motel " 66 "B" "B" "henrique e juliano"
"8" "2017-07-07" " henrique e juliano 3 horas de motel " 66 "F#" "B" "henrique e juliano"
"9" "2017-07-07" " henrique e juliano 3 horas de motel " 66 "E" "B" "henrique e juliano"
"10" "2017-07-07" " henrique e juliano 3 horas de motel " 66 "Em" "B" "henrique e juliano"
"11" "2017-07-07" " henrique e juliano 3 horas de motel " 66 "F#" "B" "henrique e juliano"
"12" "2017-07-07" " henrique e juliano 3 horas de motel " 66 "B" "B" "henrique e juliano"
"13" "2017-07-07" " henrique e juliano 3 horas de motel " 66 "F#" "B" "henrique e juliano"
"14" "2017-07-07" " henrique e juliano 3 horas de motel " 66 "C#m" "B" "henrique e juliano"
"15" "2017-07-07" " henrique e juliano 3 horas de motel " 66 "E" "B" "henrique e juliano"
"16" "2017-07-07" " henrique e juliano 3 horas de motel " 66 "F#" "B" "henrique e juliano"
"17" "2017-07-07" " henrique e juliano 3 horas de motel " 66 "B" "B" "henrique e juliano"
"18" "2017-07-07" " henrique e juliano 3 horas de motel " 66 "F#" "B" "henrique e juliano"
"19" "2017-07-07" " henrique e juliano 3 horas de motel " 66 "C#m" "B" "henrique e juliano"
"20" "2017-07-07" " henrique e juliano 3 horas de motel " 66 "E" "B" "henrique e juliano"
"21" "2017-07-07" " henrique e juliano 3 horas de motel " 66 "F#" "B" "henrique e juliano"
"22" "2017-07-07" " henrique e juliano 3 horas de motel " 66 "B" "B" "henrique e juliano"
"23" "2017-07-07" " henrique e juliano 5 km " 68 "A9" "A" "henrique e juliano"
"24" "2017-07-07" " henrique e juliano 5 km " 68 "E" "A" "henrique e juliano"
"25" "2017-07-07" " henrique e juliano 5 km " 68 "F#m11" "A" "henrique e juliano"
"26" "2017-07-07" " henrique e juliano 5 km " 68 "D9" "A" "henrique e juliano"
"27" "2017-07-07" " henrique e juliano 5 km " 68 "A9" "A" "henrique e juliano"
"28" "2017-07-07" " henrique e juliano 5 km " 68 "E" "A" "henrique e juliano"
"29" "2017-07-07" " henrique e juliano 5 km " 68 "F#m11" "A" "henrique e juliano"
"30" "2017-07-07" " henrique e juliano 5 km " 68 "D9" "A" "henrique e juliano"
"31" "2017-07-07" " henrique e juliano 5 km " 68 "A9" "A" "henrique e juliano"
"32" "2017-07-07" " henrique e juliano 5 km " 68 "E" "A" "henrique e juliano"
"33" "2017-07-07" " henrique e juliano 5 km " 68 "F#m11" "A" "henrique e juliano"
"34" "2017-07-07" " henrique e juliano 5 km " 68 "D9" "A" "henrique e juliano"
"35" "2017-07-07" " henrique e juliano 5 km " 68 "A9" "A" "henrique e juliano"
"36" "2017-07-07" " henrique e juliano 5 km " 68 "E" "A" "henrique e juliano"
"37" "2017-07-07" " henrique e juliano 5 km " 68 "F#m11" "A" "henrique e juliano"
"38" "2017-07-07" " henrique e juliano 5 km " 68 "D9" "A" "henrique e juliano"
"39" "2017-07-07" " henrique e juliano 5 km " 68 "E" "A" "henrique e juliano"
"40" "2017-07-07" " henrique e juliano 5 km " 68 "A9" "A" "henrique e juliano"
"41" "2017-07-07" " henrique e juliano 5 km " 68 "E" "A" "henrique e juliano"
"42" "2017-07-07" " henrique e juliano 5 km " 68 "F#m11" "A" "henrique e juliano"
"43" "2017-07-07" " henrique e juliano 5 km " 68 "D9" "A" "henrique e juliano"
"44" "2017-07-07" " henrique e juliano 5 km " 68 "E" "A" "henrique e juliano"
"45" "2017-07-07" " henrique e juliano 5 km " 68 "A9" "A" "henrique e juliano"
