"date","music","popul","chord","key","artist"
"1",9," jair rodrigues a rita ",NA,"Bm7","D","jair rodrigues"
"2",9," jair rodrigues a rita ",NA,"E7(9)","D","jair rodrigues"
"3",9," jair rodrigues a rita ",NA,"A7M","D","jair rodrigues"
"4",9," jair rodrigues a rita ",NA,"A6","D","jair rodrigues"
"5",9," jair rodrigues a rita ",NA,"Em7","D","jair rodrigues"
"6",9," jair rodrigues a rita ",NA,"A7","D","jair rodrigues"
"7",9," jair rodrigues a rita ",NA,"D7M","D","jair rodrigues"
"8",9," jair rodrigues a rita ",NA,"D6","D","jair rodrigues"
"9",9," jair rodrigues a rita ",NA,"Dm7","D","jair rodrigues"
"10",9," jair rodrigues a rita ",NA,"Dm6","D","jair rodrigues"
"11",9," jair rodrigues a rita ",NA,"C#m7","D","jair rodrigues"
"12",9," jair rodrigues a rita ",NA,"F#7","D","jair rodrigues"
"13",9," jair rodrigues a rita ",NA,"B7/4(9)","D","jair rodrigues"
"14",9," jair rodrigues a rita ",NA,"B7(9)","D","jair rodrigues"
"15",9," jair rodrigues a rita ",NA,"E7/4(9)","D","jair rodrigues"
"16",9," jair rodrigues a rita ",NA,"E7(9)","D","jair rodrigues"
"17",9," jair rodrigues a rita ",NA,"Bm7","D","jair rodrigues"
"18",9," jair rodrigues a rita ",NA,"E7(9)","D","jair rodrigues"
"19",9," jair rodrigues a rita ",NA,"A7M","D","jair rodrigues"
"20",9," jair rodrigues a rita ",NA,"A6","D","jair rodrigues"
"21",9," jair rodrigues a rita ",NA,"Em7","D","jair rodrigues"
"22",9," jair rodrigues a rita ",NA,"A7","D","jair rodrigues"
"23",9," jair rodrigues a rita ",NA,"D7M","D","jair rodrigues"
"24",9," jair rodrigues a rita ",NA,"D6","D","jair rodrigues"
"25",9," jair rodrigues a rita ",NA,"Dm7","D","jair rodrigues"
"26",9," jair rodrigues a rita ",NA,"Dm6","D","jair rodrigues"
"27",9," jair rodrigues a rita ",NA,"C#m6","D","jair rodrigues"
"28",9," jair rodrigues a rita ",NA,"F#7(b13)","D","jair rodrigues"
"29",9," jair rodrigues a rita ",NA,"B7","D","jair rodrigues"
"30",9," jair rodrigues a rita ",NA,"E7(9)","D","jair rodrigues"
"31",9," jair rodrigues a rita ",NA,"A6","D","jair rodrigues"
"32",4," jair rodrigues a voz do morro ",41,"Cm7","A#","jair rodrigues"
"33",4," jair rodrigues a voz do morro ",41,"Fsus","A#","jair rodrigues"
"34",4," jair rodrigues a voz do morro ",41,"Bb7M","A#","jair rodrigues"
"35",4," jair rodrigues a voz do morro ",41,"Gm7","A#","jair rodrigues"
"36",4," jair rodrigues a voz do morro ",41,"Cm7","A#","jair rodrigues"
"37",4," jair rodrigues a voz do morro ",41,"F7","A#","jair rodrigues"
"38",4," jair rodrigues a voz do morro ",41,"F7/13b","A#","jair rodrigues"
"39",4," jair rodrigues a voz do morro ",41,"Bb7M","A#","jair rodrigues"
"40",4," jair rodrigues a voz do morro ",41,"G7/13b","A#","jair rodrigues"
"41",4," jair rodrigues a voz do morro ",41,"Cm7","A#","jair rodrigues"
"42",4," jair rodrigues a voz do morro ",41,"F7","A#","jair rodrigues"
"43",4," jair rodrigues a voz do morro ",41,"F7/13b","A#","jair rodrigues"
"44",4," jair rodrigues a voz do morro ",41,"Bb7M","A#","jair rodrigues"
"45",4," jair rodrigues a voz do morro ",41,"Gm7","A#","jair rodrigues"
"46",4," jair rodrigues a voz do morro ",41,"Cm7","A#","jair rodrigues"
"47",4," jair rodrigues a voz do morro ",41,"F7","A#","jair rodrigues"
"48",4," jair rodrigues a voz do morro ",41,"B7M","A#","jair rodrigues"
"49",4," jair rodrigues a voz do morro ",41,"Cm7","A#","jair rodrigues"
"50",4," jair rodrigues a voz do morro ",41,"F7","A#","jair rodrigues"
"51",4," jair rodrigues a voz do morro ",41,"Bb7M","A#","jair rodrigues"
"52",4," jair rodrigues a voz do morro ",41,"Gm7","A#","jair rodrigues"
"53",4," jair rodrigues a voz do morro ",41,"Cm7","A#","jair rodrigues"
"54",4," jair rodrigues a voz do morro ",41,"F7","A#","jair rodrigues"
"55",4," jair rodrigues a voz do morro ",41,"Bb7M","A#","jair rodrigues"
"56",4," jair rodrigues a voz do morro ",41,"G7/13b","A#","jair rodrigues"
"57",13," jair rodrigues bloco da solidao ",12,"Am","C","jair rodrigues"
"58",13," jair rodrigues bloco da solidao ",12,"E/G#","C","jair rodrigues"
"59",13," jair rodrigues bloco da solidao ",12,"Gm7","C","jair rodrigues"
"60",13," jair rodrigues bloco da solidao ",12,"A7","C","jair rodrigues"
"61",13," jair rodrigues bloco da solidao ",12,"Dm","C","jair rodrigues"
"62",13," jair rodrigues bloco da solidao ",12,"G7","C","jair rodrigues"
"63",13," jair rodrigues bloco da solidao ",12,"C","C","jair rodrigues"
"64",13," jair rodrigues bloco da solidao ",12,"B7","C","jair rodrigues"
"65",13," jair rodrigues bloco da solidao ",12,"E7","C","jair rodrigues"
"66",13," jair rodrigues bloco da solidao ",12,"Am","C","jair rodrigues"
"67",13," jair rodrigues bloco da solidao ",12,"E/G#","C","jair rodrigues"
"68",13," jair rodrigues bloco da solidao ",12,"Gm7","C","jair rodrigues"
"69",13," jair rodrigues bloco da solidao ",12,"A7","C","jair rodrigues"
"70",13," jair rodrigues bloco da solidao ",12,"Bb6/5-","C","jair rodrigues"
"71",13," jair rodrigues bloco da solidao ",12,"A","C","jair rodrigues"
"72",13," jair rodrigues bloco da solidao ",12,"Dm","C","jair rodrigues"
"73",13," jair rodrigues bloco da solidao ",12,"D#°","C","jair rodrigues"
"74",13," jair rodrigues bloco da solidao ",12,"Am/E","C","jair rodrigues"
"75",13," jair rodrigues bloco da solidao ",12,"F7+","C","jair rodrigues"
"76",13," jair rodrigues bloco da solidao ",12,"Bm7/5-","C","jair rodrigues"
"77",13," jair rodrigues bloco da solidao ",12,"E7","C","jair rodrigues"
"78",13," jair rodrigues bloco da solidao ",12,"Am","C","jair rodrigues"
"79",13," jair rodrigues bloco da solidao ",12,"G7","C","jair rodrigues"
"80",13," jair rodrigues bloco da solidao ",12,"C","C","jair rodrigues"
"81",13," jair rodrigues bloco da solidao ",12,"Gm7","C","jair rodrigues"
"82",13," jair rodrigues bloco da solidao ",12,"A7","C","jair rodrigues"
"83",13," jair rodrigues bloco da solidao ",12,"Dm","C","jair rodrigues"
"84",13," jair rodrigues bloco da solidao ",12,"D#°","C","jair rodrigues"
"85",13," jair rodrigues bloco da solidao ",12,"Am/E","C","jair rodrigues"
"86",13," jair rodrigues bloco da solidao ",12,"F7+","C","jair rodrigues"
"87",13," jair rodrigues bloco da solidao ",12,"B7","C","jair rodrigues"
"88",13," jair rodrigues bloco da solidao ",12,"E7","C","jair rodrigues"
"89",13," jair rodrigues bloco da solidao ",12,"Am","C","jair rodrigues"
"90",13," jair rodrigues bloco da solidao ",12,"A7","C","jair rodrigues"
"91",13," jair rodrigues bloco da solidao ",12,"Dm","C","jair rodrigues"
"92",13," jair rodrigues bloco da solidao ",12,"G7","C","jair rodrigues"
"93",13," jair rodrigues bloco da solidao ",12,"C","C","jair rodrigues"
"94",13," jair rodrigues bloco da solidao ",12,"Am","C","jair rodrigues"
"95",13," jair rodrigues bloco da solidao ",12,"B7","C","jair rodrigues"
"96",13," jair rodrigues bloco da solidao ",12,"E7","C","jair rodrigues"
"97",13," jair rodrigues bloco da solidao ",12,"Am","C","jair rodrigues"
"98",5," jair rodrigues casa de bamba ",8,"G","G","jair rodrigues"
"99",5," jair rodrigues casa de bamba ",8,"Am","G","jair rodrigues"
"100",5," jair rodrigues casa de bamba ",8,"D7","G","jair rodrigues"
"101",5," jair rodrigues casa de bamba ",8,"G","G","jair rodrigues"
"102",5," jair rodrigues casa de bamba ",8,"G","G","jair rodrigues"
"103",5," jair rodrigues casa de bamba ",8,"E7","G","jair rodrigues"
"104",5," jair rodrigues casa de bamba ",8,"Am","G","jair rodrigues"
"105",5," jair rodrigues casa de bamba ",8,"D7","G","jair rodrigues"
"106",5," jair rodrigues casa de bamba ",8,"G","G","jair rodrigues"
"107",5," jair rodrigues casa de bamba ",8,"G","G","jair rodrigues"
"108",5," jair rodrigues casa de bamba ",8,"E7","G","jair rodrigues"
"109",5," jair rodrigues casa de bamba ",8,"Am","G","jair rodrigues"
"110",5," jair rodrigues casa de bamba ",8,"D7","G","jair rodrigues"
"111",5," jair rodrigues casa de bamba ",8,"G","G","jair rodrigues"
"112",5," jair rodrigues casa de bamba ",8,"G","G","jair rodrigues"
"113",5," jair rodrigues casa de bamba ",8,"Am","G","jair rodrigues"
"114",5," jair rodrigues casa de bamba ",8,"D7","G","jair rodrigues"
"115",5," jair rodrigues casa de bamba ",8,"G","G","jair rodrigues"
"116",5," jair rodrigues casa de bamba ",8,"G","G","jair rodrigues"
"117",5," jair rodrigues casa de bamba ",8,"Am","G","jair rodrigues"
"118",5," jair rodrigues casa de bamba ",8,"D7","G","jair rodrigues"
"119",5," jair rodrigues casa de bamba ",8,"G","G","jair rodrigues"
"120",5," jair rodrigues casa de bamba ",8,"G","G","jair rodrigues"
"121",5," jair rodrigues casa de bamba ",8,"Am","G","jair rodrigues"
"122",5," jair rodrigues casa de bamba ",8,"D7","G","jair rodrigues"
"123",5," jair rodrigues casa de bamba ",8,"G","G","jair rodrigues"
"124",5," jair rodrigues casa de bamba ",8,"G","G","jair rodrigues"
"125",5," jair rodrigues casa de bamba ",8,"Am","G","jair rodrigues"
"126",5," jair rodrigues casa de bamba ",8,"D7","G","jair rodrigues"
"127",5," jair rodrigues casa de bamba ",8,"G","G","jair rodrigues"
"128",5," jair rodrigues casa de bamba ",8,"G","G","jair rodrigues"
"129",5," jair rodrigues casa de bamba ",8,"Am","G","jair rodrigues"
"130",5," jair rodrigues casa de bamba ",8,"D7","G","jair rodrigues"
"131",5," jair rodrigues casa de bamba ",8,"G","G","jair rodrigues"
"132",5," jair rodrigues casa de bamba ",8,"E7","G","jair rodrigues"
"133",5," jair rodrigues casa de bamba ",8,"Am","G","jair rodrigues"
"134",5," jair rodrigues casa de bamba ",8,"D7","G","jair rodrigues"
"135",5," jair rodrigues casa de bamba ",8,"G","G","jair rodrigues"
"136",11," jair rodrigues como e grande o meu amor por voce ",24,"Gm7","F","jair rodrigues"
"137",11," jair rodrigues como e grande o meu amor por voce ",24,"C7(9)","F","jair rodrigues"
"138",11," jair rodrigues como e grande o meu amor por voce ",24,"F","F","jair rodrigues"
"139",11," jair rodrigues como e grande o meu amor por voce ",24,"Bb/F","F","jair rodrigues"
"140",11," jair rodrigues como e grande o meu amor por voce ",24,"F#º","F","jair rodrigues"
"141",11," jair rodrigues como e grande o meu amor por voce ",24,"Gm7","F","jair rodrigues"
"142",11," jair rodrigues como e grande o meu amor por voce ",24,"C7(9)","F","jair rodrigues"
"143",11," jair rodrigues como e grande o meu amor por voce ",24,"F7M","F","jair rodrigues"
"144",11," jair rodrigues como e grande o meu amor por voce ",24,"Am7","F","jair rodrigues"
"145",11," jair rodrigues como e grande o meu amor por voce ",24,"Gm7","F","jair rodrigues"
"146",11," jair rodrigues como e grande o meu amor por voce ",24,"C7(9)","F","jair rodrigues"
"147",11," jair rodrigues como e grande o meu amor por voce ",24,"F7M","F","jair rodrigues"
"148",11," jair rodrigues como e grande o meu amor por voce ",24,"Am7","F","jair rodrigues"
"149",11," jair rodrigues como e grande o meu amor por voce ",24,"Dm7","F","jair rodrigues"
"150",11," jair rodrigues como e grande o meu amor por voce ",24,"Gm7","F","jair rodrigues"
"151",11," jair rodrigues como e grande o meu amor por voce ",24,"C7(9)","F","jair rodrigues"
"152",11," jair rodrigues como e grande o meu amor por voce ",24,"F7M","F","jair rodrigues"
"153",11," jair rodrigues como e grande o meu amor por voce ",24,"Am7","F","jair rodrigues"
"154",11," jair rodrigues como e grande o meu amor por voce ",24,"Gm7","F","jair rodrigues"
"155",11," jair rodrigues como e grande o meu amor por voce ",24,"C7(9)","F","jair rodrigues"
"156",11," jair rodrigues como e grande o meu amor por voce ",24,"F","F","jair rodrigues"
"157",11," jair rodrigues como e grande o meu amor por voce ",24,"Bb/F","F","jair rodrigues"
"158",11," jair rodrigues como e grande o meu amor por voce ",24,"F","F","jair rodrigues"
"159",11," jair rodrigues como e grande o meu amor por voce ",24,"F#º","F","jair rodrigues"
"160",11," jair rodrigues como e grande o meu amor por voce ",24,"Gm7","F","jair rodrigues"
"161",11," jair rodrigues como e grande o meu amor por voce ",24,"C7(9)","F","jair rodrigues"
"162",11," jair rodrigues como e grande o meu amor por voce ",24,"F7M","F","jair rodrigues"
"163",11," jair rodrigues como e grande o meu amor por voce ",24,"Dm7","F","jair rodrigues"
