"date" "music" "popul" "chord" "key" "artist"
"1" "2012-10-02" " jair rodrigues a rita " NA "Bm7" "D" "jair rodrigues"
"2" "2012-10-02" " jair rodrigues a rita " NA "E7(9)" "D" "jair rodrigues"
"3" "2012-10-02" " jair rodrigues a rita " NA "A7M" "D" "jair rodrigues"
"4" "2012-10-02" " jair rodrigues a rita " NA "A6" "D" "jair rodrigues"
"5" "2012-10-02" " jair rodrigues a rita " NA "Em7" "D" "jair rodrigues"
"6" "2012-10-02" " jair rodrigues a rita " NA "A7" "D" "jair rodrigues"
"7" "2012-10-02" " jair rodrigues a rita " NA "D7M" "D" "jair rodrigues"
"8" "2012-10-02" " jair rodrigues a rita " NA "D6" "D" "jair rodrigues"
"9" "2012-10-02" " jair rodrigues a rita " NA "Dm7" "D" "jair rodrigues"
"10" "2012-10-02" " jair rodrigues a rita " NA "Dm6" "D" "jair rodrigues"
"11" "2012-10-02" " jair rodrigues a rita " NA "C#m7" "D" "jair rodrigues"
"12" "2012-10-02" " jair rodrigues a rita " NA "F#7" "D" "jair rodrigues"
"13" "2012-10-02" " jair rodrigues a rita " NA "B7/4(9)" "D" "jair rodrigues"
"14" "2012-10-02" " jair rodrigues a rita " NA "B7(9)" "D" "jair rodrigues"
"15" "2012-10-02" " jair rodrigues a rita " NA "E7/4(9)" "D" "jair rodrigues"
"16" "2012-10-02" " jair rodrigues a rita " NA "E7(9)" "D" "jair rodrigues"
"17" "2012-10-02" " jair rodrigues a rita " NA "Bm7" "D" "jair rodrigues"
"18" "2012-10-02" " jair rodrigues a rita " NA "E7(9)" "D" "jair rodrigues"
"19" "2012-10-02" " jair rodrigues a rita " NA "A7M" "D" "jair rodrigues"
"20" "2012-10-02" " jair rodrigues a rita " NA "A6" "D" "jair rodrigues"
"21" "2012-10-02" " jair rodrigues a rita " NA "Em7" "D" "jair rodrigues"
"22" "2012-10-02" " jair rodrigues a rita " NA "A7" "D" "jair rodrigues"
"23" "2012-10-02" " jair rodrigues a rita " NA "D7M" "D" "jair rodrigues"
"24" "2012-10-02" " jair rodrigues a rita " NA "D6" "D" "jair rodrigues"
"25" "2012-10-02" " jair rodrigues a rita " NA "Dm7" "D" "jair rodrigues"
"26" "2012-10-02" " jair rodrigues a rita " NA "Dm6" "D" "jair rodrigues"
"27" "2012-10-02" " jair rodrigues a rita " NA "C#m6" "D" "jair rodrigues"
"28" "2012-10-02" " jair rodrigues a rita " NA "F#7(b13)" "D" "jair rodrigues"
"29" "2012-10-02" " jair rodrigues a rita " NA "B7" "D" "jair rodrigues"
"30" "2012-10-02" " jair rodrigues a rita " NA "E7(9)" "D" "jair rodrigues"
"31" "2012-10-02" " jair rodrigues a rita " NA "A6" "D" "jair rodrigues"
"32" "1994-01-01" " jair rodrigues a voz do morro " 41 "Cm7" "A#" "jair rodrigues"
"33" "1994-01-01" " jair rodrigues a voz do morro " 41 "Fsus" "A#" "jair rodrigues"
"34" "1994-01-01" " jair rodrigues a voz do morro " 41 "Bb7M" "A#" "jair rodrigues"
"35" "1994-01-01" " jair rodrigues a voz do morro " 41 "Gm7" "A#" "jair rodrigues"
"36" "1994-01-01" " jair rodrigues a voz do morro " 41 "Cm7" "A#" "jair rodrigues"
"37" "1994-01-01" " jair rodrigues a voz do morro " 41 "F7" "A#" "jair rodrigues"
"38" "1994-01-01" " jair rodrigues a voz do morro " 41 "F7/13b" "A#" "jair rodrigues"
"39" "1994-01-01" " jair rodrigues a voz do morro " 41 "Bb7M" "A#" "jair rodrigues"
"40" "1994-01-01" " jair rodrigues a voz do morro " 41 "G7/13b" "A#" "jair rodrigues"
"41" "1994-01-01" " jair rodrigues a voz do morro " 41 "Cm7" "A#" "jair rodrigues"
"42" "1994-01-01" " jair rodrigues a voz do morro " 41 "F7" "A#" "jair rodrigues"
"43" "1994-01-01" " jair rodrigues a voz do morro " 41 "F7/13b" "A#" "jair rodrigues"
"44" "1994-01-01" " jair rodrigues a voz do morro " 41 "Bb7M" "A#" "jair rodrigues"
"45" "1994-01-01" " jair rodrigues a voz do morro " 41 "Gm7" "A#" "jair rodrigues"
"46" "1994-01-01" " jair rodrigues a voz do morro " 41 "Cm7" "A#" "jair rodrigues"
"47" "1994-01-01" " jair rodrigues a voz do morro " 41 "F7" "A#" "jair rodrigues"
"48" "1994-01-01" " jair rodrigues a voz do morro " 41 "B7M" "A#" "jair rodrigues"
"49" "1994-01-01" " jair rodrigues a voz do morro " 41 "Cm7" "A#" "jair rodrigues"
"50" "1994-01-01" " jair rodrigues a voz do morro " 41 "F7" "A#" "jair rodrigues"
"51" "1994-01-01" " jair rodrigues a voz do morro " 41 "Bb7M" "A#" "jair rodrigues"
"52" "1994-01-01" " jair rodrigues a voz do morro " 41 "Gm7" "A#" "jair rodrigues"
"53" "1994-01-01" " jair rodrigues a voz do morro " 41 "Cm7" "A#" "jair rodrigues"
"54" "1994-01-01" " jair rodrigues a voz do morro " 41 "F7" "A#" "jair rodrigues"
"55" "1994-01-01" " jair rodrigues a voz do morro " 41 "Bb7M" "A#" "jair rodrigues"
"56" "1994-01-01" " jair rodrigues a voz do morro " 41 "G7/13b" "A#" "jair rodrigues"
"57" "2015-10-30" " jair rodrigues bloco da solidao " 15 "Am" "C" "jair rodrigues"
"58" "2015-10-30" " jair rodrigues bloco da solidao " 15 "E/G#" "C" "jair rodrigues"
"59" "2015-10-30" " jair rodrigues bloco da solidao " 15 "Gm7" "C" "jair rodrigues"
"60" "2015-10-30" " jair rodrigues bloco da solidao " 15 "A7" "C" "jair rodrigues"
"61" "2015-10-30" " jair rodrigues bloco da solidao " 15 "Dm" "C" "jair rodrigues"
"62" "2015-10-30" " jair rodrigues bloco da solidao " 15 "G7" "C" "jair rodrigues"
"63" "2015-10-30" " jair rodrigues bloco da solidao " 15 "C" "C" "jair rodrigues"
"64" "2015-10-30" " jair rodrigues bloco da solidao " 15 "B7" "C" "jair rodrigues"
"65" "2015-10-30" " jair rodrigues bloco da solidao " 15 "E7" "C" "jair rodrigues"
"66" "2015-10-30" " jair rodrigues bloco da solidao " 15 "Am" "C" "jair rodrigues"
"67" "2015-10-30" " jair rodrigues bloco da solidao " 15 "E/G#" "C" "jair rodrigues"
"68" "2015-10-30" " jair rodrigues bloco da solidao " 15 "Gm7" "C" "jair rodrigues"
"69" "2015-10-30" " jair rodrigues bloco da solidao " 15 "A7" "C" "jair rodrigues"
"70" "2015-10-30" " jair rodrigues bloco da solidao " 15 "Bb6/5-" "C" "jair rodrigues"
"71" "2015-10-30" " jair rodrigues bloco da solidao " 15 "A" "C" "jair rodrigues"
"72" "2015-10-30" " jair rodrigues bloco da solidao " 15 "Dm" "C" "jair rodrigues"
"73" "2015-10-30" " jair rodrigues bloco da solidao " 15 "D#dim" "C" "jair rodrigues"
"74" "2015-10-30" " jair rodrigues bloco da solidao " 15 "Am/E" "C" "jair rodrigues"
