"date","music","popul","chord","key","artist"
"1",4," jorge aragao a seu favor ",41,"Em","G","jorge aragao"
"2",4," jorge aragao a seu favor ",41,"G7","G","jorge aragao"
"3",4," jorge aragao a seu favor ",41,"F#7","G","jorge aragao"
"4",4," jorge aragao a seu favor ",41,"F7","G","jorge aragao"
"5",4," jorge aragao a seu favor ",41,"Em","G","jorge aragao"
"6",4," jorge aragao a seu favor ",41,"F#7","G","jorge aragao"
"7",4," jorge aragao a seu favor ",41,"B7","G","jorge aragao"
"8",4," jorge aragao a seu favor ",41,"Em","G","jorge aragao"
"9",4," jorge aragao a seu favor ",41,"E7","G","jorge aragao"
"10",4," jorge aragao a seu favor ",41,"A7","G","jorge aragao"
"11",4," jorge aragao a seu favor ",41,"D7","G","jorge aragao"
"12",4," jorge aragao a seu favor ",41,"G7M","G","jorge aragao"
"13",4," jorge aragao a seu favor ",41,"C7","G","jorge aragao"
"14",4," jorge aragao a seu favor ",41,"Am","G","jorge aragao"
"15",4," jorge aragao a seu favor ",41,"Am/G","G","jorge aragao"
"16",4," jorge aragao a seu favor ",41,"F#m7/5-","G","jorge aragao"
"17",4," jorge aragao a seu favor ",41,"F7(9)","G","jorge aragao"
"18",4," jorge aragao a seu favor ",41,"Em","G","jorge aragao"
"19",4," jorge aragao a seu favor ",41,"Em7","G","jorge aragao"
"20",4," jorge aragao a seu favor ",41,"F#7","G","jorge aragao"
"21",4," jorge aragao a seu favor ",41,"B7","G","jorge aragao"
"22",4," jorge aragao a seu favor ",41,"Em","G","jorge aragao"
"23",4," jorge aragao a seu favor ",41,"E7","G","jorge aragao"
"24",4," jorge aragao a seu favor ",41,"A7","G","jorge aragao"
"25",4," jorge aragao a seu favor ",41,"D7","G","jorge aragao"
"26",4," jorge aragao a seu favor ",41,"G7M","G","jorge aragao"
"27",4," jorge aragao a seu favor ",41,"C7","G","jorge aragao"
"28",4," jorge aragao a seu favor ",41,"Am","G","jorge aragao"
"29",4," jorge aragao a seu favor ",41,"Am/G","G","jorge aragao"
"30",4," jorge aragao a seu favor ",41,"F#m7/5-","G","jorge aragao"
"31",4," jorge aragao a seu favor ",41,"B7/5+","G","jorge aragao"
"32",4," jorge aragao a seu favor ",41,"E7+","G","jorge aragao"
"33",4," jorge aragao a seu favor ",41,"G#m7+","G","jorge aragao"
"34",4," jorge aragao a seu favor ",41,"Bm7","G","jorge aragao"
"35",4," jorge aragao a seu favor ",41,"E7(9)","G","jorge aragao"
"36",4," jorge aragao a seu favor ",41,"A7+","G","jorge aragao"
"37",4," jorge aragao a seu favor ",41,"A6","G","jorge aragao"
"38",4," jorge aragao a seu favor ",41,"Am","G","jorge aragao"
"39",4," jorge aragao a seu favor ",41,"Em","G","jorge aragao"
"40",4," jorge aragao a seu favor ",41,"Am","G","jorge aragao"
"41",4," jorge aragao a seu favor ",41,"Em","G","jorge aragao"
"42",4," jorge aragao a seu favor ",41,"B7","G","jorge aragao"
"43",5," jorge aragao a terceira vez ",15,"C#m7","B","jorge aragao"
"44",5," jorge aragao a terceira vez ",15,"Em6","B","jorge aragao"
"45",5," jorge aragao a terceira vez ",15,"D#m7","B","jorge aragao"
"46",5," jorge aragao a terceira vez ",15,"G#7/13","B","jorge aragao"
"47",5," jorge aragao a terceira vez ",15,"C#7/9","B","jorge aragao"
"48",5," jorge aragao a terceira vez ",15,"Em7","B","jorge aragao"
"49",5," jorge aragao a terceira vez ",15,"F#7/9-","B","jorge aragao"
"50",5," jorge aragao a terceira vez ",15,"B7+","B","jorge aragao"
"51",5," jorge aragao a terceira vez ",15,"G#7/13","B","jorge aragao"
"52",5," jorge aragao a terceira vez ",15,"G#7/5+","B","jorge aragao"
"53",5," jorge aragao a terceira vez ",15,"C#m7","B","jorge aragao"
"54",5," jorge aragao a terceira vez ",15,"C#m7/B","B","jorge aragao"
"55",5," jorge aragao a terceira vez ",15,"F#7/9","B","jorge aragao"
"56",5," jorge aragao a terceira vez ",15,"E7/9","B","jorge aragao"
"57",5," jorge aragao a terceira vez ",15,"A#m7","B","jorge aragao"
"58",5," jorge aragao a terceira vez ",15,"D#7/9","B","jorge aragao"
"59",5," jorge aragao a terceira vez ",15,"G#m7","B","jorge aragao"
"60",5," jorge aragao a terceira vez ",15,"Fm7/5-","B","jorge aragao"
"61",5," jorge aragao a terceira vez ",15,"A#7","B","jorge aragao"
"62",5," jorge aragao a terceira vez ",15,"D#m7","B","jorge aragao"
"63",5," jorge aragao a terceira vez ",15,"D#m7/5-","B","jorge aragao"
"64",5," jorge aragao a terceira vez ",15,"G#7","B","jorge aragao"
"65",5," jorge aragao a terceira vez ",15,"C#m7","B","jorge aragao"
"66",5," jorge aragao a terceira vez ",15,"C#7/9","B","jorge aragao"
"67",5," jorge aragao a terceira vez ",15,"F#7/5+","B","jorge aragao"
"68",5," jorge aragao a terceira vez ",15,"B7+","B","jorge aragao"
"69",5," jorge aragao a terceira vez ",15,"G#7/13","B","jorge aragao"
"70",5," jorge aragao a terceira vez ",15,"G#7/5+","B","jorge aragao"
"71",5," jorge aragao a terceira vez ",15,"C#m7","B","jorge aragao"
"72",5," jorge aragao a terceira vez ",15,"C#m7/B","B","jorge aragao"
"73",5," jorge aragao a terceira vez ",15,"F#7/9","B","jorge aragao"
"74",5," jorge aragao a terceira vez ",15,"E7/9","B","jorge aragao"
"75",5," jorge aragao a terceira vez ",15,"A#m7/5-","B","jorge aragao"
"76",5," jorge aragao a terceira vez ",15,"D#7","B","jorge aragao"
"77",5," jorge aragao a terceira vez ",15,"E7+","B","jorge aragao"
"78",5," jorge aragao a terceira vez ",15,"Fº","B","jorge aragao"
"79",5," jorge aragao a terceira vez ",15,"Dº","B","jorge aragao"
"80",5," jorge aragao a terceira vez ",15,"D#m7","B","jorge aragao"
"81",5," jorge aragao a terceira vez ",15,"D#m7/5-","B","jorge aragao"
"82",5," jorge aragao a terceira vez ",15,"G#7","B","jorge aragao"
"83",5," jorge aragao a terceira vez ",15,"C#7/9","B","jorge aragao"
"84",5," jorge aragao a terceira vez ",15,"C#m7","B","jorge aragao"
"85",5," jorge aragao a terceira vez ",15,"F#7/9","B","jorge aragao"
"86",5," jorge aragao a terceira vez ",15,"F#m7/9","B","jorge aragao"
"87",5," jorge aragao a terceira vez ",15,"B7/13","B","jorge aragao"
"88",5," jorge aragao a terceira vez ",15,"E7+","B","jorge aragao"
"89",5," jorge aragao a terceira vez ",15,"Fº","B","jorge aragao"
"90",5," jorge aragao a terceira vez ",15,"Dº","B","jorge aragao"
"91",5," jorge aragao a terceira vez ",15,"D#m7","B","jorge aragao"
"92",5," jorge aragao a terceira vez ",15,"D#m7/5-","B","jorge aragao"
"93",5," jorge aragao a terceira vez ",15,"G#7","B","jorge aragao"
"94",5," jorge aragao a terceira vez ",15,"C#7/9","B","jorge aragao"
"95",5," jorge aragao a terceira vez ",15,"C#m7","B","jorge aragao"
"96",5," jorge aragao a terceira vez ",15,"F#7/9","B","jorge aragao"
"97",5," jorge aragao a terceira vez ",15,"B7+","B","jorge aragao"
"98",5," jorge aragao a terceira vez ",15,"F#7/5+","B","jorge aragao"
"99",5," jorge aragao a terceira vez ",15,"B7+","B","jorge aragao"
"100",14," jorge aragao a cancao o vento ",25,"D7+","D","jorge aragao"
"101",14," jorge aragao a cancao o vento ",25,"G/A","D","jorge aragao"
"102",14," jorge aragao a cancao o vento ",25,"D","D","jorge aragao"
"103",14," jorge aragao a cancao o vento ",25,"Ddim","D","jorge aragao"
"104",14," jorge aragao a cancao o vento ",25,"Em7/D","D","jorge aragao"
"105",14," jorge aragao a cancao o vento ",25,"A7","D","jorge aragao"
"106",14," jorge aragao a cancao o vento ",25,"D7+","D","jorge aragao"
"107",14," jorge aragao a cancao o vento ",25,"F#7","D","jorge aragao"
"108",14," jorge aragao a cancao o vento ",25,"Bm7","D","jorge aragao"
"109",14," jorge aragao a cancao o vento ",25,"F#7/9-","D","jorge aragao"
"110",14," jorge aragao a cancao o vento ",25,"F#7","D","jorge aragao"
"111",14," jorge aragao a cancao o vento ",25,"Bm7","D","jorge aragao"
"112",14," jorge aragao a cancao o vento ",25,"D7","D","jorge aragao"
"113",14," jorge aragao a cancao o vento ",25,"G","D","jorge aragao"
"114",14," jorge aragao a cancao o vento ",25,"F#7","D","jorge aragao"
"115",14," jorge aragao a cancao o vento ",25,"B7","D","jorge aragao"
"116",14," jorge aragao a cancao o vento ",25,"A7","D","jorge aragao"
"117",14," jorge aragao a cancao o vento ",25,"D","D","jorge aragao"
"118",14," jorge aragao a cancao o vento ",25,"F#7","D","jorge aragao"
"119",14," jorge aragao a cancao o vento ",25,"Bm","D","jorge aragao"
"120",14," jorge aragao a cancao o vento ",25,"D7/9","D","jorge aragao"
"121",14," jorge aragao a cancao o vento ",25,"F#4","D","jorge aragao"
"122",14," jorge aragao a cancao o vento ",25,"F#7","D","jorge aragao"
"123",14," jorge aragao a cancao o vento ",25,"B","D","jorge aragao"
