"date","music","popul","chord","key","artist"
"1",2," jorge vercillo a meia luz ",11,"G9","G","jorge vercillo"
"2",2," jorge vercillo a meia luz ",11,"Am7","G","jorge vercillo"
"3",2," jorge vercillo a meia luz ",11,"G9","G","jorge vercillo"
"4",2," jorge vercillo a meia luz ",11,"Am7","G","jorge vercillo"
"5",2," jorge vercillo a meia luz ",11,"D7","G","jorge vercillo"
"6",2," jorge vercillo a meia luz ",11,"G9","G","jorge vercillo"
"7",2," jorge vercillo a meia luz ",11,"E7/4","G","jorge vercillo"
"8",2," jorge vercillo a meia luz ",11,"Cm7M","G","jorge vercillo"
"9",2," jorge vercillo a meia luz ",11,"Am7","G","jorge vercillo"
"10",2," jorge vercillo a meia luz ",11,"D7(4)","G","jorge vercillo"
"11",2," jorge vercillo a meia luz ",11,"D7","G","jorge vercillo"
"12",2," jorge vercillo a meia luz ",11,"G7M","G","jorge vercillo"
"13",2," jorge vercillo a meia luz ",11,"D7","G","jorge vercillo"
"14",2," jorge vercillo a meia luz ",11,"G9","G","jorge vercillo"
"15",2," jorge vercillo a meia luz ",11,"E7/4","G","jorge vercillo"
"16",2," jorge vercillo a meia luz ",11,"Cm7M","G","jorge vercillo"
"17",2," jorge vercillo a meia luz ",11,"Am7","G","jorge vercillo"
"18",2," jorge vercillo a meia luz ",11,"D7(4)","G","jorge vercillo"
"19",2," jorge vercillo a meia luz ",11,"D7","G","jorge vercillo"
"20",2," jorge vercillo a meia luz ",11,"G7M","G","jorge vercillo"
"21",2," jorge vercillo a meia luz ",11,"G6","G","jorge vercillo"
"22",2," jorge vercillo a meia luz ",11,"C7M","G","jorge vercillo"
"23",2," jorge vercillo a meia luz ",11,"B7(b13)","G","jorge vercillo"
"24",2," jorge vercillo a meia luz ",11,"G7M","G","jorge vercillo"
"25",2," jorge vercillo a meia luz ",11,"C7M","G","jorge vercillo"
"26",2," jorge vercillo a meia luz ",11,"B7(b13)","G","jorge vercillo"
"27",2," jorge vercillo a meia luz ",11,"G7M","G","jorge vercillo"
"28",2," jorge vercillo a meia luz ",11,"C#7(b5)","G","jorge vercillo"
"29",2," jorge vercillo a meia luz ",11,"C7M","G","jorge vercillo"
"30",2," jorge vercillo a meia luz ",11,"B7(b13)","G","jorge vercillo"
"31",2," jorge vercillo a meia luz ",11,"Em7","G","jorge vercillo"
"32",2," jorge vercillo a meia luz ",11,"Em7/D","G","jorge vercillo"
"33",2," jorge vercillo a meia luz ",11,"A/C#","G","jorge vercillo"
"34",2," jorge vercillo a meia luz ",11,"A7","G","jorge vercillo"
"35",2," jorge vercillo a meia luz ",11,"C7M","G","jorge vercillo"
"36",2," jorge vercillo a meia luz ",11,"C/D","G","jorge vercillo"
"37",2," jorge vercillo a meia luz ",11,"D7(b9)","G","jorge vercillo"
"38",2," jorge vercillo a meia luz ",11,"G7","G","jorge vercillo"
"39",2," jorge vercillo a meia luz ",11,"F/G","G","jorge vercillo"
"40",2," jorge vercillo a meia luz ",11,"G7(9)(b5)","G","jorge vercillo"
"41",2," jorge vercillo a meia luz ",11,"G7","G","jorge vercillo"
"42",2," jorge vercillo a meia luz ",11,"C7M","G","jorge vercillo"
"43",2," jorge vercillo a meia luz ",11,"B7(b13)","G","jorge vercillo"
"44",2," jorge vercillo a meia luz ",11,"Em7","G","jorge vercillo"
"45",2," jorge vercillo a meia luz ",11,"Em7/D","G","jorge vercillo"
"46",2," jorge vercillo a meia luz ",11,"A/C#","G","jorge vercillo"
"47",2," jorge vercillo a meia luz ",11,"A7","G","jorge vercillo"
"48",2," jorge vercillo a meia luz ",11,"C7M/G","G","jorge vercillo"
"49",2," jorge vercillo a meia luz ",11,"D/A","G","jorge vercillo"
"50",2," jorge vercillo a meia luz ",11,"Cm6","G","jorge vercillo"
"51",2," jorge vercillo a meia luz ",11,"D7(b9)","G","jorge vercillo"
"52",2," jorge vercillo a meia luz ",11,"Cm7","G","jorge vercillo"
"53",2," jorge vercillo a meia luz ",11,"F7(9)","G","jorge vercillo"
"54",2," jorge vercillo a meia luz ",11,"E7(9M)","G","jorge vercillo"
"55",2," jorge vercillo a meia luz ",11,"C7M/G","G","jorge vercillo"
"56",2," jorge vercillo a meia luz ",11,"D/A","G","jorge vercillo"
"57",2," jorge vercillo a meia luz ",11,"Cm6","G","jorge vercillo"
"58",2," jorge vercillo a meia luz ",11,"D7(b9)","G","jorge vercillo"
"59",2," jorge vercillo a meia luz ",11,"G","G","jorge vercillo"
"60",14," jorge vercillo acendeu ",22,"B","B","jorge vercillo"
"61",14," jorge vercillo acendeu ",22,"F#/A#","B","jorge vercillo"
"62",14," jorge vercillo acendeu ",22,"B/A","B","jorge vercillo"
"63",14," jorge vercillo acendeu ",22,"G#m7","B","jorge vercillo"
"64",14," jorge vercillo acendeu ",22,"Eb7/G","B","jorge vercillo"
"65",14," jorge vercillo acendeu ",22,"F#m7(11)","B","jorge vercillo"
"66",14," jorge vercillo acendeu ",22,"G7M","B","jorge vercillo"
"67",14," jorge vercillo acendeu ",22,"Em7(9)","B","jorge vercillo"
"68",14," jorge vercillo acendeu ",22,"C#m7(9)","B","jorge vercillo"
"69",14," jorge vercillo acendeu ",22,"D#m7(b5)","B","jorge vercillo"
