"date" "music" "popul" "chord" "key" "artist"
"1" NA " jorge mateus 200 por hora " NA "Em" "G" "jorge mateus"
"2" NA " jorge mateus 200 por hora " NA "D/F#" "G" "jorge mateus"
"3" NA " jorge mateus 200 por hora " NA "C" "G" "jorge mateus"
"4" NA " jorge mateus 200 por hora " NA "Am" "G" "jorge mateus"
"5" NA " jorge mateus 200 por hora " NA "B7" "G" "jorge mateus"
"6" NA " jorge mateus 200 por hora " NA "Em" "G" "jorge mateus"
"7" NA " jorge mateus 200 por hora " NA "C" "G" "jorge mateus"
"8" NA " jorge mateus 200 por hora " NA "D" "G" "jorge mateus"
"9" NA " jorge mateus 200 por hora " NA "Em" "G" "jorge mateus"
"10" NA " jorge mateus 200 por hora " NA "D" "G" "jorge mateus"
"11" NA " jorge mateus 200 por hora " NA "C" "G" "jorge mateus"
"12" NA " jorge mateus 200 por hora " NA "G" "G" "jorge mateus"
"13" NA " jorge mateus 200 por hora " NA "D" "G" "jorge mateus"
"14" NA " jorge mateus 200 por hora " NA "Bm" "G" "jorge mateus"
"15" NA " jorge mateus 200 por hora " NA "C" "G" "jorge mateus"
"16" NA " jorge mateus 200 por hora " NA "Em" "G" "jorge mateus"
"17" NA " jorge mateus 200 por hora " NA "D" "G" "jorge mateus"
"18" NA " jorge mateus 200 por hora " NA "G" "G" "jorge mateus"
"19" NA " jorge mateus 200 por hora " NA "D" "G" "jorge mateus"
"20" NA " jorge mateus 200 por hora " NA "G" "G" "jorge mateus"
"21" NA " jorge mateus 200 por hora " NA "D/F#" "G" "jorge mateus"
"22" NA " jorge mateus 200 por hora " NA "Em" "G" "jorge mateus"
"23" NA " jorge mateus 200 por hora " NA "C" "G" "jorge mateus"
"24" NA " jorge mateus 200 por hora " NA "G" "G" "jorge mateus"
"25" NA " jorge mateus 200 por hora " NA "A" "G" "jorge mateus"
"26" NA " jorge mateus 200 por hora " NA "C" "G" "jorge mateus"
"27" NA " jorge mateus 200 por hora " NA "D" "G" "jorge mateus"
"28" NA " jorge mateus 200 por hora " NA "G" "G" "jorge mateus"
"29" NA " jorge mateus 200 por hora " NA "D" "G" "jorge mateus"
"30" NA " jorge mateus 200 por hora " NA "G" "G" "jorge mateus"
"31" NA " jorge mateus 200 por hora " NA "D/F#" "G" "jorge mateus"
"32" NA " jorge mateus 200 por hora " NA "Em" "G" "jorge mateus"
"33" NA " jorge mateus 200 por hora " NA "C" "G" "jorge mateus"
"34" NA " jorge mateus 200 por hora " NA "G" "G" "jorge mateus"
"35" NA " jorge mateus 200 por hora " NA "A" "G" "jorge mateus"
"36" NA " jorge mateus 200 por hora " NA "C" "G" "jorge mateus"
"37" NA " jorge mateus 200 por hora " NA "D" "G" "jorge mateus"
"38" NA " jorge mateus 200 por hora " NA "G" "G" "jorge mateus"
"39" NA " jorge mateus 200 por hora " NA "D" "G" "jorge mateus"
"40" NA " jorge mateus 200 por hora " NA "G" "G" "jorge mateus"
"41" NA " jorge mateus 200 por hora " NA "A" "G" "jorge mateus"
"42" NA " jorge mateus 200 por hora " NA "C" "G" "jorge mateus"
"43" NA " jorge mateus 200 por hora " NA "D" "G" "jorge mateus"
"44" NA " jorge mateus 200 por hora " NA "G" "G" "jorge mateus"
"45" NA " jorge mateus 200 por hora " NA "C" "G" "jorge mateus"
"46" NA " jorge mateus 200 por hora " NA "D" "G" "jorge mateus"
"47" NA " jorge mateus 200 por hora " NA "Em" "G" "jorge mateus"
"48" "2015-03-23" " jorge mateus 3112  " 45 "F" "C" "jorge mateus"
"49" "2015-03-23" " jorge mateus 3112  " 45 "Dm" "C" "jorge mateus"
"50" "2015-03-23" " jorge mateus 3112  " 45 "Am" "C" "jorge mateus"
"51" "2015-03-23" " jorge mateus 3112  " 45 "F" "C" "jorge mateus"
"52" "2015-03-23" " jorge mateus 3112  " 45 "Dm" "C" "jorge mateus"
"53" "2015-03-23" " jorge mateus 3112  " 45 "Am" "C" "jorge mateus"
"54" "2015-03-23" " jorge mateus 3112  " 45 "F" "C" "jorge mateus"
"55" "2015-03-23" " jorge mateus 3112  " 45 "Dm" "C" "jorge mateus"
"56" "2015-03-23" " jorge mateus 3112  " 45 "Am" "C" "jorge mateus"
"57" "2015-03-23" " jorge mateus 3112  " 45 "F" "C" "jorge mateus"
"58" "2015-03-23" " jorge mateus 3112  " 45 "Dm" "C" "jorge mateus"
"59" "2015-03-23" " jorge mateus 3112  " 45 "Am" "C" "jorge mateus"
"60" "2015-03-23" " jorge mateus 3112  " 45 "F" "C" "jorge mateus"
"61" "2015-03-23" " jorge mateus 3112  " 45 "Dm" "C" "jorge mateus"
"62" "2015-03-23" " jorge mateus 3112  " 45 "Am" "C" "jorge mateus"
"63" "2015-03-23" " jorge mateus 3112  " 45 "F" "C" "jorge mateus"
"64" "2015-03-23" " jorge mateus 3112  " 45 "Dm" "C" "jorge mateus"
"65" "2015-03-23" " jorge mateus 3112  " 45 "Am" "C" "jorge mateus"
"66" "2015-03-23" " jorge mateus 3112  " 45 "G" "C" "jorge mateus"
"67" "2015-03-23" " jorge mateus 3112  " 45 "F" "C" "jorge mateus"
"68" "2015-03-23" " jorge mateus 3112  " 45 "G" "C" "jorge mateus"
"69" "2015-03-23" " jorge mateus 3112  " 45 "E" "C" "jorge mateus"
"70" "2015-03-23" " jorge mateus 3112  " 45 "F" "C" "jorge mateus"
"71" "2015-03-23" " jorge mateus 3112  " 45 "Dm" "C" "jorge mateus"
"72" "2015-03-23" " jorge mateus 3112  " 45 "Am" "C" "jorge mateus"
"73" "2015-03-23" " jorge mateus 3112  " 45 "F" "C" "jorge mateus"
"74" "2015-03-23" " jorge mateus 3112  " 45 "Dm" "C" "jorge mateus"
"75" "2015-03-23" " jorge mateus 3112  " 45 "Am" "C" "jorge mateus"
"76" "2015-03-23" " jorge mateus 3112  " 45 "F" "C" "jorge mateus"
"77" "2015-03-23" " jorge mateus 3112  " 45 "Dm" "C" "jorge mateus"
"78" "2015-03-23" " jorge mateus 3112  " 45 "Am" "C" "jorge mateus"
"79" "2015-03-23" " jorge mateus 3112  " 45 "F" "C" "jorge mateus"
"80" "2015-03-23" " jorge mateus 3112  " 45 "Dm" "C" "jorge mateus"
