"date","music","popul","chord","key","artist"
"1",3," jota quest 35 ",20,"Dm","F","jota quest"
"2",3," jota quest 35 ",20,"F","F","jota quest"
"3",3," jota quest 35 ",20,"G","F","jota quest"
"4",3," jota quest 35 ",20,"Am","F","jota quest"
"5",3," jota quest 35 ",20,"Dm7/9","F","jota quest"
"6",3," jota quest 35 ",20,"Am7","F","jota quest"
"7",3," jota quest 35 ",20,"Dm7/9","F","jota quest"
"8",3," jota quest 35 ",20,"Am7","F","jota quest"
"9",3," jota quest 35 ",20,"E","F","jota quest"
"10",3," jota quest 35 ",20,"Dm7/9","F","jota quest"
"11",3," jota quest 35 ",20,"Am7","F","jota quest"
"12",3," jota quest 35 ",20,"Dm7/9","F","jota quest"
"13",3," jota quest 35 ",20,"Am7","F","jota quest"
"14",3," jota quest 35 ",20,"E","F","jota quest"
"15",3," jota quest 35 ",20,"Dm7/9","F","jota quest"
"16",3," jota quest 35 ",20,"Am7","F","jota quest"
"17",3," jota quest 35 ",20,"Dm7/9","F","jota quest"
"18",3," jota quest 35 ",20,"Am7","F","jota quest"
"19",3," jota quest 35 ",20,"Dm7/9","F","jota quest"
"20",3," jota quest 35 ",20,"Am7","F","jota quest"
"21",3," jota quest 35 ",20,"Dm7/9","F","jota quest"
"22",3," jota quest 35 ",20,"Am7","F","jota quest"
"23",3," jota quest 35 ",20,"Gm7","F","jota quest"
"24",3," jota quest 35 ",20,"Am7","F","jota quest"
"25",3," jota quest 35 ",20,"Bb7M","F","jota quest"
"26",3," jota quest 35 ",20,"C7/9/4","F","jota quest"
"27",3," jota quest 35 ",20,"Gm7","F","jota quest"
"28",3," jota quest 35 ",20,"Am7","F","jota quest"
"29",3," jota quest 35 ",20,"Bb7M","F","jota quest"
"30",3," jota quest 35 ",20,"C7/9/4","F","jota quest"
"31",NA," jota quest a lua ",NA,"E","E","jota quest"
"32",NA," jota quest a lua ",NA,"B/D#","E","jota quest"
"33",NA," jota quest a lua ",NA,"C#m","E","jota quest"
"34",NA," jota quest a lua ",NA,"E/B","E","jota quest"
"35",NA," jota quest a lua ",NA,"A","E","jota quest"
"36",NA," jota quest a lua ",NA,"Bsus4","E","jota quest"
"37",NA," jota quest a lua ",NA,"B","E","jota quest"
"38",NA," jota quest a lua ",NA,"C#m","E","jota quest"
"39",NA," jota quest a lua ",NA,"B/D#","E","jota quest"
"40",NA," jota quest a lua ",NA,"E","E","jota quest"
"41",NA," jota quest a lua ",NA,"B/D#","E","jota quest"
"42",NA," jota quest a lua ",NA,"A","E","jota quest"
"43",NA," jota quest a lua ",NA,"C#m","E","jota quest"
"44",NA," jota quest a lua ",NA,"B","E","jota quest"
"45",NA," jota quest a lua ",NA,"A","E","jota quest"
"46",NA," jota quest a lua ",NA,"B","E","jota quest"
"47",NA," jota quest a lua ",NA,"C#m","E","jota quest"
"48",NA," jota quest a lua ",NA,"B","E","jota quest"
"49",NA," jota quest a lua ",NA,"C#m","E","jota quest"
"50",NA," jota quest a lua ",NA,"B","E","jota quest"
"51",NA," jota quest a lua ",NA,"C#m","E","jota quest"
"52",NA," jota quest a lua ",NA,"A","E","jota quest"
"53",NA," jota quest a lua ",NA,"E","E","jota quest"
"54",NA," jota quest a lua ",NA,"B/D#","E","jota quest"
"55",NA," jota quest a lua ",NA,"C#m","E","jota quest"
"56",NA," jota quest a lua ",NA,"B","E","jota quest"
"57",NA," jota quest a lua ",NA,"E","E","jota quest"
"58",NA," jota quest a lua ",NA,"B/D#","E","jota quest"
"59",NA," jota quest a lua ",NA,"A","E","jota quest"
"60",NA," jota quest a lua ",NA,"B","E","jota quest"
"61",NA," jota quest a lua ",NA,"C#m","E","jota quest"
"62",NA," jota quest a lua ",NA,"B","E","jota quest"
"63",NA," jota quest a lua ",NA,"E","E","jota quest"
"64",NA," jota quest a lua ",NA,"B","E","jota quest"
"65",NA," jota quest a lua ",NA,"E","E","jota quest"
"66",NA," jota quest a lua ",NA,"A","E","jota quest"
"67",NA," jota quest a lua ",NA,"B","E","jota quest"
"68",NA," jota quest a lua ",NA,"G#m","E","jota quest"
"69",NA," jota quest a lua ",NA,"C#m7","E","jota quest"
"70",NA," jota quest a lua ",NA,"B","E","jota quest"
"71",NA," jota quest a lua ",NA,"E","E","jota quest"
"72",NA," jota quest a lua ",NA,"B","E","jota quest"
"73",NA," jota quest a lua ",NA,"E","E","jota quest"
"74",NA," jota quest a lua ",NA,"A","E","jota quest"
"75",NA," jota quest a lua ",NA,"E","E","jota quest"
"76",NA," jota quest a lua ",NA,"B/D#","E","jota quest"
"77",NA," jota quest a lua ",NA,"C#m","E","jota quest"
"78",NA," jota quest a lua ",NA,"B","E","jota quest"
"79",NA," jota quest a lua ",NA,"A","E","jota quest"
"80",NA," jota quest a lua ",NA,"Bsus4","E","jota quest"
"81",NA," jota quest a lua ",NA,"E","E","jota quest"
"82",NA," jota quest a lua ",NA,"B/D#","E","jota quest"
"83",NA," jota quest a lua ",NA,"A","E","jota quest"
"84",NA," jota quest a lua ",NA,"Am","E","jota quest"
"85",NA," jota quest a lua ",NA,"E","E","jota quest"
"86",NA," jota quest a lua ",NA,"B/D#","E","jota quest"
"87",NA," jota quest a lua ",NA,"A","E","jota quest"
"88",NA," jota quest a lua ",NA,"Am","E","jota quest"
"89",NA," jota quest a lua ",NA,"E","E","jota quest"
"90",NA," jota quest a lua ",NA,"B/D#","E","jota quest"
"91",NA," jota quest a lua ",NA,"A","E","jota quest"
"92",NA," jota quest a lua ",NA,"Am","E","jota quest"
"93",NA," jota quest a lua ",NA,"E","E","jota quest"
"94",NA," jota quest a lua ",NA,"B/D#","E","jota quest"
"95",NA," jota quest a lua ",NA,"A","E","jota quest"
"96",NA," jota quest a lua ",NA,"Am","E","jota quest"
"97",NA," jota quest a lua ",NA,"E","E","jota quest"
"98",NA," jota quest a lua ",NA,"B/D#","E","jota quest"
"99",NA," jota quest a lua ",NA,"C#m","E","jota quest"
"100",NA," jota quest a lua ",NA,"B","E","jota quest"
"101",NA," jota quest a lua ",NA,"A","E","jota quest"
"102",NA," jota quest a lua ",NA,"Bsus4","E","jota quest"
"103",NA," jota quest a lua ",NA,"E","E","jota quest"
"104",NA," jota quest a lua ",NA,"B/D#","E","jota quest"
"105",NA," jota quest a lua ",NA,"A","E","jota quest"
"106",NA," jota quest a lua ",NA,"Am","E","jota quest"
"107",NA," jota quest a lua ",NA,"E","E","jota quest"
"108",NA," jota quest a lua ",NA,"B/D#","E","jota quest"
"109",NA," jota quest a lua ",NA,"A","E","jota quest"
"110",NA," jota quest a lua ",NA,"Am","E","jota quest"
"111",NA," jota quest a lua ",NA,"E","E","jota quest"
"112",NA," jota quest a lua ",NA,"B/D#","E","jota quest"
"113",NA," jota quest a lua ",NA,"A","E","jota quest"
"114",NA," jota quest a lua ",NA,"Am","E","jota quest"
"115",NA," jota quest a lua ",NA,"E","E","jota quest"
"116",NA," jota quest a lua ",NA,"B/D#","E","jota quest"
