"date" "music" "popul" "chord" "key" "artist"
"1" "1998-06-01" " jota quest 35 " 19 "Dm" "F" "jota quest"
"2" "1998-06-01" " jota quest 35 " 19 "F" "F" "jota quest"
"3" "1998-06-01" " jota quest 35 " 19 "G" "F" "jota quest"
"4" "1998-06-01" " jota quest 35 " 19 "Am" "F" "jota quest"
"5" "1998-06-01" " jota quest 35 " 19 "Dm7/9" "F" "jota quest"
"6" "1998-06-01" " jota quest 35 " 19 "Am7" "F" "jota quest"
"7" "1998-06-01" " jota quest 35 " 19 "Dm7/9" "F" "jota quest"
"8" "1998-06-01" " jota quest 35 " 19 "Am7" "F" "jota quest"
"9" "1998-06-01" " jota quest 35 " 19 "E" "F" "jota quest"
"10" "1998-06-01" " jota quest 35 " 19 "Dm7/9" "F" "jota quest"
"11" "1998-06-01" " jota quest 35 " 19 "Am7" "F" "jota quest"
"12" "1998-06-01" " jota quest 35 " 19 "Dm7/9" "F" "jota quest"
"13" "1998-06-01" " jota quest 35 " 19 "Am7" "F" "jota quest"
"14" "1998-06-01" " jota quest 35 " 19 "E" "F" "jota quest"
"15" "1998-06-01" " jota quest 35 " 19 "Dm7/9" "F" "jota quest"
"16" "1998-06-01" " jota quest 35 " 19 "Am7" "F" "jota quest"
"17" "1998-06-01" " jota quest 35 " 19 "Dm7/9" "F" "jota quest"
"18" "1998-06-01" " jota quest 35 " 19 "Am7" "F" "jota quest"
"19" "1998-06-01" " jota quest 35 " 19 "Dm7/9" "F" "jota quest"
"20" "1998-06-01" " jota quest 35 " 19 "Am7" "F" "jota quest"
"21" "1998-06-01" " jota quest 35 " 19 "Dm7/9" "F" "jota quest"
"22" "1998-06-01" " jota quest 35 " 19 "Am7" "F" "jota quest"
"23" "1998-06-01" " jota quest 35 " 19 "Gm7" "F" "jota quest"
"24" "1998-06-01" " jota quest 35 " 19 "Am7" "F" "jota quest"
"25" "1998-06-01" " jota quest 35 " 19 "Bb7M" "F" "jota quest"
"26" "1998-06-01" " jota quest 35 " 19 "C7/9/4" "F" "jota quest"
"27" "1998-06-01" " jota quest 35 " 19 "Gm7" "F" "jota quest"
"28" "1998-06-01" " jota quest 35 " 19 "Am7" "F" "jota quest"
