"date","music","popul","chord","key","artist"
"1",13," kid abelha 10 minutos ",9,"D","G","kid abelha"
"2",13," kid abelha 10 minutos ",9,"E","G","kid abelha"
"3",13," kid abelha 10 minutos ",9,"C","G","kid abelha"
"4",13," kid abelha 10 minutos ",9,"D","G","kid abelha"
"5",13," kid abelha 10 minutos ",9,"D","G","kid abelha"
"6",13," kid abelha 10 minutos ",9,"E","G","kid abelha"
"7",13," kid abelha 10 minutos ",9,"C","G","kid abelha"
"8",13," kid abelha 10 minutos ",9,"D","G","kid abelha"
"9",13," kid abelha 10 minutos ",9,"E","G","kid abelha"
"10",13," kid abelha 10 minutos ",9,"Gm","G","kid abelha"
"11",13," kid abelha 10 minutos ",9,"D","G","kid abelha"
"12",13," kid abelha 10 minutos ",9,"D","G","kid abelha"
"13",13," kid abelha 10 minutos ",9,"E","G","kid abelha"
"14",13," kid abelha 10 minutos ",9,"C","G","kid abelha"
"15",13," kid abelha 10 minutos ",9,"D","G","kid abelha"
"16",13," kid abelha 10 minutos ",9,"Bm","G","kid abelha"
"17",13," kid abelha 10 minutos ",9,"E","G","kid abelha"
"18",13," kid abelha 10 minutos ",9,"G","G","kid abelha"
"19",13," kid abelha 10 minutos ",9,"C#m","G","kid abelha"
"20",13," kid abelha 10 minutos ",9,"F#","G","kid abelha"
"21",11," kid abelha 3 tacas ",9,"A7M","A","kid abelha"
"22",11," kid abelha 3 tacas ",9,"Bm7/A","A","kid abelha"
"23",11," kid abelha 3 tacas ",9,"E/G#","A","kid abelha"
"24",11," kid abelha 3 tacas ",9,"A7M","A","kid abelha"
"25",11," kid abelha 3 tacas ",9,"F#m7","A","kid abelha"
"26",11," kid abelha 3 tacas ",9,"D7M","A","kid abelha"
"27",11," kid abelha 3 tacas ",9,"D#º","A","kid abelha"
"28",11," kid abelha 3 tacas ",9,"E","A","kid abelha"
"29",11," kid abelha 3 tacas ",9,"A/E","A","kid abelha"
"30",11," kid abelha 3 tacas ",9,"A4/E","A","kid abelha"
"31",11," kid abelha 3 tacas ",9,"E","A","kid abelha"
"32",11," kid abelha 3 tacas ",9,"A/C#","A","kid abelha"
"33",11," kid abelha 3 tacas ",9,"F#m7","A","kid abelha"
"34",11," kid abelha 3 tacas ",9,"C#4","A","kid abelha"
"35",11," kid abelha 3 tacas ",9,"C#","A","kid abelha"
"36",11," kid abelha 3 tacas ",9,"A7M","A","kid abelha"
"37",11," kid abelha 3 tacas ",9,"Bm7","A","kid abelha"
"38",11," kid abelha 3 tacas ",9,"C#m7","A","kid abelha"
"39",11," kid abelha 3 tacas ",9,"D7M","A","kid abelha"
"40",11," kid abelha 3 tacas ",9,"F#m7","A","kid abelha"
"41",11," kid abelha 3 tacas ",9,"D7M/A","A","kid abelha"
"42",11," kid abelha 3 tacas ",9,"C#4","A","kid abelha"
"43",11," kid abelha 3 tacas ",9,"C#","A","kid abelha"
"44",11," kid abelha 3 tacas ",9,"A7M","A","kid abelha"
"45",11," kid abelha 3 tacas ",9,"Bm7","A","kid abelha"
"46",11," kid abelha 3 tacas ",9,"C#m7","A","kid abelha"
"47",11," kid abelha 3 tacas ",9,"D7M","A","kid abelha"
"48",11," kid abelha 3 tacas ",9,"F#m7","A","kid abelha"
"49",11," kid abelha 3 tacas ",9,"D7M/A","A","kid abelha"
"50",11," kid abelha 3 tacas ",9,"C#4","A","kid abelha"
"51",11," kid abelha 3 tacas ",9,"C#","A","kid abelha"
"52",11," kid abelha 3 tacas ",9,"D7M","A","kid abelha"
"53",11," kid abelha 3 tacas ",9,"A/C#","A","kid abelha"
"54",11," kid abelha 3 tacas ",9,"Bm7","A","kid abelha"
"55",11," kid abelha 3 tacas ",9,"E7(9)","A","kid abelha"
"56",11," kid abelha 3 tacas ",9,"E7(b9)","A","kid abelha"
"57",11," kid abelha 3 tacas ",9,"D7M","A","kid abelha"
"58",11," kid abelha 3 tacas ",9,"E7M","A","kid abelha"
"59",11," kid abelha 3 tacas ",9,"D7M","A","kid abelha"
"60",11," kid abelha 3 tacas ",9,"E7M","A","kid abelha"
"61",11," kid abelha 3 tacas ",9,"D7M","A","kid abelha"
"62",11," kid abelha 3 tacas ",9,"E7M","A","kid abelha"
"63",11," kid abelha 3 tacas ",9,"D7M","A","kid abelha"
"64",11," kid abelha 3 tacas ",9,"Bm7","A","kid abelha"
"65",11," kid abelha 3 tacas ",9,"C#m7","A","kid abelha"
"66",11," kid abelha 3 tacas ",9,"D/A","A","kid abelha"
"67",11," kid abelha 3 tacas ",9,"E/B","A","kid abelha"
"68",2," kid abelha a formula do amor ",49,"G","G","kid abelha"
"69",2," kid abelha a formula do amor ",49,"D","G","kid abelha"
"70",2," kid abelha a formula do amor ",49,"Em7","G","kid abelha"
"71",2," kid abelha a formula do amor ",49,"D","G","kid abelha"
"72",2," kid abelha a formula do amor ",49,"G","G","kid abelha"
"73",2," kid abelha a formula do amor ",49,"D","G","kid abelha"
"74",2," kid abelha a formula do amor ",49,"Em7","G","kid abelha"
"75",2," kid abelha a formula do amor ",49,"D","G","kid abelha"
"76",2," kid abelha a formula do amor ",49,"G","G","kid abelha"
"77",2," kid abelha a formula do amor ",49,"D","G","kid abelha"
"78",2," kid abelha a formula do amor ",49,"Em7","G","kid abelha"
"79",2," kid abelha a formula do amor ",49,"D","G","kid abelha"
"80",2," kid abelha a formula do amor ",49,"C","G","kid abelha"
"81",2," kid abelha a formula do amor ",49,"Cmaj7","G","kid abelha"
"82",2," kid abelha a formula do amor ",49,"Am7","G","kid abelha"
"83",2," kid abelha a formula do amor ",49,"D","G","kid abelha"
"84",2," kid abelha a formula do amor ",49,"G","G","kid abelha"
"85",2," kid abelha a formula do amor ",49,"D","G","kid abelha"
"86",2," kid abelha a formula do amor ",49,"Em7","G","kid abelha"
"87",2," kid abelha a formula do amor ",49,"D","G","kid abelha"
"88",2," kid abelha a formula do amor ",49,"G","G","kid abelha"
"89",2," kid abelha a formula do amor ",49,"D","G","kid abelha"
"90",2," kid abelha a formula do amor ",49,"Em7","G","kid abelha"
"91",2," kid abelha a formula do amor ",49,"D","G","kid abelha"
"92",2," kid abelha a formula do amor ",49,"C","G","kid abelha"
"93",2," kid abelha a formula do amor ",49,"Cmaj7","G","kid abelha"
"94",2," kid abelha a formula do amor ",49,"Am7","G","kid abelha"
"95",2," kid abelha a formula do amor ",49,"D","G","kid abelha"
"96",2," kid abelha a formula do amor ",49,"Bm7","G","kid abelha"
"97",2," kid abelha a formula do amor ",49,"C","G","kid abelha"
"98",2," kid abelha a formula do amor ",49,"G","G","kid abelha"
"99",2," kid abelha a formula do amor ",49,"C","G","kid abelha"
"100",2," kid abelha a formula do amor ",49,"G","G","kid abelha"
"101",2," kid abelha a formula do amor ",49,"C","G","kid abelha"
"102",2," kid abelha a formula do amor ",49,"D","G","kid abelha"
"103",2," kid abelha a formula do amor ",49,"G","G","kid abelha"
"104",2," kid abelha a formula do amor ",49,"D","G","kid abelha"
"105",2," kid abelha a formula do amor ",49,"C","G","kid abelha"
"106",2," kid abelha a formula do amor ",49,"D","G","kid abelha"
"107",2," kid abelha a formula do amor ",49,"G","G","kid abelha"
"108",2," kid abelha a formula do amor ",49,"D","G","kid abelha"
"109",2," kid abelha a formula do amor ",49,"C","G","kid abelha"
"110",2," kid abelha a formula do amor ",49,"D","G","kid abelha"
"111",2," kid abelha a formula do amor ",49,"Ebº","G","kid abelha"
"112",2," kid abelha a formula do amor ",49,"Em7","G","kid abelha"
"113",2," kid abelha a formula do amor ",49,"C","G","kid abelha"
"114",2," kid abelha a formula do amor ",49,"G","G","kid abelha"
"115",2," kid abelha a formula do amor ",49,"D","G","kid abelha"
"116",5," kid abelha a historia unica de todo amor ",5,"C","C","kid abelha"
"117",5," kid abelha a historia unica de todo amor ",5,"G","C","kid abelha"
"118",5," kid abelha a historia unica de todo amor ",5,"Bb","C","kid abelha"
"119",5," kid abelha a historia unica de todo amor ",5,"C","C","kid abelha"
"120",5," kid abelha a historia unica de todo amor ",5,"G","C","kid abelha"
"121",5," kid abelha a historia unica de todo amor ",5,"F","C","kid abelha"
"122",5," kid abelha a historia unica de todo amor ",5,"G","C","kid abelha"
"123",5," kid abelha a historia unica de todo amor ",5,"F","C","kid abelha"
"124",5," kid abelha a historia unica de todo amor ",5,"Bb","C","kid abelha"
"125",5," kid abelha a historia unica de todo amor ",5,"C","C","kid abelha"
"126",5," kid abelha a historia unica de todo amor ",5,"G","C","kid abelha"
"127",5," kid abelha a historia unica de todo amor ",5,"Dm","C","kid abelha"
"128",5," kid abelha a historia unica de todo amor ",5,"Am","C","kid abelha"
"129",5," kid abelha a historia unica de todo amor ",5,"Em","C","kid abelha"
"130",5," kid abelha a historia unica de todo amor ",5,"C","C","kid abelha"
"131",5," kid abelha a historia unica de todo amor ",5,"Bb","C","kid abelha"
"132",5," kid abelha a historia unica de todo amor ",5,"C","C","kid abelha"
"133",5," kid abelha a historia unica de todo amor ",5,"Bb","C","kid abelha"
"134",5," kid abelha a historia unica de todo amor ",5,"C","C","kid abelha"
"135",5," kid abelha a historia unica de todo amor ",5,"G","C","kid abelha"
"136",5," kid abelha a historia unica de todo amor ",5,"Bb","C","kid abelha"
"137",5," kid abelha a historia unica de todo amor ",5,"C","C","kid abelha"
"138",5," kid abelha a historia unica de todo amor ",5,"G","C","kid abelha"
"139",5," kid abelha a historia unica de todo amor ",5,"F","C","kid abelha"
"140",5," kid abelha a historia unica de todo amor ",5,"G","C","kid abelha"
"141",5," kid abelha a historia unica de todo amor ",5,"F","C","kid abelha"
"142",5," kid abelha a historia unica de todo amor ",5,"G","C","kid abelha"
"143",5," kid abelha a historia unica de todo amor ",5,"F","C","kid abelha"
"144",5," kid abelha a historia unica de todo amor ",5,"G","C","kid abelha"
"145",5," kid abelha a historia unica de todo amor ",5,"F","C","kid abelha"
"146",5," kid abelha a historia unica de todo amor ",5,"G","C","kid abelha"
"147",5," kid abelha a historia unica de todo amor ",5,"C","C","kid abelha"
"148",15," kid abelha a indecencia ",13,"Bb9","F","kid abelha"
"149",15," kid abelha a indecencia ",13,"A9","F","kid abelha"
"150",15," kid abelha a indecencia ",13,"F","F","kid abelha"
"151",15," kid abelha a indecencia ",13,"Cm","F","kid abelha"
"152",15," kid abelha a indecencia ",13,"Bb9","F","kid abelha"
"153",15," kid abelha a indecencia ",13,"F","F","kid abelha"
"154",15," kid abelha a indecencia ",13,"Cm","F","kid abelha"
"155",15," kid abelha a indecencia ",13,"Bb9","F","kid abelha"
"156",15," kid abelha a indecencia ",13,"F","F","kid abelha"
"157",15," kid abelha a indecencia ",13,"Cm","F","kid abelha"
