"date" "music" "popul" "chord" "key" "artist"
"1" "2001-01-01" " kid abelha 10 minutos " 9 "D" "G" "kid abelha"
"2" "2001-01-01" " kid abelha 10 minutos " 9 "E" "G" "kid abelha"
"3" "2001-01-01" " kid abelha 10 minutos " 9 "C" "G" "kid abelha"
"4" "2001-01-01" " kid abelha 10 minutos " 9 "D" "G" "kid abelha"
"5" "2001-01-01" " kid abelha 10 minutos " 9 "D" "G" "kid abelha"
"6" "2001-01-01" " kid abelha 10 minutos " 9 "E" "G" "kid abelha"
"7" "2001-01-01" " kid abelha 10 minutos " 9 "C" "G" "kid abelha"
"8" "2001-01-01" " kid abelha 10 minutos " 9 "D" "G" "kid abelha"
"9" "2001-01-01" " kid abelha 10 minutos " 9 "E" "G" "kid abelha"
"10" "2001-01-01" " kid abelha 10 minutos " 9 "Gm" "G" "kid abelha"
"11" "2001-01-01" " kid abelha 10 minutos " 9 "D" "G" "kid abelha"
"12" "2001-01-01" " kid abelha 10 minutos " 9 "D" "G" "kid abelha"
"13" "2001-01-01" " kid abelha 10 minutos " 9 "E" "G" "kid abelha"
"14" "2001-01-01" " kid abelha 10 minutos " 9 "C" "G" "kid abelha"
"15" "2001-01-01" " kid abelha 10 minutos " 9 "D" "G" "kid abelha"
"16" "2001-01-01" " kid abelha 10 minutos " 9 "Bm" "G" "kid abelha"
"17" "2001-01-01" " kid abelha 10 minutos " 9 "E" "G" "kid abelha"
"18" "2001-01-01" " kid abelha 10 minutos " 9 "G" "G" "kid abelha"
"19" "2001-01-01" " kid abelha 10 minutos " 9 "C#m" "G" "kid abelha"
"20" "2001-01-01" " kid abelha 10 minutos " 9 "F#" "G" "kid abelha"
"21" "1998" " kid abelha 3 tacas " 9 "A7M" "A" "kid abelha"
"22" "1998" " kid abelha 3 tacas " 9 "Bm7/A" "A" "kid abelha"
"23" "1998" " kid abelha 3 tacas " 9 "E/G#" "A" "kid abelha"
"24" "1998" " kid abelha 3 tacas " 9 "A7M" "A" "kid abelha"
"25" "1998" " kid abelha 3 tacas " 9 "F#m7" "A" "kid abelha"
"26" "1998" " kid abelha 3 tacas " 9 "D7M" "A" "kid abelha"
"27" "1998" " kid abelha 3 tacas " 9 "D#º" "A" "kid abelha"
"28" "1998" " kid abelha 3 tacas " 9 "E" "A" "kid abelha"
"29" "1998" " kid abelha 3 tacas " 9 "A/E" "A" "kid abelha"
"30" "1998" " kid abelha 3 tacas " 9 "A4/E" "A" "kid abelha"
"31" "1998" " kid abelha 3 tacas " 9 "E" "A" "kid abelha"
"32" "1998" " kid abelha 3 tacas " 9 "A/C#" "A" "kid abelha"
"33" "1998" " kid abelha 3 tacas " 9 "F#m7" "A" "kid abelha"
"34" "1998" " kid abelha 3 tacas " 9 "C#4" "A" "kid abelha"
"35" "1998" " kid abelha 3 tacas " 9 "C#" "A" "kid abelha"
"36" "1998" " kid abelha 3 tacas " 9 "A7M" "A" "kid abelha"
"37" "1998" " kid abelha 3 tacas " 9 "Bm7" "A" "kid abelha"
"38" "1998" " kid abelha 3 tacas " 9 "C#m7" "A" "kid abelha"
"39" "1998" " kid abelha 3 tacas " 9 "D7M" "A" "kid abelha"
"40" "1998" " kid abelha 3 tacas " 9 "F#m7" "A" "kid abelha"
"41" "1998" " kid abelha 3 tacas " 9 "D7M/A" "A" "kid abelha"
"42" "1998" " kid abelha 3 tacas " 9 "C#4" "A" "kid abelha"
"43" "1998" " kid abelha 3 tacas " 9 "C#" "A" "kid abelha"
