"date" "music" "popul" "chord" "key" "artist"
"1" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "E" "E" "leandro e leonardo"
"2" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "C#m" "E" "leandro e leonardo"
"3" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "G#m" "E" "leandro e leonardo"
"4" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "A" "E" "leandro e leonardo"
"5" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "B7" "E" "leandro e leonardo"
"6" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "E" "E" "leandro e leonardo"
"7" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "C#m" "E" "leandro e leonardo"
"8" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "G#m" "E" "leandro e leonardo"
"9" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "A" "E" "leandro e leonardo"
"10" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "B7" "E" "leandro e leonardo"
"11" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "E" "E" "leandro e leonardo"
"12" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "B7" "E" "leandro e leonardo"
"13" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "E" "E" "leandro e leonardo"
"14" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "B7" "E" "leandro e leonardo"
"15" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "A" "E" "leandro e leonardo"
"16" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "B7" "E" "leandro e leonardo"
"17" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "A" "E" "leandro e leonardo"
"18" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "E" "E" "leandro e leonardo"
"19" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "E" "E" "leandro e leonardo"
"20" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "B7" "E" "leandro e leonardo"
"21" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "A" "E" "leandro e leonardo"
"22" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "B7" "E" "leandro e leonardo"
"23" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "E" "E" "leandro e leonardo"
"24" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "B7" "E" "leandro e leonardo"
"25" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "A" "E" "leandro e leonardo"
"26" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "E" "E" "leandro e leonardo"
"27" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "B7" "E" "leandro e leonardo"
"28" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "A" "E" "leandro e leonardo"
"29" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "B7" "E" "leandro e leonardo"
"30" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "A" "E" "leandro e leonardo"
"31" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "E" "E" "leandro e leonardo"
"32" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "B7" "E" "leandro e leonardo"
"33" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "E" "E" "leandro e leonardo"
"34" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "B7" "E" "leandro e leonardo"
"35" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "A" "E" "leandro e leonardo"
"36" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "B7" "E" "leandro e leonardo"
"37" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "E" "E" "leandro e leonardo"
"38" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "B7" "E" "leandro e leonardo"
"39" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "B7" "E" "leandro e leonardo"
"40" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "A" "E" "leandro e leonardo"
"41" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "B7" "E" "leandro e leonardo"
"42" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "E" "E" "leandro e leonardo"
"43" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "B7" "E" "leandro e leonardo"
"44" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "A" "E" "leandro e leonardo"
"45" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "B7" "E" "leandro e leonardo"
"46" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "E" "E" "leandro e leonardo"
"47" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "C#m" "E" "leandro e leonardo"
"48" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "G#m" "E" "leandro e leonardo"
"49" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "A" "E" "leandro e leonardo"
"50" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "B7" "E" "leandro e leonardo"
"51" "1994-09-01" " leandro e leonardo 25 horas por dia " 21 "E" "E" "leandro e leonardo"
"52" "1991" " leandro e leonardo a rotina " 22 "E" "E" "leandro e leonardo"
"53" "1991" " leandro e leonardo a rotina " 22 "F#m" "E" "leandro e leonardo"
"54" "1991" " leandro e leonardo a rotina " 22 "A" "E" "leandro e leonardo"
"55" "1991" " leandro e leonardo a rotina " 22 "B7" "E" "leandro e leonardo"
"56" "1991" " leandro e leonardo a rotina " 22 "E" "E" "leandro e leonardo"
"57" "1991" " leandro e leonardo a rotina " 22 "B7" "E" "leandro e leonardo"
"58" "1991" " leandro e leonardo a rotina " 22 "E" "E" "leandro e leonardo"
"59" "1991" " leandro e leonardo a rotina " 22 "B7" "E" "leandro e leonardo"
"60" "1991" " leandro e leonardo a rotina " 22 "C#m" "E" "leandro e leonardo"
"61" "1991" " leandro e leonardo a rotina " 22 "E7" "E" "leandro e leonardo"
"62" "1991" " leandro e leonardo a rotina " 22 "A" "E" "leandro e leonardo"
"63" "1991" " leandro e leonardo a rotina " 22 "F#m" "E" "leandro e leonardo"
"64" "1991" " leandro e leonardo a rotina " 22 "B7" "E" "leandro e leonardo"
"65" "1991" " leandro e leonardo a rotina " 22 "G#7" "E" "leandro e leonardo"
"66" "1991" " leandro e leonardo a rotina " 22 "C#m" "E" "leandro e leonardo"
"67" "1991" " leandro e leonardo a rotina " 22 "A" "E" "leandro e leonardo"
"68" "1991" " leandro e leonardo a rotina " 22 "F#7" "E" "leandro e leonardo"
"69" "1991" " leandro e leonardo a rotina " 22 "Am" "E" "leandro e leonardo"
