"date","music","popul","chord","key","artist"
"1",3," leci brandao afina viola ",3,"Ab","C#","leci brandao"
"2",3," leci brandao afina viola ",3,"Fm7","C#","leci brandao"
"3",3," leci brandao afina viola ",3,"Bbm7","C#","leci brandao"
"4",3," leci brandao afina viola ",3,"Bbm7","C#","leci brandao"
"5",3," leci brandao afina viola ",3,"Eb7","C#","leci brandao"
"6",3," leci brandao afina viola ",3,"Cm7","C#","leci brandao"
"7",3," leci brandao afina viola ",3,"F7","C#","leci brandao"
"8",3," leci brandao afina viola ",3,"Bbm7","C#","leci brandao"
"9",3," leci brandao afina viola ",3,"Eb7","C#","leci brandao"
"10",3," leci brandao afina viola ",3,"Ab","C#","leci brandao"
"11",3," leci brandao afina viola ",3,"Eb7","C#","leci brandao"
"12",3," leci brandao afina viola ",3,"Ab","C#","leci brandao"
"13",3," leci brandao afina viola ",3,"Db7","C#","leci brandao"
"14",3," leci brandao afina viola ",3,"Ab","C#","leci brandao"
"15",3," leci brandao afina viola ",3,"Eb7","C#","leci brandao"
"16",3," leci brandao afina viola ",3,"Ab","C#","leci brandao"
"17",3," leci brandao afina viola ",3,"Fm7","C#","leci brandao"
"18",3," leci brandao afina viola ",3,"Ebm","C#","leci brandao"
"19",3," leci brandao afina viola ",3,"Ab7","C#","leci brandao"
"20",3," leci brandao afina viola ",3,"D7+","C#","leci brandao"
"21",3," leci brandao afina viola ",3,"Eb7","C#","leci brandao"
"22",3," leci brandao afina viola ",3,"Cm7","C#","leci brandao"
"23",3," leci brandao afina viola ",3,"Gb7","C#","leci brandao"
"24",3," leci brandao afina viola ",3,"F7","C#","leci brandao"
"25",3," leci brandao afina viola ",3,"Bbm7","C#","leci brandao"
"26",3," leci brandao afina viola ",3,"Eb7","C#","leci brandao"
"27",3," leci brandao afina viola ",3,"Cm7","C#","leci brandao"
"28",3," leci brandao afina viola ",3,"F7","C#","leci brandao"
"29",3," leci brandao afina viola ",3,"Bbm7","C#","leci brandao"
"30",3," leci brandao afina viola ",3,"Eb7","C#","leci brandao"
"31",3," leci brandao afina viola ",3,"Ab","C#","leci brandao"
"32",3," leci brandao afina viola ",3,"Fm7","C#","leci brandao"
"33",3," leci brandao afina viola ",3,"Bbm7","C#","leci brandao"
"34",3," leci brandao afina viola ",3,"Eb7","C#","leci brandao"
"35",3," leci brandao afina viola ",3,"Ab","C#","leci brandao"
"36",3," leci brandao afina viola ",3,"Fm7","C#","leci brandao"
"37",3," leci brandao afina viola ",3,"Bbm7","C#","leci brandao"
"38",3," leci brandao afina viola ",3,"Eb7","C#","leci brandao"
"39",3," leci brandao afina viola ",3,"Ebm","C#","leci brandao"
"40",3," leci brandao afina viola ",3,"Ab7","C#","leci brandao"
"41",3," leci brandao afina viola ",3,"Db7+","C#","leci brandao"
"42",3," leci brandao afina viola ",3,"Eb7","C#","leci brandao"
"43",3," leci brandao afina viola ",3,"Cm7","C#","leci brandao"
"44",3," leci brandao afina viola ",3,"Gb7","C#","leci brandao"
"45",3," leci brandao afina viola ",3,"F7","C#","leci brandao"
"46",5," leci brandao agenda ",30,"Bb°","D#","leci brandao"
"47",5," leci brandao agenda ",30,"Dm","D#","leci brandao"
"48",5," leci brandao agenda ",30,"Gm7","D#","leci brandao"
"49",5," leci brandao agenda ",30,"Cm","D#","leci brandao"
"50",5," leci brandao agenda ",30,"F7","D#","leci brandao"
"51",5," leci brandao agenda ",30,"Dm","D#","leci brandao"
"52",5," leci brandao agenda ",30,"Dbm","D#","leci brandao"
"53",5," leci brandao agenda ",30,"Cm","D#","leci brandao"
"54",5," leci brandao agenda ",30,"F7","D#","leci brandao"
"55",5," leci brandao agenda ",30,"Bb7+","D#","leci brandao"
"56",5," leci brandao agenda ",30,"F7","D#","leci brandao"
"57",5," leci brandao agenda ",30,"Bb7+","D#","leci brandao"
"58",5," leci brandao agenda ",30,"Bb6","D#","leci brandao"
"59",5," leci brandao agenda ",30,"Bb7+","D#","leci brandao"
"60",5," leci brandao agenda ",30,"Dm5-/7","D#","leci brandao"
"61",5," leci brandao agenda ",30,"G7","D#","leci brandao"
"62",5," leci brandao agenda ",30,"Cm","D#","leci brandao"
"63",5," leci brandao agenda ",30,"G7","D#","leci brandao"
"64",5," leci brandao agenda ",30,"Cm","D#","leci brandao"
"65",5," leci brandao agenda ",30,"Dm","D#","leci brandao"
"66",5," leci brandao agenda ",30,"Eb7+","D#","leci brandao"
"67",5," leci brandao agenda ",30,"F7","D#","leci brandao"
"68",5," leci brandao agenda ",30,"F7/9","D#","leci brandao"
"69",5," leci brandao agenda ",30,"Dm","D#","leci brandao"
"70",5," leci brandao agenda ",30,"Dbm","D#","leci brandao"
"71",5," leci brandao agenda ",30,"Cm","D#","leci brandao"
"72",5," leci brandao agenda ",30,"F7","D#","leci brandao"
"73",5," leci brandao agenda ",30,"Bb7+","D#","leci brandao"
"74",5," leci brandao agenda ",30,"Bb6","D#","leci brandao"
"75",5," leci brandao agenda ",30,"Bb7+","D#","leci brandao"
"76",5," leci brandao agenda ",30,"Bb6","D#","leci brandao"
"77",5," leci brandao agenda ",30,"Bb7","D#","leci brandao"
"78",5," leci brandao agenda ",30,"Eb","D#","leci brandao"
"79",5," leci brandao agenda ",30,"Eb5+","D#","leci brandao"
"80",5," leci brandao agenda ",30,"Eb6","D#","leci brandao"
"81",5," leci brandao agenda ",30,"Eb7","D#","leci brandao"
"82",5," leci brandao agenda ",30,"Eb7+","D#","leci brandao"
"83",5," leci brandao agenda ",30,"F7","D#","leci brandao"
"84",5," leci brandao agenda ",30,"F7/9","D#","leci brandao"
"85",5," leci brandao agenda ",30,"Dm","D#","leci brandao"
"86",5," leci brandao agenda ",30,"Ab7","D#","leci brandao"
"87",5," leci brandao agenda ",30,"G7","D#","leci brandao"
"88",5," leci brandao agenda ",30,"C7","D#","leci brandao"
"89",5," leci brandao agenda ",30,"Dm","D#","leci brandao"
"90",5," leci brandao agenda ",30,"Eb7+","D#","leci brandao"
"91",5," leci brandao agenda ",30,"F7","D#","leci brandao"
"92",5," leci brandao agenda ",30,"Dm5-/7","D#","leci brandao"
"93",5," leci brandao agenda ",30,"G7","D#","leci brandao"
"94",5," leci brandao agenda ",30,"Eb7+","D#","leci brandao"
"95",5," leci brandao agenda ",30,"F7","D#","leci brandao"
"96",5," leci brandao agenda ",30,"F7/9","D#","leci brandao"
"97",5," leci brandao agenda ",30,"Dm","D#","leci brandao"
"98",5," leci brandao agenda ",30,"Ab7","D#","leci brandao"
"99",5," leci brandao agenda ",30,"G7","D#","leci brandao"
"100",5," leci brandao agenda ",30,"C7","D#","leci brandao"
"101",5," leci brandao agenda ",30,"Cm","D#","leci brandao"
"102",5," leci brandao agenda ",30,"Ebm","D#","leci brandao"
"103",5," leci brandao agenda ",30,"F7","D#","leci brandao"
"104",5," leci brandao agenda ",30,"Dm","D#","leci brandao"
"105",5," leci brandao agenda ",30,"G7","D#","leci brandao"
"106",5," leci brandao agenda ",30,"Eb7+","D#","leci brandao"
"107",5," leci brandao agenda ",30,"F7","D#","leci brandao"
"108",5," leci brandao agenda ",30,"F7/9","D#","leci brandao"
"109",5," leci brandao agenda ",30,"Dm","D#","leci brandao"
"110",5," leci brandao agenda ",30,"Ab7","D#","leci brandao"
"111",5," leci brandao agenda ",30,"G7","D#","leci brandao"
"112",5," leci brandao agenda ",30,"C7","D#","leci brandao"
"113",5," leci brandao agenda ",30,"Cm","D#","leci brandao"
"114",5," leci brandao agenda ",30,"Ebm","D#","leci brandao"
"115",5," leci brandao agenda ",30,"F7","D#","leci brandao"
"116",5," leci brandao agenda ",30,"Bb°","D#","leci brandao"
