"date","music","popul","chord","key","artist"
"1",4," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"2",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"3",4," legiao urbana 1965 duas tribos ",37,"C9","G","legiao urbana"
"4",4," legiao urbana 1965 duas tribos ",37,"G/B","G","legiao urbana"
"5",4," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"6",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"7",4," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"8",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"9",4," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"10",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"11",4," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"12",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"13",4," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"14",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"15",4," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"16",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"17",4," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"18",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"19",4," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"20",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"21",4," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"22",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"23",4," legiao urbana 1965 duas tribos ",37,"C","G","legiao urbana"
"24",4," legiao urbana 1965 duas tribos ",37,"G/B","G","legiao urbana"
"25",4," legiao urbana 1965 duas tribos ",37,"C","G","legiao urbana"
"26",4," legiao urbana 1965 duas tribos ",37,"G/B","G","legiao urbana"
"27",4," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"28",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"29",4," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"30",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"31",4," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"32",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"33",4," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"34",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"35",4," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"36",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"37",4," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"38",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"39",4," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"40",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"41",4," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"42",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"43",4," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"44",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"45",4," legiao urbana 1965 duas tribos ",37,"C","G","legiao urbana"
"46",4," legiao urbana 1965 duas tribos ",37,"G/B","G","legiao urbana"
"47",4," legiao urbana 1965 duas tribos ",37,"C","G","legiao urbana"
"48",4," legiao urbana 1965 duas tribos ",37,"G/B","G","legiao urbana"
"49",4," legiao urbana 1965 duas tribos ",37,"A7","G","legiao urbana"
"50",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"51",4," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"52",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"53",4," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"54",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"55",4," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"56",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"57",4," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"58",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"59",4," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"60",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"61",4," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"62",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"63",4," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"64",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"65",4," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"66",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"67",4," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"68",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"69",4," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"70",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"71",4," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"72",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"73",4," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"74",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"75",4," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"76",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"77",4," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"78",4," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
