"date","music","popul","chord","key","artist"
"1",NA," leoni faz assim ",NA,"E","E","leoni"
"2",NA," leoni faz assim ",NA,"A","E","leoni"
"3",NA," leoni faz assim ",NA,"E","E","leoni"
"4",NA," leoni faz assim ",NA,"A9","E","leoni"
"5",NA," leoni faz assim ",NA,"E","E","leoni"
"6",NA," leoni faz assim ",NA,"A9","E","leoni"
"7",NA," leoni faz assim ",NA,"E","E","leoni"
"8",NA," leoni faz assim ",NA,"A9","E","leoni"
"9",NA," leoni faz assim ",NA,"E","E","leoni"
"10",NA," leoni faz assim ",NA,"A9","E","leoni"
"11",NA," leoni faz assim ",NA,"C#m","E","leoni"
"12",NA," leoni faz assim ",NA,"A9","E","leoni"
"13",NA," leoni faz assim ",NA,"C#m","E","leoni"
"14",NA," leoni faz assim ",NA,"B9","E","leoni"
"15",NA," leoni faz assim ",NA,"C#m","E","leoni"
"16",NA," leoni faz assim ",NA,"A9","E","leoni"
"17",NA," leoni faz assim ",NA,"C#m","E","leoni"
"18",NA," leoni faz assim ",NA,"B9","E","leoni"
"19",NA," leoni faz assim ",NA,"E","E","leoni"
"20",NA," leoni faz assim ",NA,"B9","E","leoni"
"21",NA," leoni faz assim ",NA,"C#m","E","leoni"
"22",NA," leoni faz assim ",NA,"A9","E","leoni"
"23",NA," leoni faz assim ",NA,"E","E","leoni"
"24",NA," leoni faz assim ",NA,"B9","E","leoni"
"25",NA," leoni faz assim ",NA,"C#m","E","leoni"
"26",NA," leoni faz assim ",NA,"A9","E","leoni"
"27",NA," leoni faz assim ",NA,"Am","E","leoni"
"28",NA," leoni faz assim ",NA,"E","E","leoni"
"29",5," leoni 40 dias no espaco ",26,"D","D","leoni"
"30",5," leoni 40 dias no espaco ",26,"D","D","leoni"
"31",5," leoni 40 dias no espaco ",26,"F#m","D","leoni"
"32",5," leoni 40 dias no espaco ",26,"G","D","leoni"
"33",5," leoni 40 dias no espaco ",26,"C","D","leoni"
"34",5," leoni 40 dias no espaco ",26,"F","D","leoni"
"35",5," leoni 40 dias no espaco ",26,"A","D","leoni"
"36",5," leoni 40 dias no espaco ",26,"D","D","leoni"
"37",5," leoni 40 dias no espaco ",26,"F#m","D","leoni"
"38",5," leoni 40 dias no espaco ",26,"G","D","leoni"
"39",5," leoni 40 dias no espaco ",26,"C","D","leoni"
"40",5," leoni 40 dias no espaco ",26,"F","D","leoni"
"41",5," leoni 40 dias no espaco ",26,"A","D","leoni"
"42",5," leoni 40 dias no espaco ",26,"Em","D","leoni"
"43",5," leoni 40 dias no espaco ",26,"A","D","leoni"
"44",5," leoni 40 dias no espaco ",26,"Em","D","leoni"
"45",5," leoni 40 dias no espaco ",26,"A","D","leoni"
"46",5," leoni 40 dias no espaco ",26,"D","D","leoni"
"47",5," leoni 40 dias no espaco ",26,"D/C","D","leoni"
"48",5," leoni 40 dias no espaco ",26,"G/B","D","leoni"
"49",5," leoni 40 dias no espaco ",26,"Gm/Bb","D","leoni"
"50",5," leoni 40 dias no espaco ",26,"D","D","leoni"
"51",5," leoni 40 dias no espaco ",26,"D/C","D","leoni"
"52",5," leoni 40 dias no espaco ",26,"G/B","D","leoni"
"53",5," leoni 40 dias no espaco ",26,"Gm/Bb","D","leoni"
"54",5," leoni 40 dias no espaco ",26,"D","D","leoni"
"55",5," leoni 40 dias no espaco ",26,"D/C","D","leoni"
"56",5," leoni 40 dias no espaco ",26,"G/B","D","leoni"
"57",5," leoni 40 dias no espaco ",26,"Gm/Bb","D","leoni"
"58",5," leoni 40 dias no espaco ",26,"Em","D","leoni"
"59",5," leoni 40 dias no espaco ",26,"A","D","leoni"
"60",5," leoni 40 dias no espaco ",26,"D","D","leoni"
"61",5," leoni 40 dias no espaco ",26,"F#m","D","leoni"
"62",5," leoni 40 dias no espaco ",26,"G","D","leoni"
"63",5," leoni 40 dias no espaco ",26,"C","D","leoni"
"64",5," leoni 40 dias no espaco ",26,"F","D","leoni"
"65",5," leoni 40 dias no espaco ",26,"A","D","leoni"
"66",5," leoni 40 dias no espaco ",26,"D","D","leoni"
"67",5," leoni 40 dias no espaco ",26,"F#m","D","leoni"
"68",5," leoni 40 dias no espaco ",26,"G","D","leoni"
"69",5," leoni 40 dias no espaco ",26,"C","D","leoni"
"70",5," leoni 40 dias no espaco ",26,"F","D","leoni"
"71",5," leoni 40 dias no espaco ",26,"A","D","leoni"
"72",5," leoni 50 receitas ",33,"E","C","leoni"
"73",5," leoni 50 receitas ",33,"Bm","C","leoni"
"74",5," leoni 50 receitas ",33,"A","C","leoni"
"75",5," leoni 50 receitas ",33,"A4","C","leoni"
"76",5," leoni 50 receitas ",33,"A","C","leoni"
"77",5," leoni 50 receitas ",33,"Am","C","leoni"
"78",5," leoni 50 receitas ",33,"A9","C","leoni"
"79",5," leoni 50 receitas ",33,"Am","C","leoni"
"80",5," leoni 50 receitas ",33,"E","C","leoni"
"81",5," leoni 50 receitas ",33,"Bm","C","leoni"
"82",5," leoni 50 receitas ",33,"A","C","leoni"
"83",5," leoni 50 receitas ",33,"Am","C","leoni"
"84",5," leoni 50 receitas ",33,"C9","C","leoni"
"85",5," leoni 50 receitas ",33,"G","C","leoni"
"86",5," leoni 50 receitas ",33,"C9","C","leoni"
"87",5," leoni 50 receitas ",33,"G","C","leoni"
"88",5," leoni 50 receitas ",33,"Dm","C","leoni"
"89",5," leoni 50 receitas ",33,"Am","C","leoni"
"90",5," leoni 50 receitas ",33,"F","C","leoni"
