"date" "music" "popul" "chord" "key" "artist"
"1" NA " luan santana 100 voce " NA "E" "E" "luan santana"
"2" NA " luan santana 100 voce " NA "E4" "E" "luan santana"
"3" NA " luan santana 100 voce " NA "E" "E" "luan santana"
"4" NA " luan santana 100 voce " NA "E" "E" "luan santana"
"5" NA " luan santana 100 voce " NA "B" "E" "luan santana"
"6" NA " luan santana 100 voce " NA "C#m" "E" "luan santana"
"7" NA " luan santana 100 voce " NA "B" "E" "luan santana"
"8" NA " luan santana 100 voce " NA "A" "E" "luan santana"
"9" NA " luan santana 100 voce " NA "E" "E" "luan santana"
"10" NA " luan santana 100 voce " NA "B" "E" "luan santana"
"11" NA " luan santana 100 voce " NA "A" "E" "luan santana"
"12" NA " luan santana 100 voce " NA "B" "E" "luan santana"
"13" NA " luan santana 100 voce " NA "C#m" "E" "luan santana"
"14" NA " luan santana 100 voce " NA "B" "E" "luan santana"
"15" NA " luan santana 100 voce " NA "C#m" "E" "luan santana"
"16" NA " luan santana 100 voce " NA "B" "E" "luan santana"
"17" NA " luan santana 100 voce " NA "C#m" "E" "luan santana"
"18" NA " luan santana 100 voce " NA "A" "E" "luan santana"
"19" NA " luan santana 100 voce " NA "B" "E" "luan santana"
"20" NA " luan santana 100 voce " NA "E" "E" "luan santana"
"21" NA " luan santana 100 voce " NA "B" "E" "luan santana"
"22" NA " luan santana 100 voce " NA "C#m" "E" "luan santana"
"23" NA " luan santana 100 voce " NA "B" "E" "luan santana"
"24" NA " luan santana 100 voce " NA "A" "E" "luan santana"
"25" NA " luan santana 100 voce " NA "E" "E" "luan santana"
"26" NA " luan santana 100 voce " NA "B" "E" "luan santana"
"27" NA " luan santana 100 voce " NA "C#m" "E" "luan santana"
"28" NA " luan santana 100 voce " NA "B" "E" "luan santana"
"29" NA " luan santana 100 voce " NA "A" "E" "luan santana"
"30" NA " luan santana 100 voce " NA "B" "E" "luan santana"
"31" NA " luan santana 100 voce " NA "E" "E" "luan santana"
"32" NA " luan santana 2050 " NA "C" "C" "luan santana"
"33" NA " luan santana 2050 " NA "Dm" "C" "luan santana"
"34" NA " luan santana 2050 " NA "F" "C" "luan santana"
"35" NA " luan santana 2050 " NA "G" "C" "luan santana"
"36" NA " luan santana 2050 " NA "C" "C" "luan santana"
"37" NA " luan santana 2050 " NA "Dm" "C" "luan santana"
"38" NA " luan santana 2050 " NA "F" "C" "luan santana"
"39" NA " luan santana 2050 " NA "G" "C" "luan santana"
"40" NA " luan santana 2050 " NA "C" "C" "luan santana"
"41" NA " luan santana 2050 " NA "F" "C" "luan santana"
"42" NA " luan santana 2050 " NA "Dm" "C" "luan santana"
"43" NA " luan santana 2050 " NA "F" "C" "luan santana"
"44" NA " luan santana 2050 " NA "G" "C" "luan santana"
"45" NA " luan santana 2050 " NA "C" "C" "luan santana"
"46" NA " luan santana 2050 " NA "F" "C" "luan santana"
"47" NA " luan santana 2050 " NA "Dm" "C" "luan santana"
"48" NA " luan santana 2050 " NA "F" "C" "luan santana"
"49" NA " luan santana 2050 " NA "G" "C" "luan santana"
"50" NA " luan santana 2050 " NA "C" "C" "luan santana"
"51" "2012-03-01" " luan santana 24 horas " 38 "D" "D" "luan santana"
"52" "2012-03-01" " luan santana 24 horas " 38 "A" "D" "luan santana"
"53" "2012-03-01" " luan santana 24 horas " 38 "Bm" "D" "luan santana"
"54" "2012-03-01" " luan santana 24 horas " 38 "G" "D" "luan santana"
"55" "2012-03-01" " luan santana 24 horas " 38 "D" "D" "luan santana"
"56" "2012-03-01" " luan santana 24 horas " 38 "F#m" "D" "luan santana"
"57" "2012-03-01" " luan santana 24 horas " 38 "Em" "D" "luan santana"
"58" "2012-03-01" " luan santana 24 horas " 38 "A" "D" "luan santana"
"59" "2012-03-01" " luan santana 24 horas " 38 "D" "D" "luan santana"
"60" "2012-03-01" " luan santana 24 horas " 38 "F#m" "D" "luan santana"
"61" "2012-03-01" " luan santana 24 horas " 38 "Em" "D" "luan santana"
"62" "2012-03-01" " luan santana 24 horas " 38 "A" "D" "luan santana"
"63" "2012-03-01" " luan santana 24 horas " 38 "G" "D" "luan santana"
"64" "2012-03-01" " luan santana 24 horas " 38 "Bm" "D" "luan santana"
"65" "2012-03-01" " luan santana 24 horas " 38 "Em" "D" "luan santana"
