"date","music","popul","chord","key","artist"
"1",5," lucas lucco 100 louco ",24,"Bm","D","lucas lucco"
"2",5," lucas lucco 100 louco ",24,"G","D","lucas lucco"
"3",5," lucas lucco 100 louco ",24,"D","D","lucas lucco"
"4",5," lucas lucco 100 louco ",24,"A","D","lucas lucco"
"5",5," lucas lucco 100 louco ",24,"Bm","D","lucas lucco"
"6",5," lucas lucco 100 louco ",24,"G","D","lucas lucco"
"7",5," lucas lucco 100 louco ",24,"A","D","lucas lucco"
"8",5," lucas lucco 100 louco ",24,"F#","D","lucas lucco"
"9",5," lucas lucco 100 louco ",24,"Bm","D","lucas lucco"
"10",5," lucas lucco 100 louco ",24,"G","D","lucas lucco"
"11",5," lucas lucco 100 louco ",24,"A","D","lucas lucco"
"12",5," lucas lucco 100 louco ",24,"F#","D","lucas lucco"
"13",5," lucas lucco 100 louco ",24,"Bm","D","lucas lucco"
"14",5," lucas lucco 100 louco ",24,"G","D","lucas lucco"
"15",5," lucas lucco 100 louco ",24,"A","D","lucas lucco"
"16",5," lucas lucco 100 louco ",24,"F#","D","lucas lucco"
"17",5," lucas lucco 100 louco ",24,"Bm","D","lucas lucco"
"18",5," lucas lucco 100 louco ",24,"G","D","lucas lucco"
"19",5," lucas lucco 100 louco ",24,"D","D","lucas lucco"
"20",5," lucas lucco 100 louco ",24,"A","D","lucas lucco"
"21",5," lucas lucco 100 louco ",24,"Bm","D","lucas lucco"
"22",5," lucas lucco 100 louco ",24,"G","D","lucas lucco"
"23",5," lucas lucco 100 louco ",24,"D","D","lucas lucco"
"24",5," lucas lucco 100 louco ",24,"A","D","lucas lucco"
"25",5," lucas lucco 100 louco ",24,"Bm","D","lucas lucco"
"26",5," lucas lucco 100 louco ",24,"G","D","lucas lucco"
"27",5," lucas lucco 100 louco ",24,"D","D","lucas lucco"
"28",5," lucas lucco 100 louco ",24,"A","D","lucas lucco"
"29",5," lucas lucco 100 louco ",24,"Bm","D","lucas lucco"
"30",5," lucas lucco 100 louco ",24,"G","D","lucas lucco"
"31",5," lucas lucco 100 louco ",24,"D","D","lucas lucco"
"32",5," lucas lucco 100 louco ",24,"A","D","lucas lucco"
"33",5," lucas lucco 100 louco ",24,"Bm","D","lucas lucco"
"34",5," lucas lucco 100 louco ",24,"G","D","lucas lucco"
"35",5," lucas lucco 100 louco ",24,"D","D","lucas lucco"
"36",5," lucas lucco 100 louco ",24,"A","D","lucas lucco"
"37",5," lucas lucco 100 louco ",24,"Bm","D","lucas lucco"
"38",5," lucas lucco 100 louco ",24,"G","D","lucas lucco"
"39",5," lucas lucco 100 louco ",24,"A","D","lucas lucco"
"40",5," lucas lucco 100 louco ",24,"F#","D","lucas lucco"
"41",5," lucas lucco 100 louco ",24,"Bm","D","lucas lucco"
"42",5," lucas lucco 100 louco ",24,"G","D","lucas lucco"
"43",5," lucas lucco 100 louco ",24,"A","D","lucas lucco"
"44",5," lucas lucco 100 louco ",24,"F#","D","lucas lucco"
"45",5," lucas lucco 100 louco ",24,"Bm","D","lucas lucco"
"46",5," lucas lucco 100 louco ",24,"G","D","lucas lucco"
"47",5," lucas lucco 100 louco ",24,"D","D","lucas lucco"
"48",5," lucas lucco 100 louco ",24,"A","D","lucas lucco"
"49",5," lucas lucco 100 louco ",24,"Bm","D","lucas lucco"
