"date","music","popul","chord","key","artist"
"1",2," luiz gonzaga 17 e 700 ",20,"D","D","luiz gonzaga"
"2",2," luiz gonzaga 17 e 700 ",20,"A","D","luiz gonzaga"
"3",2," luiz gonzaga 17 e 700 ",20,"D","D","luiz gonzaga"
"4",2," luiz gonzaga 17 e 700 ",20,"A","D","luiz gonzaga"
"5",2," luiz gonzaga 17 e 700 ",20,"D","D","luiz gonzaga"
"6",2," luiz gonzaga 17 e 700 ",20,"D","D","luiz gonzaga"
"7",2," luiz gonzaga 17 e 700 ",20,"Em","D","luiz gonzaga"
"8",2," luiz gonzaga 17 e 700 ",20,"G","D","luiz gonzaga"
"9",2," luiz gonzaga 17 e 700 ",20,"D","D","luiz gonzaga"
"10",2," luiz gonzaga 17 e 700 ",20,"A","D","luiz gonzaga"
"11",2," luiz gonzaga 17 e 700 ",20,"D","D","luiz gonzaga"
"12",2," luiz gonzaga 17 e 700 ",20,"A","D","luiz gonzaga"
"13",2," luiz gonzaga 17 e 700 ",20,"D","D","luiz gonzaga"
"14",2," luiz gonzaga 17 e 700 ",20,"A","D","luiz gonzaga"
"15",2," luiz gonzaga 17 e 700 ",20,"D","D","luiz gonzaga"
"16",2," luiz gonzaga 17 e 700 ",20,"D","D","luiz gonzaga"
"17",2," luiz gonzaga 17 e 700 ",20,"Em","D","luiz gonzaga"
"18",2," luiz gonzaga 17 e 700 ",20,"G","D","luiz gonzaga"
"19",2," luiz gonzaga 17 e 700 ",20,"D","D","luiz gonzaga"
"20",2," luiz gonzaga 17 e 700 ",20,"A","D","luiz gonzaga"
"21",2," luiz gonzaga 17 e 700 ",20,"D","D","luiz gonzaga"
"22",37," luiz gonzaga a danca da moda ",17,"Em","G","luiz gonzaga"
"23",37," luiz gonzaga a danca da moda ",17,"B7","G","luiz gonzaga"
"24",37," luiz gonzaga a danca da moda ",17,"Em","G","luiz gonzaga"
"25",37," luiz gonzaga a danca da moda ",17,"D7","G","luiz gonzaga"
"26",37," luiz gonzaga a danca da moda ",17,"G","G","luiz gonzaga"
"27",37," luiz gonzaga a danca da moda ",17,"D7","G","luiz gonzaga"
"28",37," luiz gonzaga a danca da moda ",17,"G","G","luiz gonzaga"
"29",37," luiz gonzaga a danca da moda ",17,"Am7","G","luiz gonzaga"
"30",37," luiz gonzaga a danca da moda ",17,"D7","G","luiz gonzaga"
"31",37," luiz gonzaga a danca da moda ",17,"G","G","luiz gonzaga"
"32",37," luiz gonzaga a danca da moda ",17,"D7","G","luiz gonzaga"
"33",37," luiz gonzaga a danca da moda ",17,"G","G","luiz gonzaga"
"34",37," luiz gonzaga a letra i ",15,"C","G","luiz gonzaga"
"35",37," luiz gonzaga a letra i ",15,"G","G","luiz gonzaga"
"36",37," luiz gonzaga a letra i ",15,"D","G","luiz gonzaga"
"37",37," luiz gonzaga a letra i ",15,"G","G","luiz gonzaga"
"38",37," luiz gonzaga a letra i ",15,"C","G","luiz gonzaga"
"39",37," luiz gonzaga a letra i ",15,"Bm","G","luiz gonzaga"
"40",37," luiz gonzaga a letra i ",15,"A","G","luiz gonzaga"
"41",37," luiz gonzaga a letra i ",15,"D","G","luiz gonzaga"
"42",37," luiz gonzaga a letra i ",15,"G","G","luiz gonzaga"
"43",37," luiz gonzaga a letra i ",15,"G","G","luiz gonzaga"
"44",37," luiz gonzaga a letra i ",15,"D7","G","luiz gonzaga"
"45",37," luiz gonzaga a letra i ",15,"G","G","luiz gonzaga"
"46",37," luiz gonzaga a letra i ",15,"C","G","luiz gonzaga"
"47",37," luiz gonzaga a letra i ",15,"G","G","luiz gonzaga"
"48",37," luiz gonzaga a letra i ",15,"D7","G","luiz gonzaga"
"49",37," luiz gonzaga a letra i ",15,"G","G","luiz gonzaga"
"50",37," luiz gonzaga a letra i ",15,"D7","G","luiz gonzaga"
"51",37," luiz gonzaga a letra i ",15,"G","G","luiz gonzaga"
"52",37," luiz gonzaga a letra i ",15,"C","G","luiz gonzaga"
"53",37," luiz gonzaga a letra i ",15,"G","G","luiz gonzaga"
"54",37," luiz gonzaga a letra i ",15,"D7","G","luiz gonzaga"
"55",37," luiz gonzaga a letra i ",15,"G","G","luiz gonzaga"
"56",37," luiz gonzaga a letra i ",15,"D7","G","luiz gonzaga"
"57",37," luiz gonzaga a letra i ",15,"G","G","luiz gonzaga"
