"date" "music" "popul" "chord" "key" "artist"
"1" "1958" " luiz gonzaga 17 e 700 " 21 "D" "D" "luiz gonzaga"
"2" "1958" " luiz gonzaga 17 e 700 " 21 "A" "D" "luiz gonzaga"
"3" "1958" " luiz gonzaga 17 e 700 " 21 "D" "D" "luiz gonzaga"
"4" "1958" " luiz gonzaga 17 e 700 " 21 "A" "D" "luiz gonzaga"
"5" "1958" " luiz gonzaga 17 e 700 " 21 "D" "D" "luiz gonzaga"
"6" "1958" " luiz gonzaga 17 e 700 " 21 "D" "D" "luiz gonzaga"
"7" "1958" " luiz gonzaga 17 e 700 " 21 "Em" "D" "luiz gonzaga"
"8" "1958" " luiz gonzaga 17 e 700 " 21 "G" "D" "luiz gonzaga"
"9" "1958" " luiz gonzaga 17 e 700 " 21 "D" "D" "luiz gonzaga"
"10" "1958" " luiz gonzaga 17 e 700 " 21 "A" "D" "luiz gonzaga"
"11" "1958" " luiz gonzaga 17 e 700 " 21 "D" "D" "luiz gonzaga"
"12" "1958" " luiz gonzaga 17 e 700 " 21 "A" "D" "luiz gonzaga"
"13" "1958" " luiz gonzaga 17 e 700 " 21 "D" "D" "luiz gonzaga"
"14" "1958" " luiz gonzaga 17 e 700 " 21 "A" "D" "luiz gonzaga"
"15" "1958" " luiz gonzaga 17 e 700 " 21 "D" "D" "luiz gonzaga"
"16" "1958" " luiz gonzaga 17 e 700 " 21 "D" "D" "luiz gonzaga"
"17" "1958" " luiz gonzaga 17 e 700 " 21 "Em" "D" "luiz gonzaga"
"18" "1958" " luiz gonzaga 17 e 700 " 21 "G" "D" "luiz gonzaga"
"19" "1958" " luiz gonzaga 17 e 700 " 21 "D" "D" "luiz gonzaga"
"20" "1958" " luiz gonzaga 17 e 700 " 21 "A" "D" "luiz gonzaga"
"21" "1958" " luiz gonzaga 17 e 700 " 21 "D" "D" "luiz gonzaga"
"22" "2013-06-26" " luiz gonzaga a danca da moda " 18 "Em" "G" "luiz gonzaga"
"23" "2013-06-26" " luiz gonzaga a danca da moda " 18 "B7" "G" "luiz gonzaga"
"24" "2013-06-26" " luiz gonzaga a danca da moda " 18 "Em" "G" "luiz gonzaga"
"25" "2013-06-26" " luiz gonzaga a danca da moda " 18 "D7" "G" "luiz gonzaga"
"26" "2013-06-26" " luiz gonzaga a danca da moda " 18 "G" "G" "luiz gonzaga"
"27" "2013-06-26" " luiz gonzaga a danca da moda " 18 "D7" "G" "luiz gonzaga"
"28" "2013-06-26" " luiz gonzaga a danca da moda " 18 "G" "G" "luiz gonzaga"
"29" "2013-06-26" " luiz gonzaga a danca da moda " 18 "Am7" "G" "luiz gonzaga"
"30" "2013-06-26" " luiz gonzaga a danca da moda " 18 "D7" "G" "luiz gonzaga"
"31" "2013-06-26" " luiz gonzaga a danca da moda " 18 "G" "G" "luiz gonzaga"
"32" "2013-06-26" " luiz gonzaga a danca da moda " 18 "D7" "G" "luiz gonzaga"
"33" "2013-06-26" " luiz gonzaga a danca da moda " 18 "G" "G" "luiz gonzaga"
"34" "2013-06-26" " luiz gonzaga a letra i " 16 "C" "G" "luiz gonzaga"
"35" "2013-06-26" " luiz gonzaga a letra i " 16 "G" "G" "luiz gonzaga"
"36" "2013-06-26" " luiz gonzaga a letra i " 16 "D" "G" "luiz gonzaga"
"37" "2013-06-26" " luiz gonzaga a letra i " 16 "G" "G" "luiz gonzaga"
"38" "2013-06-26" " luiz gonzaga a letra i " 16 "C" "G" "luiz gonzaga"
"39" "2013-06-26" " luiz gonzaga a letra i " 16 "Bm" "G" "luiz gonzaga"
"40" "2013-06-26" " luiz gonzaga a letra i " 16 "A" "G" "luiz gonzaga"
"41" "2013-06-26" " luiz gonzaga a letra i " 16 "D" "G" "luiz gonzaga"
"42" "2013-06-26" " luiz gonzaga a letra i " 16 "G" "G" "luiz gonzaga"
"43" "2013-06-26" " luiz gonzaga a letra i " 16 "G" "G" "luiz gonzaga"
"44" "2013-06-26" " luiz gonzaga a letra i " 16 "D7" "G" "luiz gonzaga"
"45" "2013-06-26" " luiz gonzaga a letra i " 16 "G" "G" "luiz gonzaga"
"46" "2013-06-26" " luiz gonzaga a letra i " 16 "C" "G" "luiz gonzaga"
"47" "2013-06-26" " luiz gonzaga a letra i " 16 "G" "G" "luiz gonzaga"
"48" "2013-06-26" " luiz gonzaga a letra i " 16 "D7" "G" "luiz gonzaga"
"49" "2013-06-26" " luiz gonzaga a letra i " 16 "G" "G" "luiz gonzaga"
"50" "2013-06-26" " luiz gonzaga a letra i " 16 "D7" "G" "luiz gonzaga"
"51" "2013-06-26" " luiz gonzaga a letra i " 16 "G" "G" "luiz gonzaga"
"52" "2013-06-26" " luiz gonzaga a letra i " 16 "C" "G" "luiz gonzaga"
"53" "2013-06-26" " luiz gonzaga a letra i " 16 "G" "G" "luiz gonzaga"
"54" "2013-06-26" " luiz gonzaga a letra i " 16 "D7" "G" "luiz gonzaga"
"55" "2013-06-26" " luiz gonzaga a letra i " 16 "G" "G" "luiz gonzaga"
"56" "2013-06-26" " luiz gonzaga a letra i " 16 "D7" "G" "luiz gonzaga"
"57" "2013-06-26" " luiz gonzaga a letra i " 16 "G" "G" "luiz gonzaga"
"58" "2013-06-26" " luiz gonzaga a letra i " 16 "D7" "G" "luiz gonzaga"
"59" "2013-06-26" " luiz gonzaga a letra i " 16 "G" "G" "luiz gonzaga"
"60" "2013-06-26" " luiz gonzaga a letra i " 16 "D7" "G" "luiz gonzaga"
"61" "2013-06-26" " luiz gonzaga a letra i " 16 "G" "G" "luiz gonzaga"
"62" "2013-06-26" " luiz gonzaga a letra i " 16 "D7" "G" "luiz gonzaga"
"63" "2013-06-26" " luiz gonzaga a letra i " 16 "D" "G" "luiz gonzaga"
"64" "2013-06-26" " luiz gonzaga a letra i " 16 "C" "G" "luiz gonzaga"
"65" "2013-06-26" " luiz gonzaga a letra i " 16 "G" "G" "luiz gonzaga"
"66" "2013-06-26" " luiz gonzaga a letra i " 16 "D7" "G" "luiz gonzaga"
"67" "2013-06-26" " luiz gonzaga a letra i " 16 "G" "G" "luiz gonzaga"
"68" "2013-06-26" " luiz gonzaga a letra i " 16 "C" "G" "luiz gonzaga"
"69" "2013-06-26" " luiz gonzaga a letra i " 16 "G" "G" "luiz gonzaga"
"70" "2013-06-26" " luiz gonzaga a letra i " 16 "D" "G" "luiz gonzaga"
"71" "2013-06-26" " luiz gonzaga a letra i " 16 "G" "G" "luiz gonzaga"
"72" NA " luiz gonzaga a mini saia " NA "E" "E" "luiz gonzaga"
"73" NA " luiz gonzaga a mini saia " NA "A" "E" "luiz gonzaga"
"74" NA " luiz gonzaga a mini saia " NA "E" "E" "luiz gonzaga"
"75" NA " luiz gonzaga a mini saia " NA "B" "E" "luiz gonzaga"
"76" NA " luiz gonzaga a mini saia " NA "E" "E" "luiz gonzaga"
"77" NA " luiz gonzaga a mini saia " NA "E" "E" "luiz gonzaga"
