"date" "music" "popul" "chord" "key" "artist"
"1" NA " lupcinio rodrigues briga de amor " NA "F" "F" "lupcinio rodrigues"
"2" NA " lupcinio rodrigues briga de amor " NA "D7" "F" "lupcinio rodrigues"
"3" NA " lupcinio rodrigues briga de amor " NA "Gm" "F" "lupcinio rodrigues"
"4" NA " lupcinio rodrigues briga de amor " NA "C7" "F" "lupcinio rodrigues"
"5" NA " lupcinio rodrigues briga de amor " NA "F" "F" "lupcinio rodrigues"
"6" NA " lupcinio rodrigues briga de amor " NA "F" "F" "lupcinio rodrigues"
"7" NA " lupcinio rodrigues briga de amor " NA "D7" "F" "lupcinio rodrigues"
"8" NA " lupcinio rodrigues briga de amor " NA "Gm" "F" "lupcinio rodrigues"
"9" NA " lupcinio rodrigues briga de amor " NA "D7" "F" "lupcinio rodrigues"
"10" NA " lupcinio rodrigues briga de amor " NA "Gm" "F" "lupcinio rodrigues"
"11" NA " lupcinio rodrigues briga de amor " NA "C7" "F" "lupcinio rodrigues"
"12" NA " lupcinio rodrigues briga de amor " NA "F" "F" "lupcinio rodrigues"
"13" NA " lupcinio rodrigues briga de amor " NA "C7" "F" "lupcinio rodrigues"
"14" NA " lupcinio rodrigues briga de amor " NA "F" "F" "lupcinio rodrigues"
"15" NA " lupcinio rodrigues briga de amor " NA "E7" "F" "lupcinio rodrigues"
"16" NA " lupcinio rodrigues briga de amor " NA "Am" "F" "lupcinio rodrigues"
"17" NA " lupcinio rodrigues briga de amor " NA "Gm" "F" "lupcinio rodrigues"
"18" NA " lupcinio rodrigues briga de amor " NA "C7" "F" "lupcinio rodrigues"
"19" NA " lupcinio rodrigues briga de amor " NA "C7" "F" "lupcinio rodrigues"
"20" NA " lupcinio rodrigues briga de amor " NA "A7" "F" "lupcinio rodrigues"
"21" NA " lupcinio rodrigues briga de amor " NA "A7" "F" "lupcinio rodrigues"
"22" NA " lupcinio rodrigues briga de amor " NA "Dm" "F" "lupcinio rodrigues"
"23" NA " lupcinio rodrigues briga de amor " NA "A7" "F" "lupcinio rodrigues"
"24" NA " lupcinio rodrigues briga de amor " NA "Dm" "F" "lupcinio rodrigues"
"25" NA " lupcinio rodrigues briga de amor " NA "C7" "F" "lupcinio rodrigues"
"26" NA " lupcinio rodrigues briga de amor " NA "A7" "F" "lupcinio rodrigues"
"27" NA " lupcinio rodrigues briga de amor " NA "D7" "F" "lupcinio rodrigues"
"28" NA " lupcinio rodrigues briga de amor " NA "Gm" "F" "lupcinio rodrigues"
"29" NA " lupcinio rodrigues briga de amor " NA "C7" "F" "lupcinio rodrigues"
"30" NA " lupcinio rodrigues briga de amor " NA "F" "F" "lupcinio rodrigues"
"31" NA " lupcinio rodrigues cadeira vazia " NA "Am7" "D" "lupcinio rodrigues"
"32" NA " lupcinio rodrigues cadeira vazia " NA "Bm5-/7" "D" "lupcinio rodrigues"
