"date","music","popul","chord","key","artist"
"1",3," maiara maraisa 10 ",67,"C9","G","maiara maraisa"
"2",3," maiara maraisa 10 ",67,"D","G","maiara maraisa"
"3",3," maiara maraisa 10 ",67,"Bm","G","maiara maraisa"
"4",3," maiara maraisa 10 ",67,"Em7","G","maiara maraisa"
"5",3," maiara maraisa 10 ",67,"C9","G","maiara maraisa"
"6",3," maiara maraisa 10 ",67,"D","G","maiara maraisa"
"7",3," maiara maraisa 10 ",67,"Bm","G","maiara maraisa"
"8",3," maiara maraisa 10 ",67,"Em7","G","maiara maraisa"
"9",3," maiara maraisa 10 ",67,"C9","G","maiara maraisa"
"10",3," maiara maraisa 10 ",67,"D","G","maiara maraisa"
"11",3," maiara maraisa 10 ",67,"Bm","G","maiara maraisa"
"12",3," maiara maraisa 10 ",67,"Em7","G","maiara maraisa"
"13",3," maiara maraisa 10 ",67,"C9","G","maiara maraisa"
"14",3," maiara maraisa 10 ",67,"D","G","maiara maraisa"
"15",3," maiara maraisa 10 ",67,"C9","G","maiara maraisa"
"16",3," maiara maraisa 10 ",67,"D","G","maiara maraisa"
"17",3," maiara maraisa 10 ",67,"Bm","G","maiara maraisa"
"18",3," maiara maraisa 10 ",67,"Em7","G","maiara maraisa"
"19",3," maiara maraisa 10 ",67,"C9","G","maiara maraisa"
"20",3," maiara maraisa 10 ",67,"D","G","maiara maraisa"
"21",3," maiara maraisa 10 ",67,"Bm","G","maiara maraisa"
"22",3," maiara maraisa 10 ",67,"Em7","G","maiara maraisa"
"23",3," maiara maraisa 10 ",67,"C9","G","maiara maraisa"
"24",3," maiara maraisa 10 ",67,"D","G","maiara maraisa"
"25",3," maiara maraisa 10 ",67,"Bm","G","maiara maraisa"
"26",3," maiara maraisa 10 ",67,"Em7","G","maiara maraisa"
"27",3," maiara maraisa 10 ",67,"C9","G","maiara maraisa"
"28",3," maiara maraisa 10 ",67,"D","G","maiara maraisa"
"29",3," maiara maraisa 10 ",67,"Bm","G","maiara maraisa"
"30",3," maiara maraisa 10 ",67,"Em7","G","maiara maraisa"
"31",3," maiara maraisa 10 ",67,"C9","G","maiara maraisa"
"32",3," maiara maraisa 10 ",67,"D","G","maiara maraisa"
"33",3," maiara maraisa 10 ",67,"C9","G","maiara maraisa"
"34",3," maiara maraisa 10 ",67,"D","G","maiara maraisa"
"35",3," maiara maraisa 10 ",67,"Bm","G","maiara maraisa"
"36",3," maiara maraisa 10 ",67,"Em7","G","maiara maraisa"
"37",3," maiara maraisa 10 ",67,"C9","G","maiara maraisa"
"38",3," maiara maraisa 10 ",67,"D","G","maiara maraisa"
"39",3," maiara maraisa 10 ",67,"Bm","G","maiara maraisa"
"40",3," maiara maraisa 10 ",67,"Em7","G","maiara maraisa"
"41",3," maiara maraisa 10 ",67,"C9","G","maiara maraisa"
"42",3," maiara maraisa 10 ",67,"D","G","maiara maraisa"
"43",3," maiara maraisa 10 ",67,"Bm","G","maiara maraisa"
"44",3," maiara maraisa 10 ",67,"Em7","G","maiara maraisa"
"45",3," maiara maraisa 10 ",67,"C9","G","maiara maraisa"
"46",3," maiara maraisa 10 ",67,"D","G","maiara maraisa"
"47",3," maiara maraisa 10 ",67,"Bm","G","maiara maraisa"
"48",3," maiara maraisa 10 ",67,"Em7","G","maiara maraisa"
"49",3," maiara maraisa 10 ",67,"C9","G","maiara maraisa"
"50",3," maiara maraisa 10 ",67,"D","G","maiara maraisa"
"51",3," maiara maraisa 10 ",67,"Bm","G","maiara maraisa"
"52",3," maiara maraisa 10 ",67,"Em7","G","maiara maraisa"
"53",3," maiara maraisa 10 ",67,"C9","G","maiara maraisa"
"54",3," maiara maraisa 10 ",67,"Em7","G","maiara maraisa"
"55",6," maiara maraisa 5 minutos ou 50 anos ",48,"Dm","C","maiara maraisa"
"56",6," maiara maraisa 5 minutos ou 50 anos ",48,"F","C","maiara maraisa"
"57",6," maiara maraisa 5 minutos ou 50 anos ",48,"C","C","maiara maraisa"
"58",6," maiara maraisa 5 minutos ou 50 anos ",48,"G","C","maiara maraisa"
"59",6," maiara maraisa 5 minutos ou 50 anos ",48,"Dm","C","maiara maraisa"
"60",6," maiara maraisa 5 minutos ou 50 anos ",48,"F","C","maiara maraisa"
"61",6," maiara maraisa 5 minutos ou 50 anos ",48,"C","C","maiara maraisa"
"62",6," maiara maraisa 5 minutos ou 50 anos ",48,"G","C","maiara maraisa"
