"date","music","popul","chord","key","artist"
"1",NA," marcos belutti 321 ",NA,"Em","G","marcos belutti"
"2",NA," marcos belutti 321 ",NA,"C","G","marcos belutti"
"3",NA," marcos belutti 321 ",NA,"G","G","marcos belutti"
"4",NA," marcos belutti 321 ",NA,"D","G","marcos belutti"
"5",NA," marcos belutti 321 ",NA,"C","G","marcos belutti"
"6",NA," marcos belutti 321 ",NA,"Em","G","marcos belutti"
"7",NA," marcos belutti 321 ",NA,"C","G","marcos belutti"
"8",NA," marcos belutti 321 ",NA,"G","G","marcos belutti"
"9",NA," marcos belutti 321 ",NA,"D","G","marcos belutti"
"10",NA," marcos belutti 321 ",NA,"C","G","marcos belutti"
"11",NA," marcos belutti 321 ",NA,"D","G","marcos belutti"
"12",NA," marcos belutti 321 ",NA,"C","G","marcos belutti"
"13",NA," marcos belutti 321 ",NA,"D","G","marcos belutti"
"14",NA," marcos belutti 321 ",NA,"C","G","marcos belutti"
"15",NA," marcos belutti 321 ",NA,"Cm","G","marcos belutti"
"16",NA," marcos belutti 321 ",NA,"Bb","G","marcos belutti"
"17",NA," marcos belutti 321 ",NA,"G#","G","marcos belutti"
"18",NA," marcos belutti 321 ",NA,"Cm","G","marcos belutti"
"19",NA," marcos belutti 321 ",NA,"Bb","G","marcos belutti"
"20",NA," marcos belutti 321 ",NA,"G#","G","marcos belutti"
"21",NA," marcos belutti 321 ",NA,"Cm","G","marcos belutti"
"22",NA," marcos belutti 321 ",NA,"Bb","G","marcos belutti"
"23",NA," marcos belutti 321 ",NA,"G#","G","marcos belutti"
"24",NA," marcos belutti 321 ",NA,"Cm","G","marcos belutti"
"25",NA," marcos belutti 321 ",NA,"Bb","G","marcos belutti"
"26",NA," marcos belutti 321 ",NA,"G#","G","marcos belutti"
"27",NA," marcos belutti 321 ",NA,"G#","G","marcos belutti"
"28",NA," marcos belutti 321 ",NA,"Bb","G","marcos belutti"
"29",NA," marcos belutti 321 ",NA,"Cm","G","marcos belutti"
"30",NA," marcos belutti 321 ",NA,"G#","G","marcos belutti"
"31",NA," marcos belutti 321 ",NA,"Bb","G","marcos belutti"
"32",NA," marcos belutti 321 ",NA,"Em","G","marcos belutti"
"33",NA," marcos belutti 321 ",NA,"Cm","G","marcos belutti"
"34",NA," marcos belutti 321 ",NA,"Gm","G","marcos belutti"
"35",NA," marcos belutti 321 ",NA,"Bb","G","marcos belutti"
"36",NA," marcos belutti a sete chaves ",NA,"C","C","marcos belutti"
"37",NA," marcos belutti a sete chaves ",NA,"F","C","marcos belutti"
"38",NA," marcos belutti a sete chaves ",NA,"C","C","marcos belutti"
"39",NA," marcos belutti a sete chaves ",NA,"G","C","marcos belutti"
"40",NA," marcos belutti a sete chaves ",NA,"F","C","marcos belutti"
"41",NA," marcos belutti a sete chaves ",NA,"G","C","marcos belutti"
"42",NA," marcos belutti a sete chaves ",NA,"C","C","marcos belutti"
"43",NA," marcos belutti a sete chaves ",NA,"C","C","marcos belutti"
"44",NA," marcos belutti a sete chaves ",NA,"G","C","marcos belutti"
"45",NA," marcos belutti a sete chaves ",NA,"F","C","marcos belutti"
"46",NA," marcos belutti a sete chaves ",NA,"C","C","marcos belutti"
"47",NA," marcos belutti a sete chaves ",NA,"G","C","marcos belutti"
"48",NA," marcos belutti a sete chaves ",NA,"F","C","marcos belutti"
"49",NA," marcos belutti a sete chaves ",NA,"C","C","marcos belutti"
"50",NA," marcos belutti a sete chaves ",NA,"F","C","marcos belutti"
"51",NA," marcos belutti a sete chaves ",NA,"C","C","marcos belutti"
"52",NA," marcos belutti a sete chaves ",NA,"Am","C","marcos belutti"
"53",NA," marcos belutti a sete chaves ",NA,"F","C","marcos belutti"
"54",NA," marcos belutti a sete chaves ",NA,"G","C","marcos belutti"
"55",NA," marcos belutti a sete chaves ",NA,"C","C","marcos belutti"
"56",NA," marcos belutti a sete chaves ",NA,"F","C","marcos belutti"
"57",NA," marcos belutti a sete chaves ",NA,"C","C","marcos belutti"
"58",NA," marcos belutti a sete chaves ",NA,"C","C","marcos belutti"
"59",NA," marcos belutti a sete chaves ",NA,"G","C","marcos belutti"
"60",NA," marcos belutti a sete chaves ",NA,"F","C","marcos belutti"
"61",NA," marcos belutti a sete chaves ",NA,"G","C","marcos belutti"
"62",NA," marcos belutti a sete chaves ",NA,"C","C","marcos belutti"
"63",NA," marcos belutti a sete chaves ",NA,"C","C","marcos belutti"
"64",NA," marcos belutti a sete chaves ",NA,"G","C","marcos belutti"
"65",NA," marcos belutti a sete chaves ",NA,"F","C","marcos belutti"
"66",NA," marcos belutti a sete chaves ",NA,"G","C","marcos belutti"
"67",NA," marcos belutti a sete chaves ",NA,"C","C","marcos belutti"
"68",NA," marcos belutti acabou pra mim ",NA,"D","G","marcos belutti"
"69",NA," marcos belutti acabou pra mim ",NA,"C","G","marcos belutti"
"70",NA," marcos belutti acabou pra mim ",NA,"G","G","marcos belutti"
"71",NA," marcos belutti acabou pra mim ",NA,"A","G","marcos belutti"
"72",NA," marcos belutti acabou pra mim ",NA,"D","G","marcos belutti"
"73",NA," marcos belutti acabou pra mim ",NA,"G","G","marcos belutti"
"74",NA," marcos belutti acabou pra mim ",NA,"D","G","marcos belutti"
"75",NA," marcos belutti acabou pra mim ",NA,"G","G","marcos belutti"
"76",NA," marcos belutti acabou pra mim ",NA,"D","G","marcos belutti"
"77",NA," marcos belutti acabou pra mim ",NA,"G","G","marcos belutti"
"78",NA," marcos belutti acabou pra mim ",NA,"D","G","marcos belutti"
"79",NA," marcos belutti acabou pra mim ",NA,"Em","G","marcos belutti"
"80",NA," marcos belutti acabou pra mim ",NA,"A","G","marcos belutti"
"81",NA," marcos belutti acabou pra mim ",NA,"D","G","marcos belutti"
"82",NA," marcos belutti acabou pra mim ",NA,"Bm","G","marcos belutti"
"83",NA," marcos belutti acabou pra mim ",NA,"G","G","marcos belutti"
"84",NA," marcos belutti acabou pra mim ",NA,"A","G","marcos belutti"
"85",NA," marcos belutti acabou pra mim ",NA,"D","G","marcos belutti"
"86",NA," marcos belutti acabou pra mim ",NA,"Bm","G","marcos belutti"
"87",NA," marcos belutti acabou pra mim ",NA,"G","G","marcos belutti"
"88",NA," marcos belutti acabou pra mim ",NA,"A","G","marcos belutti"
"89",NA," marcos belutti acabou pra mim ",NA,"D","G","marcos belutti"
"90",NA," marcos belutti acabou pra mim ",NA,"C","G","marcos belutti"
"91",NA," marcos belutti acabou pra mim ",NA,"G","G","marcos belutti"
"92",NA," marcos belutti acabou pra mim ",NA,"A","G","marcos belutti"
"93",8," marcos belutti aceito sua decisao ",30,"E","E","marcos belutti"
"94",8," marcos belutti aceito sua decisao ",30,"F#m","E","marcos belutti"
"95",8," marcos belutti aceito sua decisao ",30,"B9","E","marcos belutti"
"96",8," marcos belutti aceito sua decisao ",30,"G#m","E","marcos belutti"
"97",8," marcos belutti aceito sua decisao ",30,"C#m","E","marcos belutti"
"98",8," marcos belutti aceito sua decisao ",30,"F#m","E","marcos belutti"
"99",8," marcos belutti aceito sua decisao ",30,"B9","E","marcos belutti"
"100",8," marcos belutti aceito sua decisao ",30,"E","E","marcos belutti"
"101",8," marcos belutti aceito sua decisao ",30,"F#m","E","marcos belutti"
"102",8," marcos belutti aceito sua decisao ",30,"B9","E","marcos belutti"
"103",8," marcos belutti aceito sua decisao ",30,"G#m","E","marcos belutti"
"104",8," marcos belutti aceito sua decisao ",30,"C#m","E","marcos belutti"
"105",8," marcos belutti aceito sua decisao ",30,"F#m","E","marcos belutti"
"106",8," marcos belutti aceito sua decisao ",30,"B9","E","marcos belutti"
"107",8," marcos belutti aceito sua decisao ",30,"E","E","marcos belutti"
"108",8," marcos belutti aceito sua decisao ",30,"F#m","E","marcos belutti"
"109",8," marcos belutti aceito sua decisao ",30,"B9","E","marcos belutti"
"110",8," marcos belutti aceito sua decisao ",30,"G#m","E","marcos belutti"
"111",8," marcos belutti aceito sua decisao ",30,"C#m","E","marcos belutti"
"112",8," marcos belutti aceito sua decisao ",30,"F#m","E","marcos belutti"
"113",8," marcos belutti aceito sua decisao ",30,"B9","E","marcos belutti"
"114",8," marcos belutti aceito sua decisao ",30,"E","E","marcos belutti"
"115",8," marcos belutti aceito sua decisao ",30,"F#m","E","marcos belutti"
"116",8," marcos belutti aceito sua decisao ",30,"B9","E","marcos belutti"
"117",8," marcos belutti aceito sua decisao ",30,"G#m","E","marcos belutti"
"118",8," marcos belutti aceito sua decisao ",30,"C#m","E","marcos belutti"
"119",8," marcos belutti aceito sua decisao ",30,"F#m","E","marcos belutti"
"120",8," marcos belutti aceito sua decisao ",30,"B9","E","marcos belutti"
"121",8," marcos belutti aceito sua decisao ",30,"E","E","marcos belutti"
"122",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"D#","E","marcos belutti"
"123",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"A#","E","marcos belutti"
"124",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"Fm","E","marcos belutti"
"125",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"A#","E","marcos belutti"
"126",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"Fm","E","marcos belutti"
"127",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"A#","E","marcos belutti"
"128",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"Fm","E","marcos belutti"
"129",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"A#","E","marcos belutti"
"130",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"D#","E","marcos belutti"
"131",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"G#","E","marcos belutti"
"132",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"D#","E","marcos belutti"
"133",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"Fm","E","marcos belutti"
"134",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"A#","E","marcos belutti"
"135",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"D#","E","marcos belutti"
"136",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"A#","E","marcos belutti"
"137",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"G#","E","marcos belutti"
"138",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"D#","E","marcos belutti"
"139",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"A#","E","marcos belutti"
"140",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"G#","E","marcos belutti"
"141",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"D#","E","marcos belutti"
"142",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"A#","E","marcos belutti"
"143",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"G#","E","marcos belutti"
"144",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"D#","E","marcos belutti"
"145",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"A#","E","marcos belutti"
"146",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"G#","E","marcos belutti"
"147",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"D#","E","marcos belutti"
"148",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E","E","marcos belutti"
"149",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"B","E","marcos belutti"
"150",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"C#m","E","marcos belutti"
"151",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"C#m/B","E","marcos belutti"
"152",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"A","E","marcos belutti"
"153",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"G#m","E","marcos belutti"
"154",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"F#m","E","marcos belutti"
"155",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"F#m/E","E","marcos belutti"
"156",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"B","E","marcos belutti"
"157",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"G#7","E","marcos belutti"
"158",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"C#m","E","marcos belutti"
"159",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"A","E","marcos belutti"
"160",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E","E","marcos belutti"
"161",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"B","E","marcos belutti"
"162",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E","E","marcos belutti"
"163",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"B7","E","marcos belutti"
"164",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E","E","marcos belutti"
"165",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"B","E","marcos belutti"
"166",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"C#m","E","marcos belutti"
"167",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"C#m/B","E","marcos belutti"
"168",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"A","E","marcos belutti"
"169",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"G#m","E","marcos belutti"
"170",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"F#m","E","marcos belutti"
"171",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"F#m/E","E","marcos belutti"
"172",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"B","E","marcos belutti"
"173",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"G#7","E","marcos belutti"
"174",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"C#m","E","marcos belutti"
"175",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"A","E","marcos belutti"
"176",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E","E","marcos belutti"
"177",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"B","E","marcos belutti"
"178",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E","E","marcos belutti"
"179",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"B7","E","marcos belutti"
"180",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E","E","marcos belutti"
"181",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"B","E","marcos belutti"
"182",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"C#m","E","marcos belutti"
"183",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E7","E","marcos belutti"
"184",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"A","E","marcos belutti"
"185",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E/G#","E","marcos belutti"
"186",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"B","E","marcos belutti"
"187",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E","E","marcos belutti"
"188",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"B","E","marcos belutti"
"189",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"C#m","E","marcos belutti"
"190",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E7","E","marcos belutti"
"191",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"A","E","marcos belutti"
"192",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E/G#","E","marcos belutti"
"193",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"B","E","marcos belutti"
"194",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E","E","marcos belutti"
"195",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E","E","marcos belutti"
"196",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"C#7","E","marcos belutti"
"197",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"F#m","E","marcos belutti"
"198",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"B","E","marcos belutti"
"199",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"F#m","E","marcos belutti"
"200",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"B","E","marcos belutti"
"201",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"F#m","E","marcos belutti"
"202",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"B7","E","marcos belutti"
"203",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E","E","marcos belutti"
"204",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E7","E","marcos belutti"
"205",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"A","E","marcos belutti"
"206",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"Am","E","marcos belutti"
"207",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E","E","marcos belutti"
"208",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"C#7","E","marcos belutti"
"209",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"F#m","E","marcos belutti"
"210",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"B7","E","marcos belutti"
"211",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"F#m","E","marcos belutti"
"212",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"B7","E","marcos belutti"
"213",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E","E","marcos belutti"
"214",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E7","E","marcos belutti"
"215",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"A","E","marcos belutti"
"216",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E","E","marcos belutti"
"217",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"B7","E","marcos belutti"
"218",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E","E","marcos belutti"
"219",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E7","E","marcos belutti"
"220",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"A","E","marcos belutti"
"221",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E","E","marcos belutti"
"222",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"F#","E","marcos belutti"
"223",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"B7","E","marcos belutti"
"224",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"B","E","marcos belutti"
"225",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"A","E","marcos belutti"
"226",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"G#","E","marcos belutti"
"227",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"F#","E","marcos belutti"
"228",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E","E","marcos belutti"
"229",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"A","E","marcos belutti"
"230",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E","E","marcos belutti"
"231",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"F#","E","marcos belutti"
"232",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"B7","E","marcos belutti"
"233",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"B","E","marcos belutti"
"234",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"A","E","marcos belutti"
"235",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"G#","E","marcos belutti"
"236",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"F#","E","marcos belutti"
"237",12," marcos belutti pot pourri agenda rabiscada voce vai ver vida pelo avesso ",39,"E","E","marcos belutti"
"238",2," marcos belutti ai que vontade que da ",15,"A","A","marcos belutti"
"239",2," marcos belutti ai que vontade que da ",15,"A","A","marcos belutti"
"240",2," marcos belutti ai que vontade que da ",15,"Bm","A","marcos belutti"
"241",2," marcos belutti ai que vontade que da ",15,"E","A","marcos belutti"
"242",2," marcos belutti ai que vontade que da ",15,"D","A","marcos belutti"
"243",2," marcos belutti ai que vontade que da ",15,"E","A","marcos belutti"
"244",2," marcos belutti ai que vontade que da ",15,"C#m","A","marcos belutti"
"245",2," marcos belutti ai que vontade que da ",15,"F#m","A","marcos belutti"
"246",2," marcos belutti ai que vontade que da ",15,"A","A","marcos belutti"
"247",2," marcos belutti ai que vontade que da ",15,"A","A","marcos belutti"
"248",2," marcos belutti ai que vontade que da ",15,"Bm","A","marcos belutti"
"249",2," marcos belutti ai que vontade que da ",15,"E","A","marcos belutti"
"250",2," marcos belutti ai que vontade que da ",15,"D","A","marcos belutti"
"251",2," marcos belutti ai que vontade que da ",15,"E","A","marcos belutti"
"252",2," marcos belutti ai que vontade que da ",15,"C#m","A","marcos belutti"
"253",2," marcos belutti ai que vontade que da ",15,"F#m","A","marcos belutti"
"254",2," marcos belutti ai que vontade que da ",15,"A","A","marcos belutti"
"255",2," marcos belutti ai que vontade que da ",15,"A7","A","marcos belutti"
"256",2," marcos belutti ai que vontade que da ",15,"D","A","marcos belutti"
"257",2," marcos belutti ai que vontade que da ",15,"D9","A","marcos belutti"
"258",2," marcos belutti ai que vontade que da ",15,"C#m","A","marcos belutti"
"259",2," marcos belutti ai que vontade que da ",15,"F#m","A","marcos belutti"
"260",2," marcos belutti ai que vontade que da ",15,"D","A","marcos belutti"
"261",2," marcos belutti ai que vontade que da ",15,"E","A","marcos belutti"
"262",2," marcos belutti ai que vontade que da ",15,"A","A","marcos belutti"
"263",2," marcos belutti ai que vontade que da ",15,"E","A","marcos belutti"
"264",2," marcos belutti ai que vontade que da ",15,"A","A","marcos belutti"
"265",2," marcos belutti ai que vontade que da ",15,"C#m","A","marcos belutti"
"266",2," marcos belutti ai que vontade que da ",15,"D","A","marcos belutti"
"267",2," marcos belutti ai que vontade que da ",15,"E","A","marcos belutti"
"268",2," marcos belutti ai que vontade que da ",15,"A","A","marcos belutti"
"269",2," marcos belutti ai que vontade que da ",15,"C#m","A","marcos belutti"
"270",2," marcos belutti ai que vontade que da ",15,"D","A","marcos belutti"
"271",2," marcos belutti ai que vontade que da ",15,"E","A","marcos belutti"
"272",3," marcos belutti alta tensao ",22,"G#m","B","marcos belutti"
"273",3," marcos belutti alta tensao ",22,"E","B","marcos belutti"
"274",3," marcos belutti alta tensao ",22,"B","B","marcos belutti"
"275",3," marcos belutti alta tensao ",22,"F#","B","marcos belutti"
"276",3," marcos belutti alta tensao ",22,"G#m","B","marcos belutti"
"277",3," marcos belutti alta tensao ",22,"E","B","marcos belutti"
"278",3," marcos belutti alta tensao ",22,"B","B","marcos belutti"
"279",3," marcos belutti alta tensao ",22,"F#","B","marcos belutti"
"280",3," marcos belutti alta tensao ",22,"G#m","B","marcos belutti"
"281",3," marcos belutti alta tensao ",22,"E","B","marcos belutti"
"282",3," marcos belutti alta tensao ",22,"B","B","marcos belutti"
"283",3," marcos belutti alta tensao ",22,"F#","B","marcos belutti"
"284",3," marcos belutti alta tensao ",22,"G#m","B","marcos belutti"
"285",3," marcos belutti alta tensao ",22,"E","B","marcos belutti"
"286",3," marcos belutti alta tensao ",22,"B","B","marcos belutti"
"287",3," marcos belutti alta tensao ",22,"F#","B","marcos belutti"
"288",3," marcos belutti alta tensao ",22,"E","B","marcos belutti"
"289",3," marcos belutti alta tensao ",22,"B","B","marcos belutti"
"290",3," marcos belutti alta tensao ",22,"F#","B","marcos belutti"
"291",3," marcos belutti alta tensao ",22,"C#m","B","marcos belutti"
"292",3," marcos belutti alta tensao ",22,"E","B","marcos belutti"
"293",3," marcos belutti alta tensao ",22,"B","B","marcos belutti"
"294",3," marcos belutti alta tensao ",22,"F#","B","marcos belutti"
"295",3," marcos belutti alta tensao ",22,"C#m","B","marcos belutti"
"296",3," marcos belutti alta tensao ",22,"E","B","marcos belutti"
"297",3," marcos belutti alta tensao ",22,"G#m","B","marcos belutti"
"298",3," marcos belutti alta tensao ",22,"E","B","marcos belutti"
"299",3," marcos belutti alta tensao ",22,"B","B","marcos belutti"
"300",3," marcos belutti alta tensao ",22,"F#","B","marcos belutti"
"301",3," marcos belutti alta tensao ",22,"G#m","B","marcos belutti"
"302",3," marcos belutti alta tensao ",22,"E","B","marcos belutti"
"303",3," marcos belutti alta tensao ",22,"B","B","marcos belutti"
