"date","music","popul","chord","key","artist"
"1",3," maria gadu a culpa ",33,"Bm","D","maria gadu"
"2",3," maria gadu a culpa ",33,"G","D","maria gadu"
"3",3," maria gadu a culpa ",33,"D7M","D","maria gadu"
"4",3," maria gadu a culpa ",33,"Bm","D","maria gadu"
"5",3," maria gadu a culpa ",33,"G","D","maria gadu"
"6",3," maria gadu a culpa ",33,"A9","D","maria gadu"
"7",3," maria gadu a culpa ",33,"Bm","D","maria gadu"
"8",3," maria gadu a culpa ",33,"G","D","maria gadu"
"9",3," maria gadu a culpa ",33,"D7M","D","maria gadu"
"10",3," maria gadu a culpa ",33,"Bm","D","maria gadu"
"11",3," maria gadu a culpa ",33,"G","D","maria gadu"
"12",3," maria gadu a culpa ",33,"A9","D","maria gadu"
"13",3," maria gadu a culpa ",33,"Bm","D","maria gadu"
"14",3," maria gadu a culpa ",33,"G","D","maria gadu"
"15",3," maria gadu a culpa ",33,"D7M","D","maria gadu"
"16",3," maria gadu a culpa ",33,"Bm","D","maria gadu"
"17",3," maria gadu a culpa ",33,"G","D","maria gadu"
"18",3," maria gadu a culpa ",33,"A9","D","maria gadu"
"19",3," maria gadu a culpa ",33,"A#º","D","maria gadu"
"20",3," maria gadu a culpa ",33,"Bm","D","maria gadu"
"21",3," maria gadu a culpa ",33,"F#m7","D","maria gadu"
"22",3," maria gadu a culpa ",33,"D7M","D","maria gadu"
"23",3," maria gadu a culpa ",33,"A9","D","maria gadu"
"24",3," maria gadu a culpa ",33,"Bm","D","maria gadu"
"25",3," maria gadu a culpa ",33,"F#m7","D","maria gadu"
"26",3," maria gadu a culpa ",33,"D7M","D","maria gadu"
"27",3," maria gadu a culpa ",33,"A9","D","maria gadu"
"28",3," maria gadu a culpa ",33,"Bm","D","maria gadu"
"29",3," maria gadu a culpa ",33,"F#m7","D","maria gadu"
"30",3," maria gadu a culpa ",33,"G7M","D","maria gadu"
"31",3," maria gadu a culpa ",33,"Bm","D","maria gadu"
"32",3," maria gadu a culpa ",33,"D7M","D","maria gadu"
"33",3," maria gadu a culpa ",33,"D/F#","D","maria gadu"
"34",3," maria gadu a culpa ",33,"G","D","maria gadu"
"35",3," maria gadu a culpa ",33,"D/F#","D","maria gadu"
"36",3," maria gadu a culpa ",33,"Em","D","maria gadu"
"37",3," maria gadu a culpa ",33,"A#º","D","maria gadu"
"38",3," maria gadu a culpa ",33,"Bm","D","maria gadu"
"39",3," maria gadu a culpa ",33,"F#m7","D","maria gadu"
"40",3," maria gadu a culpa ",33,"D7M","D","maria gadu"
"41",3," maria gadu a culpa ",33,"A9","D","maria gadu"
"42",3," maria gadu a culpa ",33,"Bm","D","maria gadu"
"43",3," maria gadu a culpa ",33,"F#m7","D","maria gadu"
"44",3," maria gadu a culpa ",33,"D7M","D","maria gadu"
"45",3," maria gadu a culpa ",33,"A9","D","maria gadu"
"46",3," maria gadu a culpa ",33,"Bm","D","maria gadu"
"47",3," maria gadu a culpa ",33,"D7+","D","maria gadu"
"48",3," maria gadu a culpa ",33,"G","D","maria gadu"
"49",3," maria gadu a culpa ",33,"Bm","D","maria gadu"
"50",3," maria gadu a culpa ",33,"A#°","D","maria gadu"
"51",3," maria gadu a culpa ",33,"C#m","D","maria gadu"
"52",3," maria gadu a culpa ",33,"G#m","D","maria gadu"
"53",3," maria gadu a culpa ",33,"A9","D","maria gadu"
"54",3," maria gadu a culpa ",33,"E","D","maria gadu"
"55",3," maria gadu a culpa ",33,"E7M","D","maria gadu"
"56",3," maria gadu a culpa ",33,"F#m7","D","maria gadu"
"57",3," maria gadu a culpa ",33,"B","D","maria gadu"
"58",3," maria gadu a culpa ",33,"A9","D","maria gadu"
"59",3," maria gadu a culpa ",33,"A#º","D","maria gadu"
"60",3," maria gadu a culpa ",33,"Bm","D","maria gadu"
"61",3," maria gadu a culpa ",33,"F#m7","D","maria gadu"
"62",3," maria gadu a culpa ",33,"D7M","D","maria gadu"
"63",3," maria gadu a culpa ",33,"A9","D","maria gadu"
"64",3," maria gadu a culpa ",33,"Bm","D","maria gadu"
"65",3," maria gadu a culpa ",33,"F#m7","D","maria gadu"
"66",3," maria gadu a culpa ",33,"D7M","D","maria gadu"
"67",3," maria gadu a culpa ",33,"A9","D","maria gadu"
"68",3," maria gadu a culpa ",33,"Bm","D","maria gadu"
"69",3," maria gadu a culpa ",33,"F#m7","D","maria gadu"
"70",3," maria gadu a culpa ",33,"G7M","D","maria gadu"
"71",3," maria gadu a culpa ",33,"Bm","D","maria gadu"
"72",3," maria gadu a culpa ",33,"D7M","D","maria gadu"
"73",3," maria gadu a culpa ",33,"D/F#","D","maria gadu"
"74",3," maria gadu a culpa ",33,"G","D","maria gadu"
"75",3," maria gadu a culpa ",33,"D/F#","D","maria gadu"
"76",3," maria gadu a culpa ",33,"Em","D","maria gadu"
"77",3," maria gadu a culpa ",33,"A#º","D","maria gadu"
"78",3," maria gadu a culpa ",33,"Bm","D","maria gadu"
"79",3," maria gadu a culpa ",33,"F#m7","D","maria gadu"
"80",3," maria gadu a culpa ",33,"D7M","D","maria gadu"
"81",3," maria gadu a culpa ",33,"A9","D","maria gadu"
"82",3," maria gadu a culpa ",33,"Bm","D","maria gadu"
"83",3," maria gadu a culpa ",33,"F#m7","D","maria gadu"
"84",3," maria gadu a culpa ",33,"G7M","D","maria gadu"
"85",3," maria gadu a culpa ",33,"Bm","D","maria gadu"
"86",3," maria gadu a culpa ",33,"A#º","D","maria gadu"
"87",3," maria gadu a culpa ",33,"Bm","D","maria gadu"
"88",3," maria gadu a culpa ",33,"F#m7","D","maria gadu"
"89",3," maria gadu a culpa ",33,"D7M","D","maria gadu"
"90",3," maria gadu a culpa ",33,"A9","D","maria gadu"
"91",NA," maria gadu a hsitoria de lily braun ",NA,"C7/9","C","maria gadu"
"92",NA," maria gadu a hsitoria de lily braun ",NA,"Ab7(13)","C","maria gadu"
"93",NA," maria gadu a hsitoria de lily braun ",NA,"Eb7(#9)","C","maria gadu"
"94",NA," maria gadu a hsitoria de lily braun ",NA,"D7(#9)","C","maria gadu"
"95",NA," maria gadu a hsitoria de lily braun ",NA,"G7(b13)","C","maria gadu"
"96",NA," maria gadu a hsitoria de lily braun ",NA,"C7/9","C","maria gadu"
"97",NA," maria gadu a hsitoria de lily braun ",NA,"Ab7(13)","C","maria gadu"
"98",NA," maria gadu a hsitoria de lily braun ",NA,"Eb7(#9)","C","maria gadu"
"99",NA," maria gadu a hsitoria de lily braun ",NA,"D7(#9)","C","maria gadu"
"100",NA," maria gadu a hsitoria de lily braun ",NA,"C#7/9","C","maria gadu"
"101",NA," maria gadu a hsitoria de lily braun ",NA,"C7/9","C","maria gadu"
"102",NA," maria gadu a hsitoria de lily braun ",NA,"Ab7(13)","C","maria gadu"
"103",NA," maria gadu a hsitoria de lily braun ",NA,"Dm7(5b)","C","maria gadu"
"104",NA," maria gadu a hsitoria de lily braun ",NA,"G7(b13)","C","maria gadu"
"105",NA," maria gadu a hsitoria de lily braun ",NA,"C7/9","C","maria gadu"
"106",NA," maria gadu a hsitoria de lily braun ",NA,"Ab7(13)","C","maria gadu"
"107",NA," maria gadu a hsitoria de lily braun ",NA,"Dm7(5b)","C","maria gadu"
"108",NA," maria gadu a hsitoria de lily braun ",NA,"G7(b13)","C","maria gadu"
"109",NA," maria gadu a hsitoria de lily braun ",NA,"C7/9","C","maria gadu"
"110",NA," maria gadu a hsitoria de lily braun ",NA,"Ab7(13)","C","maria gadu"
"111",NA," maria gadu a hsitoria de lily braun ",NA,"Eb7(#9)","C","maria gadu"
"112",NA," maria gadu a hsitoria de lily braun ",NA,"D7(#9)","C","maria gadu"
"113",NA," maria gadu a hsitoria de lily braun ",NA,"G7(b13)","C","maria gadu"
"114",NA," maria gadu a hsitoria de lily braun ",NA,"C7/9","C","maria gadu"
"115",NA," maria gadu a hsitoria de lily braun ",NA,"Ab7(13)","C","maria gadu"
"116",NA," maria gadu a hsitoria de lily braun ",NA,"Dm7(5b)","C","maria gadu"
"117",NA," maria gadu a hsitoria de lily braun ",NA,"G7(b13)","C","maria gadu"
"118",NA," maria gadu a hsitoria de lily braun ",NA,"C7/9","C","maria gadu"
"119",NA," maria gadu a hsitoria de lily braun ",NA,"Ab7(13)","C","maria gadu"
"120",NA," maria gadu a hsitoria de lily braun ",NA,"Dm7(5b)","C","maria gadu"
"121",NA," maria gadu a hsitoria de lily braun ",NA,"G7(b13)","C","maria gadu"
"122",NA," maria gadu a hsitoria de lily braun ",NA,"C7/9","C","maria gadu"
"123",NA," maria gadu a hsitoria de lily braun ",NA,"Ab7(13)","C","maria gadu"
"124",NA," maria gadu a hsitoria de lily braun ",NA,"Dm7(5b)","C","maria gadu"
"125",NA," maria gadu a hsitoria de lily braun ",NA,"G7(b13)","C","maria gadu"
"126",NA," maria gadu a hsitoria de lily braun ",NA,"C7(9)","C","maria gadu"
"127",NA," maria gadu a hsitoria de lily braun ",NA,"Ab7(13)","C","maria gadu"
"128",NA," maria gadu a hsitoria de lily braun ",NA,"Eb7(#9)","C","maria gadu"
"129",NA," maria gadu a hsitoria de lily braun ",NA,"D7(#9)","C","maria gadu"
"130",NA," maria gadu a hsitoria de lily braun ",NA,"G7(b13)","C","maria gadu"
"131",NA," maria gadu a hsitoria de lily braun ",NA,"C7(9)","C","maria gadu"
"132",NA," maria gadu a hsitoria de lily braun ",NA,"Ab7(13)","C","maria gadu"
