"date","music","popul","chord","key","artist"
"1",9," marilia mendonca a gente nao se aguenta ",64,"E","B","marilia mendonca"
"2",9," marilia mendonca a gente nao se aguenta ",64,"B","B","marilia mendonca"
"3",9," marilia mendonca a gente nao se aguenta ",64,"F#","B","marilia mendonca"
"4",9," marilia mendonca a gente nao se aguenta ",64,"G#m","B","marilia mendonca"
"5",9," marilia mendonca a gente nao se aguenta ",64,"G#m","B","marilia mendonca"
"6",9," marilia mendonca a gente nao se aguenta ",64,"E","B","marilia mendonca"
"7",9," marilia mendonca a gente nao se aguenta ",64,"C#m","B","marilia mendonca"
"8",9," marilia mendonca a gente nao se aguenta ",64,"D#7","B","marilia mendonca"
"9",9," marilia mendonca a gente nao se aguenta ",64,"G#m","B","marilia mendonca"
"10",9," marilia mendonca a gente nao se aguenta ",64,"E","B","marilia mendonca"
"11",9," marilia mendonca a gente nao se aguenta ",64,"C#m","B","marilia mendonca"
"12",9," marilia mendonca a gente nao se aguenta ",64,"D#7","B","marilia mendonca"
"13",9," marilia mendonca a gente nao se aguenta ",64,"G#m","B","marilia mendonca"
"14",9," marilia mendonca a gente nao se aguenta ",64,"E","B","marilia mendonca"
"15",9," marilia mendonca a gente nao se aguenta ",64,"F#","B","marilia mendonca"
"16",9," marilia mendonca a gente nao se aguenta ",64,"G#m","B","marilia mendonca"
"17",9," marilia mendonca a gente nao se aguenta ",64,"E","B","marilia mendonca"
"18",9," marilia mendonca a gente nao se aguenta ",64,"F#","B","marilia mendonca"
"19",9," marilia mendonca a gente nao se aguenta ",64,"E","B","marilia mendonca"
"20",9," marilia mendonca a gente nao se aguenta ",64,"F#","B","marilia mendonca"
"21",9," marilia mendonca a gente nao se aguenta ",64,"G#m","B","marilia mendonca"
"22",9," marilia mendonca a gente nao se aguenta ",64,"B","B","marilia mendonca"
"23",9," marilia mendonca a gente nao se aguenta ",64,"F#","B","marilia mendonca"
"24",9," marilia mendonca a gente nao se aguenta ",64,"G#m","B","marilia mendonca"
"25",9," marilia mendonca a gente nao se aguenta ",64,"E","B","marilia mendonca"
"26",9," marilia mendonca a gente nao se aguenta ",64,"B","B","marilia mendonca"
"27",9," marilia mendonca a gente nao se aguenta ",64,"F#","B","marilia mendonca"
"28",9," marilia mendonca a gente nao se aguenta ",64,"G#m","B","marilia mendonca"
"29",9," marilia mendonca a gente nao se aguenta ",64,"E","B","marilia mendonca"
"30",9," marilia mendonca a gente nao se aguenta ",64,"B","B","marilia mendonca"
"31",9," marilia mendonca a gente nao se aguenta ",64,"F#","B","marilia mendonca"
"32",9," marilia mendonca a gente nao se aguenta ",64,"G#m","B","marilia mendonca"
"33",9," marilia mendonca a gente nao se aguenta ",64,"E","B","marilia mendonca"
"34",9," marilia mendonca a gente nao se aguenta ",64,"B","B","marilia mendonca"
"35",9," marilia mendonca a gente nao se aguenta ",64,"F#","B","marilia mendonca"
"36",9," marilia mendonca a gente nao se aguenta ",64,"G#m","B","marilia mendonca"
"37",9," marilia mendonca a gente nao se aguenta ",64,"E","B","marilia mendonca"
"38",9," marilia mendonca a gente nao se aguenta ",64,"B","B","marilia mendonca"
"39",9," marilia mendonca a gente nao se aguenta ",64,"F#","B","marilia mendonca"
"40",9," marilia mendonca a gente nao se aguenta ",64,"G#m","B","marilia mendonca"
"41",9," marilia mendonca a gente nao se aguenta ",64,"E","B","marilia mendonca"
"42",9," marilia mendonca a gente nao se aguenta ",64,"B","B","marilia mendonca"
"43",9," marilia mendonca a gente nao se aguenta ",64,"F#","B","marilia mendonca"
"44",9," marilia mendonca a gente nao se aguenta ",64,"G#m","B","marilia mendonca"
"45",9," marilia mendonca a gente nao se aguenta ",64,"E","B","marilia mendonca"
"46",9," marilia mendonca a gente nao se aguenta ",64,"B","B","marilia mendonca"
"47",9," marilia mendonca a gente nao se aguenta ",64,"F#","B","marilia mendonca"
"48",9," marilia mendonca a gente nao se aguenta ",64,"G#m","B","marilia mendonca"
"49",9," marilia mendonca a gente nao se aguenta ",64,"G#m","B","marilia mendonca"
"50",9," marilia mendonca a gente nao se aguenta ",64,"E","B","marilia mendonca"
"51",9," marilia mendonca a gente nao se aguenta ",64,"C#m","B","marilia mendonca"
