"date","music","popul","chord","key","artist"
"1",8," marisa monte a alma a materia ",25,"D7","C","marisa monte"
"2",8," marisa monte a alma a materia ",25,"G7M","C","marisa monte"
"3",8," marisa monte a alma a materia ",25,"G6","C","marisa monte"
"4",8," marisa monte a alma a materia ",25,"G°","C","marisa monte"
"5",8," marisa monte a alma a materia ",25,"Am7","C","marisa monte"
"6",8," marisa monte a alma a materia ",25,"D7/C","C","marisa monte"
"7",8," marisa monte a alma a materia ",25,"G7M","C","marisa monte"
"8",8," marisa monte a alma a materia ",25,"G6","C","marisa monte"
"9",8," marisa monte a alma a materia ",25,"Dm7","C","marisa monte"
"10",8," marisa monte a alma a materia ",25,"G7","C","marisa monte"
"11",8," marisa monte a alma a materia ",25,"C7M","C","marisa monte"
"12",8," marisa monte a alma a materia ",25,"C6","C","marisa monte"
"13",8," marisa monte a alma a materia ",25,"Em7","C","marisa monte"
"14",8," marisa monte a alma a materia ",25,"A7","C","marisa monte"
"15",8," marisa monte a alma a materia ",25,"Am7","C","marisa monte"
"16",8," marisa monte a alma a materia ",25,"D7","C","marisa monte"
"17",8," marisa monte a alma a materia ",25,"G7M","C","marisa monte"
"18",8," marisa monte a alma a materia ",25,"G6","C","marisa monte"
"19",8," marisa monte a alma a materia ",25,"F#7","C","marisa monte"
"20",8," marisa monte a alma a materia ",25,"Am7","C","marisa monte"
"21",8," marisa monte a alma a materia ",25,"D7/C","C","marisa monte"
"22",8," marisa monte a alma a materia ",25,"G7M","C","marisa monte"
"23",8," marisa monte a alma a materia ",25,"G6","C","marisa monte"
"24",8," marisa monte a alma a materia ",25,"Dm7","C","marisa monte"
"25",8," marisa monte a alma a materia ",25,"G7","C","marisa monte"
"26",8," marisa monte a alma a materia ",25,"C7M","C","marisa monte"
"27",8," marisa monte a alma a materia ",25,"C6","C","marisa monte"
"28",8," marisa monte a alma a materia ",25,"Em7","C","marisa monte"
"29",8," marisa monte a alma a materia ",25,"A7","C","marisa monte"
"30",8," marisa monte a alma a materia ",25,"Am7","C","marisa monte"
"31",8," marisa monte a alma a materia ",25,"D7","C","marisa monte"
"32",8," marisa monte a alma a materia ",25,"G7M","C","marisa monte"
"33",8," marisa monte a alma a materia ",25,"F#7","C","marisa monte"
"34",8," marisa monte a alma a materia ",25,"Bm7(b5)","C","marisa monte"
"35",8," marisa monte a alma a materia ",25,"E7","C","marisa monte"
"36",8," marisa monte a alma a materia ",25,"A7","C","marisa monte"
"37",8," marisa monte a alma a materia ",25,"D7","C","marisa monte"
"38",8," marisa monte a alma a materia ",25,"G6","C","marisa monte"
"39",8," marisa monte a alma a materia ",25,"E7(b9)","C","marisa monte"
"40",8," marisa monte a alma a materia ",25,"A7","C","marisa monte"
"41",8," marisa monte a alma a materia ",25,"D7","C","marisa monte"
"42",8," marisa monte a alma a materia ",25,"G6","C","marisa monte"
"43",8," marisa monte a alma a materia ",25,"G7M","C","marisa monte"
"44",8," marisa monte a alma a materia ",25,"G6","C","marisa monte"
"45",8," marisa monte a alma a materia ",25,"G°","C","marisa monte"
"46",8," marisa monte a alma a materia ",25,"Am7","C","marisa monte"
"47",8," marisa monte a alma a materia ",25,"D7","C","marisa monte"
"48",8," marisa monte a alma a materia ",25,"G7M","C","marisa monte"
"49",8," marisa monte a alma a materia ",25,"D7","C","marisa monte"
"50",8," marisa monte a alma a materia ",25,"G7M","C","marisa monte"
"51",8," marisa monte a alma a materia ",25,"F#7","C","marisa monte"
"52",8," marisa monte a alma a materia ",25,"Bm7(b5)","C","marisa monte"
"53",8," marisa monte a alma a materia ",25,"E7","C","marisa monte"
"54",8," marisa monte a alma a materia ",25,"A7","C","marisa monte"
"55",8," marisa monte a alma a materia ",25,"D7","C","marisa monte"
"56",8," marisa monte a alma a materia ",25,"G6","C","marisa monte"
"57",8," marisa monte a alma a materia ",25,"G7M","C","marisa monte"
"58",8," marisa monte a alma a materia ",25,"F#7","C","marisa monte"
"59",8," marisa monte a alma a materia ",25,"Bm7(b5)","C","marisa monte"
"60",8," marisa monte a alma a materia ",25,"E7","C","marisa monte"
"61",8," marisa monte a alma a materia ",25,"A7","C","marisa monte"
"62",8," marisa monte a alma a materia ",25,"D7","C","marisa monte"
"63",8," marisa monte a alma a materia ",25,"G7M","C","marisa monte"
"64",8," marisa monte a alma a materia ",25,"E7(b9)","C","marisa monte"
"65",8," marisa monte a alma a materia ",25,"A7","C","marisa monte"
"66",8," marisa monte a alma a materia ",25,"D7","C","marisa monte"
"67",8," marisa monte a alma a materia ",25,"G7M","C","marisa monte"
"68",8," marisa monte a alma a materia ",25,"E7(b9)","C","marisa monte"
"69",8," marisa monte a alma a materia ",25,"A7","C","marisa monte"
"70",8," marisa monte a alma a materia ",25,"D7","C","marisa monte"
"71",8," marisa monte a alma a materia ",25,"G7M","C","marisa monte"
"72",8," marisa monte a alma a materia ",25,"E7(b9)","C","marisa monte"
"73",8," marisa monte a alma a materia ",25,"A7","C","marisa monte"
"74",8," marisa monte a alma a materia ",25,"D7","C","marisa monte"
"75",8," marisa monte a alma a materia ",25,"G7M","C","marisa monte"
"76",8," marisa monte a alma a materia ",25,"D7","C","marisa monte"
"77",4," marisa monte a menina danca ",35,"G","D","marisa monte"
"78",4," marisa monte a menina danca ",35,"G","D","marisa monte"
"79",4," marisa monte a menina danca ",35,"Bbº","D","marisa monte"
"80",4," marisa monte a menina danca ",35,"Am7","D","marisa monte"
"81",4," marisa monte a menina danca ",35,"Bm7","D","marisa monte"
"82",4," marisa monte a menina danca ",35,"E7","D","marisa monte"
"83",4," marisa monte a menina danca ",35,"Am","D","marisa monte"
"84",4," marisa monte a menina danca ",35,"D7","D","marisa monte"
"85",4," marisa monte a menina danca ",35,"G","D","marisa monte"
"86",4," marisa monte a menina danca ",35,"D7","D","marisa monte"
"87",4," marisa monte a menina danca ",35,"G","D","marisa monte"
"88",4," marisa monte a menina danca ",35,"Bbº","D","marisa monte"
"89",4," marisa monte a menina danca ",35,"Am7","D","marisa monte"
"90",4," marisa monte a menina danca ",35,"Bm","D","marisa monte"
"91",4," marisa monte a menina danca ",35,"E7","D","marisa monte"
"92",4," marisa monte a menina danca ",35,"Am7","D","marisa monte"
"93",4," marisa monte a menina danca ",35,"D7","D","marisa monte"
"94",4," marisa monte a menina danca ",35,"Bm7","D","marisa monte"
"95",4," marisa monte a menina danca ",35,"E7","D","marisa monte"
"96",4," marisa monte a menina danca ",35,"Am7","D","marisa monte"
"97",4," marisa monte a menina danca ",35,"D7","D","marisa monte"
"98",4," marisa monte a menina danca ",35,"Bm7","D","marisa monte"
"99",4," marisa monte a menina danca ",35,"E7","D","marisa monte"
"100",4," marisa monte a menina danca ",35,"A7","D","marisa monte"
"101",4," marisa monte a menina danca ",35,"D7","D","marisa monte"
"102",4," marisa monte a menina danca ",35,"Bm7","D","marisa monte"
"103",4," marisa monte a menina danca ",35,"E7","D","marisa monte"
"104",4," marisa monte a menina danca ",35,"Bm7","D","marisa monte"
"105",4," marisa monte a menina danca ",35,"E7","D","marisa monte"
"106",4," marisa monte a menina danca ",35,"C#m","D","marisa monte"
"107",4," marisa monte a menina danca ",35,"F#7","D","marisa monte"
"108",4," marisa monte a menina danca ",35,"Bm7","D","marisa monte"
"109",4," marisa monte a menina danca ",35,"E7","D","marisa monte"
"110",4," marisa monte a menina danca ",35,"C#m","D","marisa monte"
"111",4," marisa monte a menina danca ",35,"F#7","D","marisa monte"
"112",4," marisa monte a menina danca ",35,"Bm7","D","marisa monte"
"113",4," marisa monte a menina danca ",35,"E7","D","marisa monte"
"114",4," marisa monte a menina danca ",35,"C#m","D","marisa monte"
"115",4," marisa monte a menina danca ",35,"F#7","D","marisa monte"
"116",4," marisa monte a menina danca ",35,"Bm7","D","marisa monte"
"117",4," marisa monte a menina danca ",35,"E7","D","marisa monte"
"118",4," marisa monte a menina danca ",35,"C#m","D","marisa monte"
"119",4," marisa monte a menina danca ",35,"F#7","D","marisa monte"
"120",4," marisa monte a menina danca ",35,"Bm7","D","marisa monte"
"121",4," marisa monte a menina danca ",35,"E7","D","marisa monte"
"122",4," marisa monte a menina danca ",35,"Am7","D","marisa monte"
"123",4," marisa monte a menina danca ",35,"D7","D","marisa monte"
"124",4," marisa monte a menina danca ",35,"Bm7","D","marisa monte"
"125",4," marisa monte a menina danca ",35,"E7","D","marisa monte"
"126",4," marisa monte a menina danca ",35,"Am7","D","marisa monte"
"127",4," marisa monte a menina danca ",35,"D7","D","marisa monte"
"128",16," marisa monte a primeira pedra ",36,"Bm","G","marisa monte"
"129",16," marisa monte a primeira pedra ",36,"E7","G","marisa monte"
