"date" "music" "popul" "chord" "key" "artist"
"1" NA " matheus kauan a nossa praia  amar " NA "F#m" "A" "matheus kauan"
"2" NA " matheus kauan a nossa praia  amar " NA "E" "A" "matheus kauan"
"3" NA " matheus kauan a nossa praia  amar " NA "D9" "A" "matheus kauan"
"4" NA " matheus kauan a nossa praia  amar " NA "A9" "A" "matheus kauan"
"5" NA " matheus kauan a nossa praia  amar " NA "D9" "A" "matheus kauan"
"6" NA " matheus kauan a nossa praia  amar " NA "F#m" "A" "matheus kauan"
"7" NA " matheus kauan a nossa praia  amar " NA "E" "A" "matheus kauan"
"8" NA " matheus kauan a nossa praia  amar " NA "D9" "A" "matheus kauan"
"9" NA " matheus kauan a nossa praia  amar " NA "A9" "A" "matheus kauan"
"10" NA " matheus kauan a nossa praia  amar " NA "D9" "A" "matheus kauan"
"11" NA " matheus kauan a nossa praia  amar " NA "F#m" "A" "matheus kauan"
"12" NA " matheus kauan a nossa praia  amar " NA "E" "A" "matheus kauan"
"13" NA " matheus kauan a nossa praia  amar " NA "D9" "A" "matheus kauan"
"14" NA " matheus kauan a nossa praia  amar " NA "A9" "A" "matheus kauan"
"15" NA " matheus kauan a nossa praia  amar " NA "Bm" "A" "matheus kauan"
"16" NA " matheus kauan a nossa praia  amar " NA "D9" "A" "matheus kauan"
"17" NA " matheus kauan a nossa praia  amar " NA "A9" "A" "matheus kauan"
"18" NA " matheus kauan a nossa praia  amar " NA "E" "A" "matheus kauan"
"19" NA " matheus kauan a nossa praia  amar " NA "A9" "A" "matheus kauan"
"20" NA " matheus kauan a nossa praia  amar " NA "Bm" "A" "matheus kauan"
"21" NA " matheus kauan a nossa praia  amar " NA "D9" "A" "matheus kauan"
"22" NA " matheus kauan a nossa praia  amar " NA "A9" "A" "matheus kauan"
"23" NA " matheus kauan a nossa praia  amar " NA "E" "A" "matheus kauan"
"24" NA " matheus kauan a nossa praia  amar " NA "F#m" "A" "matheus kauan"
"25" NA " matheus kauan a nossa praia  amar " NA "E" "A" "matheus kauan"
"26" NA " matheus kauan a nossa praia  amar " NA "D9" "A" "matheus kauan"
"27" NA " matheus kauan a nossa praia  amar " NA "F#m" "A" "matheus kauan"
"28" NA " matheus kauan a nossa praia  amar " NA "E" "A" "matheus kauan"
"29" NA " matheus kauan a nossa praia  amar " NA "D9" "A" "matheus kauan"
"30" NA " matheus kauan a nossa praia  amar " NA "A9" "A" "matheus kauan"
"31" NA " matheus kauan a nossa praia  amar " NA "D9" "A" "matheus kauan"
"32" NA " matheus kauan a nossa praia  amar " NA "F#m" "A" "matheus kauan"
"33" NA " matheus kauan a nossa praia  amar " NA "E" "A" "matheus kauan"
"34" NA " matheus kauan a nossa praia  amar " NA "D9" "A" "matheus kauan"
"35" NA " matheus kauan a nossa praia  amar " NA "A9" "A" "matheus kauan"
"36" NA " matheus kauan a nossa praia  amar " NA "D9" "A" "matheus kauan"
"37" NA " matheus kauan a nossa praia  amar " NA "F#m" "A" "matheus kauan"
"38" NA " matheus kauan a nossa praia  amar " NA "E" "A" "matheus kauan"
"39" NA " matheus kauan a nossa praia  amar " NA "D9" "A" "matheus kauan"
"40" NA " matheus kauan a nossa praia  amar " NA "A9" "A" "matheus kauan"
"41" NA " matheus kauan a nossa praia  amar " NA "Bm" "A" "matheus kauan"
"42" NA " matheus kauan a nossa praia  amar " NA "D" "A" "matheus kauan"
"43" NA " matheus kauan a nossa praia  amar " NA "A" "A" "matheus kauan"
"44" NA " matheus kauan a nossa praia  amar " NA "E" "A" "matheus kauan"
"45" NA " matheus kauan a nossa praia  amar " NA "A9" "A" "matheus kauan"
"46" NA " matheus kauan a nossa praia  amar " NA "Bm" "A" "matheus kauan"
"47" NA " matheus kauan a nossa praia  amar " NA "D" "A" "matheus kauan"
"48" NA " matheus kauan a nossa praia  amar " NA "A" "A" "matheus kauan"
"49" NA " matheus kauan a nossa praia  amar " NA "E" "A" "matheus kauan"
"50" NA " matheus kauan a nossa praia  amar " NA "A9" "A" "matheus kauan"
"51" NA " matheus kauan a nossa praia  amar " NA "D9" "A" "matheus kauan"
"52" NA " matheus kauan a nossa praia  amar " NA "F#m" "A" "matheus kauan"
"53" NA " matheus kauan a nossa praia  amar " NA "E" "A" "matheus kauan"
"54" NA " matheus kauan a nossa praia  amar " NA "D9" "A" "matheus kauan"
"55" NA " matheus kauan a nossa praia  amar " NA "E" "A" "matheus kauan"
"56" "2016-02-26" " matheus kauan abajur " 56 "F" "C" "matheus kauan"
"57" "2016-02-26" " matheus kauan abajur " 56 "C" "C" "matheus kauan"
"58" "2016-02-26" " matheus kauan abajur " 56 "Am" "C" "matheus kauan"
"59" "2016-02-26" " matheus kauan abajur " 56 "G" "C" "matheus kauan"
