"date" "music" "popul" "chord" "key" "artist"
"1" NA " milton nascimento a barca dos amantes " NA "E" "A" "milton nascimento"
"2" NA " milton nascimento a barca dos amantes " NA "E/D" "A" "milton nascimento"
"3" NA " milton nascimento a barca dos amantes " NA "A" "A" "milton nascimento"
"4" NA " milton nascimento a barca dos amantes " NA "D" "A" "milton nascimento"
"5" NA " milton nascimento a barca dos amantes " NA "E" "A" "milton nascimento"
"6" NA " milton nascimento a barca dos amantes " NA "C" "A" "milton nascimento"
"7" NA " milton nascimento a barca dos amantes " NA "D" "A" "milton nascimento"
"8" NA " milton nascimento a barca dos amantes " NA "A" "A" "milton nascimento"
"9" NA " milton nascimento a barca dos amantes " NA "D" "A" "milton nascimento"
"10" NA " milton nascimento a barca dos amantes " NA "Fdim" "A" "milton nascimento"
"11" NA " milton nascimento a barca dos amantes " NA "A" "A" "milton nascimento"
"12" NA " milton nascimento a barca dos amantes " NA "Esus" "A" "milton nascimento"
"13" NA " milton nascimento a barca dos amantes " NA "E/D" "A" "milton nascimento"
"14" NA " milton nascimento a barca dos amantes " NA "A" "A" "milton nascimento"
"15" NA " milton nascimento a barca dos amantes " NA "D" "A" "milton nascimento"
"16" NA " milton nascimento a barca dos amantes " NA "E" "A" "milton nascimento"
"17" NA " milton nascimento a barca dos amantes " NA "C" "A" "milton nascimento"
"18" NA " milton nascimento a barca dos amantes " NA "D" "A" "milton nascimento"
"19" NA " milton nascimento a barca dos amantes " NA "A" "A" "milton nascimento"
"20" NA " milton nascimento a barca dos amantes " NA "D" "A" "milton nascimento"
"21" NA " milton nascimento a barca dos amantes " NA "Fdim" "A" "milton nascimento"
"22" NA " milton nascimento a barca dos amantes " NA "A" "A" "milton nascimento"
"23" NA " milton nascimento a barca dos amantes " NA "A/G#" "A" "milton nascimento"
"24" NA " milton nascimento a barca dos amantes " NA "F#m" "A" "milton nascimento"
"25" NA " milton nascimento a barca dos amantes " NA "F#m7M" "A" "milton nascimento"
"26" NA " milton nascimento a barca dos amantes " NA "F#m7" "A" "milton nascimento"
"27" NA " milton nascimento a barca dos amantes " NA "F#m6" "A" "milton nascimento"
"28" NA " milton nascimento a barca dos amantes " NA "D/C#" "A" "milton nascimento"
"29" NA " milton nascimento a barca dos amantes " NA "Bm" "A" "milton nascimento"
"30" NA " milton nascimento a barca dos amantes " NA "Bm/A" "A" "milton nascimento"
"31" NA " milton nascimento a barca dos amantes " NA "F#m" "A" "milton nascimento"
"32" NA " milton nascimento a barca dos amantes " NA "F#m/E" "A" "milton nascimento"
"33" NA " milton nascimento a barca dos amantes " NA "D" "A" "milton nascimento"
"34" NA " milton nascimento a barca dos amantes " NA "Bm" "A" "milton nascimento"
"35" NA " milton nascimento a barca dos amantes " NA "F#sus" "A" "milton nascimento"
"36" NA " milton nascimento a barca dos amantes " NA "F#" "A" "milton nascimento"
"37" NA " milton nascimento a barca dos amantes " NA "E" "A" "milton nascimento"
"38" NA " milton nascimento a barca dos amantes " NA "D/F#" "A" "milton nascimento"
"39" NA " milton nascimento a barca dos amantes " NA "E" "A" "milton nascimento"
"40" NA " milton nascimento a barca dos amantes " NA "A" "A" "milton nascimento"
"41" NA " milton nascimento a barca dos amantes " NA "D" "A" "milton nascimento"
"42" NA " milton nascimento a barca dos amantes " NA "E" "A" "milton nascimento"
"43" NA " milton nascimento a barca dos amantes " NA "C" "A" "milton nascimento"
"44" NA " milton nascimento a barca dos amantes " NA "D" "A" "milton nascimento"
"45" NA " milton nascimento a barca dos amantes " NA "A" "A" "milton nascimento"
"46" NA " milton nascimento a barca dos amantes " NA "D" "A" "milton nascimento"
"47" NA " milton nascimento a barca dos amantes " NA "Fdim" "A" "milton nascimento"
"48" NA " milton nascimento a barca dos amantes " NA "A" "A" "milton nascimento"
"49" NA " milton nascimento a barca dos amantes " NA "Esus" "A" "milton nascimento"
"50" NA " milton nascimento a barca dos amantes " NA "E/D" "A" "milton nascimento"
"51" NA " milton nascimento a barca dos amantes " NA "A" "A" "milton nascimento"
"52" NA " milton nascimento a barca dos amantes " NA "D" "A" "milton nascimento"
"53" NA " milton nascimento a barca dos amantes " NA "E" "A" "milton nascimento"
"54" NA " milton nascimento a barca dos amantes " NA "C" "A" "milton nascimento"
"55" NA " milton nascimento a barca dos amantes " NA "D" "A" "milton nascimento"
"56" NA " milton nascimento a barca dos amantes " NA "E" "A" "milton nascimento"
"57" NA " milton nascimento a barca dos amantes " NA "A7" "A" "milton nascimento"
"58" NA " milton nascimento a barca dos amantes " NA "D" "A" "milton nascimento"
"59" NA " milton nascimento a barca dos amantes " NA "Fdim" "A" "milton nascimento"
"60" NA " milton nascimento a barca dos amantes " NA "A" "A" "milton nascimento"
"61" "1981" " milton nascimento a festa " 11 "D" "A" "milton nascimento"
"62" "1981" " milton nascimento a festa " 11 "E" "A" "milton nascimento"
"63" "1981" " milton nascimento a festa " 11 "A" "A" "milton nascimento"
"64" "1981" " milton nascimento a festa " 11 "D" "A" "milton nascimento"
"65" "1981" " milton nascimento a festa " 11 "E" "A" "milton nascimento"
"66" "1981" " milton nascimento a festa " 11 "A" "A" "milton nascimento"
"67" "1981" " milton nascimento a festa " 11 "D" "A" "milton nascimento"
"68" "1981" " milton nascimento a festa " 11 "E" "A" "milton nascimento"
"69" "1981" " milton nascimento a festa " 11 "A" "A" "milton nascimento"
"70" "1981" " milton nascimento a festa " 11 "D" "A" "milton nascimento"
"71" "1981" " milton nascimento a festa " 11 "E" "A" "milton nascimento"
"72" "1981" " milton nascimento a festa " 11 "A" "A" "milton nascimento"
"73" "1981" " milton nascimento a festa " 11 "D" "A" "milton nascimento"
"74" "1981" " milton nascimento a festa " 11 "E" "A" "milton nascimento"
"75" "1981" " milton nascimento a festa " 11 "A" "A" "milton nascimento"
"76" "1981" " milton nascimento a festa " 11 "D" "A" "milton nascimento"
"77" "1981" " milton nascimento a festa " 11 "E" "A" "milton nascimento"
"78" "1981" " milton nascimento a festa " 11 "A" "A" "milton nascimento"
"79" "1981" " milton nascimento a festa " 11 "D" "A" "milton nascimento"
"80" "1981" " milton nascimento a festa " 11 "E" "A" "milton nascimento"
"81" "1981" " milton nascimento a festa " 11 "A" "A" "milton nascimento"
"82" "1981" " milton nascimento a festa " 11 "D" "A" "milton nascimento"
"83" "1981" " milton nascimento a festa " 11 "E" "A" "milton nascimento"
"84" "1981" " milton nascimento a festa " 11 "A" "A" "milton nascimento"
"85" "1981" " milton nascimento a festa " 11 "E" "A" "milton nascimento"
"86" "1981" " milton nascimento a festa " 11 "A" "A" "milton nascimento"
"87" "1981" " milton nascimento a festa " 11 "D" "A" "milton nascimento"
