"date" "music" "popul" "chord" "key" "artist"
"1" "2014-04-15" " mumuzinho a paz que faltava " 44 "Bb9" "A#" "mumuzinho"
"2" "2014-04-15" " mumuzinho a paz que faltava " 44 "Gm7" "A#" "mumuzinho"
"3" "2014-04-15" " mumuzinho a paz que faltava " 44 "Ab7+" "A#" "mumuzinho"
"4" "2014-04-15" " mumuzinho a paz que faltava " 44 "Eb" "A#" "mumuzinho"
"5" "2014-04-15" " mumuzinho a paz que faltava " 44 "F7/4/9" "A#" "mumuzinho"
"6" "2014-04-15" " mumuzinho a paz que faltava " 44 "Bb7+" "A#" "mumuzinho"
"7" "2014-04-15" " mumuzinho a paz que faltava " 44 "Gm7" "A#" "mumuzinho"
"8" "2014-04-15" " mumuzinho a paz que faltava " 44 "Ab7+" "A#" "mumuzinho"
"9" "2014-04-15" " mumuzinho a paz que faltava " 44 "Eb" "A#" "mumuzinho"
"10" "2014-04-15" " mumuzinho a paz que faltava " 44 "F7/4/9" "A#" "mumuzinho"
"11" "2014-04-15" " mumuzinho a paz que faltava " 44 "Gm7" "A#" "mumuzinho"
"12" "2014-04-15" " mumuzinho a paz que faltava " 44 "Bb9" "A#" "mumuzinho"
"13" "2014-04-15" " mumuzinho a paz que faltava " 44 "C4" "A#" "mumuzinho"
"14" "2014-04-15" " mumuzinho a paz que faltava " 44 "Eb" "A#" "mumuzinho"
"15" "2014-04-15" " mumuzinho a paz que faltava " 44 "Bb" "A#" "mumuzinho"
"16" "2014-04-15" " mumuzinho a paz que faltava " 44 "Gm7" "A#" "mumuzinho"
"17" "2014-04-15" " mumuzinho a paz que faltava " 44 "Ab7+" "A#" "mumuzinho"
"18" "2014-04-15" " mumuzinho a paz que faltava " 44 "Cm7" "A#" "mumuzinho"
"19" "2014-04-15" " mumuzinho a paz que faltava " 44 "D7/9" "A#" "mumuzinho"
"20" "2014-04-15" " mumuzinho a paz que faltava " 44 "Gm7/9" "A#" "mumuzinho"
"21" "2014-04-15" " mumuzinho a paz que faltava " 44 "C7/9" "A#" "mumuzinho"
"22" "2014-04-15" " mumuzinho a paz que faltava " 44 "Gm7" "A#" "mumuzinho"
"23" "2014-04-15" " mumuzinho a paz que faltava " 44 "F7/4/9" "A#" "mumuzinho"
"24" "2014-04-15" " mumuzinho a paz que faltava " 44 "Bb" "A#" "mumuzinho"
"25" "2014-04-15" " mumuzinho a paz que faltava " 44 "Eb" "A#" "mumuzinho"
"26" "2014-04-15" " mumuzinho a paz que faltava " 44 "Cm7" "A#" "mumuzinho"
"27" "2014-04-15" " mumuzinho a paz que faltava " 44 "D7/9-" "A#" "mumuzinho"
"28" "2014-04-15" " mumuzinho a paz que faltava " 44 "Gm7/9" "A#" "mumuzinho"
"29" "2014-04-15" " mumuzinho a paz que faltava " 44 "C7/9" "A#" "mumuzinho"
"30" "2014-04-15" " mumuzinho a paz que faltava " 44 "Gm7" "A#" "mumuzinho"
"31" "2014-04-15" " mumuzinho a paz que faltava " 44 "F7/4/9" "A#" "mumuzinho"
"32" "2014-04-15" " mumuzinho a paz que faltava " 44 "Bb" "A#" "mumuzinho"
"33" "2014-04-15" " mumuzinho a paz que faltava " 44 "Gm7" "A#" "mumuzinho"
"34" "2014-04-15" " mumuzinho a paz que faltava " 44 "Ab7+" "A#" "mumuzinho"
"35" "2014-04-15" " mumuzinho a paz que faltava " 44 "F7" "A#" "mumuzinho"
"36" "2014-04-15" " mumuzinho a paz que faltava " 44 "Bb" "A#" "mumuzinho"
"37" "2014-04-15" " mumuzinho a paz que faltava " 44 "Bb" "A#" "mumuzinho"
"38" "2014-04-15" " mumuzinho a paz que faltava " 44 "Gm7/9" "A#" "mumuzinho"
"39" "2014-04-15" " mumuzinho a paz que faltava " 44 "Ab7+" "A#" "mumuzinho"
"40" "2014-04-15" " mumuzinho a paz que faltava " 44 "F7/9" "A#" "mumuzinho"
