"date","music","popul","chord","key","artist"
"1",22," nando reis 4 de marco ",42,"E","E","nando reis"
"2",22," nando reis 4 de marco ",42,"D","E","nando reis"
"3",22," nando reis 4 de marco ",42,"A","E","nando reis"
"4",22," nando reis 4 de marco ",42,"E","E","nando reis"
"5",22," nando reis 4 de marco ",42,"D","E","nando reis"
"6",22," nando reis 4 de marco ",42,"A","E","nando reis"
"7",22," nando reis 4 de marco ",42,"E","E","nando reis"
"8",22," nando reis 4 de marco ",42,"D","E","nando reis"
"9",22," nando reis 4 de marco ",42,"A","E","nando reis"
"10",22," nando reis 4 de marco ",42,"E/G#","E","nando reis"
"11",22," nando reis 4 de marco ",42,"F#m","E","nando reis"
"12",22," nando reis 4 de marco ",42,"B","E","nando reis"
"13",22," nando reis 4 de marco ",42,"F#m","E","nando reis"
"14",22," nando reis 4 de marco ",42,"A","E","nando reis"
"15",22," nando reis 4 de marco ",42,"E","E","nando reis"
"16",22," nando reis 4 de marco ",42,"D","E","nando reis"
"17",22," nando reis 4 de marco ",42,"A","E","nando reis"
"18",22," nando reis 4 de marco ",42,"E","E","nando reis"
"19",22," nando reis 4 de marco ",42,"D","E","nando reis"
"20",22," nando reis 4 de marco ",42,"A","E","nando reis"
"21",22," nando reis 4 de marco ",42,"E/G#","E","nando reis"
"22",22," nando reis 4 de marco ",42,"F#m","E","nando reis"
"23",22," nando reis 4 de marco ",42,"B","E","nando reis"
"24",22," nando reis 4 de marco ",42,"F#m","E","nando reis"
"25",22," nando reis 4 de marco ",42,"A","E","nando reis"
"26",22," nando reis 4 de marco ",42,"E","E","nando reis"
"27",22," nando reis 4 de marco ",42,"D","E","nando reis"
"28",22," nando reis 4 de marco ",42,"A","E","nando reis"
"29",22," nando reis 4 de marco ",42,"E","E","nando reis"
"30",22," nando reis 4 de marco ",42,"D","E","nando reis"
"31",22," nando reis 4 de marco ",42,"A","E","nando reis"
"32",22," nando reis 4 de marco ",42,"E/G#","E","nando reis"
"33",22," nando reis 4 de marco ",42,"F#m","E","nando reis"
"34",22," nando reis 4 de marco ",42,"B","E","nando reis"
"35",22," nando reis 4 de marco ",42,"F#m","E","nando reis"
"36",22," nando reis 4 de marco ",42,"A","E","nando reis"
"37",22," nando reis 4 de marco ",42,"E","E","nando reis"
"38",22," nando reis 4 de marco ",42,"D","E","nando reis"
"39",22," nando reis 4 de marco ",42,"A","E","nando reis"
"40",22," nando reis 4 de marco ",42,"E","E","nando reis"
"41",22," nando reis 4 de marco ",42,"E","E","nando reis"
"42",22," nando reis 4 de marco ",42,"D","E","nando reis"
"43",22," nando reis 4 de marco ",42,"A","E","nando reis"
"44",22," nando reis 4 de marco ",42,"E","E","nando reis"
"45",22," nando reis 4 de marco ",42,"D","E","nando reis"
"46",22," nando reis 4 de marco ",42,"A","E","nando reis"
"47",22," nando reis 4 de marco ",42,"E/G#","E","nando reis"
"48",22," nando reis 4 de marco ",42,"F#m","E","nando reis"
"49",22," nando reis 4 de marco ",42,"B","E","nando reis"
"50",22," nando reis 4 de marco ",42,"F#m","E","nando reis"
"51",22," nando reis 4 de marco ",42,"A","E","nando reis"
"52",22," nando reis 4 de marco ",42,"E","E","nando reis"
"53",22," nando reis 4 de marco ",42,"D","E","nando reis"
"54",22," nando reis 4 de marco ",42,"A","E","nando reis"
"55",22," nando reis 4 de marco ",42,"E","E","nando reis"
"56",22," nando reis 4 de marco ",42,"D","E","nando reis"
"57",22," nando reis 4 de marco ",42,"A","E","nando reis"
"58",22," nando reis 4 de marco ",42,"E/G#","E","nando reis"
"59",22," nando reis 4 de marco ",42,"F#m","E","nando reis"
"60",22," nando reis 4 de marco ",42,"B","E","nando reis"
