"date","music","popul","chord","key","artist"
"1",2," nelson cavaquinho a flor e o espinho ",34,"Am","C","nelson cavaquinho"
"2",2," nelson cavaquinho a flor e o espinho ",34,"Am7/G","C","nelson cavaquinho"
"3",2," nelson cavaquinho a flor e o espinho ",34,"Dm/F","C","nelson cavaquinho"
"4",2," nelson cavaquinho a flor e o espinho ",34,"Bm7(b5)","C","nelson cavaquinho"
"5",2," nelson cavaquinho a flor e o espinho ",34,"E7","C","nelson cavaquinho"
"6",2," nelson cavaquinho a flor e o espinho ",34,"Am","C","nelson cavaquinho"
"7",2," nelson cavaquinho a flor e o espinho ",34,"A7","C","nelson cavaquinho"
"8",2," nelson cavaquinho a flor e o espinho ",34,"Dm7","C","nelson cavaquinho"
"9",2," nelson cavaquinho a flor e o espinho ",34,"G7","C","nelson cavaquinho"
"10",2," nelson cavaquinho a flor e o espinho ",34,"C","C","nelson cavaquinho"
"11",2," nelson cavaquinho a flor e o espinho ",34,"E7","C","nelson cavaquinho"
"12",2," nelson cavaquinho a flor e o espinho ",34,"Am","C","nelson cavaquinho"
"13",2," nelson cavaquinho a flor e o espinho ",34,"Bm7(b5)","C","nelson cavaquinho"
"14",2," nelson cavaquinho a flor e o espinho ",34,"E7","C","nelson cavaquinho"
"15",2," nelson cavaquinho a flor e o espinho ",34,"Am","C","nelson cavaquinho"
"16",2," nelson cavaquinho a flor e o espinho ",34,"Am7/G","C","nelson cavaquinho"
"17",2," nelson cavaquinho a flor e o espinho ",34,"Dm/F","C","nelson cavaquinho"
"18",2," nelson cavaquinho a flor e o espinho ",34,"E7","C","nelson cavaquinho"
"19",2," nelson cavaquinho a flor e o espinho ",34,"Am","C","nelson cavaquinho"
"20",2," nelson cavaquinho a flor e o espinho ",34,"E7","C","nelson cavaquinho"
"21",2," nelson cavaquinho a flor e o espinho ",34,"Am","C","nelson cavaquinho"
"22",2," nelson cavaquinho a flor e o espinho ",34,"Am7/G","C","nelson cavaquinho"
"23",2," nelson cavaquinho a flor e o espinho ",34,"Dm/F","C","nelson cavaquinho"
"24",2," nelson cavaquinho a flor e o espinho ",34,"Bm7(b5)","C","nelson cavaquinho"
"25",2," nelson cavaquinho a flor e o espinho ",34,"E7","C","nelson cavaquinho"
"26",2," nelson cavaquinho a flor e o espinho ",34,"Am","C","nelson cavaquinho"
"27",2," nelson cavaquinho a flor e o espinho ",34,"A7","C","nelson cavaquinho"
"28",2," nelson cavaquinho a flor e o espinho ",34,"Dm7","C","nelson cavaquinho"
"29",2," nelson cavaquinho a flor e o espinho ",34,"G7","C","nelson cavaquinho"
"30",2," nelson cavaquinho a flor e o espinho ",34,"C","C","nelson cavaquinho"
"31",2," nelson cavaquinho a flor e o espinho ",34,"E7","C","nelson cavaquinho"
"32",2," nelson cavaquinho a flor e o espinho ",34,"Am","C","nelson cavaquinho"
"33",2," nelson cavaquinho a flor e o espinho ",34,"Bm7(b5)","C","nelson cavaquinho"
"34",2," nelson cavaquinho a flor e o espinho ",34,"E7","C","nelson cavaquinho"
"35",2," nelson cavaquinho a flor e o espinho ",34,"Am","C","nelson cavaquinho"
"36",2," nelson cavaquinho a flor e o espinho ",34,"Am7/G","C","nelson cavaquinho"
"37",2," nelson cavaquinho a flor e o espinho ",34,"F","C","nelson cavaquinho"
"38",2," nelson cavaquinho a flor e o espinho ",34,"E7","C","nelson cavaquinho"
"39",2," nelson cavaquinho a flor e o espinho ",34,"Am","C","nelson cavaquinho"
"40",2," nelson cavaquinho a flor e o espinho ",34,"G7","C","nelson cavaquinho"
"41",2," nelson cavaquinho a flor e o espinho ",34,"Am","C","nelson cavaquinho"
"42",2," nelson cavaquinho a flor e o espinho ",34,"A7","C","nelson cavaquinho"
"43",2," nelson cavaquinho a flor e o espinho ",34,"Dm7","C","nelson cavaquinho"
"44",2," nelson cavaquinho a flor e o espinho ",34,"Bm7(b5)","C","nelson cavaquinho"
"45",2," nelson cavaquinho a flor e o espinho ",34,"E7","C","nelson cavaquinho"
"46",2," nelson cavaquinho a flor e o espinho ",34,"Am","C","nelson cavaquinho"
"47",2," nelson cavaquinho a flor e o espinho ",34,"Am7/G","C","nelson cavaquinho"
"48",2," nelson cavaquinho a flor e o espinho ",34,"F","C","nelson cavaquinho"
"49",2," nelson cavaquinho a flor e o espinho ",34,"E7","C","nelson cavaquinho"
"50",2," nelson cavaquinho a flor e o espinho ",34,"Am","C","nelson cavaquinho"
"51",2," nelson cavaquinho a flor e o espinho ",34,"Am7/G","C","nelson cavaquinho"
