"date" "music" "popul" "chord" "key" "artist"
"1" NA " noel rosa musicas a melhor do planeta " NA "C" "G" "noel rosa musicas"
"2" NA " noel rosa musicas a melhor do planeta " NA "Cm" "G" "noel rosa musicas"
"3" NA " noel rosa musicas a melhor do planeta " NA "G" "G" "noel rosa musicas"
"4" NA " noel rosa musicas a melhor do planeta " NA "Bm" "G" "noel rosa musicas"
"5" NA " noel rosa musicas a melhor do planeta " NA "E7" "G" "noel rosa musicas"
"6" NA " noel rosa musicas a melhor do planeta " NA "A7" "G" "noel rosa musicas"
"7" NA " noel rosa musicas a melhor do planeta " NA "D7" "G" "noel rosa musicas"
"8" NA " noel rosa musicas a melhor do planeta " NA "G7" "G" "noel rosa musicas"
"9" NA " noel rosa musicas a melhor do planeta " NA "D7" "G" "noel rosa musicas"
"10" NA " noel rosa musicas a melhor do planeta " NA "G" "G" "noel rosa musicas"
"11" NA " noel rosa musicas a melhor do planeta " NA "D7" "G" "noel rosa musicas"
"12" NA " noel rosa musicas a melhor do planeta " NA "Am7" "G" "noel rosa musicas"
"13" NA " noel rosa musicas a melhor do planeta " NA "D7" "G" "noel rosa musicas"
"14" NA " noel rosa musicas a melhor do planeta " NA "G" "G" "noel rosa musicas"
"15" NA " noel rosa musicas a melhor do planeta " NA "G7" "G" "noel rosa musicas"
"16" NA " noel rosa musicas a melhor do planeta " NA "C" "G" "noel rosa musicas"
"17" NA " noel rosa musicas a melhor do planeta " NA "Cm" "G" "noel rosa musicas"
"18" NA " noel rosa musicas a melhor do planeta " NA "G" "G" "noel rosa musicas"
"19" NA " noel rosa musicas a melhor do planeta " NA "Bm7(b5)" "G" "noel rosa musicas"
"20" NA " noel rosa musicas a melhor do planeta " NA "E7" "G" "noel rosa musicas"
"21" NA " noel rosa musicas a melhor do planeta " NA "A7" "G" "noel rosa musicas"
"22" NA " noel rosa musicas a melhor do planeta " NA "A7/C#" "G" "noel rosa musicas"
"23" NA " noel rosa musicas a melhor do planeta " NA "A7" "G" "noel rosa musicas"
"24" NA " noel rosa musicas a melhor do planeta " NA "D7/A" "G" "noel rosa musicas"
"25" NA " noel rosa musicas a melhor do planeta " NA "G#dim" "G" "noel rosa musicas"
"26" NA " noel rosa musicas a melhor do planeta " NA "D7/A" "G" "noel rosa musicas"
"27" NA " noel rosa musicas a melhor do planeta " NA "D7" "G" "noel rosa musicas"
"28" NA " noel rosa musicas a melhor do planeta " NA "G" "G" "noel rosa musicas"
"29" NA " noel rosa musicas a melhor do planeta " NA "D7" "G" "noel rosa musicas"
"30" NA " noel rosa musicas a melhor do planeta " NA "Am7" "G" "noel rosa musicas"
"31" NA " noel rosa musicas a melhor do planeta " NA "D7" "G" "noel rosa musicas"
"32" NA " noel rosa musicas a melhor do planeta " NA "G" "G" "noel rosa musicas"
"33" NA " noel rosa musicas a melhor do planeta " NA "G7" "G" "noel rosa musicas"
"34" NA " noel rosa musicas a melhor do planeta " NA "C" "G" "noel rosa musicas"
"35" NA " noel rosa musicas a melhor do planeta " NA "Cm" "G" "noel rosa musicas"
"36" NA " noel rosa musicas a melhor do planeta " NA "G" "G" "noel rosa musicas"
"37" NA " noel rosa musicas a melhor do planeta " NA "Bm(b5)" "G" "noel rosa musicas"
"38" NA " noel rosa musicas a melhor do planeta " NA "E7" "G" "noel rosa musicas"
"39" NA " noel rosa musicas a melhor do planeta " NA "A7" "G" "noel rosa musicas"
