"date","music","popul","chord","key","artist"
"1",NA," nx zero 18 anos ",NA,"G","G","nx zero"
"2",NA," nx zero 18 anos ",NA,"C","G","nx zero"
"3",NA," nx zero 18 anos ",NA,"G","G","nx zero"
"4",NA," nx zero 18 anos ",NA,"D","G","nx zero"
"5",NA," nx zero 18 anos ",NA,"G","G","nx zero"
"6",NA," nx zero 18 anos ",NA,"C","G","nx zero"
"7",NA," nx zero 18 anos ",NA,"G","G","nx zero"
"8",NA," nx zero 18 anos ",NA,"D","G","nx zero"
"9",NA," nx zero 18 anos ",NA,"C9","G","nx zero"
"10",NA," nx zero 18 anos ",NA,"G","G","nx zero"
"11",NA," nx zero 18 anos ",NA,"D","G","nx zero"
"12",NA," nx zero 18 anos ",NA,"C","G","nx zero"
"13",NA," nx zero 18 anos ",NA,"Em","G","nx zero"
"14",NA," nx zero 18 anos ",NA,"C","G","nx zero"
"15",NA," nx zero 18 anos ",NA,"G","G","nx zero"
"16",NA," nx zero 18 anos ",NA,"D","G","nx zero"
"17",NA," nx zero 18 anos ",NA,"C","G","nx zero"
"18",NA," nx zero 18 anos ",NA,"G","G","nx zero"
"19",NA," nx zero 18 anos ",NA,"C","G","nx zero"
"20",NA," nx zero 18 anos ",NA,"G","G","nx zero"
"21",NA," nx zero 18 anos ",NA,"D","G","nx zero"
"22",NA," nx zero 18 anos ",NA,"G","G","nx zero"
"23",NA," nx zero 18 anos ",NA,"C","G","nx zero"
"24",NA," nx zero 18 anos ",NA,"G","G","nx zero"
"25",NA," nx zero 18 anos ",NA,"D","G","nx zero"
"26",NA," nx zero 18 anos ",NA,"G","G","nx zero"
"27",NA," nx zero 18 anos ",NA,"C","G","nx zero"
"28",NA," nx zero 18 anos ",NA,"G","G","nx zero"
"29",NA," nx zero 18 anos ",NA,"C","G","nx zero"
"30",NA," nx zero 18 anos ",NA,"G","G","nx zero"
"31",NA," nx zero 18 anos ",NA,"C","G","nx zero"
"32",NA," nx zero 18 anos ",NA,"G","G","nx zero"
"33",NA," nx zero 18 anos ",NA,"D","G","nx zero"
"34",NA," nx zero 18 anos ",NA,"C9","G","nx zero"
"35",NA," nx zero 18 anos ",NA,"C9","G","nx zero"
"36",NA," nx zero 18 anos ",NA,"G","G","nx zero"
"37",NA," nx zero 18 anos ",NA,"D","G","nx zero"
"38",NA," nx zero 18 anos ",NA,"C","G","nx zero"
"39",NA," nx zero 18 anos ",NA,"Em","G","nx zero"
"40",NA," nx zero 18 anos ",NA,"C","G","nx zero"
"41",NA," nx zero 18 anos ",NA,"G","G","nx zero"
"42",NA," nx zero 18 anos ",NA,"D","G","nx zero"
"43",NA," nx zero 18 anos ",NA,"C","G","nx zero"
"44",NA," nx zero a maquina sugar kane cover ",NA,"Em","D","nx zero"
"45",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"46",NA," nx zero a maquina sugar kane cover ",NA,"A5","D","nx zero"
"47",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"48",NA," nx zero a maquina sugar kane cover ",NA,"A5","D","nx zero"
"49",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"50",NA," nx zero a maquina sugar kane cover ",NA,"A5","D","nx zero"
"51",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"52",NA," nx zero a maquina sugar kane cover ",NA,"A5","D","nx zero"
"53",NA," nx zero a maquina sugar kane cover ",NA,"B5","D","nx zero"
"54",NA," nx zero a maquina sugar kane cover ",NA,"D5","D","nx zero"
"55",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"56",NA," nx zero a maquina sugar kane cover ",NA,"G5","D","nx zero"
"57",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"58",NA," nx zero a maquina sugar kane cover ",NA,"G5","D","nx zero"
"59",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"60",NA," nx zero a maquina sugar kane cover ",NA,"G5","D","nx zero"
"61",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"62",NA," nx zero a maquina sugar kane cover ",NA,"A5","D","nx zero"
"63",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"64",NA," nx zero a maquina sugar kane cover ",NA,"A5","D","nx zero"
"65",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"66",NA," nx zero a maquina sugar kane cover ",NA,"A5","D","nx zero"
"67",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"68",NA," nx zero a maquina sugar kane cover ",NA,"A5","D","nx zero"
"69",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"70",NA," nx zero a maquina sugar kane cover ",NA,"A5","D","nx zero"
"71",NA," nx zero a maquina sugar kane cover ",NA,"E5","D","nx zero"
"72",NA," nx zero a maquina sugar kane cover ",NA,"D5","D","nx zero"
"73",NA," nx zero a maquina sugar kane cover ",NA,"E5","D","nx zero"
"74",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"75",NA," nx zero a maquina sugar kane cover ",NA,"A5","D","nx zero"
"76",NA," nx zero a maquina sugar kane cover ",NA,"E5","D","nx zero"
"77",NA," nx zero a maquina sugar kane cover ",NA,"D5","D","nx zero"
"78",NA," nx zero a maquina sugar kane cover ",NA,"E5","D","nx zero"
"79",NA," nx zero a maquina sugar kane cover ",NA,"D5","D","nx zero"
"80",NA," nx zero a maquina sugar kane cover ",NA,"E5","D","nx zero"
"81",NA," nx zero a maquina sugar kane cover ",NA,"D5","D","nx zero"
"82",NA," nx zero a maquina sugar kane cover ",NA,"E5","D","nx zero"
"83",NA," nx zero a maquina sugar kane cover ",NA,"D5","D","nx zero"
"84",NA," nx zero a maquina sugar kane cover ",NA,"E5","D","nx zero"
"85",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"86",NA," nx zero a maquina sugar kane cover ",NA,"D5","D","nx zero"
"87",NA," nx zero a maquina sugar kane cover ",NA,"E5","D","nx zero"
"88",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"89",NA," nx zero a maquina sugar kane cover ",NA,"D5","D","nx zero"
"90",NA," nx zero a maquina sugar kane cover ",NA,"E5","D","nx zero"
"91",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"92",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"93",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"94",NA," nx zero a maquina sugar kane cover ",NA,"G5","D","nx zero"
"95",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"96",NA," nx zero a maquina sugar kane cover ",NA,"G5","D","nx zero"
"97",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"98",NA," nx zero a maquina sugar kane cover ",NA,"A5","D","nx zero"
"99",NA," nx zero a maquina sugar kane cover ",NA,"B5","D","nx zero"
"100",NA," nx zero a maquina sugar kane cover ",NA,"D5","D","nx zero"
"101",NA," nx zero a maquina sugar kane cover ",NA,"E5","D","nx zero"
"102",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"103",NA," nx zero a maquina sugar kane cover ",NA,"A5","D","nx zero"
"104",NA," nx zero a maquina sugar kane cover ",NA,"E5","D","nx zero"
"105",NA," nx zero a maquina sugar kane cover ",NA,"D5","D","nx zero"
"106",NA," nx zero a maquina sugar kane cover ",NA,"E5","D","nx zero"
"107",NA," nx zero a maquina sugar kane cover ",NA,"D5","D","nx zero"
"108",NA," nx zero a maquina sugar kane cover ",NA,"E5","D","nx zero"
"109",NA," nx zero a maquina sugar kane cover ",NA,"D5","D","nx zero"
"110",NA," nx zero a maquina sugar kane cover ",NA,"E5","D","nx zero"
"111",NA," nx zero a maquina sugar kane cover ",NA,"D5","D","nx zero"
"112",NA," nx zero a maquina sugar kane cover ",NA,"E5","D","nx zero"
"113",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"114",NA," nx zero a maquina sugar kane cover ",NA,"D5","D","nx zero"
"115",NA," nx zero a maquina sugar kane cover ",NA,"E5","D","nx zero"
"116",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"117",NA," nx zero a maquina sugar kane cover ",NA,"D5","D","nx zero"
"118",NA," nx zero a maquina sugar kane cover ",NA,"E5","D","nx zero"
"119",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"120",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"121",NA," nx zero a maquina sugar kane cover ",NA,"D5","D","nx zero"
"122",NA," nx zero a maquina sugar kane cover ",NA,"E5","D","nx zero"
"123",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"124",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"125",NA," nx zero a maquina sugar kane cover ",NA,"G#5","D","nx zero"
"126",NA," nx zero a maquina sugar kane cover ",NA,"A5","D","nx zero"
"127",NA," nx zero a maquina sugar kane cover ",NA,"B5","D","nx zero"
"128",NA," nx zero a maquina sugar kane cover ",NA,"D5","D","nx zero"
"129",NA," nx zero a maquina sugar kane cover ",NA,"E5","D","nx zero"
"130",NA," nx zero a maquina sugar kane cover ",NA,"G5","D","nx zero"
"131",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"132",NA," nx zero a maquina sugar kane cover ",NA,"G#5","D","nx zero"
"133",NA," nx zero a maquina sugar kane cover ",NA,"A5","D","nx zero"
"134",NA," nx zero a maquina sugar kane cover ",NA,"B5","D","nx zero"
"135",NA," nx zero a maquina sugar kane cover ",NA,"D5","D","nx zero"
"136",NA," nx zero a maquina sugar kane cover ",NA,"E5","D","nx zero"
"137",NA," nx zero a maquina sugar kane cover ",NA,"G5","D","nx zero"
"138",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"139",NA," nx zero a maquina sugar kane cover ",NA,"G5","D","nx zero"
"140",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"141",NA," nx zero a maquina sugar kane cover ",NA,"G5","D","nx zero"
"142",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"143",NA," nx zero a maquina sugar kane cover ",NA,"G5","D","nx zero"
"144",NA," nx zero a maquina sugar kane cover ",NA,"F#5","D","nx zero"
"145",NA," nx zero a maquina sugar kane cover ",NA,"G5","D","nx zero"
"146",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"147",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"148",NA," nx zero a mare ",NA,"D","A","nx zero"
"149",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"150",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"151",NA," nx zero a mare ",NA,"D","A","nx zero"
"152",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"153",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"154",NA," nx zero a mare ",NA,"D","A","nx zero"
"155",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"156",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"157",NA," nx zero a mare ",NA,"D","A","nx zero"
"158",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"159",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"160",NA," nx zero a mare ",NA,"D","A","nx zero"
"161",NA," nx zero a mare ",NA,"Ab5","A","nx zero"
"162",NA," nx zero a mare ",NA,"F#5","A","nx zero"
"163",NA," nx zero a mare ",NA,"Ab5","A","nx zero"
"164",NA," nx zero a mare ",NA,"F#5","A","nx zero"
"165",NA," nx zero a mare ",NA,"D","A","nx zero"
"166",NA," nx zero a mare ",NA,"E","A","nx zero"
"167",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"168",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"169",NA," nx zero a mare ",NA,"D","A","nx zero"
"170",NA," nx zero a mare ",NA,"E","A","nx zero"
"171",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"172",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"173",NA," nx zero a mare ",NA,"D","A","nx zero"
"174",NA," nx zero a mare ",NA,"E","A","nx zero"
"175",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"176",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"177",NA," nx zero a mare ",NA,"D","A","nx zero"
"178",NA," nx zero a mare ",NA,"E","A","nx zero"
"179",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"180",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"181",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"182",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"183",NA," nx zero a mare ",NA,"D","A","nx zero"
"184",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"185",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"186",NA," nx zero a mare ",NA,"D","A","nx zero"
"187",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"188",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"189",NA," nx zero a mare ",NA,"D","A","nx zero"
"190",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"191",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"192",NA," nx zero a mare ",NA,"D","A","nx zero"
"193",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"194",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"195",NA," nx zero a mare ",NA,"D","A","nx zero"
"196",NA," nx zero a mare ",NA,"D","A","nx zero"
"197",NA," nx zero a mare ",NA,"E","A","nx zero"
"198",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"199",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"200",NA," nx zero a mare ",NA,"D","A","nx zero"
"201",NA," nx zero a mare ",NA,"E","A","nx zero"
"202",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"203",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"204",NA," nx zero a mare ",NA,"D","A","nx zero"
"205",NA," nx zero a mare ",NA,"E","A","nx zero"
"206",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"207",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"208",NA," nx zero a mare ",NA,"D","A","nx zero"
"209",NA," nx zero a mare ",NA,"E","A","nx zero"
"210",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"211",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"212",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"213",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"214",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"215",NA," nx zero a mare ",NA,"D","A","nx zero"
"216",NA," nx zero a mare ",NA,"D","A","nx zero"
"217",NA," nx zero a mare ",NA,"E","A","nx zero"
"218",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"219",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"220",NA," nx zero a mare ",NA,"D","A","nx zero"
"221",NA," nx zero a mare ",NA,"E","A","nx zero"
"222",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"223",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"224",NA," nx zero a mare ",NA,"D","A","nx zero"
"225",NA," nx zero a mare ",NA,"E","A","nx zero"
"226",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"227",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"228",NA," nx zero a mare ",NA,"D","A","nx zero"
"229",NA," nx zero a mare ",NA,"E","A","nx zero"
"230",NA," nx zero a mare ",NA,"F#m","A","nx zero"
"231",NA," nx zero a mare ",NA,"C#m","A","nx zero"
"232",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"233",NA," nx zero abra felicidade ",NA,"C5","G#","nx zero"
"234",NA," nx zero abra felicidade ",NA,"Eb","G#","nx zero"
"235",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"236",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"237",NA," nx zero abra felicidade ",NA,"C5","G#","nx zero"
"238",NA," nx zero abra felicidade ",NA,"Eb5","G#","nx zero"
"239",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"240",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"241",NA," nx zero abra felicidade ",NA,"C5","G#","nx zero"
"242",NA," nx zero abra felicidade ",NA,"Eb5","G#","nx zero"
"243",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"244",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"245",NA," nx zero abra felicidade ",NA,"C5","G#","nx zero"
"246",NA," nx zero abra felicidade ",NA,"Eb5","G#","nx zero"
"247",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"248",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"249",NA," nx zero abra felicidade ",NA,"C5","G#","nx zero"
"250",NA," nx zero abra felicidade ",NA,"Eb5","G#","nx zero"
"251",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"252",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"253",NA," nx zero abra felicidade ",NA,"C5","G#","nx zero"
"254",NA," nx zero abra felicidade ",NA,"Eb5","G#","nx zero"
"255",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"256",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"257",NA," nx zero abra felicidade ",NA,"C5","G#","nx zero"
"258",NA," nx zero abra felicidade ",NA,"Eb5","G#","nx zero"
"259",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"260",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"261",NA," nx zero abra felicidade ",NA,"C5","G#","nx zero"
"262",NA," nx zero abra felicidade ",NA,"Eb5","G#","nx zero"
"263",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"264",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"265",NA," nx zero abra felicidade ",NA,"C5","G#","nx zero"
"266",NA," nx zero abra felicidade ",NA,"Eb5","G#","nx zero"
"267",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"268",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"269",NA," nx zero abra felicidade ",NA,"C5","G#","nx zero"
"270",NA," nx zero abra felicidade ",NA,"Eb5","G#","nx zero"
"271",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"272",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"273",NA," nx zero abra felicidade ",NA,"C5","G#","nx zero"
"274",NA," nx zero abra felicidade ",NA,"Eb5","G#","nx zero"
"275",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"276",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"277",NA," nx zero abra felicidade ",NA,"C5","G#","nx zero"
"278",NA," nx zero abra felicidade ",NA,"Eb5","G#","nx zero"
"279",NA," nx zero abra felicidade ",NA,"Bb5","G#","nx zero"
"280",4," nx zero alem das palavras ",31,"E5","A","nx zero"
"281",4," nx zero alem das palavras ",31,"F#5","A","nx zero"
"282",4," nx zero alem das palavras ",31,"G#5","A","nx zero"
"283",4," nx zero alem das palavras ",31,"F#5","A","nx zero"
"284",4," nx zero alem das palavras ",31,"E5","A","nx zero"
"285",4," nx zero alem das palavras ",31,"F#5","A","nx zero"
"286",4," nx zero alem das palavras ",31,"G#5","A","nx zero"
"287",4," nx zero alem das palavras ",31,"F#5","A","nx zero"
"288",4," nx zero alem das palavras ",31,"E5","A","nx zero"
"289",4," nx zero alem das palavras ",31,"F#5","A","nx zero"
"290",4," nx zero alem das palavras ",31,"G#5","A","nx zero"
"291",4," nx zero alem das palavras ",31,"F#5","A","nx zero"
